"geoid","geolevel","year","level","value"
"08001","county",2019,"education_score",101.05
"08003","county",2019,"education_score",95.41
"08005","county",2019,"education_score",130.37
"08007","county",2019,"education_score",116.21
"08009","county",2019,"education_score",87.16
"08011","county",2019,"education_score",91.21
"08013","county",2019,"education_score",144.17
"08014","county",2019,"education_score",149.6
"08015","county",2019,"education_score",118.81
"08017","county",2019,"education_score",98.99
"08019","county",2019,"education_score",137.65
"08021","county",2019,"education_score",91.96
"08023","county",2019,"education_score",86.25
"08025","county",2019,"education_score",91.03
"08027","county",2019,"education_score",105.94
"08029","county",2019,"education_score",100.16
"08031","county",2019,"education_score",132.71
"08033","county",2019,"education_score",105.03
"08035","county",2019,"education_score",152.2
"08037","county",2019,"education_score",118.78
"08039","county",2019,"education_score",137.76
"08041","county",2019,"education_score",127.54
"08043","county",2019,"education_score",100.64
"08045","county",2019,"education_score",103.29
"08047","county",2019,"education_score",143.44
"08049","county",2019,"education_score",117.36
"08051","county",2019,"education_score",135.69
"08053","county",2019,"education_score",116.91
"08055","county",2019,"education_score",111.26
"08057","county",2019,"education_score",94.66
"08059","county",2019,"education_score",139.42
"08061","county",2019,"education_score",115.94
"08063","county",2019,"education_score",87.02
"08065","county",2019,"education_score",96.04
"08067","county",2019,"education_score",133.03
"08069","county",2019,"education_score",135.98
"08071","county",2019,"education_score",97.78
"08073","county",2019,"education_score",NA
"08075","county",2019,"education_score",98.5
"08077","county",2019,"education_score",110.56
"08079","county",2019,"education_score",124.87
"08081","county",2019,"education_score",93.56
"08083","county",2019,"education_score",109.18
"08085","county",2019,"education_score",100.4
"08087","county",2019,"education_score",70.23
"08089","county",2019,"education_score",93.25
"08091","county",2019,"education_score",137.67
"08093","county",2019,"education_score",134.94
"08095","county",2019,"education_score",92.27
"08097","county",2019,"education_score",142.53
"08099","county",2019,"education_score",74.92
"08101","county",2019,"education_score",105.66
"08103","county",2019,"education_score",109.64
"08105","county",2019,"education_score",102.36
"08107","county",2019,"education_score",137.57
"08109","county",2019,"education_score",90.57
"08111","county",2019,"education_score",126.1
"08113","county",2019,"education_score",145.79
"08115","county",2019,"education_score",92.1
"08117","county",2019,"education_score",131.83
"08119","county",2019,"education_score",129.37
"08121","county",2019,"education_score",95.09
"08123","county",2019,"education_score",109.15
"08125","county",2019,"education_score",92.01
"08001","county",2019,"education_rnk",50.8632
"08003","county",2019,"education_rnk",38.3312
"08005","county",2019,"education_rnk",93.734
"08007","county",2019,"education_rnk",81.1701
"08009","county",2019,"education_rnk",24.0409
"08011","county",2019,"education_rnk",31.234
"08013","county",2019,"education_rnk",98.7212
"08014","county",2019,"education_rnk",99.2647
"08015","county",2019,"education_rnk",84.4629
"08017","county",2019,"education_rnk",45.844
"08019","county",2019,"education_rnk",97.1547
"08021","county",2019,"education_rnk",32.4808
"08023","county",2019,"education_rnk",22.3465
"08025","county",2019,"education_rnk",30.8184
"08027","county",2019,"education_rnk",61.9246
"08029","county",2019,"education_rnk",48.6893
"08031","county",2019,"education_rnk",95.0128
"08033","county",2019,"education_rnk",59.9105
"08035","county",2019,"education_rnk",99.4565
"08037","county",2019,"education_rnk",84.4309
"08039","county",2019,"education_rnk",97.2506
"08041","county",2019,"education_rnk",92.0396
"08043","county",2019,"education_rnk",49.8721
"08045","county",2019,"education_rnk",55.9143
"08047","county",2019,"education_rnk",98.6253
"08049","county",2019,"education_rnk",82.4488
"08051","county",2019,"education_rnk",96.3555
"08053","county",2019,"education_rnk",81.9693
"08055","county",2019,"education_rnk",73.8811
"08057","county",2019,"education_rnk",36.9885
"08059","county",2019,"education_rnk",97.6662
"08061","county",2019,"education_rnk",80.7864
"08063","county",2019,"education_rnk",23.945
"08065","county",2019,"education_rnk",39.2903
"08067","county",2019,"education_rnk",95.1726
"08069","county",2019,"education_rnk",96.3875
"08071","county",2019,"education_rnk",43.1266
"08073","county",2019,"education_rnk",NA
"08075","county",2019,"education_rnk",44.5972
"08077","county",2019,"education_rnk",72.6343
"08079","county",2019,"education_rnk",90.2174
"08081","county",2019,"education_rnk",35.454
"08083","county",2019,"education_rnk",69.5332
"08085","county",2019,"education_rnk",49.2967
"08087","county",2019,"education_rnk",6.6496
"08089","county",2019,"education_rnk",34.8785
"08091","county",2019,"education_rnk",97.1867
"08093","county",2019,"education_rnk",96.0038
"08095","county",2019,"education_rnk",33.1202
"08097","county",2019,"education_rnk",98.2417
"08099","county",2019,"education_rnk",9.7826
"08101","county",2019,"education_rnk",61.2852
"08103","county",2019,"education_rnk",70.3964
"08105","county",2019,"education_rnk",53.7724
"08107","county",2019,"education_rnk",97.0908
"08109","county",2019,"education_rnk",29.8274
"08111","county",2019,"education_rnk",91.0166
"08113","county",2019,"education_rnk",99.009
"08115","county",2019,"education_rnk",32.7366
"08117","county",2019,"education_rnk",94.5013
"08119","county",2019,"education_rnk",93.1586
"08121","county",2019,"education_rnk",37.9476
"08123","county",2019,"education_rnk",69.4693
"08125","county",2019,"education_rnk",32.6087
"08001","county",2019,"education_state_rnk",38.7097
"08003","county",2019,"education_state_rnk",25.8065
"08005","county",2019,"education_state_rnk",72.5806
"08007","county",2019,"education_state_rnk",58.0645
"08009","county",2019,"education_state_rnk",6.4516
"08011","county",2019,"education_state_rnk",11.2903
"08013","county",2019,"education_state_rnk",95.1613
"08014","county",2019,"education_state_rnk",98.3871
"08015","county",2019,"education_state_rnk",64.5161
"08017","county",2019,"education_state_rnk",32.2581
"08019","county",2019,"education_state_rnk",85.4839
"08021","county",2019,"education_state_rnk",12.9032
"08023","county",2019,"education_state_rnk",3.2258
"08025","county",2019,"education_state_rnk",9.6774
"08027","county",2019,"education_state_rnk",46.7742
"08029","county",2019,"education_state_rnk",33.871
"08031","county",2019,"education_state_rnk",75.8065
"08033","county",2019,"education_state_rnk",43.5484
"08035","county",2019,"education_state_rnk",100
"08037","county",2019,"education_state_rnk",62.9032
"08039","county",2019,"education_state_rnk",88.7097
"08041","county",2019,"education_state_rnk",69.3548
"08043","county",2019,"education_state_rnk",37.0968
"08045","county",2019,"education_state_rnk",41.9355
"08047","county",2019,"education_state_rnk",93.5484
"08049","county",2019,"education_state_rnk",61.2903
"08051","county",2019,"education_state_rnk",80.6452
"08053","county",2019,"education_state_rnk",59.6774
"08055","county",2019,"education_state_rnk",54.8387
"08057","county",2019,"education_state_rnk",22.5806
"08059","county",2019,"education_state_rnk",90.3226
"08061","county",2019,"education_state_rnk",56.4516
"08063","county",2019,"education_state_rnk",4.8387
"08065","county",2019,"education_state_rnk",27.4194
"08067","county",2019,"education_state_rnk",77.4194
"08069","county",2019,"education_state_rnk",82.2581
"08071","county",2019,"education_state_rnk",29.0323
"08073","county",2019,"education_state_rnk",NA
"08075","county",2019,"education_state_rnk",30.6452
"08077","county",2019,"education_state_rnk",53.2258
"08079","county",2019,"education_state_rnk",66.129
"08081","county",2019,"education_state_rnk",20.9677
"08083","county",2019,"education_state_rnk",50
"08085","county",2019,"education_state_rnk",35.4839
"08087","county",2019,"education_state_rnk",0
"08089","county",2019,"education_state_rnk",19.3548
"08091","county",2019,"education_state_rnk",87.0968
"08093","county",2019,"education_state_rnk",79.0323
"08095","county",2019,"education_state_rnk",17.7419
"08097","county",2019,"education_state_rnk",91.9355
"08099","county",2019,"education_state_rnk",1.6129
"08101","county",2019,"education_state_rnk",45.1613
"08103","county",2019,"education_state_rnk",51.6129
"08105","county",2019,"education_state_rnk",40.3226
"08107","county",2019,"education_state_rnk",83.871
"08109","county",2019,"education_state_rnk",8.0645
"08111","county",2019,"education_state_rnk",67.7419
"08113","county",2019,"education_state_rnk",96.7742
"08115","county",2019,"education_state_rnk",16.129
"08117","county",2019,"education_state_rnk",74.1935
"08119","county",2019,"education_state_rnk",70.9677
"08121","county",2019,"education_state_rnk",24.1935
"08123","county",2019,"education_state_rnk",48.3871
"08125","county",2019,"education_state_rnk",14.5161
