"geoid","geolevel","year","level","value"
"09001","county",2019,"education_score",141.53
"09003","county",2019,"education_score",132.53
"09005","county",2019,"education_score",131.26
"09007","county",2019,"education_score",144.29
"09009","county",2019,"education_score",132.24
"09011","county",2019,"education_score",127.41
"09013","county",2019,"education_score",139.59
"09015","county",2019,"education_score",112.37
"09001","county",2019,"education_rnk",97.9859
"09003","county",2019,"education_rnk",94.9808
"09005","county",2019,"education_rnk",94.1496
"09007","county",2019,"education_rnk",98.7532
"09009","county",2019,"education_rnk",94.789
"09011","county",2019,"education_rnk",92.0077
"09013","county",2019,"education_rnk",97.6982
"09015","county",2019,"education_rnk",75.5754
"09001","county",2019,"education_state_rnk",85.7143
"09003","county",2019,"education_state_rnk",57.1429
"09005","county",2019,"education_state_rnk",28.5714
"09007","county",2019,"education_state_rnk",100
"09009","county",2019,"education_state_rnk",42.8571
"09011","county",2019,"education_state_rnk",14.2857
"09013","county",2019,"education_state_rnk",71.4286
"09015","county",2019,"education_state_rnk",0
