"geoid","geolevel","year","level","value"
"13001","county",2019,"education_score",75.25
"13003","county",2019,"education_score",51.58
"13005","county",2019,"education_score",77.37
"13007","county",2019,"education_score",77.84
"13009","county",2019,"education_score",114.22
"13011","county",2019,"education_score",74.09
"13013","county",2019,"education_score",99.06
"13015","county",2019,"education_score",96.05
"13017","county",2019,"education_score",83.92
"13019","county",2019,"education_score",81.63
"13021","county",2019,"education_score",107.81
"13023","county",2019,"education_score",107.3
"13025","county",2019,"education_score",68.75
"13027","county",2019,"education_score",97.69
"13029","county",2019,"education_score",120.58
"13031","county",2019,"education_score",121.54
"13033","county",2019,"education_score",82.14
"13035","county",2019,"education_score",86.16
"13037","county",2019,"education_score",72.55
"13039","county",2019,"education_score",108.73
"13043","county",2019,"education_score",75.45
"13045","county",2019,"education_score",104.17
"13047","county",2019,"education_score",104.23
"13049","county",2019,"education_score",68.93
"13051","county",2019,"education_score",126.68
"13053","county",2019,"education_score",118.36
"13055","county",2019,"education_score",71.43
"13057","county",2019,"education_score",129.79
"13059","county",2019,"education_score",135.37
"13061","county",2019,"education_score",82.43
"13063","county",2019,"education_score",103.25
"13065","county",2019,"education_score",61.56
"13067","county",2019,"education_score",139.43
"13069","county",2019,"education_score",71.33
"13071","county",2019,"education_score",69.13
"13073","county",2019,"education_score",128.41
"13075","county",2019,"education_score",76.2
"13077","county",2019,"education_score",117.77
"13079","county",2019,"education_score",87.49
"13081","county",2019,"education_score",86.9
"13083","county",2019,"education_score",91
"13085","county",2019,"education_score",113.57
"13087","county",2019,"education_score",82.42
"13089","county",2019,"education_score",135.44
"13091","county",2019,"education_score",88.57
"13093","county",2019,"education_score",75.43
"13095","county",2019,"education_score",103.73
"13097","county",2019,"education_score",115.7
"13099","county",2019,"education_score",79.65
"13101","county",2019,"education_score",63.89
"13103","county",2019,"education_score",111.12
"13105","county",2019,"education_score",75.94
"13107","county",2019,"education_score",81.9
"13109","county",2019,"education_score",74.18
"13111","county",2019,"education_score",98.34
"13113","county",2019,"education_score",138.21
"13115","county",2019,"education_score",93.22
"13117","county",2019,"education_score",143.75
"13119","county",2019,"education_score",89.05
"13121","county",2019,"education_score",152.84
"13123","county",2019,"education_score",89.48
"13125","county",2019,"education_score",86.77
"13127","county",2019,"education_score",105.31
"13129","county",2019,"education_score",80.15
"13131","county",2019,"education_score",83.52
"13133","county",2019,"education_score",107.46
"13135","county",2019,"education_score",123.1
"13137","county",2019,"education_score",90.22
"13139","county",2019,"education_score",89.18
"13141","county",2019,"education_score",78.12
"13143","county",2019,"education_score",87.34
"13145","county",2019,"education_score",119.98
"13147","county",2019,"education_score",87.81
"13149","county",2019,"education_score",74.41
"13151","county",2019,"education_score",118.91
"13153","county",2019,"education_score",120.41
"13155","county",2019,"education_score",82.3
"13157","county",2019,"education_score",100.81
"13159","county",2019,"education_score",81.43
"13161","county",2019,"education_score",68.82
"13163","county",2019,"education_score",77.41
"13165","county",2019,"education_score",66.5
"13167","county",2019,"education_score",67.54
"13169","county",2019,"education_score",109.56
"13171","county",2019,"education_score",105.53
"13173","county",2019,"education_score",93.15
"13175","county",2019,"education_score",97.01
"13177","county",2019,"education_score",118.75
"13179","county",2019,"education_score",108.82
"13181","county",2019,"education_score",78.69
"13183","county",2019,"education_score",101.65
"13185","county",2019,"education_score",112.81
"13187","county",2019,"education_score",103.84
"13189","county",2019,"education_score",97.24
"13191","county",2019,"education_score",100.2
"13193","county",2019,"education_score",72.14
"13195","county",2019,"education_score",95.15
"13197","county",2019,"education_score",81.14
"13199","county",2019,"education_score",70.62
"13201","county",2019,"education_score",84.92
"13205","county",2019,"education_score",84.5
"13207","county",2019,"education_score",111.16
"13209","county",2019,"education_score",85.24
"13211","county",2019,"education_score",106.17
"13213","county",2019,"education_score",67.9
"13215","county",2019,"education_score",112.07
"13217","county",2019,"education_score",103.88
"13219","county",2019,"education_score",140.85
"13221","county",2019,"education_score",86.84
"13223","county",2019,"education_score",118.69
"13225","county",2019,"education_score",103.78
"13227","county",2019,"education_score",100.13
"13229","county",2019,"education_score",79.26
"13231","county",2019,"education_score",97.91
"13233","county",2019,"education_score",79.58
"13235","county",2019,"education_score",73.72
"13237","county",2019,"education_score",100.46
"13239","county",2019,"education_score",51.27
"13241","county",2019,"education_score",91.29
"13243","county",2019,"education_score",73.39
"13245","county",2019,"education_score",101.69
"13247","county",2019,"education_score",111.09
"13249","county",2019,"education_score",96.77
"13251","county",2019,"education_score",93.29
"13253","county",2019,"education_score",84.94
"13255","county",2019,"education_score",88.89
"13257","county",2019,"education_score",86.1
"13259","county",2019,"education_score",NA
"13261","county",2019,"education_score",98.44
"13263","county",2019,"education_score",86.13
"13265","county",2019,"education_score",60.77
"13267","county",2019,"education_score",79.87
"13269","county",2019,"education_score",81.1
"13271","county",2019,"education_score",57.81
"13273","county",2019,"education_score",80.23
"13275","county",2019,"education_score",103.78
"13277","county",2019,"education_score",91.52
"13279","county",2019,"education_score",82.19
"13281","county",2019,"education_score",100.81
"13283","county",2019,"education_score",70.84
"13285","county",2019,"education_score",95.92
"13287","county",2019,"education_score",81.65
"13289","county",2019,"education_score",83.13
"13291","county",2019,"education_score",95.97
"13293","county",2019,"education_score",91.21
"13295","county",2019,"education_score",90.06
"13297","county",2019,"education_score",107.76
"13299","county",2019,"education_score",86.83
"13301","county",2019,"education_score",72.33
"13303","county",2019,"education_score",91.76
"13305","county",2019,"education_score",80.69
"13307","county",2019,"education_score",89.17
"13309","county",2019,"education_score",80.07
"13311","county",2019,"education_score",91
"13313","county",2019,"education_score",66.78
"13315","county",2019,"education_score",79.16
"13317","county",2019,"education_score",83.94
"13319","county",2019,"education_score",92.92
"13321","county",2019,"education_score",90.38
"13001","county",2019,"education_rnk",8.8235
"13003","county",2019,"education_rnk",0.9271
"13005","county",2019,"education_rnk",10.6458
"13007","county",2019,"education_rnk",11.1253
"13009","county",2019,"education_rnk",78.7404
"13011","county",2019,"education_rnk",7.8964
"13013","county",2019,"education_rnk",49.5844
"13015","county",2019,"education_rnk",43.0627
"13017","county",2019,"education_rnk",19.5652
"13019","county",2019,"education_rnk",16.1125
"13021","county",2019,"education_rnk",68.8619
"13023","county",2019,"education_rnk",67.8069
"13025","county",2019,"education_rnk",4.4118
"13027","county",2019,"education_rnk",46.4514
"13029","county",2019,"education_rnk",86.1893
"13031","county",2019,"education_rnk",87.0205
"13033","county",2019,"education_rnk",16.8798
"13035","county",2019,"education_rnk",23.4974
"13037","county",2019,"education_rnk",6.7136
"13039","county",2019,"education_rnk",70.876
"13043","county",2019,"education_rnk",8.9514
"13045","county",2019,"education_rnk",61.3811
"13047","county",2019,"education_rnk",61.445
"13049","county",2019,"education_rnk",4.5396
"13051","county",2019,"education_rnk",89.9297
"13053","county",2019,"education_rnk",83.9194
"13055","county",2019,"education_rnk",6.0102
"13057","county",2019,"education_rnk",91.9437
"13059","county",2019,"education_rnk",95.0767
"13061","county",2019,"education_rnk",17.3913
"13063","county",2019,"education_rnk",59.399
"13065","county",2019,"education_rnk",2.2059
"13067","county",2019,"education_rnk",96.5473
"13069","county",2019,"education_rnk",5.9143
"13071","county",2019,"education_rnk",4.6675
"13073","county",2019,"education_rnk",91.2084
"13075","county",2019,"education_rnk",9.4629
"13077","county",2019,"education_rnk",83.376
"13079","county",2019,"education_rnk",26.087
"13081","county",2019,"education_rnk",24.968
"13083","county",2019,"education_rnk",32.4808
"13085","county",2019,"education_rnk",77.8772
"13087","county",2019,"education_rnk",17.3593
"13089","county",2019,"education_rnk",95.1407
"13091","county",2019,"education_rnk",28.0691
"13093","county",2019,"education_rnk",8.9194
"13095","county",2019,"education_rnk",60.3261
"13097","county",2019,"education_rnk",80.6905
"13099","county",2019,"education_rnk",13.3951
"13101","county",2019,"education_rnk",2.6535
"13103","county",2019,"education_rnk",74.5844
"13105","county",2019,"education_rnk",9.3031
"13107","county",2019,"education_rnk",16.5601
"13109","county",2019,"education_rnk",7.9284
"13111","county",2019,"education_rnk",47.922
"13113","county",2019,"education_rnk",96.1637
"13115","county",2019,"education_rnk",36.3811
"13117","county",2019,"education_rnk",97.4744
"13119","county",2019,"education_rnk",28.9322
"13121","county",2019,"education_rnk",99.0729
"13123","county",2019,"education_rnk",29.6995
"13125","county",2019,"education_rnk",24.6483
"13127","county",2019,"education_rnk",64.0026
"13129","county",2019,"education_rnk",14.4182
"13131","county",2019,"education_rnk",18.798
"13133","county",2019,"education_rnk",68.1586
"13135","county",2019,"education_rnk",88.2673
"13137","county",2019,"education_rnk",31.234
"13139","county",2019,"education_rnk",29.188
"13141","county",2019,"education_rnk",11.413
"13143","county",2019,"education_rnk",25.8632
"13145","county",2019,"education_rnk",85.6777
"13147","county",2019,"education_rnk",26.7263
"13149","county",2019,"education_rnk",8.2161
"13151","county",2019,"education_rnk",84.5908
"13153","county",2019,"education_rnk",85.9974
"13155","county",2019,"education_rnk",17.1675
"13157","county",2019,"education_rnk",54.0601
"13159","county",2019,"education_rnk",15.8248
"13161","county",2019,"education_rnk",4.4757
"13163","county",2019,"education_rnk",10.7417
"13165","county",2019,"education_rnk",3.1969
"13167","county",2019,"education_rnk",3.7084
"13169","county",2019,"education_rnk",72.3465
"13171","county",2019,"education_rnk",64.6739
"13173","county",2019,"education_rnk",36.1573
"13175","county",2019,"education_rnk",44.789
"13177","county",2019,"education_rnk",84.4629
"13179","county",2019,"education_rnk",71.0997
"13181","county",2019,"education_rnk",12.1803
"13183","county",2019,"education_rnk",56.0742
"13185","county",2019,"education_rnk",76.9182
"13187","county",2019,"education_rnk",60.8696
"13189","county",2019,"education_rnk",45.3964
"13191","county",2019,"education_rnk",52.6854
"13193","county",2019,"education_rnk",6.3619
"13195","county",2019,"education_rnk",40.7928
"13197","county",2019,"education_rnk",15.5371
"13199","county",2019,"education_rnk",5.3708
"13201","county",2019,"education_rnk",20.876
"13205","county",2019,"education_rnk",20.3645
"13207","county",2019,"education_rnk",74.6483
"13209","county",2019,"education_rnk",21.4514
"13211","county",2019,"education_rnk",65.8887
"13213","county",2019,"education_rnk",3.9322
"13215","county",2019,"education_rnk",75.8632
"13217","county",2019,"education_rnk",60.9335
"13219","county",2019,"education_rnk",96.899
"13221","county",2019,"education_rnk",24.8721
"13223","county",2019,"education_rnk",84.2711
"13225","county",2019,"education_rnk",60.5499
"13227","county",2019,"education_rnk",52.5895
"13229","county",2019,"education_rnk",12.8517
"13231","county",2019,"education_rnk",46.7391
"13233","county",2019,"education_rnk",13.2673
"13235","county",2019,"education_rnk",7.6407
"13237","county",2019,"education_rnk",53.2289
"13239","county",2019,"education_rnk",0.8312
