"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"15001","county",2019,82.26,108.1,90.11,89.82,"education_score",118.75
"15003","county",2019,78.86,125.9,91.06,59.18,"education_score",132.8
"15005","county",2019,NA,NA,NA,NA,"education_score",NA
"15007","county",2019,81.34,119.44,84.83,99.08,"education_score",120.64
"15009","county",2019,82.43,116.67,86.11,94.59,"education_score",120.18
"15001","county",2019,82.26,108.1,90.11,89.82,"education_score",118.75
"15003","county",2019,78.86,125.9,91.06,59.18,"education_score",132.8
"15005","county",2019,NA,NA,NA,NA,"education_score",NA
"15007","county",2019,81.34,119.44,84.83,99.08,"education_score",120.64
"15009","county",2019,82.43,116.67,86.11,94.59,"education_score",120.18
"15001","county",2019,82.26,108.1,90.11,89.82,"education_score",118.75
"15003","county",2019,78.86,125.9,91.06,59.18,"education_score",132.8
"15005","county",2019,NA,NA,NA,NA,"education_score",NA
"15007","county",2019,81.34,119.44,84.83,99.08,"education_score",120.64
"15009","county",2019,82.43,116.67,86.11,94.59,"education_score",120.18
"15001","county",2019,82.26,108.1,90.11,89.82,"education_rnk",84.4949
"15003","county",2019,78.86,125.9,91.06,59.18,"education_rnk",94.6931
"15005","county",2019,NA,NA,NA,NA,"education_rnk",NA
"15007","county",2019,81.34,119.44,84.83,99.08,"education_rnk",86.509
"15009","county",2019,82.43,116.67,86.11,94.59,"education_rnk",86.1573
"15001","county",2019,82.26,108.1,90.11,89.82,"education_rnk",84.4949
"15003","county",2019,78.86,125.9,91.06,59.18,"education_rnk",94.6931
"15005","county",2019,NA,NA,NA,NA,"education_rnk",NA
"15007","county",2019,81.34,119.44,84.83,99.08,"education_rnk",86.509
"15009","county",2019,82.43,116.67,86.11,94.59,"education_rnk",86.1573
"15001","county",2019,82.26,108.1,90.11,89.82,"education_rnk",84.4949
"15003","county",2019,78.86,125.9,91.06,59.18,"education_rnk",94.6931
"15005","county",2019,NA,NA,NA,NA,"education_rnk",NA
"15007","county",2019,81.34,119.44,84.83,99.08,"education_rnk",86.509
"15009","county",2019,82.43,116.67,86.11,94.59,"education_rnk",86.1573
"15001","county",2019,82.26,108.1,90.11,89.82,"education_state_rnk",0
"15003","county",2019,78.86,125.9,91.06,59.18,"education_state_rnk",100
"15005","county",2019,NA,NA,NA,NA,"education_state_rnk",NA
"15007","county",2019,81.34,119.44,84.83,99.08,"education_state_rnk",66.6667
"15009","county",2019,82.43,116.67,86.11,94.59,"education_state_rnk",33.3333
"15001","county",2019,82.26,108.1,90.11,89.82,"education_state_rnk",0
"15003","county",2019,78.86,125.9,91.06,59.18,"education_state_rnk",100
"15005","county",2019,NA,NA,NA,NA,"education_state_rnk",NA
"15007","county",2019,81.34,119.44,84.83,99.08,"education_state_rnk",66.6667
"15009","county",2019,82.43,116.67,86.11,94.59,"education_state_rnk",33.3333
"15001","county",2019,82.26,108.1,90.11,89.82,"education_state_rnk",0
"15003","county",2019,78.86,125.9,91.06,59.18,"education_state_rnk",100
"15005","county",2019,NA,NA,NA,NA,"education_state_rnk",NA
"15007","county",2019,81.34,119.44,84.83,99.08,"education_state_rnk",66.6667
"15009","county",2019,82.43,116.67,86.11,94.59,"education_state_rnk",33.3333
