"geoid","geolevel","year","level","value"
"19001","county",2019,"education_score",99.41
"19003","county",2019,"education_score",93.64
"19005","county",2019,"education_score",95.59
"19007","county",2019,"education_score",89.49
"19009","county",2019,"education_score",90.94
"19011","county",2019,"education_score",112.84
"19013","county",2019,"education_score",120.12
"19015","county",2019,"education_score",121.36
"19017","county",2019,"education_score",122.17
"19019","county",2019,"education_score",114.46
"19021","county",2019,"education_score",74.68
"19023","county",2019,"education_score",106.95
"19025","county",2019,"education_score",99.85
"19027","county",2019,"education_score",115.46
"19029","county",2019,"education_score",94.1
"19031","county",2019,"education_score",114.67
"19033","county",2019,"education_score",113.63
"19035","county",2019,"education_score",107.72
"19037","county",2019,"education_score",97.39
"19039","county",2019,"education_score",90.3
"19041","county",2019,"education_score",103.68
"19043","county",2019,"education_score",95.39
"19045","county",2019,"education_score",103.19
"19047","county",2019,"education_score",81.12
"19049","county",2019,"education_score",144.3
"19051","county",2019,"education_score",66.54
"19053","county",2019,"education_score",95.94
"19055","county",2019,"education_score",103.82
"19057","county",2019,"education_score",103.94
"19059","county",2019,"education_score",116.79
"19061","county",2019,"education_score",122.18
"19063","county",2019,"education_score",97.37
"19065","county",2019,"education_score",97.53
"19067","county",2019,"education_score",93.12
"19069","county",2019,"education_score",94.55
"19071","county",2019,"education_score",109.29
"19073","county",2019,"education_score",109.45
"19075","county",2019,"education_score",115.54
"19077","county",2019,"education_score",106.53
"19079","county",2019,"education_score",108.03
"19081","county",2019,"education_score",105.47
"19083","county",2019,"education_score",104.6
"19085","county",2019,"education_score",108.37
"19087","county",2019,"education_score",105.34
"19089","county",2019,"education_score",104.85
"19091","county",2019,"education_score",101.95
"19093","county",2019,"education_score",106.41
"19095","county",2019,"education_score",111.78
"19097","county",2019,"education_score",106.99
"19099","county",2019,"education_score",110.45
"19101","county",2019,"education_score",109.28
"19103","county",2019,"education_score",151.03
"19105","county",2019,"education_score",104.93
"19107","county",2019,"education_score",102.79
"19109","county",2019,"education_score",107.16
"19111","county",2019,"education_score",100.23
"19113","county",2019,"education_score",127.72
"19115","county",2019,"education_score",85.91
"19117","county",2019,"education_score",98.13
"19119","county",2019,"education_score",105.04
"19121","county",2019,"education_score",111.8
"19123","county",2019,"education_score",106.12
"19125","county",2019,"education_score",114.99
"19127","county",2019,"education_score",84.16
"19129","county",2019,"education_score",117.53
"19131","county",2019,"education_score",99.33
"19133","county",2019,"education_score",99.35
"19135","county",2019,"education_score",86.48
