"geoid","geolevel","year","level","value"
"20001","county",2019,"education_score",102.82
"20003","county",2019,"education_score",92.58
"20005","county",2019,"education_score",103.36
"20007","county",2019,"education_score",91.84
"20009","county",2019,"education_score",100.93
"20011","county",2019,"education_score",101.81
"20013","county",2019,"education_score",102.92
"20015","county",2019,"education_score",114.1
"20017","county",2019,"education_score",107.05
"20019","county",2019,"education_score",81.69
"20021","county",2019,"education_score",99.32
"20023","county",2019,"education_score",99.77
"20025","county",2019,"education_score",111.02
"20027","county",2019,"education_score",99.71
"20029","county",2019,"education_score",107.85
"20031","county",2019,"education_score",111.42
"20033","county",2019,"education_score",92.13
"20035","county",2019,"education_score",98.97
"20037","county",2019,"education_score",113.29
"20039","county",2019,"education_score",113.77
"20041","county",2019,"education_score",100.49
"20043","county",2019,"education_score",102.1
"20045","county",2019,"education_score",138.8
"20047","county",2019,"education_score",85.22
"20049","county",2019,"education_score",77.05
"20051","county",2019,"education_score",121.65
"20053","county",2019,"education_score",106.52
"20055","county",2019,"education_score",59.58
"20057","county",2019,"education_score",59.36
"20059","county",2019,"education_score",105.32
"20061","county",2019,"education_score",115.86
"20063","county",2019,"education_score",101.56
"20065","county",2019,"education_score",101.24
"20067","county",2019,"education_score",67.9
"20069","county",2019,"education_score",61.41
"20071","county",2019,"education_score",95.72
"20073","county",2019,"education_score",100.29
"20075","county",2019,"education_score",74.62
"20077","county",2019,"education_score",91.65
"20079","county",2019,"education_score",108.71
"20081","county",2019,"education_score",47.9
"20083","county",2019,"education_score",96.48
"20085","county",2019,"education_score",106.13
"20087","county",2019,"education_score",111.16
"20089","county",2019,"education_score",98.07
"20091","county",2019,"education_score",144.95
"20093","county",2019,"education_score",50.95
"20095","county",2019,"education_score",100.65
"20097","county",2019,"education_score",97.18
"20099","county",2019,"education_score",100.86
"20101","county",2019,"education_score",96.7
"20103","county",2019,"education_score",120.55
"20105","county",2019,"education_score",109.36
"20107","county",2019,"education_score",93.65
"20109","county",2019,"education_score",89.84
"20111","county",2019,"education_score",98.43
"20113","county",2019,"education_score",106.75
"20115","county",2019,"education_score",98.52
"20117","county",2019,"education_score",101.67
"20119","county",2019,"education_score",69.45
