"geoid","geolevel","year","level","value"
"25001","county",2019,"education_score",129.81
"25003","county",2019,"education_score",118.45
"25005","county",2019,"education_score",118.54
"25007","county",2019,"education_score",132.07
"25009","county",2019,"education_score",131.49
"25011","county",2019,"education_score",123.91
"25013","county",2019,"education_score",112.32
"25015","county",2019,"education_score",147.89
"25017","county",2019,"education_score",164.37
"25019","county",2019,"education_score",142.04
"25021","county",2019,"education_score",155.47
"25023","county",2019,"education_score",136.22
"25025","county",2019,"education_score",145.42
"25027","county",2019,"education_score",135.56
"25001","county",2019,"education_rnk",91.9757
"25003","county",2019,"education_rnk",83.9834
"25005","county",2019,"education_rnk",84.0793
"25007","county",2019,"education_rnk",93.1905
"25009","county",2019,"education_rnk",92.9348
"25011","county",2019,"education_rnk",88.587
"25013","county",2019,"education_rnk",76.1829
"25015","county",2019,"education_rnk",98.2417
"25017","county",2019,"education_rnk",99.8402
"25019","county",2019,"education_rnk",97.0908
"25021","county",2019,"education_rnk",99.4565
"25023","county",2019,"education_rnk",95.3645
"25025","county",2019,"education_rnk",97.8581
"25027","county",2019,"education_rnk",95.2366
"25001","county",2019,"education_state_rnk",30.7692
"25003","county",2019,"education_state_rnk",7.6923
"25005","county",2019,"education_state_rnk",15.3846
"25007","county",2019,"education_state_rnk",46.1538
"25009","county",2019,"education_state_rnk",38.4615
"25011","county",2019,"education_state_rnk",23.0769
"25013","county",2019,"education_state_rnk",0
"25015","county",2019,"education_state_rnk",84.6154
"25017","county",2019,"education_state_rnk",100
"25019","county",2019,"education_state_rnk",69.2308
"25021","county",2019,"education_state_rnk",92.3077
"25023","county",2019,"education_state_rnk",61.5385
"25025","county",2019,"education_state_rnk",76.9231
"25027","county",2019,"education_state_rnk",53.8462
