"geoid","geolevel","year","level","value"
"27001","county",2019,"education_score",96.65
"27003","county",2019,"education_score",127.74
"27005","county",2019,"education_score",109.14
"27007","county",2019,"education_score",114.13
"27009","county",2019,"education_score",114.12
"27011","county",2019,"education_score",95.45
"27013","county",2019,"education_score",131
"27015","county",2019,"education_score",111.83
"27017","county",2019,"education_score",114.46
"27019","county",2019,"education_score",144.35
"27021","county",2019,"education_score",102.03
"27023","county",2019,"education_score",101.47
"27025","county",2019,"education_score",124.35
"27027","county",2019,"education_score",132.52
"27029","county",2019,"education_score",87.67
"27031","county",2019,"education_score",118.05
"27033","county",2019,"education_score",95.52
"27035","county",2019,"education_score",109.72
"27037","county",2019,"education_score",137.41
"27039","county",2019,"education_score",120.24
"27041","county",2019,"education_score",114.55
"27043","county",2019,"education_score",102.12
"27045","county",2019,"education_score",104.86
"27047","county",2019,"education_score",95.34
"27049","county",2019,"education_score",118.22
"27051","county",2019,"education_score",98.3
"27053","county",2019,"education_score",149.69
"27055","county",2019,"education_score",115.98
"27057","county",2019,"education_score",108.37
"27059","county",2019,"education_score",115.22
"27061","county",2019,"education_score",110.34
"27063","county",2019,"education_score",105.52
"27065","county",2019,"education_score",97.82
"27067","county",2019,"education_score",96.8
"27069","county",2019,"education_score",107.03
"27071","county",2019,"education_score",108.4
"27073","county",2019,"education_score",94.87
"27075","county",2019,"education_score",113.05
"27077","county",2019,"education_score",101.24
"27079","county",2019,"education_score",114.14
"27081","county",2019,"education_score",106.21
"27083","county",2019,"education_score",112.44
"27085","county",2019,"education_score",109.83
"27087","county",2019,"education_score",80.88
"27089","county",2019,"education_score",100.26
"27091","county",2019,"education_score",103.41
"27093","county",2019,"education_score",105.03
"27095","county",2019,"education_score",97.94
"27097","county",2019,"education_score",99.63
"27099","county",2019,"education_score",98.66
"27101","county",2019,"education_score",98.62
"27103","county",2019,"education_score",118.24
"27105","county",2019,"education_score",68.03
"27107","county",2019,"education_score",98.13
"27109","county",2019,"education_score",134.74
"27111","county",2019,"education_score",107.7
"27113","county",2019,"education_score",106.03
"27115","county",2019,"education_score",96.26
"27117","county",2019,"education_score",96.02
"27119","county",2019,"education_score",109.75
"27121","county",2019,"education_score",110.51
"27123","county",2019,"education_score",133.12
"27125","county",2019,"education_score",98.75
"27127","county",2019,"education_score",104.79
"27129","county",2019,"education_score",95.64
"27131","county",2019,"education_score",113.52
"27133","county",2019,"education_score",108.66
"27135","county",2019,"education_score",106.44
"27137","county",2019,"education_score",122.43
"27139","county",2019,"education_score",138.64
"27141","county",2019,"education_score",122.78
"27143","county",2019,"education_score",99.35
"27145","county",2019,"education_score",119.98
"27147","county",2019,"education_score",116.1
"27149","county",2019,"education_score",122.68
"27151","county",2019,"education_score",101.68
"27153","county",2019,"education_score",87.83
"27155","county",2019,"education_score",95.34
"27157","county",2019,"education_score",114.65
"27159","county",2019,"education_score",91.96
"27161","county",2019,"education_score",107.99
"27163","county",2019,"education_score",140.8
"27165","county",2019,"education_score",85.77
"27167","county",2019,"education_score",114.72
"27169","county",2019,"education_score",128
"27171","county",2019,"education_score",127.18
"27173","county",2019,"education_score",101.76
"27001","county",2019,"education_rnk",44.2136
"27003","county",2019,"education_rnk",90.7928
"27005","county",2019,"education_rnk",71.6752
"27007","county",2019,"education_rnk",78.6125
"27009","county",2019,"education_rnk",78.5486
"27011","county",2019,"education_rnk",41.5601
"27013","county",2019,"education_rnk",92.679
"27015","county",2019,"education_rnk",75.6394
"27017","county",2019,"education_rnk",79.0601
"27019","county",2019,"education_rnk",97.6023
"27021","county",2019,"education_rnk",57.1611
"27023","county",2019,"education_rnk",55.6266
"27025","county",2019,"education_rnk",88.8427
"27027","county",2019,"education_rnk",93.5102
"27029","county",2019,"education_rnk",26.5026
"27031","county",2019,"education_rnk",83.6317
"27033","county",2019,"education_rnk",41.7199
"27035","county",2019,"education_rnk",72.6662
"27037","county",2019,"education_rnk",95.9079
"27039","county",2019,"education_rnk",85.8696
"27041","county",2019,"education_rnk",79.188
"27043","county",2019,"education_rnk",57.5128
"27045","county",2019,"education_rnk",63.0754
"27047","county",2019,"education_rnk",41.2404
"27049","county",2019,"education_rnk",83.7276
"27051","county",2019,"education_rnk",47.8261
"27053","county",2019,"education_rnk",98.5934
"27055","county",2019,"education_rnk",81.266
"27057","county",2019,"education_rnk",70.2366
"27059","county",2019,"education_rnk",79.9872
"27061","county",2019,"education_rnk",73.4335
"27063","county",2019,"education_rnk",64.546
"27065","county",2019,"education_rnk",46.6752
"27067","county",2019,"education_rnk",44.5652
"27069","county",2019,"education_rnk",67.2954
"27071","county",2019,"education_rnk",70.3964
"27073","county",2019,"education_rnk",40.1854
"27075","county",2019,"education_rnk",77.2059
"27077","county",2019,"education_rnk",54.9872
"27079","county",2019,"education_rnk",78.6445
"27081","county",2019,"education_rnk",66.0486
"27083","county",2019,"education_rnk",76.3747
"27085","county",2019,"education_rnk",72.7941
"27087","county",2019,"education_rnk",15.1535
"27089","county",2019,"education_rnk",52.7813
"27091","county",2019,"education_rnk",59.6547
"27093","county",2019,"education_rnk",63.3632
"27095","county",2019,"education_rnk",46.835
"27097","county",2019,"education_rnk",51.2788
"27099","county",2019,"education_rnk",48.7212
"27101","county",2019,"education_rnk",48.5294
"27103","county",2019,"education_rnk",83.7596
"27105","county",2019,"education_rnk",3.9642
"27107","county",2019,"education_rnk",47.2187
"27109","county",2019,"education_rnk",94.7251
"27111","county",2019,"education_rnk",68.6061
"27113","county",2019,"education_rnk",65.633
"27115","county",2019,"education_rnk",43.3824
"27117","county",2019,"education_rnk",42.9348
"27119","county",2019,"education_rnk",72.7302
"27121","county",2019,"education_rnk",73.6893
"27123","county",2019,"education_rnk",93.8299
"27125","county",2019,"education_rnk",48.913
"27127","county",2019,"education_rnk",62.9476
"27129","county",2019,"education_rnk",41.9437
"27131","county",2019,"education_rnk",77.8453
"27133","county",2019,"education_rnk",70.844
"27135","county",2019,"education_rnk",66.4322
"27137","county",2019,"education_rnk",87.7877
"27139","county",2019,"education_rnk",96.3235
"27141","county",2019,"education_rnk",88.0115
"27143","county",2019,"education_rnk",50.2558
"27145","county",2019,"education_rnk",85.6777
"27147","county",2019,"education_rnk",81.3619
"27149","county",2019,"education_rnk",87.9156
"27151","county",2019,"education_rnk",56.202
"27153","county",2019,"education_rnk",26.7903
"27155","county",2019,"education_rnk",41.2404
"27157","county",2019,"education_rnk",79.2839
"27159","county",2019,"education_rnk",34.0793
"27161","county",2019,"education_rnk",69.3095
"27163","county",2019,"education_rnk",96.867
"27165","county",2019,"education_rnk",22.7621
"27167","county",2019,"education_rnk",79.3798
"27169","county",2019,"education_rnk",91.0166
"27171","county",2019,"education_rnk",90.2494
"27173","county",2019,"education_rnk",56.5537
"27001","county",2019,"education_state_rnk",16.2791
"27003","county",2019,"education_state_rnk",88.3721
"27005","county",2019,"education_state_rnk",53.4884
"27007","county",2019,"education_state_rnk",66.2791
"27009","county",2019,"education_state_rnk",65.1163
"27011","county",2019,"education_state_rnk",10.4651
"27013","county",2019,"education_state_rnk",90.6977
"27015","county",2019,"education_state_rnk",60.4651
