"geoid","geolevel","year","level","value"
"33001","county",2019,"education_score",125.81
"33003","county",2019,"education_score",122.59
"33005","county",2019,"education_score",122.37
"33007","county",2019,"education_score",103.31
"33009","county",2019,"education_score",129.25
"33011","county",2019,"education_score",133.92
"33013","county",2019,"education_score",128.63
"33015","county",2019,"education_score",141.62
"33017","county",2019,"education_score",129.41
"33019","county",2019,"education_score",119.18
"33001","county",2019,"education_rnk",90.7609
"33003","county",2019,"education_rnk",88.523
"33005","county",2019,"education_rnk",88.3632
"33007","county",2019,"education_rnk",55.9463
"33009","county",2019,"education_rnk",92.9987
"33011","county",2019,"education_rnk",95.5243
"33013","county",2019,"education_rnk",92.5831
"33015","county",2019,"education_rnk",98.0179
"33017","county",2019,"education_rnk",93.2225
"33019","county",2019,"education_rnk",84.9744
"33001","county",2019,"education_state_rnk",44.4444
"33003","county",2019,"education_state_rnk",33.3333
"33005","county",2019,"education_state_rnk",22.2222
"33007","county",2019,"education_state_rnk",0
"33009","county",2019,"education_state_rnk",66.6667
"33011","county",2019,"education_state_rnk",88.8889
"33013","county",2019,"education_state_rnk",55.5556
"33015","county",2019,"education_state_rnk",100
"33017","county",2019,"education_state_rnk",77.7778
"33019","county",2019,"education_state_rnk",11.1111
