"geoid","geolevel","year","level","value"
"35001","county",2019,"education_score",115.47
"35003","county",2019,"education_score",110.09
"35005","county",2019,"education_score",74.82
"35006","county",2019,"education_score",82.13
"35007","county",2019,"education_score",99.03
"35009","county",2019,"education_score",79.94
"35011","county",2019,"education_score",66.96
"35013","county",2019,"education_score",83.93
"35015","county",2019,"education_score",90.62
"35017","county",2019,"education_score",99.92
"35019","county",2019,"education_score",85.54
"35021","county",2019,"education_score",106.99
"35023","county",2019,"education_score",73.93
"35025","county",2019,"education_score",69.11
"35027","county",2019,"education_score",100.56
"35028","county",2019,"education_score",155.52
"35029","county",2019,"education_score",46.21
"35031","county",2019,"education_score",74.81
"35033","county",2019,"education_score",99.12
"35035","county",2019,"education_score",88.86
"35037","county",2019,"education_score",88.96
"35039","county",2019,"education_score",100.54
"35041","county",2019,"education_score",84.55
"35043","county",2019,"education_score",115.53
"35045","county",2019,"education_score",89.29
"35047","county",2019,"education_score",91.52
"35049","county",2019,"education_score",117.59
"35051","county",2019,"education_score",90.22
"35053","county",2019,"education_score",90.82
"35055","county",2019,"education_score",105.41
"35057","county",2019,"education_score",92.49
"35059","county",2019,"education_score",88.04
"35061","county",2019,"education_score",90.63
"35001","county",2019,"education_rnk",80.0512
"35003","county",2019,"education_rnk",71.4194
"35005","county",2019,"education_rnk",9.6547
"35006","county",2019,"education_rnk",16.7519
"35007","county",2019,"education_rnk",46.0038
"35009","county",2019,"education_rnk",14.2903
"35011","county",2019,"education_rnk",4.4757
"35013","county",2019,"education_rnk",18.702
"35015","county",2019,"education_rnk",29.9872
"35017","county",2019,"education_rnk",48.3056
"35019","county",2019,"education_rnk",20.9719
"35021","county",2019,"education_rnk",64.8018
"35023","county",2019,"education_rnk",8.9834
"35025","county",2019,"education_rnk",5.8184
"35027","county",2019,"education_rnk",49.6803
"35028","county",2019,"education_rnk",99.7442
"35029","county",2019,"education_rnk",0.8951
"35031","county",2019,"education_rnk",9.6228
"35033","county",2019,"education_rnk",46.2916
"35035","county",2019,"education_rnk",26.8223
"35037","county",2019,"education_rnk",26.9182
"35039","county",2019,"education_rnk",49.6483
"35041","county",2019,"education_rnk",19.757
"35043","county",2019,"education_rnk",80.211
"35045","county",2019,"education_rnk",27.5895
"35047","county",2019,"education_rnk",31.7455
"35049","county",2019,"education_rnk",82.7685
"35051","county",2019,"education_rnk",29.2199
"35053","county",2019,"education_rnk",30.3389
"35055","county",2019,"education_rnk",60.7417
"35057","county",2019,"education_rnk",33.5038
"35059","county",2019,"education_rnk",25.2558
"35061","county",2019,"education_rnk",30.0192
"35001","county",2019,"education_state_rnk",90.625
"35003","county",2019,"education_state_rnk",87.5
"35005","county",2019,"education_state_rnk",15.625
"35006","county",2019,"education_state_rnk",21.875
"35007","county",2019,"education_state_rnk",65.625
"35009","county",2019,"education_state_rnk",18.75
"35011","county",2019,"education_state_rnk",3.125
"35013","county",2019,"education_state_rnk",25
"35015","county",2019,"education_state_rnk",50
"35017","county",2019,"education_state_rnk",71.875
"35019","county",2019,"education_state_rnk",31.25
"35021","county",2019,"education_state_rnk",84.375
"35023","county",2019,"education_state_rnk",9.375
"35025","county",2019,"education_state_rnk",6.25
"35027","county",2019,"education_state_rnk",78.125
"35028","county",2019,"education_state_rnk",100
"35029","county",2019,"education_state_rnk",0
"35031","county",2019,"education_state_rnk",12.5
"35033","county",2019,"education_state_rnk",68.75
"35035","county",2019,"education_state_rnk",37.5
"35037","county",2019,"education_state_rnk",40.625
"35039","county",2019,"education_state_rnk",75
"35041","county",2019,"education_state_rnk",28.125
"35043","county",2019,"education_state_rnk",93.75
"35045","county",2019,"education_state_rnk",43.75
"35047","county",2019,"education_state_rnk",59.375
"35049","county",2019,"education_state_rnk",96.875
"35051","county",2019,"education_state_rnk",46.875
"35053","county",2019,"education_state_rnk",56.25
"35055","county",2019,"education_state_rnk",81.25
"35057","county",2019,"education_state_rnk",62.5
"35059","county",2019,"education_state_rnk",34.375
"35061","county",2019,"education_state_rnk",53.125
