"geoid","geolevel","year","level","value"
"36001","county",2019,"education_score",140.41
"36003","county",2019,"education_score",104.16
"36005","county",2019,"education_score",92.57
"36007","county",2019,"education_score",119.67
"36009","county",2019,"education_score",100.53
"36011","county",2019,"education_score",103.79
"36013","county",2019,"education_score",100.89
"36015","county",2019,"education_score",105.75
"36017","county",2019,"education_score",95.84
"36019","county",2019,"education_score",110.69
"36021","county",2019,"education_score",114.37
"36023","county",2019,"education_score",119.59
"36025","county",2019,"education_score",103.61
"36027","county",2019,"education_score",131.13
"36029","county",2019,"education_score",131.29
"36031","county",2019,"education_score",107.31
"36033","county",2019,"education_score",95.9
"36035","county",2019,"education_score",92.83
"36037","county",2019,"education_score",112.22
"36039","county",2019,"education_score",100.44
"36041","county",2019,"education_score",80.58
"36043","county",2019,"education_score",103.52
"36045","county",2019,"education_score",107.05
"36047","county",2019,"education_score",144.47
"36049","county",2019,"education_score",99.36
"36051","county",2019,"education_score",120.52
"36053","county",2019,"education_score",118.6
"36055","county",2019,"education_score",132.93
"36057","county",2019,"education_score",99.66
"36059","county",2019,"education_score",150.46
"36061","county",2019,"education_score",176
"36063","county",2019,"education_score",115.51
"36065","county",2019,"education_score",109.53
"36067","county",2019,"education_score",131.03
"36069","county",2019,"education_score",127.71
"36071","county",2019,"education_score",130.35
"36073","county",2019,"education_score",99.21
"36075","county",2019,"education_score",104.53
"36077","county",2019,"education_score",116.41
"36079","county",2019,"education_score",136.62
"36081","county",2019,"education_score",127.39
"36083","county",2019,"education_score",126.66
"36085","county",2019,"education_score",131.47
"36087","county",2019,"education_score",144.4
"36089","county",2019,"education_score",111.86
"36091","county",2019,"education_score",133.85
"36093","county",2019,"education_score",119.67
"36095","county",2019,"education_score",103.88
"36097","county",2019,"education_score",102.25
"36099","county",2019,"education_score",94.83
"36101","county",2019,"education_score",103.82
"36103","county",2019,"education_score",137.13
"36105","county",2019,"education_score",101.43
"36107","county",2019,"education_score",117.69
"36109","county",2019,"education_score",153.71
"36111","county",2019,"education_score",120.94
"36113","county",2019,"education_score",114.43
"36115","county",2019,"education_score",98.98
"36117","county",2019,"education_score",107.39
"36119","county",2019,"education_score",150.4
"36121","county",2019,"education_score",100.76
"36123","county",2019,"education_score",84.46
"36001","county",2019,"education_rnk",96.7391
"36003","county",2019,"education_rnk",61.3491
"36005","county",2019,"education_rnk",34.8785
"36007","county",2019,"education_rnk",85.3581
"36009","county",2019,"education_rnk",53.5166
"36011","county",2019,"education_rnk",60.6458
"36013","county",2019,"education_rnk",54.188
"36015","county",2019,"education_rnk",64.9297
"36017","county",2019,"education_rnk",42.4233
"36019","county",2019,"education_rnk",73.977
"36021","county",2019,"education_rnk",78.9642
"36023","county",2019,"education_rnk",85.3261
"36025","county",2019,"education_rnk",60.1023
"36027","county",2019,"education_rnk",92.7749
"36029","county",2019,"education_rnk",92.8389
"36031","county",2019,"education_rnk",67.8389
"36033","county",2019,"education_rnk",42.5512
"36035","county",2019,"education_rnk",35.2941
"36037","county",2019,"education_rnk",76.055
"36039","county",2019,"education_rnk",53.1969
"36041","county",2019,"education_rnk",14.8018
"36043","county",2019,"education_rnk",59.8465
"36045","county",2019,"education_rnk",67.3593
"36047","county",2019,"education_rnk",97.6982
"36049","county",2019,"education_rnk",50.3197
"36051","county",2019,"education_rnk",86.0614
"36053","county",2019,"education_rnk",84.1752
"36055","county",2019,"education_rnk",93.702
"36057","county",2019,"education_rnk",51.4386
"36059","county",2019,"education_rnk",98.8491
"36061","county",2019,"education_rnk",99.968
"36063","county",2019,"education_rnk",80.4028
"36065","county",2019,"education_rnk",72.2187
"36067","county",2019,"education_rnk",92.743
"36069","county",2019,"education_rnk",90.7289
"36071","county",2019,"education_rnk",92.2954
"36073","county",2019,"education_rnk",49.9041
"36075","county",2019,"education_rnk",62.3082
"36077","county",2019,"education_rnk",81.8734
"36079","county",2019,"education_rnk",95.5243
"36081","county",2019,"education_rnk",90.3453
"36083","county",2019,"education_rnk",89.8657
"36085","county",2019,"education_rnk",92.9028
"36087","county",2019,"education_rnk",97.6662
"36089","county",2019,"education_rnk",75.7033
"36091","county",2019,"education_rnk",94.2136
"36093","county",2019,"education_rnk",85.3581
"36095","county",2019,"education_rnk",60.9335
"36097","county",2019,"education_rnk",57.7366
"36099","county",2019,"education_rnk",40.0895
"36101","county",2019,"education_rnk",60.7737
"36103","county",2019,"education_rnk",95.844
"36105","county",2019,"education_rnk",55.4668
"36107","county",2019,"education_rnk",83.312
"36109","county",2019,"education_rnk",99.2327
"36111","county",2019,"education_rnk",86.477
"36113","county",2019,"education_rnk",79.0281
"36115","county",2019,"education_rnk",49.2967
