"geoid","geolevel","year","level","value"
"42001","county",2019,"education_score",107.52
"42003","county",2019,"education_score",147.99
"42005","county",2019,"education_score",102.48
"42007","county",2019,"education_score",115.17
"42009","county",2019,"education_score",97.07
"42011","county",2019,"education_score",110.08
"42013","county",2019,"education_score",108.73
"42015","county",2019,"education_score",104.78
"42017","county",2019,"education_score",139.93
"42019","county",2019,"education_score",131.41
"42021","county",2019,"education_score",109.88
"42023","county",2019,"education_score",89.29
"42025","county",2019,"education_score",103.39
"42027","county",2019,"education_score",147.08
"42029","county",2019,"education_score",147
"42031","county",2019,"education_score",103.47
"42033","county",2019,"education_score",92.78
"42035","county",2019,"education_score",100.52
"42037","county",2019,"education_score",113.58
"42039","county",2019,"education_score",97.17
"42041","county",2019,"education_score",129.25
"42043","county",2019,"education_score",118.3
"42045","county",2019,"education_score",141.55
"42047","county",2019,"education_score",107.71
"42049","county",2019,"education_score",115.74
"42051","county",2019,"education_score",99.62
"42053","county",2019,"education_score",NA
"42055","county",2019,"education_score",104.82
"42057","county",2019,"education_score",93.61
"42059","county",2019,"education_score",97.18
"42061","county",2019,"education_score",102.74
"42063","county",2019,"education_score",110.6
"42065","county",2019,"education_score",91.25
"42067","county",2019,"education_score",89.95
"42069","county",2019,"education_score",117.52
"42071","county",2019,"education_score",107.76
"42073","county",2019,"education_score",106.71
"42075","county",2019,"education_score",100.88
"42077","county",2019,"education_score",119.77
"42079","county",2019,"education_score",113.32
"42081","county",2019,"education_score",105.82
"42083","county",2019,"education_score",101.67
"42085","county",2019,"education_score",104.48
"42087","county",2019,"education_score",83.79
"42089","county",2019,"education_score",110.86
"42091","county",2019,"education_score",156.64
"42093","county",2019,"education_score",111.85
"42095","county",2019,"education_score",122.81
"42097","county",2019,"education_score",94.57
"42099","county",2019,"education_score",98.43
"42101","county",2019,"education_score",129.54
"42103","county",2019,"education_score",117.53
"42105","county",2019,"education_score",92.67
"42107","county",2019,"education_score",102.04
"42109","county",2019,"education_score",98.61
"42111","county",2019,"education_score",94.48
"42113","county",2019,"education_score",95.44
"42115","county",2019,"education_score",98.95
"42117","county",2019,"education_score",103.8
"42119","county",2019,"education_score",109.47
"42121","county",2019,"education_score",97.57
"42123","county",2019,"education_score",103.67
"42125","county",2019,"education_score",119.96
"42127","county",2019,"education_score",104.1
"42129","county",2019,"education_score",122.29
"42131","county",2019,"education_score",104.88
"42133","county",2019,"education_score",114.39
"42001","county",2019,"education_rnk",68.3184
"42003","county",2019,"education_rnk",98.2737
"42005","county",2019,"education_rnk",58.0882
"42007","county",2019,"education_rnk",79.7954
"42009","county",2019,"education_rnk",44.9169
"42011","county",2019,"education_rnk",73.1138
"42013","county",2019,"education_rnk",70.876
"42015","county",2019,"education_rnk",62.9156
"42017","county",2019,"education_rnk",96.6752
"42019","county",2019,"education_rnk",92.8708
"42021","county",2019,"education_rnk",72.89
"42023","county",2019,"education_rnk",29.3159
"42025","county",2019,"education_rnk",59.5908
"42027","county",2019,"education_rnk",98.0818
"42029","county",2019,"education_rnk",98.0499
"42031","county",2019,"education_rnk",59.7187
"42033","county",2019,"education_rnk",35.2621
"42035","county",2019,"education_rnk",53.4847
"42037","county",2019,"education_rnk",77.9092
"42039","county",2019,"education_rnk",45.1726
"42041","county",2019,"education_rnk",91.7199
"42043","county",2019,"education_rnk",83.7916
"42045","county",2019,"education_rnk",97.0588
"42047","county",2019,"education_rnk",68.6381
"42049","county",2019,"education_rnk",80.8504
"42051","county",2019,"education_rnk",51.2468
"42053","county",2019,"education_rnk",NA
"42055","county",2019,"education_rnk",63.0115
"42057","county",2019,"education_rnk",37.4041
"42059","county",2019,"education_rnk",45.2685
"42061","county",2019,"education_rnk",58.5358
"42063","county",2019,"education_rnk",73.7532
"42065","county",2019,"education_rnk",32.9284
"42067","county",2019,"education_rnk",30.5307
"42069","county",2019,"education_rnk",83.1522
"42071","county",2019,"education_rnk",68.734
"42073","county",2019,"education_rnk",66.7199
"42075","county",2019,"education_rnk",54.156
"42077","county",2019,"education_rnk",85.4859
"42079","county",2019,"education_rnk",77.6215
"42081","county",2019,"education_rnk",65.0575
"42083","county",2019,"education_rnk",56.1381
"42085","county",2019,"education_rnk",62.0844
"42087","county",2019,"education_rnk",19.4373
"42089","county",2019,"education_rnk",74.1688
"42091","county",2019,"education_rnk",99.6164
"42093","county",2019,"education_rnk",75.6714
"42095","county",2019,"education_rnk",88.0754
"42097","county",2019,"education_rnk",39.546
"42099","county",2019,"education_rnk",48.2097
"42101","county",2019,"education_rnk",91.9118
"42103","county",2019,"education_rnk",83.1841
"42105","county",2019,"education_rnk",35.0384
"42107","county",2019,"education_rnk",57.289
"42109","county",2019,"education_rnk",48.4655
"42111","county",2019,"education_rnk",39.3223
"42113","county",2019,"education_rnk",41.5281
"42115","county",2019,"education_rnk",49.2008
"42117","county",2019,"education_rnk",60.7097
"42119","county",2019,"education_rnk",72.1547
"42121","county",2019,"education_rnk",46.1317
"42123","county",2019,"education_rnk",60.1982
"42125","county",2019,"education_rnk",85.6458
"42127","county",2019,"education_rnk",61.2852
"42129","county",2019,"education_rnk",87.6279
"42131","county",2019,"education_rnk",63.1714
"42133","county",2019,"education_rnk",78.9962
"42001","county",2019,"education_state_rnk",53.8462
"42003","county",2019,"education_state_rnk",98.4615
"42005","county",2019,"education_state_rnk",33.8462
"42007","county",2019,"education_state_rnk",73.8462
"42009","county",2019,"education_state_rnk",15.3846
"42011","county",2019,"education_state_rnk",63.0769
"42013","county",2019,"education_state_rnk",58.4615
"42015","county",2019,"education_state_rnk",46.1538
"42017","county",2019,"education_state_rnk",92.3077
"42019","county",2019,"education_state_rnk",90.7692
"42021","county",2019,"education_state_rnk",61.5385
"42023","county",2019,"education_state_rnk",1.5385
"42025","county",2019,"education_state_rnk",36.9231
"42027","county",2019,"education_state_rnk",96.9231
"42029","county",2019,"education_state_rnk",95.3846
"42031","county",2019,"education_state_rnk",38.4615
"42033","county",2019,"education_state_rnk",7.6923
"42035","county",2019,"education_state_rnk",27.6923
"42037","county",2019,"education_state_rnk",70.7692
"42039","county",2019,"education_state_rnk",16.9231
"42041","county",2019,"education_state_rnk",87.6923
"42043","county",2019,"education_state_rnk",80
"42045","county",2019,"education_state_rnk",93.8462
"42047","county",2019,"education_state_rnk",55.3846
"42049","county",2019,"education_state_rnk",75.3846
"42051","county",2019,"education_state_rnk",26.1538
"42053","county",2019,"education_state_rnk",NA
"42055","county",2019,"education_state_rnk",47.6923
"42057","county",2019,"education_state_rnk",9.2308
"42059","county",2019,"education_state_rnk",18.4615
"42061","county",2019,"education_state_rnk",35.3846
"42063","county",2019,"education_state_rnk",64.6154
"42065","county",2019,"education_state_rnk",4.6154
"42067","county",2019,"education_state_rnk",3.0769
"42069","county",2019,"education_state_rnk",76.9231
"42071","county",2019,"education_state_rnk",56.9231
"42073","county",2019,"education_state_rnk",52.3077
"42075","county",2019,"education_state_rnk",29.2308
"42077","county",2019,"education_state_rnk",81.5385
"42079","county",2019,"education_state_rnk",69.2308
"42081","county",2019,"education_state_rnk",50.7692
"42083","county",2019,"education_state_rnk",30.7692
"42085","county",2019,"education_state_rnk",44.6154
"42087","county",2019,"education_state_rnk",0
"42089","county",2019,"education_state_rnk",66.1538
"42091","county",2019,"education_state_rnk",100
"42093","county",2019,"education_state_rnk",67.6923
"42095","county",2019,"education_state_rnk",86.1538
"42097","county",2019,"education_state_rnk",12.3077
"42099","county",2019,"education_state_rnk",21.5385
"42101","county",2019,"education_state_rnk",89.2308
"42103","county",2019,"education_state_rnk",78.4615
"42105","county",2019,"education_state_rnk",6.1538
"42107","county",2019,"education_state_rnk",32.3077
"42109","county",2019,"education_state_rnk",23.0769
"42111","county",2019,"education_state_rnk",10.7692
"42113","county",2019,"education_state_rnk",13.8462
"42115","county",2019,"education_state_rnk",24.6154
"42117","county",2019,"education_state_rnk",41.5385
"42119","county",2019,"education_state_rnk",60
"42121","county",2019,"education_state_rnk",20
"42123","county",2019,"education_state_rnk",40
"42125","county",2019,"education_state_rnk",83.0769
"42127","county",2019,"education_state_rnk",43.0769
"42129","county",2019,"education_state_rnk",84.6154
"42131","county",2019,"education_state_rnk",49.2308
"42133","county",2019,"education_state_rnk",72.3077
