"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"46003","county",2019,111.77,101.03,111.58,111.37,"education_score",88.28
"46005","county",2019,117.05,98.03,107.4,99.46,"education_score",86.05
"46007","county",2019,135.04,70.96,189.65,102.11,"education_score",57.04
"46009","county",2019,101.12,84.2,88.44,105.9,"education_score",91.98
"46011","county",2019,68.45,103.37,137.39,98.81,"education_score",129.43
"46013","county",2019,84.26,105.07,102.35,99.34,"education_score",113.53
"46015","county",2019,100.35,100.14,104.7,101.68,"education_score",98.99
"46017","county",2019,132.37,89.14,181.79,120.1,"education_score",68.09
"46019","county",2019,95.15,91.05,110.93,100.58,"education_score",97.38
"46021","county",2019,91.57,98.73,80.68,99.93,"education_score",105.67
"46023","county",2019,105,82.4,130.77,100.52,"education_score",85.61
"46025","county",2019,87.41,73.64,97.12,105.55,"education_score",96.92
"46027","county",2019,64.49,99.03,138.46,102.8,"education_score",133.5
"46029","county",2019,85.58,97.14,107.12,101.17,"education_score",108.51
"46031","county",2019,118.74,69.64,180.34,104.38,"education_score",68.76
"46033","county",2019,83.77,86.93,62.3,106.22,"education_score",106.86
"46035","county",2019,88.4,98.99,101.69,100.69,"education_score",107.9
"46037","county",2019,99.09,85.23,92.82,105.12,"education_score",93.25
"46039","county",2019,85.23,105.27,97.97,105.62,"education_score",109.95
"46041","county",2019,107.9,82.68,172.98,100.46,"education_score",80.05
"46043","county",2019,100.55,60.38,92.62,102.96,"education_score",84.27
"46045","county",2019,92.13,101.1,108.11,127.63,"education_score",102.41
"46047","county",2019,82.89,95.07,61.36,130.72,"education_score",110.42
"46049","county",2019,80.3,74.82,81.1,107.66,"education_score",102.54
"46051","county",2019,90.88,108.61,88.41,105.34,"education_score",107.44
"46053","county",2019,92.61,91.05,101.6,108.29,"education_score",98.98
"46055","county",2019,91.05,81.31,117.17,99.72,"education_score",94.1
"46057","county",2019,91.89,94.39,139.58,104.32,"education_score",99.06
"46059","county",2019,85.62,66.78,94.31,99.72,"education_score",96.31
"46061","county",2019,93.85,93.4,141.93,102.04,"education_score",97.11
"46063","county",2019,99.85,73.54,98.6,134.96,"education_score",87.6
"46065","county",2019,84.04,113.91,88.53,99.62,"education_score",115.7
