"geoid","geolevel","year","level","value"
"50001","county",2019,"education_score",129.33
"50003","county",2019,"education_score",120.6
"50005","county",2019,"education_score",116.35
"50007","county",2019,"education_score",139.7
"50009","county",2019,"education_score",97.18
"50011","county",2019,"education_score",116.32
"50013","county",2019,"education_score",127.05
"50015","county",2019,"education_score",118.04
"50017","county",2019,"education_score",119.2
"50019","county",2019,"education_score",103.13
"50021","county",2019,"education_score",118.66
"50023","county",2019,"education_score",128.92
"50025","county",2019,"education_score",119.93
"50027","county",2019,"education_score",126.72
"50001","county",2019,"education_rnk",93.1266
"50003","county",2019,"education_rnk",86.7327
"50005","county",2019,"education_rnk",81.3939
"50007","county",2019,"education_rnk",97.7302
"50009","county",2019,"education_rnk",41.4962
"50011","county",2019,"education_rnk",81.298
"50013","county",2019,"education_rnk",91.7519
"50015","county",2019,"education_rnk",83.4719
"50017","county",2019,"education_rnk",85.1023
"50019","county",2019,"education_rnk",55.5946
"50021","county",2019,"education_rnk",84.335
"50023","county",2019,"education_rnk",92.8069
"50025","county",2019,"education_rnk",85.9015
"50027","county",2019,"education_rnk",91.4642
"50001","county",2019,"education_state_rnk",92.3077
"50003","county",2019,"education_state_rnk",61.5385
"50005","county",2019,"education_state_rnk",23.0769
"50007","county",2019,"education_state_rnk",100
"50009","county",2019,"education_state_rnk",0
"50011","county",2019,"education_state_rnk",15.3846
"50013","county",2019,"education_state_rnk",76.9231
"50015","county",2019,"education_state_rnk",30.7692
"50017","county",2019,"education_state_rnk",46.1538
"50019","county",2019,"education_state_rnk",7.6923
"50021","county",2019,"education_state_rnk",38.4615
"50023","county",2019,"education_state_rnk",84.6154
"50025","county",2019,"education_state_rnk",53.8462
"50027","county",2019,"education_state_rnk",69.2308
