"geoid","geolevel","year","level","value"
"53001","county",2019,"education_score",39.1
"53003","county",2019,"education_score",107.95
"53005","county",2019,"education_score",114.05
"53007","county",2019,"education_score",90.94
"53009","county",2019,"education_score",119.42
"53011","county",2019,"education_score",124.42
"53013","county",2019,"education_score",105.84
"53015","county",2019,"education_score",103.81
"53017","county",2019,"education_score",87.93
"53019","county",2019,"education_score",99.06
"53021","county",2019,"education_score",69.38
"53023","county",2019,"education_score",101.07
"53025","county",2019,"education_score",70.76
"53027","county",2019,"education_score",102.76
"53029","county",2019,"education_score",129.09
"53031","county",2019,"education_score",127.26
"53033","county",2019,"education_score",159.32
"53035","county",2019,"education_score",130.85
"53037","county",2019,"education_score",113.77
"53039","county",2019,"education_score",105.97
"53041","county",2019,"education_score",99.37
"53043","county",2019,"education_score",106.56
"53045","county",2019,"education_score",98.8
"53047","county",2019,"education_score",87.02
"53049","county",2019,"education_score",103.33
"53051","county",2019,"education_score",103.38
"53053","county",2019,"education_score",122.82
"53055","county",2019,"education_score",131.84
"53057","county",2019,"education_score",109.93
"53059","county",2019,"education_score",113.91
"53061","county",2019,"education_score",132.22
"53063","county",2019,"education_score",125.34
"53065","county",2019,"education_score",107.15
"53067","county",2019,"education_score",129.47
"53069","county",2019,"education_score",107.56
"53071","county",2019,"education_score",107.12
"53073","county",2019,"education_score",122.71
"53075","county",2019,"education_score",135.24
"53077","county",2019,"education_score",63.89
"53001","county",2019,"education_rnk",0.5435
"53003","county",2019,"education_rnk",66.9437
"53005","county",2019,"education_rnk",77.9412
"53007","county",2019,"education_rnk",30.6266
"53009","county",2019,"education_rnk",85.3261
"53011","county",2019,"education_rnk",90.0256
"53013","county",2019,"education_rnk",61.6688
"53015","county",2019,"education_rnk",57.2251
"53017","county",2019,"education_rnk",25.0959
"53019","county",2019,"education_rnk",46.0678
"53021","county",2019,"education_rnk",6.0102
"53023","county",2019,"education_rnk",50.9591
"53025","county",2019,"education_rnk",6.9373
"53027","county",2019,"education_rnk",54.6355
"53029","county",2019,"education_rnk",92.9028
"53031","county",2019,"education_rnk",91.8798
"53033","county",2019,"education_rnk",99.8402
"53035","county",2019,"education_rnk",93.9578
"53037","county",2019,"education_rnk",77.5895
"53039","county",2019,"education_rnk",61.9565
"53041","county",2019,"education_rnk",46.867
"53043","county",2019,"education_rnk",63.491
"53045","county",2019,"education_rnk",45.3005
"53047","county",2019,"education_rnk",23.945
"53049","county",2019,"education_rnk",56.0422
"53051","county",2019,"education_rnk",56.298
"53053","county",2019,"education_rnk",88.8747
"53055","county",2019,"education_rnk",94.5332
"53057","county",2019,"education_rnk",70.9719
"53059","county",2019,"education_rnk",77.7813
"53061","county",2019,"education_rnk",94.7251
"53063","county",2019,"education_rnk",90.633
"53065","county",2019,"education_rnk",65.0256
"53067","county",2019,"education_rnk",93.2545
"53069","county",2019,"education_rnk",65.9527
"53071","county",2019,"education_rnk",64.9616
"53073","county",2019,"education_rnk",88.7468
"53075","county",2019,"education_rnk",96.1957
"53077","county",2019,"education_rnk",3.7084
"53001","county",2019,"education_state_rnk",0
"53003","county",2019,"education_state_rnk",55.2632
"53005","county",2019,"education_state_rnk",65.7895
"53007","county",2019,"education_state_rnk",15.7895
"53009","county",2019,"education_state_rnk",68.4211
"53011","county",2019,"education_state_rnk",76.3158
"53013","county",2019,"education_state_rnk",39.4737
"53015","county",2019,"education_state_rnk",36.8421
"53017","county",2019,"education_state_rnk",13.1579
"53019","county",2019,"education_state_rnk",21.0526
"53021","county",2019,"education_state_rnk",5.2632
"53023","county",2019,"education_state_rnk",26.3158
"53025","county",2019,"education_state_rnk",7.8947
"53027","county",2019,"education_state_rnk",28.9474
"53029","county",2019,"education_state_rnk",84.2105
"53031","county",2019,"education_state_rnk",81.5789
"53033","county",2019,"education_state_rnk",100
"53035","county",2019,"education_state_rnk",89.4737
"53037","county",2019,"education_state_rnk",60.5263
"53039","county",2019,"education_state_rnk",42.1053
"53041","county",2019,"education_state_rnk",23.6842
"53043","county",2019,"education_state_rnk",44.7368
"53045","county",2019,"education_state_rnk",18.4211
"53047","county",2019,"education_state_rnk",10.5263
"53049","county",2019,"education_state_rnk",31.5789
"53051","county",2019,"education_state_rnk",34.2105
"53053","county",2019,"education_state_rnk",73.6842
"53055","county",2019,"education_state_rnk",92.1053
"53057","county",2019,"education_state_rnk",57.8947
"53059","county",2019,"education_state_rnk",63.1579
"53061","county",2019,"education_state_rnk",94.7368
"53063","county",2019,"education_state_rnk",78.9474
"53065","county",2019,"education_state_rnk",50
"53067","county",2019,"education_state_rnk",86.8421
"53069","county",2019,"education_state_rnk",52.6316
"53071","county",2019,"education_state_rnk",47.3684
"53073","county",2019,"education_state_rnk",71.0526
"53075","county",2019,"education_state_rnk",97.3684
"53077","county",2019,"education_state_rnk",2.6316
