"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"01001020100","tract",2019,99.06,111.32,93.63,90.47,"education_score",93.56
"01001020200","tract",2019,105,93.88,96.56,118.2,"education_score",105.54
"01001020300","tract",2019,102.31,76.49,100.6,97.49,"education_score",108.51
"01001020400","tract",2019,89.89,91.05,81.15,88.75,"education_score",90.29
"01001020500","tract",2019,91.11,106.15,105.39,92.66,"education_score",93.27
"01001020600","tract",2019,104.75,102.06,124.03,88.02,"education_score",108.51
"01001020700","tract",2019,119.27,80.82,104.82,100.77,"education_score",121.42
"01001020801","tract",2019,92.06,97.33,110.69,98.61,"education_score",96.27
"01001020802","tract",2019,97.94,103.17,110.54,92.66,"education_score",99.96
"01001020900","tract",2019,97.85,89.91,89.92,102.73,"education_score",99.3
"01001021000","tract",2019,103.67,93.67,100.73,88.6,"education_score",104.04
"01001021100","tract",2019,115.8,68.2,78.43,88.6,"education_score",116.92
"01003010100","tract",2019,112.63,89.46,75.86,88.6,"education_score",108.54
"01003010200","tract",2019,108.09,98.54,85.84,95.58,"education_score",104.98
"01003010300","tract",2019,95.19,105.57,101.26,102.76,"education_score",95.57
"01003010400","tract",2019,109.87,78.56,91.95,104.38,"education_score",111.07
"01003010500","tract",2019,96.57,71.49,84.16,112.71,"education_score",101.25
"01003010600","tract",2019,117,90.67,112.49,87.25,"education_score",119.14
"01003010701","tract",2019,83.94,100.93,103.78,98.75,"education_score",88.72
"01003010703","tract",2019,82.99,117.94,117.24,114.45,"education_score",86.75
"01003010704","tract",2019,83.43,108.43,120.73,85.71,"education_score",90.31
"01003010705","tract",2019,80.68,97.95,99.77,101.89,"education_score",86.7
"01003010800","tract",2019,87.99,91.2,92.32,99.13,"education_score",91.39
"01003010903","tract",2019,103.28,93.76,94.76,99.15,"education_score",103.06
"01003010904","tract",2019,108.59,83.89,78.1,106.23,"education_score",106.05
"01003010905","tract",2019,94.22,90.12,96.99,108.49,"education_score",98.74
"01003010906","tract",2019,102.64,76.81,108.74,113.79,"education_score",111.09
"01003011000","tract",2019,121.32,82.74,88.75,95.53,"education_score",117.75
"01003011101","tract",2019,85.62,102.03,104.53,85.65,"education_score",89.35
"01003011102","tract",2019,89.42,99.1,111.38,106.1,"education_score",94.32
"01003011201","tract",2019,85.43,98.51,108.92,99.46,"education_score",90.81
"01003011202","tract",2019,96.71,91.34,77.94,88.6,"education_score",94.83
"01003011300","tract",2019,82.26,111.09,86.15,87.9,"education_score",80.76
"01003011401","tract",2019,94.44,92.72,83.44,104.48,"education_score",94.59
"01003011403","tract",2019,87.77,92.17,83.51,87.37,"education_score",89.14
"01003011405","tract",2019,85.01,98.95,63.44,100.95,"education_score",81.11
"01003011406","tract",2019,90.47,104.77,74.12,126.54,"education_score",86.59
"01003011407","tract",2019,89.88,103.9,72.89,112.28,"education_score",86.07
"01003011408","tract",2019,79.44,102.72,42.16,84.54,"education_score",71.71
"01003011501","tract",2019,88,78.1,81.25,99.93,"education_score",93.66
"01003011502","tract",2019,107.53,90.56,83.95,92.66,"education_score",104.94
"01003011601","tract",2019,104.08,83.17,81.67,116.3,"education_score",104.4
"01003011602","tract",2019,89.82,85.55,60.05,87.05,"education_score",88.98
"01003990000","tract",2019,NA,NA,NA,NA,"education_score",NA
"01005950100","tract",2019,116.73,94,95.67,92.66,"education_score",113.67
"01005950200","tract",2019,NA,NA,NA,NA,"education_score",NA
"01005950300","tract",2019,135.09,79.56,80.1,88.6,"education_score",128.62
"01005950400","tract",2019,135.53,81.06,81.79,89.18,"education_score",127.03
"01005950500","tract",2019,119.03,109.94,94.21,88.78,"education_score",109.73
"01005950600","tract",2019,122.59,92.56,111.09,98.53,"education_score",121.05
"01005950700","tract",2019,127.62,91.21,84.68,106.99,"education_score",119.34
"01005950800","tract",2019,107.46,69.72,97.21,88.6,"education_score",110.91
"01005950900","tract",2019,121.93,76.69,120.73,88.6,"education_score",126.25
"01007010001","tract",2019,126.27,86.6,98.22,158.94,"education_score",124.54
"01007010002","tract",2019,112.92,91.31,95.18,100.77,"education_score",111.88
"01007010003","tract",2019,92.84,97.45,93.27,115.17,"education_score",95.02
"01007010004","tract",2019,116.14,79.1,78.31,115.19,"education_score",114.36
"01009050101","tract",2019,111.23,93.81,91.98,108.74,"education_score",108.45
"01009050102","tract",2019,123.32,106.24,90.8,96.72,"education_score",114.11
"01009050200","tract",2019,123.83,73.05,110.88,114.76,"education_score",127.56
"01009050300","tract",2019,135.01,73.91,91.02,100.19,"education_score",130.61
"01009050400","tract",2019,114.42,88.24,85.09,87.93,"education_score",109.85
"01009050500","tract",2019,109.5,88.02,104.42,99.53,"education_score",111.17
"01009050601","tract",2019,100.46,99.3,107.77,86.38,"education_score",102.8
"01009050602","tract",2019,96.97,104.09,92.42,106.61,"education_score",95.83
"01009050700","tract",2019,108.99,98.93,95.52,108.11,"education_score",107.64
"01011952100","tract",2019,115.34,58.28,107.14,87.46,"education_score",123.27
"01011952200","tract",2019,117.63,89.09,97.59,109.15,"education_score",116.72
"01011952500","tract",2019,109.07,84.17,65.3,90.86,"education_score",103.22
"01013952700","tract",2019,108.97,91.92,72.04,92.96,"education_score",102.3
"01013952800","tract",2019,88.66,91.32,69.65,110.15,"education_score",87.67
"01013952900","tract",2019,120.34,56.03,91.34,88.6,"education_score",124.54
"01013953000","tract",2019,98.98,89.73,98.22,93.29,"education_score",101.99
"01013953100","tract",2019,108.81,55.46,105.14,92.66,"education_score",120.52
"01013953200","tract",2019,96.73,82.49,91.55,87.49,"education_score",101.37
"01013953300","tract",2019,107.37,86.38,90.44,92.47,"education_score",107.44
"01013953400","tract",2019,115.56,86.11,91.98,100.95,"education_score",113
"01013953500","tract",2019,113.36,41.73,127.08,123.78,"education_score",130.23
"01015000200","tract",2019,102.35,96.06,75.41,92.66,"education_score",97.7
"01015000300","tract",2019,130.44,75.03,97.98,87.76,"education_score",129.13
"01015000400","tract",2019,129.43,73.22,124.1,101.94,"education_score",134.54
"01015000500","tract",2019,130.47,89.99,71.62,109.91,"education_score",119.44
"01015000600","tract",2019,132.2,102.22,87.44,123.04,"education_score",123.15
"01015000700","tract",2019,100.61,78.77,71.85,88.6,"education_score",100.62
"01015000800","tract",2019,119.97,71.68,83.77,100.17,"education_score",119
"01015000900","tract",2019,96.93,113.65,85.5,96.04,"education_score",90.93
"01015001000","tract",2019,92.06,79.8,86.05,94.8,"education_score",95.96
"01015001100","tract",2019,95.53,93.85,108.44,94.44,"education_score",99.68
"01015001201","tract",2019,123.88,66.61,90.88,92.66,"education_score",123.81
"01015001202","tract",2019,131.56,95.2,115.93,105.11,"education_score",128.89
"01015001300","tract",2019,133.91,84.91,77.41,104.28,"education_score",126.02
"01015001400","tract",2019,121.34,91.2,87.4,88.55,"education_score",115.8
"01015001500","tract",2019,113.88,114.94,95.72,95.79,"education_score",106.86
"01015001600","tract",2019,119.21,77.78,109.88,107.9,"education_score",123.13
"01015001700","tract",2019,101.94,87.26,106.83,86.58,"education_score",106.36
"01015001800","tract",2019,101.99,84.3,114.29,109.05,"education_score",108.64
"01015002000","tract",2019,92.27,88.35,105.75,126.91,"education_score",100.04
"01015002101","tract",2019,NA,NA,NA,NA,"education_score",NA
"01015002102","tract",2019,78.51,81.43,103.87,88.65,"education_score",87.99
"01015002103","tract",2019,94.85,88.62,90.87,106.53,"education_score",97.33
"01015002200","tract",2019,106.67,90.65,91.74,88.27,"education_score",105.54
"01015002300","tract",2019,112.69,91.22,108.65,130.55,"education_score",114.86
"01015002400","tract",2019,105.61,76.31,92.81,96.09,"education_score",108.85
"01015002501","tract",2019,97.16,95.2,84.71,102.53,"education_score",97.38
"01015002502","tract",2019,105.4,54.98,91.05,88.6,"education_score",113.43
"01015002600","tract",2019,117.66,84.32,86.82,100.31,"education_score",115.25
"01015981901","tract",2019,NA,NA,NA,NA,"education_score",NA
"01015981902","tract",2019,NA,NA,NA,NA,"education_score",NA
"01015981903","tract",2019,NA,NA,NA,NA,"education_score",NA
"01017953800","tract",2019,126.9,89.42,87.34,105.44,"education_score",120.34
"01017953900","tract",2019,112.22,90.31,83.86,86.95,"education_score",107.43
"01017954000","tract",2019,110.06,78.88,81.58,107.12,"education_score",109.47
"01017954200","tract",2019,103.6,77.96,92.07,99.85,"education_score",106.85
"01017954300","tract",2019,104.97,99.16,92.03,108.89,"education_score",103.17
"01017954400","tract",2019,112.16,75.49,74.58,127.31,"education_score",110.44
"01017954500","tract",2019,110.86,66.44,94.32,104.77,"education_score",116.55
"01017954600","tract",2019,110.02,83.29,106.43,100.73,"education_score",113.27
"01017954700","tract",2019,103.32,89,97.69,95.9,"education_score",106.1
"01019955701","tract",2019,112.47,100.33,84.55,99.61,"education_score",105.77
"01019955702","tract",2019,125.65,74.73,90.5,96.97,"education_score",124.05
"01019955800","tract",2019,98.87,91.43,90.7,95.96,"education_score",99.84
"01019955900","tract",2019,131.25,93.7,85.43,88.6,"education_score",121.96
"01019956000","tract",2019,116.68,72.66,87.82,105.44,"education_score",117.04
"01019956100","tract",2019,116.36,84.46,105.3,95.49,"education_score",117.7
"01021060101","tract",2019,108.45,109.67,84.67,112.16,"education_score",101.53
"01021060102","tract",2019,112.23,109.7,111.36,88.6,"education_score",109.41
"01021060200","tract",2019,104.5,86.58,88.74,88.91,"education_score",105.36
"01021060300","tract",2019,102.76,80.65,86.29,86.22,"education_score",104.77
"01021060401","tract",2019,106.68,83.79,107.93,100.6,"education_score",110.48
"01021060402","tract",2019,116.68,92.41,113.16,106.11,"education_score",118.43
"01021060500","tract",2019,107.49,104.19,99.56,96.12,"education_score",105.19
"01021060600","tract",2019,104.27,81.14,112.85,96.01,"education_score",111.53
"01021060700","tract",2019,117.84,95.41,91.89,123.16,"education_score",114.77
"01023956700","tract",2019,117.19,89.16,74.44,87.51,"education_score",111.65
"01023956800","tract",2019,105.77,83.81,83.8,114.64,"education_score",104.31
"01023956900","tract",2019,110.04,70.88,84.39,101.09,"education_score",113.68
