"geoid","geolevel","year","level","value"
"10001040100","tract",2019,"education_score",94.55
"10001040201","tract",2019,"education_score",98.84
"10001040202","tract",2019,"education_score",100.41
"10001040203","tract",2019,"education_score",103.8
"10001040501","tract",2019,"education_score",89.5
"10001040502","tract",2019,"education_score",104.85
"10001040700","tract",2019,"education_score",98.88
"10001040900","tract",2019,"education_score",NA
"10001041000","tract",2019,"education_score",85.95
"10001041100","tract",2019,"education_score",102.78
"10001041200","tract",2019,"education_score",96.5
"10001041300","tract",2019,"education_score",102.37
"10001041400","tract",2019,"education_score",107.75
"10001041500","tract",2019,"education_score",101.34
"10001041600","tract",2019,"education_score",103.15
"10001041701","tract",2019,"education_score",111.77
"10001041702","tract",2019,"education_score",99.58
"10001041801","tract",2019,"education_score",98.98
"10001041802","tract",2019,"education_score",93.61
"10001041900","tract",2019,"education_score",89.65
"10001042000","tract",2019,"education_score",100.06
"10001042100","tract",2019,"education_score",100.9
"10001042201","tract",2019,"education_score",93.27
"10001042202","tract",2019,"education_score",95.88
"10001042500","tract",2019,"education_score",85.02
"10001042800","tract",2019,"education_score",96.9
"10001042900","tract",2019,"education_score",94.33
"10001043000","tract",2019,"education_score",103.13
"10001043100","tract",2019,"education_score",95.06
"10001043202","tract",2019,"education_score",91.43
"10001043300","tract",2019,"education_score",NA
"10001043400","tract",2019,"education_score",98.04
"10001990000","tract",2019,"education_score",NA
"10003000200","tract",2019,"education_score",107.54
"10003000300","tract",2019,"education_score",93.68
"10003000400","tract",2019,"education_score",116.66
"10003000500","tract",2019,"education_score",96.43
"10003000601","tract",2019,"education_score",96.31
"10003000602","tract",2019,"education_score",95.76
"10003000900","tract",2019,"education_score",80.03
"10003001100","tract",2019,"education_score",137.04
"10003001200","tract",2019,"education_score",128.96
"10003001300","tract",2019,"education_score",135.85
"10003001400","tract",2019,"education_score",112.96
"10003001500","tract",2019,"education_score",121.87
"10003001600","tract",2019,"education_score",101.2
"10003001902","tract",2019,"education_score",110.9
"10003002100","tract",2019,"education_score",91.35
"10003002200","tract",2019,"education_score",72.57
"10003002300","tract",2019,"education_score",84.45
"10003002400","tract",2019,"education_score",98.32
"10003002500","tract",2019,"education_score",94.79
"10003002600","tract",2019,"education_score",85.57
"10003002700","tract",2019,"education_score",99.15
"10003002800","tract",2019,"education_score",123.28
"10003002900","tract",2019,"education_score",94.53
"10003003002","tract",2019,"education_score",NA
"10003010101","tract",2019,"education_score",113.71
"10003010104","tract",2019,"education_score",105.8
"10003010200","tract",2019,"education_score",110.76
"10003010300","tract",2019,"education_score",111.42
"10003010400","tract",2019,"education_score",116.53
"10003010502","tract",2019,"education_score",109.51
"10003010702","tract",2019,"education_score",99.52
"10003010800","tract",2019,"education_score",129.72
"10003010900","tract",2019,"education_score",124.52
"10003011000","tract",2019,"education_score",122.98
"10003011100","tract",2019,"education_score",125.22
"10003011201","tract",2019,"education_score",120.17
"10003011202","tract",2019,"education_score",119.9
"10003011203","tract",2019,"education_score",117.87
"10003011204","tract",2019,"education_score",118.4
"10003011205","tract",2019,"education_score",122.16
"10003011206","tract",2019,"education_score",129.22
"10003011300","tract",2019,"education_score",125.29
"10003011400","tract",2019,"education_score",119.7
"10003011500","tract",2019,"education_score",118.59
"10003011600","tract",2019,"education_score",121.49
"10003011700","tract",2019,"education_score",124.89
"10003011800","tract",2019,"education_score",139.73
"10003011900","tract",2019,"education_score",124.68
"10003012000","tract",2019,"education_score",98.68
"10003012100","tract",2019,"education_score",104.8
"10003012200","tract",2019,"education_score",97.22
"10003012300","tract",2019,"education_score",93.76
"10003012400","tract",2019,"education_score",97.46
"10003012500","tract",2019,"education_score",87.19
"10003012600","tract",2019,"education_score",96.58
"10003012700","tract",2019,"education_score",97.34
"10003012900","tract",2019,"education_score",80.08
"10003013000","tract",2019,"education_score",107
"10003013100","tract",2019,"education_score",101.2
"10003013200","tract",2019,"education_score",102.62
"10003013300","tract",2019,"education_score",109.47
"10003013400","tract",2019,"education_score",117.13
"10003013501","tract",2019,"education_score",131.15
"10003013503","tract",2019,"education_score",121.54
"10003013505","tract",2019,"education_score",127.64
"10003013506","tract",2019,"education_score",121.19
"10003013604","tract",2019,"education_score",116.54
"10003013607","tract",2019,"education_score",125.31
"10003013608","tract",2019,"education_score",111.2
"10003013610","tract",2019,"education_score",121.32
"10003013611","tract",2019,"education_score",115.22
"10003013612","tract",2019,"education_score",127.01
"10003013613","tract",2019,"education_score",122.43
"10003013614","tract",2019,"education_score",94.65
"10003013615","tract",2019,"education_score",101.28
"10003013700","tract",2019,"education_score",99.61
"10003013800","tract",2019,"education_score",116.79
"10003013901","tract",2019,"education_score",84.94
"10003013903","tract",2019,"education_score",109.01
"10003013904","tract",2019,"education_score",117.47
"10003014000","tract",2019,"education_score",111.67
"10003014100","tract",2019,"education_score",101.78
"10003014200","tract",2019,"education_score",120.51
"10003014300","tract",2019,"education_score",NA
"10003014402","tract",2019,"education_score",119.69
"10003014403","tract",2019,"education_score",107.81
"10003014404","tract",2019,"education_score",128.98
"10003014501","tract",2019,"education_score",97.33
"10003014502","tract",2019,"education_score",NA
"10003014702","tract",2019,"education_score",104.94
"10003014703","tract",2019,"education_score",96.9
"10003014705","tract",2019,"education_score",105.19
"10003014706","tract",2019,"education_score",100.97
"10003014803","tract",2019,"education_score",122.89
"10003014805","tract",2019,"education_score",115.04
"10003014807","tract",2019,"education_score",109.32
"10003014808","tract",2019,"education_score",105.22
"10003014809","tract",2019,"education_score",114.19
"10003014810","tract",2019,"education_score",109.2
"10003014903","tract",2019,"education_score",72.08
"10003014904","tract",2019,"education_score",110.17
"10003014906","tract",2019,"education_score",105.82
"10003014907","tract",2019,"education_score",104.15
"10003014908","tract",2019,"education_score",103.18
"10003014909","tract",2019,"education_score",102.5
"10003015000","tract",2019,"education_score",101.6
"10003015100","tract",2019,"education_score",108.02
"10003015200","tract",2019,"education_score",78.56
"10003015400","tract",2019,"education_score",91.81
"10003015502","tract",2019,"education_score",97.18
"10003015600","tract",2019,"education_score",85.14
"10003015802","tract",2019,"education_score",79.18
"10003015900","tract",2019,"education_score",97.71
"10003016000","tract",2019,"education_score",101.97
"10003016100","tract",2019,"education_score",115.41
"10003016200","tract",2019,"education_score",115.26
"10003016301","tract",2019,"education_score",114.21
"10003016302","tract",2019,"education_score",104.05
"10003016305","tract",2019,"education_score",109.92
"10003016401","tract",2019,"education_score",115.27
"10003016404","tract",2019,"education_score",111.82
"10003016601","tract",2019,"education_score",113.14
"10003016602","tract",2019,"education_score",109.69
"10003016604","tract",2019,"education_score",101.63
"10003016608","tract",2019,"education_score",115.28
"10003016801","tract",2019,"education_score",114.76
"10003016804","tract",2019,"education_score",105.33
"10003016901","tract",2019,"education_score",105.18
"10003016904","tract",2019,"education_score",NA
"10003980100","tract",2019,"education_score",NA
"10003990100","tract",2019,"education_score",NA
"10005050101","tract",2019,"education_score",99.3
"10005050103","tract",2019,"education_score",113.87
"10005050104","tract",2019,"education_score",88.67
"10005050105","tract",2019,"education_score",80.51
"10005050200","tract",2019,"education_score",77.55
"10005050301","tract",2019,"education_score",88.31
"10005050302","tract",2019,"education_score",83.42
"10005050401","tract",2019,"education_score",105.22
"10005050403","tract",2019,"education_score",87.11
"10005050405","tract",2019,"education_score",100.03
"10005050406","tract",2019,"education_score",95.61
"10005050407","tract",2019,"education_score",99.91
"10005050408","tract",2019,"education_score",79.71
"10005050501","tract",2019,"education_score",93.23
"10005050503","tract",2019,"education_score",49.93
"10005050504","tract",2019,"education_score",83.49
"10005050601","tract",2019,"education_score",95.2
"10005050602","tract",2019,"education_score",94.29
"10005050701","tract",2019,"education_score",101.11
"10005050703","tract",2019,"education_score",89.75
"10005050704","tract",2019,"education_score",100.96
"10005050705","tract",2019,"education_score",103.92
"10005050706","tract",2019,"education_score",110.55
"10005050801","tract",2019,"education_score",115.28
"10005050802","tract",2019,"education_score",102.2
"10005050803","tract",2019,"education_score",115.67
"10005050901","tract",2019,"education_score",124.17
"10005050902","tract",2019,"education_score",121.52
"10005051003","tract",2019,"education_score",118.69
"10005051004","tract",2019,"education_score",116.34
"10005051005","tract",2019,"education_score",115.86
"10005051006","tract",2019,"education_score",118.16
"10005051007","tract",2019,"education_score",123.83
"10005051101","tract",2019,"education_score",129.25
"10005051102","tract",2019,"education_score",126.74
"10005051103","tract",2019,"education_score",129.27
"10005051201","tract",2019,"education_score",123.94
"10005051202","tract",2019,"education_score",138.32
"10005051203","tract",2019,"education_score",116.93
"10005051204","tract",2019,"education_score",143.26
"10005051205","tract",2019,"education_score",137.17
"10005051301","tract",2019,"education_score",117.49
"10005051302","tract",2019,"education_score",104.88
"10005051303","tract",2019,"education_score",114.27
"10005051305","tract",2019,"education_score",118.26
"10005051306","tract",2019,"education_score",125.43
"10005051400","tract",2019,"education_score",89.24
"10005051500","tract",2019,"education_score",97.21
"10005051701","tract",2019,"education_score",91.3
"10005051702","tract",2019,"education_score",91.76
"10005051801","tract",2019,"education_score",89.11
"10005051802","tract",2019,"education_score",83.34
"10005051900","tract",2019,"education_score",98.92
"10005990000","tract",2019,"education_score",NA
"10001040100","tract",2019,"education_rnk",33.8848
