"geoid","geolevel","year","level","value"
"12001000200","tract",2019,"education_score",94.29
"12001000301","tract",2019,"education_score",112.81
"12001000302","tract",2019,"education_score",102.03
"12001000400","tract",2019,"education_score",90.1
"12001000500","tract",2019,"education_score",119.42
"12001000600","tract",2019,"education_score",86.44
"12001000700","tract",2019,"education_score",84.08
"12001000806","tract",2019,"education_score",107.29
"12001000808","tract",2019,"education_score",101.75
"12001000809","tract",2019,"education_score",109.99
"12001000901","tract",2019,"education_score",NA
"12001000902","tract",2019,"education_score",NA
"12001001000","tract",2019,"education_score",111.97
"12001001100","tract",2019,"education_score",117.59
"12001001201","tract",2019,"education_score",114.77
"12001001202","tract",2019,"education_score",116.36
"12001001203","tract",2019,"education_score",114.95
"12001001400","tract",2019,"education_score",92.46
"12001001514","tract",2019,"education_score",111.79
"12001001515","tract",2019,"education_score",95.47
"12001001516","tract",2019,"education_score",110.03
"12001001517","tract",2019,"education_score",109.42
"12001001519","tract",2019,"education_score",104.58
"12001001520","tract",2019,"education_score",104.61
"12001001521","tract",2019,"education_score",100.98
"12001001603","tract",2019,"education_score",103.96
"12001001604","tract",2019,"education_score",106.17
"12001001701","tract",2019,"education_score",120.04
"12001001702","tract",2019,"education_score",117.6
"12001001801","tract",2019,"education_score",110.08
"12001001802","tract",2019,"education_score",107.78
"12001001803","tract",2019,"education_score",114.91
"12001001805","tract",2019,"education_score",106.1
"12001001806","tract",2019,"education_score",108.29
"12001001811","tract",2019,"education_score",123.73
"12001001813","tract",2019,"education_score",119.19
"12001001814","tract",2019,"education_score",114.78
"12001001902","tract",2019,"education_score",NA
"12001001907","tract",2019,"education_score",104.73
"12001001908","tract",2019,"education_score",99.7
"12001002000","tract",2019,"education_score",98.23
"12001002101","tract",2019,"education_score",115.28
"12001002102","tract",2019,"education_score",103.92
"12001002201","tract",2019,"education_score",113.23
"12001002202","tract",2019,"education_score",103.62
"12001002204","tract",2019,"education_score",120
"12001002205","tract",2019,"education_score",124.21
"12001002207","tract",2019,"education_score",117.6
"12001002208","tract",2019,"education_score",122.98
"12001002209","tract",2019,"education_score",116.69
"12001002210","tract",2019,"education_score",101.95
"12001002217","tract",2019,"education_score",102.32
"12001002218","tract",2019,"education_score",94.39
"12001002219","tract",2019,"education_score",103.99
"12001002220","tract",2019,"education_score",112.14
"12001110800","tract",2019,"education_score",121.58
"12003040101","tract",2019,"education_score",101.27
"12003040102","tract",2019,"education_score",93.96
"12003040201","tract",2019,"education_score",77.61
"12003040202","tract",2019,"education_score",86.9
"12005000201","tract",2019,"education_score",90.31
"12005000202","tract",2019,"education_score",102.62
"12005000300","tract",2019,"education_score",90.87
"12005000400","tract",2019,"education_score",88.23
"12005000500","tract",2019,"education_score",92.52
"12005000600","tract",2019,"education_score",125.1
"12005000700","tract",2019,"education_score",94.57
"12005000803","tract",2019,"education_score",79.87
"12005000804","tract",2019,"education_score",106.85
"12005000805","tract",2019,"education_score",106.15
"12005000806","tract",2019,"education_score",88.5
"12005000900","tract",2019,"education_score",100.44
"12005001000","tract",2019,"education_score",76.28
"12005001100","tract",2019,"education_score",86.69
"12005001200","tract",2019,"education_score",94.68
"12005001301","tract",2019,"education_score",101.17
"12005001302","tract",2019,"education_score",100.16
"12005001402","tract",2019,"education_score",110.34
"12005001403","tract",2019,"education_score",100.95
"12005001404","tract",2019,"education_score",105.62
"12005001501","tract",2019,"education_score",108.08
"12005001502","tract",2019,"education_score",106.45
"12005001600","tract",2019,"education_score",78.31
"12005001700","tract",2019,"education_score",86.96
"12005001800","tract",2019,"education_score",71.84
"12005001900","tract",2019,"education_score",109.69
"12005002000","tract",2019,"education_score",106.74
"12005002200","tract",2019,"education_score",91.64
"12005002300","tract",2019,"education_score",95.99
"12005002400","tract",2019,"education_score",97.41
"12005002500","tract",2019,"education_score",107.56
"12005002601","tract",2019,"education_score",115.58
"12005002603","tract",2019,"education_score",96.04
"12005002604","tract",2019,"education_score",101.78
"12005002605","tract",2019,"education_score",108.41
"12005002606","tract",2019,"education_score",117.88
