"geoid","geolevel","year","level","value"
"16001000100","tract",2019,"education_score",124.13
"16001000201","tract",2019,"education_score",123.6
"16001000202","tract",2019,"education_score",121.6
"16001000302","tract",2019,"education_score",112.27
"16001000303","tract",2019,"education_score",113.51
"16001000304","tract",2019,"education_score",117.08
"16001000400","tract",2019,"education_score",112.99
"16001000500","tract",2019,"education_score",115.73
"16001000600","tract",2019,"education_score",120.22
"16001000701","tract",2019,"education_score",124.91
"16001000702","tract",2019,"education_score",121.06
"16001000802","tract",2019,"education_score",114.37
"16001000803","tract",2019,"education_score",114.31
"16001000804","tract",2019,"education_score",124.07
"16001000805","tract",2019,"education_score",125.83
"16001000900","tract",2019,"education_score",98.53
"16001001000","tract",2019,"education_score",112.91
"16001001100","tract",2019,"education_score",97.53
"16001001201","tract",2019,"education_score",106.13
"16001001202","tract",2019,"education_score",110.8
"16001001400","tract",2019,"education_score",103.99
"16001001500","tract",2019,"education_score",109.5
"16001001600","tract",2019,"education_score",98.46
"16001001700","tract",2019,"education_score",103.14
"16001001800","tract",2019,"education_score",103.79
"16001001900","tract",2019,"education_score",102.58
"16001002000","tract",2019,"education_score",84.73
"16001002100","tract",2019,"education_score",114.17
"16001002221","tract",2019,"education_score",104.84
"16001002222","tract",2019,"education_score",108.6
"16001002223","tract",2019,"education_score",107.18
"16001002224","tract",2019,"education_score",106.56
"16001002302","tract",2019,"education_score",102.66
"16001002310","tract",2019,"education_score",103.59
"16001002312","tract",2019,"education_score",93.55
"16001002313","tract",2019,"education_score",106.62
"16001002410","tract",2019,"education_score",109.67
"16001002411","tract",2019,"education_score",101.6
"16001002412","tract",2019,"education_score",114.74
"16001002413","tract",2019,"education_score",108.61
"16001010100","tract",2019,"education_score",113.08
"16001010201","tract",2019,"education_score",107.53
"16001010221","tract",2019,"education_score",105.55
"16001010223","tract",2019,"education_score",111.68
"16001010224","tract",2019,"education_score",113.62
"16001010225","tract",2019,"education_score",108.14
"16001010313","tract",2019,"education_score",108.02
"16001010321","tract",2019,"education_score",98.91
"16001010322","tract",2019,"education_score",99.04
"16001010331","tract",2019,"education_score",109.64
"16001010332","tract",2019,"education_score",98.56
"16001010333","tract",2019,"education_score",104.44
"16001010334","tract",2019,"education_score",107.08
"16001010335","tract",2019,"education_score",110.72
"16001010401","tract",2019,"education_score",92.63
"16001010402","tract",2019,"education_score",101.65
"16001010501","tract",2019,"education_score",NA
"16001010503","tract",2019,"education_score",112.77
"16001010504","tract",2019,"education_score",110.23
"16003950100","tract",2019,"education_score",111.03
"16003950200","tract",2019,"education_score",94.67
"16005000200","tract",2019,"education_score",98.2
"16005000300","tract",2019,"education_score",92.21
"16005000400","tract",2019,"education_score",97.31
"16005000500","tract",2019,"education_score",94.44
"16005000600","tract",2019,"education_score",97.85
"16005000700","tract",2019,"education_score",99.98
"16005000800","tract",2019,"education_score",91.49
"16005000900","tract",2019,"education_score",93.65
"16005001000","tract",2019,"education_score",97.84
"16005001101","tract",2019,"education_score",100.86
"16005001102","tract",2019,"education_score",106.92
"16005001200","tract",2019,"education_score",90.2
"16005001300","tract",2019,"education_score",97.49
"16005001400","tract",2019,"education_score",96.03
"16005001500","tract",2019,"education_score",95.47
"16005001601","tract",2019,"education_score",99.64
"16005001602","tract",2019,"education_score",94.69
"16005001603","tract",2019,"education_score",99.44
"16005001700","tract",2019,"education_score",114.07
"16005001900","tract",2019,"education_score",102
"16005940000","tract",2019,"education_score",88
"16005981800","tract",2019,"education_score",89.58
"16007950100","tract",2019,"education_score",92.84
"16007950200","tract",2019,"education_score",93.13
"16009940000","tract",2019,"education_score",89.59
"16009950100","tract",2019,"education_score",99.83
"16011940000","tract",2019,"education_score",89.01
"16011950100","tract",2019,"education_score",92.58
"16011950200","tract",2019,"education_score",92.91
"16011950300","tract",2019,"education_score",83.36
"16011950400","tract",2019,"education_score",93.04
"16011950500","tract",2019,"education_score",85.82
"16011950600","tract",2019,"education_score",79.18
"16011950700","tract",2019,"education_score",84.03
"16013960100","tract",2019,"education_score",102.14
"16013960200","tract",2019,"education_score",89.01
"16013960300","tract",2019,"education_score",121.63
"16013960500","tract",2019,"education_score",113.35
"16015950200","tract",2019,"education_score",107.1
"16017950100","tract",2019,"education_score",103.2
"16017950200","tract",2019,"education_score",102.2
"16017950300","tract",2019,"education_score",92.51
"16017950400","tract",2019,"education_score",91.39
"16017950500","tract",2019,"education_score",97.4
"16017950600","tract",2019,"education_score",110.45
"16017950700","tract",2019,"education_score",87.17
"16017950800","tract",2019,"education_score",94.93
"16017950900","tract",2019,"education_score",107.05
"16019970100","tract",2019,"education_score",95.74
"16019970300","tract",2019,"education_score",95.58
"16019970401","tract",2019,"education_score",103.95
"16019970402","tract",2019,"education_score",97.94
"16019970403","tract",2019,"education_score",86.85
"16019970501","tract",2019,"education_score",87.11
"16019970502","tract",2019,"education_score",100.52
"16019970503","tract",2019,"education_score",97.07
"16019970601","tract",2019,"education_score",92.03
"16019970602","tract",2019,"education_score",88.63
"16019970603","tract",2019,"education_score",110.15
"16019970700","tract",2019,"education_score",88.71
"16019970800","tract",2019,"education_score",100.38
"16019970900","tract",2019,"education_score",98.89
"16019971000","tract",2019,"education_score",93.46
"16019971100","tract",2019,"education_score",101.35
"16019971200","tract",2019,"education_score",94.88
"16019971301","tract",2019,"education_score",88.7
"16019971302","tract",2019,"education_score",96.53
"16019971400","tract",2019,"education_score",109.37
"16019971500","tract",2019,"education_score",95.44
"16021970100","tract",2019,"education_score",89.2
"16021970200","tract",2019,"education_score",101.99
"16023970100","tract",2019,"education_score",96.3
"16025970100","tract",2019,"education_score",97.21
"16027020100","tract",2019,"education_score",96.98
"16027020200","tract",2019,"education_score",66.79
"16027020300","tract",2019,"education_score",89.13
"16027020401","tract",2019,"education_score",82.65
"16027020402","tract",2019,"education_score",85.51
"16027020501","tract",2019,"education_score",93.97
"16027020503","tract",2019,"education_score",93.47
"16027020504","tract",2019,"education_score",85.29
"16027020601","tract",2019,"education_score",79.32
"16027020602","tract",2019,"education_score",82.6
"16027020700","tract",2019,"education_score",105.65
"16027020901","tract",2019,"education_score",98.89
"16027020902","tract",2019,"education_score",95.73
"16027021001","tract",2019,"education_score",69.64
"16027021002","tract",2019,"education_score",75.45
"16027021100","tract",2019,"education_score",89.65
"16027021200","tract",2019,"education_score",68.87
"16027021300","tract",2019,"education_score",67.2
"16027021500","tract",2019,"education_score",82.71
"16027021600","tract",2019,"education_score",82.99
"16027021700","tract",2019,"education_score",73.37
"16027021800","tract",2019,"education_score",84.24
"16027021901","tract",2019,"education_score",98.73
"16027021903","tract",2019,"education_score",98.89
"16027021904","tract",2019,"education_score",68.31
"16027022100","tract",2019,"education_score",78.52
"16027022200","tract",2019,"education_score",70.37
"16027022300","tract",2019,"education_score",81.7
"16027022400","tract",2019,"education_score",102.05
"16029960100","tract",2019,"education_score",89.24
"16029960200","tract",2019,"education_score",94.41
"16031950100","tract",2019,"education_score",88.06
"16031950200","tract",2019,"education_score",80.35
"16031950300","tract",2019,"education_score",81.89
"16031950400","tract",2019,"education_score",70.13
"16031950500","tract",2019,"education_score",82.61
"16031950600","tract",2019,"education_score",61.2
"16033950100","tract",2019,"education_score",40.68
"16035940000","tract",2019,"education_score",98.7
"16035970100","tract",2019,"education_score",105.21
"16037960200","tract",2019,"education_score",100.94
"16039960100","tract",2019,"education_score",74.36
"16039960200","tract",2019,"education_score",102.54
"16039960300","tract",2019,"education_score",94.32
"16039960400","tract",2019,"education_score",93.53
"16039960500","tract",2019,"education_score",109.54
"16041970100","tract",2019,"education_score",81.61
"16041970200","tract",2019,"education_score",87.33
"16043970100","tract",2019,"education_score",106.82
"16043970200","tract",2019,"education_score",84.6
"16043970300","tract",2019,"education_score",80.13
"16045960100","tract",2019,"education_score",97.94
"16045960200","tract",2019,"education_score",91.64
"16045960300","tract",2019,"education_score",84.66
"16047960100","tract",2019,"education_score",84.44
"16047960200","tract",2019,"education_score",71.96
"16049940000","tract",2019,"education_score",95.86
"16049960100","tract",2019,"education_score",107.43
"16049960200","tract",2019,"education_score",99.03
"16049960300","tract",2019,"education_score",95.67
"16049960400","tract",2019,"education_score",100.9
"16051960100","tract",2019,"education_score",72.67
"16051960200","tract",2019,"education_score",93.91
"16051960300","tract",2019,"education_score",87.79
"16051960400","tract",2019,"education_score",90.47
"16053970100","tract",2019,"education_score",68.33
"16053970200","tract",2019,"education_score",54.78
"16053970300","tract",2019,"education_score",71.19
"16053970400","tract",2019,"education_score",61.22
"16053970500","tract",2019,"education_score",86.48
"16055000100","tract",2019,"education_score",103.73
"16055000200","tract",2019,"education_score",105.58
"16055000301","tract",2019,"education_score",104.94
"16055000302","tract",2019,"education_score",99.11
"16055000401","tract",2019,"education_score",96.18
"16055000402","tract",2019,"education_score",99.24
"16055000500","tract",2019,"education_score",93.65
"16055000601","tract",2019,"education_score",110
"16055000602","tract",2019,"education_score",105.21
"16055000700","tract",2019,"education_score",103.85
"16055000800","tract",2019,"education_score",108.25
"16055000900","tract",2019,"education_score",93.26
"16055001001","tract",2019,"education_score",108.52
"16055001002","tract",2019,"education_score",97.67
"16055001100","tract",2019,"education_score",99.76
"16055001200","tract",2019,"education_score",103.8
"16055001300","tract",2019,"education_score",100.47
"16055001400","tract",2019,"education_score",118.55
"16055001500","tract",2019,"education_score",96.6
"16055001600","tract",2019,"education_score",111.53
"16055001700","tract",2019,"education_score",111.82
"16055001800","tract",2019,"education_score",117.63
"16055001900","tract",2019,"education_score",106.05
"16055002000","tract",2019,"education_score",111.25
"16055940000","tract",2019,"education_score",102.34
"16057005100","tract",2019,"education_score",106.93
"16057005200","tract",2019,"education_score",116.9
"16057005300","tract",2019,"education_score",107.03
"16057005400","tract",2019,"education_score",NA
"16057005500","tract",2019,"education_score",101.28
