"geoid","geolevel","year","level","value"
"20001952600","tract",2019,"education_score",93.2
"20001952700","tract",2019,"education_score",NA
"20001952800","tract",2019,"education_score",96.25
"20001952900","tract",2019,"education_score",99.18
"20001953000","tract",2019,"education_score",96.9
"20003953600","tract",2019,"education_score",92.49
"20003953700","tract",2019,"education_score",87.01
"20005081600","tract",2019,"education_score",94.96
"20005081700","tract",2019,"education_score",102.11
"20005081800","tract",2019,"education_score",104.44
"20005081900","tract",2019,"education_score",88.36
"20007968100","tract",2019,"education_score",91.38
"20007968200","tract",2019,"education_score",89.65
"20009971100","tract",2019,"education_score",95.97
"20009971200","tract",2019,"education_score",NA
"20009971300","tract",2019,"education_score",87.93
"20009971400","tract",2019,"education_score",88.8
"20009971500","tract",2019,"education_score",107.29
"20009971600","tract",2019,"education_score",98.13
"20009971700","tract",2019,"education_score",82.34
"20009971800","tract",2019,"education_score",88.14
"20011955600","tract",2019,"education_score",NA
"20011955700","tract",2019,"education_score",105.73
"20011955800","tract",2019,"education_score",98.44
"20011955900","tract",2019,"education_score",86.16
"20011956000","tract",2019,"education_score",85.21
"20013480600","tract",2019,"education_score",NA
"20013480700","tract",2019,"education_score",99.81
"20013480800","tract",2019,"education_score",96.4
"20015020100","tract",2019,"education_score",89.28
"20015020201","tract",2019,"education_score",103.02
"20015020202","tract",2019,"education_score",110.18
"20015020203","tract",2019,"education_score",117.06
"20015020300","tract",2019,"education_score",99.38
"20015020400","tract",2019,"education_score",92.24
"20015020500","tract",2019,"education_score",101.55
"20015020600","tract",2019,"education_score",102.3
"20015020700","tract",2019,"education_score",97.16
"20015020800","tract",2019,"education_score",88.2
"20015020901","tract",2019,"education_score",105.26
"20015020902","tract",2019,"education_score",95.18
"20015020903","tract",2019,"education_score",103.67
"20017960600","tract",2019,"education_score",97.33
"20019964600","tract",2019,"education_score",82.43
"20021958100","tract",2019,"education_score",96.81
"20021958200","tract",2019,"education_score",NA
"20021958300","tract",2019,"education_score",94.61
"20021958400","tract",2019,"education_score",92.07
"20021958500","tract",2019,"education_score",99.26
"20021958600","tract",2019,"education_score",86.54
"20023950200","tract",2019,"education_score",95.59
"20025967100","tract",2019,"education_score",100.81
"20027458100","tract",2019,"education_score",99.34
