"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"36001000100","tract",2019,119.72,86.07,124.31,88.6,"education_score",123.61
"36001000200","tract",2019,104.53,115.39,119.25,99.31,"education_score",104.36
"36001000300","tract",2019,93.5,104.88,121.91,130.22,"education_score",98.31
"36001000401","tract",2019,79.01,99.14,45.8,88.6,"education_score",73.59
"36001000403","tract",2019,84.84,101.66,76.38,88.6,"education_score",82.08
"36001000404","tract",2019,NA,NA,NA,NA,"education_score",NA
"36001000501","tract",2019,113.36,90.87,123.77,91.53,"education_score",117.3
"36001000502","tract",2019,NA,NA,NA,NA,"education_score",NA
"36001000600","tract",2019,116.53,90.12,151.62,92.66,"education_score",124.75
"36001000700","tract",2019,113.3,99.19,121.74,88.6,"education_score",115.94
"36001000800","tract",2019,130.57,94.15,147.89,105.66,"education_score",135.86
"36001001100","tract",2019,110.74,117.31,52.79,101.47,"education_score",93.22
"36001001400","tract",2019,76.06,106.76,68.57,124.68,"education_score",71.64
"36001001500","tract",2019,80.15,87.96,122.27,87.54,"education_score",90.25
"36001001600","tract",2019,83.4,97.14,107.61,108.99,"education_score",87.55
"36001001700","tract",2019,83.47,96.88,77.74,87.23,"education_score",82.67
"36001001801","tract",2019,82.21,108.97,73.23,107.07,"education_score",78.25
"36001001802","tract",2019,85.36,115.38,79.3,106.74,"education_score",80.65
"36001001901","tract",2019,77.33,109.92,95.66,90.42,"education_score",77.78
"36001001902","tract",2019,75.36,100.33,68.15,105.7,"education_score",74.6
"36001002000","tract",2019,105.99,115.47,101.2,93.65,"education_score",100.78
"36001002100","tract",2019,100.8,85.1,120.8,92.66,"education_score",106.9
"36001002200","tract",2019,87.61,99.85,90.4,87.47,"education_score",88.1
"36001002300","tract",2019,96.63,102.68,76.08,104.32,"education_score",91.84
"36001002500","tract",2019,113.72,93,107.92,95.17,"education_score",114.94
"36001002600","tract",2019,108.46,107.97,101.21,92.66,"education_score",105.45
"36001012700","tract",2019,90.21,102.47,93.87,88.6,"education_score",90.65
"36001012800","tract",2019,108.09,99.6,115.05,86.61,"education_score",109.41
"36001012900","tract",2019,105.44,95.05,90.9,86.71,"education_score",103.54
"36001013000","tract",2019,83.93,103.77,71.66,100.77,"education_score",81.73
"36001013100","tract",2019,93.53,96.27,89.56,107.53,"education_score",93.65
"36001013200","tract",2019,101.41,95.85,93.77,96.46,"education_score",101.48
"36001013300","tract",2019,97.15,100.69,73.07,101.65,"education_score",92.13
"36001013400","tract",2019,103.69,89.21,90.58,90.42,"education_score",104.24
"36001013503","tract",2019,91.24,121.16,113.38,86.84,"education_score",90.27
"36001013505","tract",2019,92.97,108.11,94.09,110.33,"education_score",91.18
"36001013506","tract",2019,90.56,110.84,99.56,100.3,"education_score",89.98
"36001013507","tract",2019,89.81,99.72,90.84,87.65,"education_score",89.83
"36001013508","tract",2019,82.52,126.84,104.12,92.66,"education_score",80.17
"36001013601","tract",2019,82.99,109.1,111.91,88.6,"education_score",85.11
