"geoid","geolevel","year","level","value"
"41001950100","tract",2019,"education_score",95.36
"41001950200","tract",2019,"education_score",97.32
"41001950300","tract",2019,"education_score",88.39
"41001950400","tract",2019,"education_score",115.75
"41001950500","tract",2019,"education_score",106.43
"41001950600","tract",2019,"education_score",111.7
"41003000100","tract",2019,"education_score",108.01
"41003000202","tract",2019,"education_score",124.5
"41003000400","tract",2019,"education_score",121.08
"41003000500","tract",2019,"education_score",121.99
"41003000600","tract",2019,"education_score",99.95
"41003000900","tract",2019,"education_score",118.31
"41003001001","tract",2019,"education_score",101.88
"41003001002","tract",2019,"education_score",115.71
"41003001101","tract",2019,"education_score",98.73
"41003001102","tract",2019,"education_score",105.73
"41003010100","tract",2019,"education_score",115.74
"41003010200","tract",2019,"education_score",112.52
"41003010300","tract",2019,"education_score",109.07
"41003010400","tract",2019,"education_score",107.53
"41003010600","tract",2019,"education_score",NA
"41003010702","tract",2019,"education_score",NA
"41003010800","tract",2019,"education_score",106.09
"41003010900","tract",2019,"education_score",119.22
"41005020100","tract",2019,"education_score",127.1
"41005020200","tract",2019,"education_score",126.66
"41005020302","tract",2019,"education_score",118.58
"41005020303","tract",2019,"education_score",129.7
"41005020304","tract",2019,"education_score",117.37
"41005020401","tract",2019,"education_score",124.01
"41005020403","tract",2019,"education_score",133.41
"41005020404","tract",2019,"education_score",128.84
"41005020501","tract",2019,"education_score",120.46
"41005020503","tract",2019,"education_score",127.52
"41005020504","tract",2019,"education_score",117.31
"41005020505","tract",2019,"education_score",130.58
"41005020600","tract",2019,"education_score",109.74
"41005020700","tract",2019,"education_score",117.18
"41005020800","tract",2019,"education_score",113.07
"41005020900","tract",2019,"education_score",101.2
"41005021000","tract",2019,"education_score",114.79
"41005021100","tract",2019,"education_score",110.9
"41005021200","tract",2019,"education_score",110.92
"41005021300","tract",2019,"education_score",91.04
"41005021400","tract",2019,"education_score",115.98
"41005021500","tract",2019,"education_score",116.08
"41005021601","tract",2019,"education_score",96.82
"41005021602","tract",2019,"education_score",99.55
"41005021700","tract",2019,"education_score",99.65
"41005021801","tract",2019,"education_score",111.35
"41005021802","tract",2019,"education_score",103.74
"41005021900","tract",2019,"education_score",99.3
"41005022000","tract",2019,"education_score",106.29
"41005022101","tract",2019,"education_score",107.54
"41005022103","tract",2019,"education_score",107.28
"41005022105","tract",2019,"education_score",113.45
"41005022107","tract",2019,"education_score",105.8
"41005022108","tract",2019,"education_score",86.74
"41005022201","tract",2019,"education_score",93.17
"41005022205","tract",2019,"education_score",110.34
"41005022206","tract",2019,"education_score",121.19
"41005022207","tract",2019,"education_score",117.04
"41005022208","tract",2019,"education_score",113.12
"41005022301","tract",2019,"education_score",112.04
"41005022302","tract",2019,"education_score",112.61
"41005022400","tract",2019,"education_score",116.78
"41005022500","tract",2019,"education_score",105.45
"41005022602","tract",2019,"education_score",112.18
"41005022603","tract",2019,"education_score",97.71
"41005022605","tract",2019,"education_score",102.51
"41005022606","tract",2019,"education_score",106.1
"41005022702","tract",2019,"education_score",129.03
"41005022707","tract",2019,"education_score",122.74
"41005022708","tract",2019,"education_score",110.8
"41005022710","tract",2019,"education_score",117.6
"41005022800","tract",2019,"education_score",119.8
"41005022901","tract",2019,"education_score",110.99
"41005022904","tract",2019,"education_score",79.44
"41005022905","tract",2019,"education_score",102.86
"41005022906","tract",2019,"education_score",86.86
"41005022907","tract",2019,"education_score",83.22
"41005023001","tract",2019,"education_score",105.38
"41005023002","tract",2019,"education_score",102.14
"41005023100","tract",2019,"education_score",120.13
"41005023201","tract",2019,"education_score",119.12
"41005023202","tract",2019,"education_score",107.59
"41005023300","tract",2019,"education_score",110.1
"41005023401","tract",2019,"education_score",96.18
"41005023403","tract",2019,"education_score",102.5
"41005023404","tract",2019,"education_score",99.22
"41005023500","tract",2019,"education_score",113.91
"41005023600","tract",2019,"education_score",112.81
"41005023700","tract",2019,"education_score",102.95
"41005023800","tract",2019,"education_score",107.57
"41005023901","tract",2019,"education_score",88.91
"41005023902","tract",2019,"education_score",91.8
"41005024000","tract",2019,"education_score",106.02
"41005024100","tract",2019,"education_score",104.14
"41005024200","tract",2019,"education_score",102.97
"41005024302","tract",2019,"education_score",110.84
"41005024303","tract",2019,"education_score",114.31
"41005024304","tract",2019,"education_score",107.78
"41005024400","tract",2019,"education_score",113.7
"41005980000","tract",2019,"education_score",NA
"41007950100","tract",2019,"education_score",100.74
"41007950200","tract",2019,"education_score",113.06
"41007950300","tract",2019,"education_score",97.28
"41007950400","tract",2019,"education_score",105.11
"41007950500","tract",2019,"education_score",96.35
"41007950600","tract",2019,"education_score",88.48
"41007950700","tract",2019,"education_score",104.08
"41007950900","tract",2019,"education_score",103.05
"41007951100","tract",2019,"education_score",100.72
"41007951200","tract",2019,"education_score",91.78
"41007951300","tract",2019,"education_score",97.25
"41007990000","tract",2019,"education_score",NA
"41009970200","tract",2019,"education_score",103.63
"41009970300","tract",2019,"education_score",104.54
"41009970400","tract",2019,"education_score",87.86
"41009970500","tract",2019,"education_score",103.41
"41009970600","tract",2019,"education_score",113.33
"41009970700","tract",2019,"education_score",98.22
"41009970800","tract",2019,"education_score",93.36
"41009970900","tract",2019,"education_score",113.54
"41009971000","tract",2019,"education_score",108.03
"41009971100","tract",2019,"education_score",95.01
"41011000100","tract",2019,"education_score",97.02
"41011000200","tract",2019,"education_score",99.67
"41011000300","tract",2019,"education_score",104.12
"41011000400","tract",2019,"education_score",107.86
"41011000502","tract",2019,"education_score",103.81
"41011000503","tract",2019,"education_score",97.07
"41011000504","tract",2019,"education_score",82.29
"41011000600","tract",2019,"education_score",110.06
"41011000700","tract",2019,"education_score",99.89
"41011000800","tract",2019,"education_score",91.6
"41011000900","tract",2019,"education_score",94.31
"41011001000","tract",2019,"education_score",105.61
"41011001100","tract",2019,"education_score",94.98
"41011990101","tract",2019,"education_score",NA
"41013950100","tract",2019,"education_score",104.74
"41013950200","tract",2019,"education_score",104.15
"41013950300","tract",2019,"education_score",98.73
"41013950400","tract",2019,"education_score",111.44
"41015950100","tract",2019,"education_score",117.13
"41015950200","tract",2019,"education_score",106.54
"41015950301","tract",2019,"education_score",119
"41015950302","tract",2019,"education_score",102.65
"41015950400","tract",2019,"education_score",87.75
"41015990101","tract",2019,"education_score",NA
"41017000100","tract",2019,"education_score",115.7
"41017000200","tract",2019,"education_score",98.36
"41017000300","tract",2019,"education_score",104.16
"41017000401","tract",2019,"education_score",105.62
"41017000402","tract",2019,"education_score",133.99
"41017000500","tract",2019,"education_score",107.74
"41017000600","tract",2019,"education_score",121.98
"41017000700","tract",2019,"education_score",96.32
"41017000800","tract",2019,"education_score",104.12
"41017000900","tract",2019,"education_score",89.31
"41017001001","tract",2019,"education_score",94.98
"41017001002","tract",2019,"education_score",109.53
"41017001100","tract",2019,"education_score",118.29
"41017001200","tract",2019,"education_score",108.58
"41017001300","tract",2019,"education_score",122.34
"41017001400","tract",2019,"education_score",117.12
"41017001500","tract",2019,"education_score",107.22
"41017001600","tract",2019,"education_score",107.7
"41017001700","tract",2019,"education_score",108.07
"41017001800","tract",2019,"education_score",100.63
"41017001901","tract",2019,"education_score",104.93
