"geoid","geolevel","year","level","value"
"45001950100","tract",2019,"education_score",82.82
"45001950200","tract",2019,"education_score",86.14
"45001950300","tract",2019,"education_score",86.65
"45001950400","tract",2019,"education_score",86.49
"45001950500","tract",2019,"education_score",89.86
"45001950600","tract",2019,"education_score",71.1
"45003020100","tract",2019,"education_score",91.36
"45003020200","tract",2019,"education_score",100.25
"45003020301","tract",2019,"education_score",96.58
"45003020302","tract",2019,"education_score",95.39
"45003020400","tract",2019,"education_score",80.76
"45003020500","tract",2019,"education_score",112.56
"45003020601","tract",2019,"education_score",113.76
"45003020602","tract",2019,"education_score",100.28
"45003020701","tract",2019,"education_score",96.26
"45003020702","tract",2019,"education_score",89
"45003020801","tract",2019,"education_score",115.62
"45003020802","tract",2019,"education_score",111.52
"45003020901","tract",2019,"education_score",90.4
"45003020902","tract",2019,"education_score",95.59
"45003021001","tract",2019,"education_score",87.3
"45003021002","tract",2019,"education_score",80.42
"45003021101","tract",2019,"education_score",70.55
"45003021102","tract",2019,"education_score",79.43
"45003021201","tract",2019,"education_score",112.68
"45003021202","tract",2019,"education_score",118.48
"45003021203","tract",2019,"education_score",115.62
"45003021300","tract",2019,"education_score",104.57
"45003021400","tract",2019,"education_score",69.86
"45003021500","tract",2019,"education_score",111.55
"45003021601","tract",2019,"education_score",84.12
"45003021602","tract",2019,"education_score",110.49
"45003021700","tract",2019,"education_score",95.26
"45003021800","tract",2019,"education_score",75.84
"45003021900","tract",2019,"education_score",83.35
"45003022001","tract",2019,"education_score",97.06
"45003022002","tract",2019,"education_score",102.31
"45003022100","tract",2019,"education_score",91.36
"45003980100","tract",2019,"education_score",NA
"45005970200","tract",2019,"education_score",66.28
"45005970300","tract",2019,"education_score",NA
"45005970400","tract",2019,"education_score",84.75
"45007000200","tract",2019,"education_score",101.58
"45007000300","tract",2019,"education_score",104.46
"45007000500","tract",2019,"education_score",86.8
"45007000600","tract",2019,"education_score",70.51
"45007000700","tract",2019,"education_score",64.82
"45007000800","tract",2019,"education_score",70.48
"45007000900","tract",2019,"education_score",84.03
"45007001000","tract",2019,"education_score",104.21
"45007001100","tract",2019,"education_score",106.55
"45007010102","tract",2019,"education_score",106.71
"45007010103","tract",2019,"education_score",106.56
"45007010104","tract",2019,"education_score",108.31
