"geoid","geolevel","year","level","value"
"55001950100","tract",2019,"education_score",112.48
"55001950201","tract",2019,"education_score",105.93
"55001950202","tract",2019,"education_score",94.13
"55001950400","tract",2019,"education_score",89.38
"55001950501","tract",2019,"education_score",91.86
"55001950502","tract",2019,"education_score",99.4
"55001950700","tract",2019,"education_score",101.35
"55003940000","tract",2019,"education_score",83.06
"55003950300","tract",2019,"education_score",97.16
"55003950400","tract",2019,"education_score",107.24
"55003950500","tract",2019,"education_score",99.29
"55003950600","tract",2019,"education_score",97.37
"55003950700","tract",2019,"education_score",97.31
"55003950800","tract",2019,"education_score",101.54
"55003990000","tract",2019,"education_score",NA
"55005000100","tract",2019,"education_score",105.72
"55005000200","tract",2019,"education_score",97.91
"55005000300","tract",2019,"education_score",93.76
"55005000400","tract",2019,"education_score",82.9
"55005000500","tract",2019,"education_score",102.36
"55005000600","tract",2019,"education_score",111.27
"55005000800","tract",2019,"education_score",100.73
"55005000900","tract",2019,"education_score",94.37
"55005001001","tract",2019,"education_score",88.12
"55005001002","tract",2019,"education_score",99.57
"55007960100","tract",2019,"education_score",100.87
"55007960200","tract",2019,"education_score",113.76
"55007960300","tract",2019,"education_score",112.96
"55007960400","tract",2019,"education_score",102.85
"55007960600","tract",2019,"education_score",114.01
"55007990000","tract",2019,"education_score",NA
"55009000100","tract",2019,"education_score",74.41
"55009000200","tract",2019,"education_score",96.18
"55009000302","tract",2019,"education_score",98.45
"55009000303","tract",2019,"education_score",83.65
"55009000401","tract",2019,"education_score",97.3
"55009000402","tract",2019,"education_score",114.23
"55009000500","tract",2019,"education_score",96.64
"55009000600","tract",2019,"education_score",109.09
"55009000700","tract",2019,"education_score",84.27
"55009000800","tract",2019,"education_score",79.86
"55009000900","tract",2019,"education_score",67.06
"55009001000","tract",2019,"education_score",110.85
"55009001100","tract",2019,"education_score",63.69
"55009001200","tract",2019,"education_score",78.24
"55009001300","tract",2019,"education_score",105.82
"55009001400","tract",2019,"education_score",99.6
"55009001600","tract",2019,"education_score",84.67
"55009001701","tract",2019,"education_score",63.97
"55009001702","tract",2019,"education_score",91.41
"55009001801","tract",2019,"education_score",105.16
"55009001802","tract",2019,"education_score",102.19
"55009002001","tract",2019,"education_score",98.41
"55009002002","tract",2019,"education_score",100.5
"55009002003","tract",2019,"education_score",112.01
"55009010100","tract",2019,"education_score",114.5
"55009010201","tract",2019,"education_score",NA
"55009010202","tract",2019,"education_score",105.63
"55009010300","tract",2019,"education_score",105.7
"55009020100","tract",2019,"education_score",107.46
"55009020203","tract",2019,"education_score",106.52
"55009020204","tract",2019,"education_score",113.54
"55009020502","tract",2019,"education_score",102.88
"55009020503","tract",2019,"education_score",108.02
"55009020504","tract",2019,"education_score",110.73
"55009020600","tract",2019,"education_score",104.83
"55009020702","tract",2019,"education_score",116.04
"55009020703","tract",2019,"education_score",111.48
"55009020704","tract",2019,"education_score",101.88
"55009020800","tract",2019,"education_score",106.06
"55009020900","tract",2019,"education_score",102.35
"55009021000","tract",2019,"education_score",117.5
"55009021100","tract",2019,"education_score",NA
"55009021200","tract",2019,"education_score",105.64
"55009021301","tract",2019,"education_score",105.97
"55009021302","tract",2019,"education_score",108.79
"55009021303","tract",2019,"education_score",100.9
"55009021304","tract",2019,"education_score",112.45
"55009021400","tract",2019,"education_score",105.9
"55009021500","tract",2019,"education_score",97.29
"55009021600","tract",2019,"education_score",100.03
"55009940001","tract",2019,"education_score",116.35
"55009940002","tract",2019,"education_score",110.94
"55009940003","tract",2019,"education_score",104.9
"55009940004","tract",2019,"education_score",102.79
"55011960100","tract",2019,"education_score",95.86
"55011960200","tract",2019,"education_score",97.86
"55011960300","tract",2019,"education_score",102.31
"55011960400","tract",2019,"education_score",105.09
"55011960500","tract",2019,"education_score",100.65
"55013970400","tract",2019,"education_score",110.32
"55013970600","tract",2019,"education_score",100.03
"55013970700","tract",2019,"education_score",102.9
"55013970800","tract",2019,"education_score",103.31
"55013970900","tract",2019,"education_score",96.34
"55013971000","tract",2019,"education_score",105.8
"55015020100","tract",2019,"education_score",97.88
"55015020200","tract",2019,"education_score",97.19
"55015020303","tract",2019,"education_score",97.14
"55015020304","tract",2019,"education_score",102.59
"55015020306","tract",2019,"education_score",113.38
"55015020308","tract",2019,"education_score",112.11
"55015020400","tract",2019,"education_score",107.55
"55015020500","tract",2019,"education_score",104.2
"55015020600","tract",2019,"education_score",103.5
"55015020700","tract",2019,"education_score",113.52
"55015020800","tract",2019,"education_score",111.3
"55017010100","tract",2019,"education_score",106.13
"55017010200","tract",2019,"education_score",99.36
"55017010300","tract",2019,"education_score",105.38
"55017010400","tract",2019,"education_score",105.73
"55017010500","tract",2019,"education_score",102.28
"55017010700","tract",2019,"education_score",109.66
"55017010800","tract",2019,"education_score",96.19
"55017010900","tract",2019,"education_score",90.27
"55017011000","tract",2019,"education_score",102.27
"55017011100","tract",2019,"education_score",101.94
"55017011200","tract",2019,"education_score",101.01
"55019950100","tract",2019,"education_score",85.18
"55019950200","tract",2019,"education_score",66.06
"55019950300","tract",2019,"education_score",70.82
"55019950400","tract",2019,"education_score",73.14
"55019950500","tract",2019,"education_score",82.02
"55019950600","tract",2019,"education_score",80.53
"55019950700","tract",2019,"education_score",98.19
"55019950800","tract",2019,"education_score",88.34
"55021970100","tract",2019,"education_score",87.63
"55021970200","tract",2019,"education_score",102.14
"55021970300","tract",2019,"education_score",101.12
"55021970400","tract",2019,"education_score",102.24
"55021970500","tract",2019,"education_score",97.91
"55021970600","tract",2019,"education_score",111.51
"55021970700","tract",2019,"education_score",107.83
"55021970800","tract",2019,"education_score",108.7
"55021970900","tract",2019,"education_score",107.42
"55021971000","tract",2019,"education_score",105.98
"55021971100","tract",2019,"education_score",103.46
"55021971200","tract",2019,"education_score",106.04
"55023960100","tract",2019,"education_score",96.31
"55023960200","tract",2019,"education_score",102.65
"55023960300","tract",2019,"education_score",94.91
"55023960400","tract",2019,"education_score",99.37
"55023960500","tract",2019,"education_score",102.54
"55023960600","tract",2019,"education_score",105.25
"55025000100","tract",2019,"education_score",129.34
"55025000201","tract",2019,"education_score",128.19
"55025000202","tract",2019,"education_score",127.96
"55025000204","tract",2019,"education_score",126.72
"55025000205","tract",2019,"education_score",125.23
"55025000300","tract",2019,"education_score",122.23
"55025000401","tract",2019,"education_score",129.3
"55025000402","tract",2019,"education_score",126.06
"55025000405","tract",2019,"education_score",117.4
"55025000406","tract",2019,"education_score",132.97
"55025000407","tract",2019,"education_score",115.61
"55025000408","tract",2019,"education_score",124.43
"55025000501","tract",2019,"education_score",114.38
"55025000503","tract",2019,"education_score",112.49
"55025000504","tract",2019,"education_score",124.88
"55025000600","tract",2019,"education_score",85.1
"55025000700","tract",2019,"education_score",135.19
"55025000800","tract",2019,"education_score",123.07
"55025000901","tract",2019,"education_score",129.71
"55025000902","tract",2019,"education_score",115.57
"55025001000","tract",2019,"education_score",124.15
"55025001101","tract",2019,"education_score",93.49
"55025001102","tract",2019,"education_score",NA
"55025001200","tract",2019,"education_score",113.44
"55025001300","tract",2019,"education_score",120.95
"55025001401","tract",2019,"education_score",76.63
"55025001402","tract",2019,"education_score",97.01
"55025001403","tract",2019,"education_score",114.88
"55025001501","tract",2019,"education_score",118.9
"55025001502","tract",2019,"education_score",110.89
"55025001603","tract",2019,"education_score",95.02
"55025001604","tract",2019,"education_score",96.41
"55025001605","tract",2019,"education_score",125.18
"55025001606","tract",2019,"education_score",NA
"55025001704","tract",2019,"education_score",129.42
"55025001705","tract",2019,"education_score",129.09
"55025001802","tract",2019,"education_score",129.04
"55025001804","tract",2019,"education_score",116.49
"55025001900","tract",2019,"education_score",127.14
"55025002000","tract",2019,"education_score",122.82
"55025002100","tract",2019,"education_score",117.56
"55025002200","tract",2019,"education_score",109.51
"55025002301","tract",2019,"education_score",101.92
"55025002302","tract",2019,"education_score",123.66
"55025002401","tract",2019,"education_score",110.2
"55025002402","tract",2019,"education_score",93.72
"55025002500","tract",2019,"education_score",94.93
"55025002601","tract",2019,"education_score",87.13
"55025002602","tract",2019,"education_score",107.27
"55025002603","tract",2019,"education_score",106.55
"55025002700","tract",2019,"education_score",115.95
"55025002800","tract",2019,"education_score",118.12
"55025002900","tract",2019,"education_score",108.66
"55025003001","tract",2019,"education_score",112.03
"55025003002","tract",2019,"education_score",102.49
"55025003100","tract",2019,"education_score",109.35
"55025003200","tract",2019,"education_score",113.53
"55025010100","tract",2019,"education_score",135.29
"55025010200","tract",2019,"education_score",133.24
"55025010300","tract",2019,"education_score",124.47
"55025010400","tract",2019,"education_score",120.45
"55025010501","tract",2019,"education_score",116.89
"55025010502","tract",2019,"education_score",117.45
"55025010600","tract",2019,"education_score",114.58
"55025010701","tract",2019,"education_score",129.55
"55025010702","tract",2019,"education_score",127.44
"55025010800","tract",2019,"education_score",118.65
"55025010901","tract",2019,"education_score",122.29
"55025010903","tract",2019,"education_score",135.5
"55025010904","tract",2019,"education_score",118.92
"55025011000","tract",2019,"education_score",120.34
"55025011101","tract",2019,"education_score",113.07
"55025011102","tract",2019,"education_score",127.06
"55025011200","tract",2019,"education_score",112.85
"55025011301","tract",2019,"education_score",115.22
"55025011302","tract",2019,"education_score",113.22
"55025011401","tract",2019,"education_score",122.82
"55025011402","tract",2019,"education_score",118.44
"55025011503","tract",2019,"education_score",109.47
"55025011504","tract",2019,"education_score",113.03
"55025011505","tract",2019,"education_score",94.46
"55025011506","tract",2019,"education_score",118.7
"55025011600","tract",2019,"education_score",112.63
"55025011700","tract",2019,"education_score",110.15
"55025011800","tract",2019,"education_score",99.3
"55025011900","tract",2019,"education_score",112.34
"55025012001","tract",2019,"education_score",110.69
"55025012002","tract",2019,"education_score",115.82
"55025012100","tract",2019,"education_score",108.98
"55025012201","tract",2019,"education_score",113.63
"55025012202","tract",2019,"education_score",111.35
"55025012300","tract",2019,"education_score",118.21
"55025012400","tract",2019,"education_score",115.87
"55025012501","tract",2019,"education_score",107.21
"55025012502","tract",2019,"education_score",117.43
"55025012600","tract",2019,"education_score",112.07
