"geoid","geolevel","year","level","value"
"35004","zcta",2019,"education_score",106.97
"35005","zcta",2019,"education_score",90.49
"35006","zcta",2019,"education_score",87.42
"35007","zcta",2019,"education_score",100.62
"35010","zcta",2019,"education_score",86.24
"35013","zcta",2019,"education_score",NA
"35014","zcta",2019,"education_score",77.95
"35016","zcta",2019,"education_score",94.64
"35019","zcta",2019,"education_score",89.56
"35020","zcta",2019,"education_score",82.84
"35022","zcta",2019,"education_score",110.38
"35023","zcta",2019,"education_score",101.58
"35031","zcta",2019,"education_score",84.23
"35032","zcta",2019,"education_score",NA
"35033","zcta",2019,"education_score",73.01
"35034","zcta",2019,"education_score",82.97
"35035","zcta",2019,"education_score",124.72
"35036","zcta",2019,"education_score",63.33
"35040","zcta",2019,"education_score",101.03
"35042","zcta",2019,"education_score",93.78
"35043","zcta",2019,"education_score",115.99
"35044","zcta",2019,"education_score",83.56
"35045","zcta",2019,"education_score",91.54
"35046","zcta",2019,"education_score",93.13
"35049","zcta",2019,"education_score",87.67
"35051","zcta",2019,"education_score",99.69
"35052","zcta",2019,"education_score",NA
"35053","zcta",2019,"education_score",102.71
"35054","zcta",2019,"education_score",100.3
"35055","zcta",2019,"education_score",88.84
"35057","zcta",2019,"education_score",90.08
"35058","zcta",2019,"education_score",93.21
"35060","zcta",2019,"education_score",72.7
"35061","zcta",2019,"education_score",102.51
"35062","zcta",2019,"education_score",81.96
"35063","zcta",2019,"education_score",75.25
"35064","zcta",2019,"education_score",97.86
"35068","zcta",2019,"education_score",108.96
"35070","zcta",2019,"education_score",62.34
"35071","zcta",2019,"education_score",111.51
"35072","zcta",2019,"education_score",76.65
"35073","zcta",2019,"education_score",100.89
"35074","zcta",2019,"education_score",NA
"35077","zcta",2019,"education_score",78.17
"35078","zcta",2019,"education_score",87.54
"35079","zcta",2019,"education_score",102.85
"35080","zcta",2019,"education_score",114.27
"35082","zcta",2019,"education_score",NA
"35083","zcta",2019,"education_score",77.95
"35085","zcta",2019,"education_score",80.34
"35087","zcta",2019,"education_score",76.97
"35089","zcta",2019,"education_score",96.31
"35091","zcta",2019,"education_score",108.22
"35094","zcta",2019,"education_score",103.76
"35096","zcta",2019,"education_score",96.16
"35097","zcta",2019,"education_score",81.13
"35098","zcta",2019,"education_score",88.64
"35111","zcta",2019,"education_score",106.75
"35112","zcta",2019,"education_score",95.78
"35114","zcta",2019,"education_score",119.94
"35115","zcta",2019,"education_score",87.98
"35116","zcta",2019,"education_score",108.75
"35117","zcta",2019,"education_score",114.17
"35118","zcta",2019,"education_score",98.9
"35119","zcta",2019,"education_score",60.53
"35120","zcta",2019,"education_score",101.11
"35121","zcta",2019,"education_score",81.21
"35124","zcta",2019,"education_score",113.02
"35125","zcta",2019,"education_score",92.07
"35126","zcta",2019,"education_score",100.81
"35127","zcta",2019,"education_score",108.3
"35128","zcta",2019,"education_score",100.03
"35130","zcta",2019,"education_score",84.85
"35131","zcta",2019,"education_score",80.64
"35133","zcta",2019,"education_score",96.74
"35135","zcta",2019,"education_score",102.61
"35136","zcta",2019,"education_score",100.09
"35139","zcta",2019,"education_score",26.27
"35143","zcta",2019,"education_score",102.23
"35146","zcta",2019,"education_score",94.26
"35147","zcta",2019,"education_score",115.86
"35148","zcta",2019,"education_score",84.04
"35149","zcta",2019,"education_score",110.76
"35150","zcta",2019,"education_score",85.91
"35151","zcta",2019,"education_score",83.88
"35160","zcta",2019,"education_score",84.96
"35171","zcta",2019,"education_score",82.34
"35172","zcta",2019,"education_score",83.63
"35173","zcta",2019,"education_score",115.05
"35175","zcta",2019,"education_score",89.59
"35176","zcta",2019,"education_score",61.15
"35178","zcta",2019,"education_score",86.83
"35179","zcta",2019,"education_score",83.57
"35180","zcta",2019,"education_score",92.66
"35183","zcta",2019,"education_score",107.97
"35184","zcta",2019,"education_score",74.37
"35186","zcta",2019,"education_score",101.27
"35187","zcta",2019,"education_score",NA
"35188","zcta",2019,"education_score",93.09
"35203","zcta",2019,"education_score",114.02
"35204","zcta",2019,"education_score",76.42
