"geoid","geolevel","year","level","value"
"71601","zcta",2019,"education_score",93.53
"71602","zcta",2019,"education_score",94.2
"71603","zcta",2019,"education_score",95.27
"71630","zcta",2019,"education_score",85.31
"71631","zcta",2019,"education_score",55.31
"71635","zcta",2019,"education_score",88.37
"71638","zcta",2019,"education_score",67.21
"71639","zcta",2019,"education_score",73.42
"71640","zcta",2019,"education_score",73.25
"71642","zcta",2019,"education_score",112.29
"71643","zcta",2019,"education_score",NA
"71644","zcta",2019,"education_score",NA
"71646","zcta",2019,"education_score",85.69
"71647","zcta",2019,"education_score",80.72
"71651","zcta",2019,"education_score",NA
"71652","zcta",2019,"education_score",97.96
"71653","zcta",2019,"education_score",93.29
"71654","zcta",2019,"education_score",90.56
"71655","zcta",2019,"education_score",105.24
"71658","zcta",2019,"education_score",91.41
"71659","zcta",2019,"education_score",NA
"71660","zcta",2019,"education_score",116.51
"71661","zcta",2019,"education_score",96.23
"71662","zcta",2019,"education_score",NA
"71663","zcta",2019,"education_score",88.09
"71665","zcta",2019,"education_score",96.61
"71666","zcta",2019,"education_score",NA
"71667","zcta",2019,"education_score",90.29
"71670","zcta",2019,"education_score",80.26
"71671","zcta",2019,"education_score",84.83
"71674","zcta",2019,"education_score",71.49
"71675","zcta",2019,"education_score",96.72
"71676","zcta",2019,"education_score",84.68
"71677","zcta",2019,"education_score",NA
"71701","zcta",2019,"education_score",94.02
"71711","zcta",2019,"education_score",NA
"71720","zcta",2019,"education_score",90.36
"71722","zcta",2019,"education_score",NA
"71724","zcta",2019,"education_score",76.78
"71725","zcta",2019,"education_score",90.04
"71726","zcta",2019,"education_score",78.04
"71730","zcta",2019,"education_score",93.5
"71740","zcta",2019,"education_score",87.45
"71742","zcta",2019,"education_score",83.21
"71743","zcta",2019,"education_score",86.87
"71744","zcta",2019,"education_score",86.27
"71745","zcta",2019,"education_score",100.77
"71747","zcta",2019,"education_score",94.23
"71749","zcta",2019,"education_score",93.01
"71751","zcta",2019,"education_score",NA
"71752","zcta",2019,"education_score",NA
"71753","zcta",2019,"education_score",93.9
"71758","zcta",2019,"education_score",73.41
"71759","zcta",2019,"education_score",112.45
"71762","zcta",2019,"education_score",86.11
"71763","zcta",2019,"education_score",99.19
"71764","zcta",2019,"education_score",90.23
"71765","zcta",2019,"education_score",83.08
"71766","zcta",2019,"education_score",94.79
"71770","zcta",2019,"education_score",94.46
"71772","zcta",2019,"education_score",NA
"71801","zcta",2019,"education_score",84.49
"71820","zcta",2019,"education_score",NA
"71822","zcta",2019,"education_score",90.2
"71823","zcta",2019,"education_score",NA
"71825","zcta",2019,"education_score",98.02
"71826","zcta",2019,"education_score",70.89
"71827","zcta",2019,"education_score",90.92
"71832","zcta",2019,"education_score",67.57
"71833","zcta",2019,"education_score",86.7
"71834","zcta",2019,"education_score",92.15
"71835","zcta",2019,"education_score",84.89
"71836","zcta",2019,"education_score",98.33
"71837","zcta",2019,"education_score",78.67
"71838","zcta",2019,"education_score",99.51
"71839","zcta",2019,"education_score",86.6
"71841","zcta",2019,"education_score",96.49
"71842","zcta",2019,"education_score",81.47
"71845","zcta",2019,"education_score",85.59
"71846","zcta",2019,"education_score",87.56
"71847","zcta",2019,"education_score",92.29
"71851","zcta",2019,"education_score",91.01
"71852","zcta",2019,"education_score",85.76
"71853","zcta",2019,"education_score",84.39
"71854","zcta",2019,"education_score",91.26
"71855","zcta",2019,"education_score",68.34
"71857","zcta",2019,"education_score",98.09
"71858","zcta",2019,"education_score",76.48
"71859","zcta",2019,"education_score",107.92
"71860","zcta",2019,"education_score",79.91
"71861","zcta",2019,"education_score",85.51
"71862","zcta",2019,"education_score",73.22
"71865","zcta",2019,"education_score",NA
"71866","zcta",2019,"education_score",NA
"71901","zcta",2019,"education_score",94.82
"71909","zcta",2019,"education_score",109.66
