"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"06001","zcta",2019,128.4,153.24,111.25,104.33,"education_score",138.13
"06002","zcta",2019,108.6,114.19,88.57,96.35,"education_score",113.74
"06010","zcta",2019,104.49,121.09,100.31,104.2,"education_score",109.97
"06013","zcta",2019,123.58,142.12,109.21,86.31,"education_score",130.95
"06016","zcta",2019,120.97,113.95,95.95,87.27,"education_score",122.4
"06018","zcta",2019,110.34,105.28,83.86,87.49,"education_score",112.49
"06019","zcta",2019,124.83,135.26,104.56,89.27,"education_score",130.97
"06020","zcta",2019,NA,NA,NA,NA,"education_score",NA
"06021","zcta",2019,125.29,105.22,92.92,84.17,"education_score",123.94
"06022","zcta",2019,137.74,157.78,66.86,87.78,"education_score",155.14
"06023","zcta",2019,112.97,118.12,110.78,88.15,"education_score",114.26
"06024","zcta",2019,100.79,118.85,46.6,83.17,"education_score",114.94
"06026","zcta",2019,120.2,118.92,108.8,88.51,"education_score",121.25
"06027","zcta",2019,112.64,137.85,92.26,86.1,"education_score",123.21
"06029","zcta",2019,122.97,129.55,104.64,90.28,"education_score",127.43
"06031","zcta",2019,120.17,117.16,81.53,95.51,"education_score",125.14
"06032","zcta",2019,123.51,124.73,102.13,92.13,"education_score",127.39
"06033","zcta",2019,127.65,132.64,109.07,93.17,"education_score",131.88
"06035","zcta",2019,123.56,145.28,102.98,96.51,"education_score",132.52
"06037","zcta",2019,114.93,145.92,99.8,92.39,"education_score",126.77
"06039","zcta",2019,121.49,93.57,102.6,88.42,"education_score",117.29
"06040","zcta",2019,112.21,117.18,104.49,100.17,"education_score",114.6
"06042","zcta",2019,119.29,121.44,91.05,98.16,"education_score",124.13
"06043","zcta",2019,114.11,130.45,105.94,89.05,"education_score",120.49
"06051","zcta",2019,72.4,105.44,114.26,93.15,"education_score",77.19
"06052","zcta",2019,105.09,116.47,98.84,91.35,"education_score",110.06
"06053","zcta",2019,92.19,108.07,108.91,99.15,"education_score",95.36
"06057","zcta",2019,122.04,134.21,110.93,87.44,"education_score",126.91
"06058","zcta",2019,112.34,134.14,90.18,88.88,"education_score",122.74
"06059","zcta",2019,NA,NA,NA,NA,"education_score",NA
"06060","zcta",2019,128.23,112.03,123.86,90.74,"education_score",123.94
"06061","zcta",2019,121.32,89.33,93.35,87.88,"education_score",113.88
"06062","zcta",2019,102.5,115.21,98.74,93.42,"education_score",107.29
"06063","zcta",2019,117.34,151.09,102.89,85.67,"education_score",129.88
"06065","zcta",2019,109,158.88,114.1,87.15,"education_score",122.81
"06066","zcta",2019,114.96,126.15,87.14,103.26,"education_score",122.15
"06067","zcta",2019,121.65,134.32,92.28,90.28,"education_score",130.18
"06068","zcta",2019,103.86,98.02,91.53,87.15,"education_score",105.32
"06069","zcta",2019,109.33,111.43,80.42,85.87,"education_score",115.08
"06070","zcta",2019,128.8,147.89,104.91,97.33,"education_score",138.42
"06071","zcta",2019,109.19,129.91,91.83,89.4,"education_score",118.31
"06073","zcta",2019,124.97,145.04,120.05,87.15,"education_score",132.11
"06074","zcta",2019,122.45,131.1,107.7,93.26,"education_score",126.79
