"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"83111","zcta",2019,124.59,111.14,75.41,113.91,"education_score",126
"83120","zcta",2019,105.59,112.41,101.49,101.08,"education_score",108.51
"83201","zcta",2019,110.84,82.16,116.78,129.16,"education_score",100.11
"83202","zcta",2019,104,90.03,129.1,116.34,"education_score",94.42
"83203","zcta",2019,81.08,106.51,97.82,85.16,"education_score",86.41
"83204","zcta",2019,107.54,90.34,106.69,116.49,"education_score",101.59
"83209","zcta",2019,NA,NA,NA,NA,"education_score",NA
"83210","zcta",2019,73.95,83.85,122.86,87.31,"education_score",70.77
"83211","zcta",2019,73.08,83.27,127.78,117.33,"education_score",68.41
"83212","zcta",2019,113.41,76.22,87.59,126.98,"education_score",104.69
"83213","zcta",2019,99.28,77.03,97.72,92.31,"education_score",92.13
"83214","zcta",2019,110.56,72.9,145.02,108.76,"education_score",91.24
"83215","zcta",2019,NA,NA,NA,NA,"education_score",NA
"83217","zcta",2019,110.78,76.85,105.63,106.24,"education_score",100.04
"83218","zcta",2019,95.17,87.48,109.99,103.91,"education_score",90.18
"83220","zcta",2019,117.68,106.51,43.56,93.12,"education_score",123.45
"83221","zcta",2019,99.19,77.55,123.35,141.4,"education_score",87.09
"83223","zcta",2019,113.92,102.68,119.35,323.35,"education_score",103.19
"83226","zcta",2019,98.87,91.21,76.12,113.53,"education_score",99.27
"83227","zcta",2019,NA,NA,NA,NA,"education_score",NA
"83228","zcta",2019,114.19,66.67,152.66,105.45,"education_score",91.02
"83232","zcta",2019,81.87,75.44,156.57,107.04,"education_score",68.07
"83233","zcta",2019,NA,NA,NA,NA,"education_score",NA
"83234","zcta",2019,110.72,111.78,104.92,101.56,"education_score",110.3
"83235","zcta",2019,106.96,79.03,142.83,137.54,"education_score",91.39
"83236","zcta",2019,107.82,78.32,133.92,123.68,"education_score",92.43
"83237","zcta",2019,99.8,81.15,117.68,98.14,"education_score",91.31
"83238","zcta",2019,NA,NA,NA,NA,"education_score",NA
"83239","zcta",2019,98.86,89.08,122.81,111.34,"education_score",90.04
"83241","zcta",2019,99,84.49,119.07,123.16,"education_score",90.16
"83243","zcta",2019,NA,NA,NA,NA,"education_score",NA
"83244","zcta",2019,95.17,106.51,133.99,101.65,"education_score",91.15
"83245","zcta",2019,106.99,88.43,105.57,106.4,"education_score",100.34
"83246","zcta",2019,116.45,200.6,79.17,101.99,"education_score",147.71
"83250","zcta",2019,111.82,86.45,125.71,99.93,"education_score",99.95
"83251","zcta",2019,107.16,80.13,83.76,102.53,"education_score",101.44
"83252","zcta",2019,100.94,75.7,123.57,109.44,"education_score",88.01
"83253","zcta",2019,NA,NA,NA,NA,"education_score",NA
"83254","zcta",2019,105.19,69.66,109.29,120.33,"education_score",92.42
"83255","zcta",2019,116.99,89.25,107.36,106.04,"education_score",107.98
"83261","zcta",2019,94.6,71.35,114.69,96.9,"education_score",83.31
"83262","zcta",2019,108.7,103.37,102.87,96.73,"education_score",106.42
"83263","zcta",2019,96.56,84.37,128.05,115.03,"education_score",86.12
"83271","zcta",2019,111.1,76.94,118.4,90.6,"education_score",99.38
"83272","zcta",2019,110.31,111.47,121.44,113.92,"education_score",107.03
"83274","zcta",2019,104.9,84.36,124.6,110.67,"education_score",94.24
"83276","zcta",2019,103.98,91.07,128.72,127.74,"education_score",94.51
"83277","zcta",2019,115.61,69.29,141.29,87.15,"education_score",97.45
"83278","zcta",2019,119.29,105.04,44.74,99.09,"education_score",126.6
"83281","zcta",2019,NA,NA,NA,NA,"education_score",NA
"83283","zcta",2019,126.73,131.38,161.7,116.1,"education_score",119.61
"83285","zcta",2019,112.73,87.42,79.53,304.52,"education_score",104.82
"83286","zcta",2019,112.34,77.52,127.38,103.08,"education_score",97.05
"83287","zcta",2019,126.27,103.83,49.57,93.12,"education_score",130.66
"83301","zcta",2019,98.67,82.07,113.75,154.12,"education_score",89.53
"83302","zcta",2019,74.97,106.51,112.54,111.67,"education_score",78.65
"83311","zcta",2019,108.02,67.04,132.18,104.91,"education_score",90.03
"83313","zcta",2019,91.9,128.25,84.3,108.27,"education_score",104.34
"83314","zcta",2019,90.06,89.62,108.51,117.13,"education_score",86.63
