"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"60002","zcta",2019,114.54,117.6,107.89,106.35,"education_score",115.23
"60004","zcta",2019,124.52,128.77,103.15,114.19,"education_score",128.57
"60005","zcta",2019,116.25,128.51,97.67,104.29,"education_score",123
"60007","zcta",2019,115.2,110.3,96.37,110.18,"education_score",115.98
"60008","zcta",2019,89.04,108.8,96.87,98.25,"education_score",95.38
"60010","zcta",2019,126.2,141.11,110.69,129.28,"education_score",132.16
"60012","zcta",2019,120.86,135.88,109.44,94.4,"education_score",127.29
"60013","zcta",2019,117.14,124.3,110.76,95.24,"education_score",119.74
"60014","zcta",2019,112.22,122.74,106.74,114.16,"education_score",115.64
"60015","zcta",2019,131.29,140.67,121.18,107.22,"education_score",135.45
"60016","zcta",2019,101.29,119.18,91.58,102.17,"education_score",109.14
"60018","zcta",2019,86.65,90.2,104.24,96.17,"education_score",86.14
"60020","zcta",2019,109.13,102.64,90.74,108.7,"education_score",109.04
"60021","zcta",2019,125.82,117.1,99.08,86.16,"education_score",127.08
"60022","zcta",2019,135.11,181.14,124.33,100.76,"education_score",150.39
"60025","zcta",2019,121.43,126.06,106.8,106.25,"education_score",125.26
"60026","zcta",2019,124.42,125.53,109.66,105.79,"education_score",127.25
"60029","zcta",2019,126.16,153.67,119.71,87.03,"education_score",136.05
"60030","zcta",2019,119.64,113.44,102.57,146.38,"education_score",118.8
"60031","zcta",2019,118.07,125.84,108.07,102.29,"education_score",121.65
"60033","zcta",2019,69.64,88.26,127.59,107.57,"education_score",67.18
"60034","zcta",2019,101.61,87.04,92.94,97.13,"education_score",98.3
"60035","zcta",2019,127.49,142.39,105.95,101.18,"education_score",135.64
"60040","zcta",2019,87.61,101.05,117.74,86.16,"education_score",89.11
"60041","zcta",2019,111.49,95.88,93.19,110.96,"education_score",108.36
"60042","zcta",2019,111.26,112.09,102.25,93.46,"education_score",112.21
"60043","zcta",2019,135.84,232.8,134.24,94.64,"education_score",166.64
"60044","zcta",2019,127.79,132.57,105.37,107.87,"education_score",132.81
"60045","zcta",2019,132.65,141.32,110.55,119.67,"education_score",138.33
"60046","zcta",2019,117.18,133.99,114.22,111.22,"education_score",121.69
"60047","zcta",2019,120.68,146.79,116.47,125.24,"education_score",128.57
"60048","zcta",2019,126.67,136.08,118.5,139.01,"education_score",129.52
"60050","zcta",2019,106.12,114.29,108.65,107.35,"education_score",107.37
"60051","zcta",2019,110.1,112,99.79,100.3,"education_score",111.51
"60053","zcta",2019,111.29,111.81,95.44,95.41,"education_score",114.41
"60056","zcta",2019,108.89,120.89,103.14,122.14,"education_score",113.13
"60060","zcta",2019,102.59,116.5,104.21,124.23,"education_score",106.8
"60061","zcta",2019,118.46,132.27,124.34,107.31,"education_score",121.61
"60062","zcta",2019,126.99,124.76,102.79,127.37,"education_score",129.39
"60064","zcta",2019,59.26,81.1,121.63,98.37,"education_score",58.72
"60067","zcta",2019,125.74,126.91,102.76,119.35,"education_score",129
"60068","zcta",2019,121.62,124.88,106.05,111.24,"education_score",124.81
"60069","zcta",2019,126.98,137.83,94.87,112.1,"education_score",134.77
"60070","zcta",2019,92.59,97.07,110.82,92.22,"education_score",92.15
"60071","zcta",2019,114.01,91.01,105.49,93.14,"education_score",107.11
"60072","zcta",2019,117.68,130.8,102,122.55,"education_score",122
"60073","zcta",2019,87.79,115.38,124.74,143.02,"education_score",89.69
"60074","zcta",2019,92.35,119.58,105.87,105.27,"education_score",99.8
"60076","zcta",2019,108.33,118.24,103.59,96.2,"education_score",112.95
"60077","zcta",2019,108.25,101.65,97.39,104.3,"education_score",108.44
"60081","zcta",2019,113.62,129.88,98.35,100.68,"education_score",120
"60083","zcta",2019,114.14,126.66,104.69,99.57,"education_score",119.45
"60084","zcta",2019,104.22,115.48,99.08,122.42,"education_score",108.39
"60085","zcta",2019,62.66,97.35,121.19,111.15,"education_score",65.71
"60087","zcta",2019,80.78,96.27,115.05,121.5,"education_score",80.52
"60088","zcta",2019,NA,NA,NA,NA,"education_score",NA
"60089","zcta",2019,130.35,116.86,106.87,114.19,"education_score",129.1
"60090","zcta",2019,100.9,107.9,95.15,94.24,"education_score",104.97
"60091","zcta",2019,132.2,150.72,118.66,103.29,"education_score",140.23
"60093","zcta",2019,132.69,148.01,123.21,123.66,"education_score",138.38
"60096","zcta",2019,112.48,105.21,97.55,87.4,"education_score",112.33
"60097","zcta",2019,114.78,119.99,105.87,114.8,"education_score",115.78
"60098","zcta",2019,103.15,105.94,110.03,133.34,"education_score",101.81
"60099","zcta",2019,90.86,105.1,114.86,108.27,"education_score",91.28
"60101","zcta",2019,86.2,110.78,105.69,107.23,"education_score",91.5
"60102","zcta",2019,117.91,124.27,111.09,117.34,"education_score",119.89
"60103","zcta",2019,116.87,121.78,107.26,106.23,"education_score",119.26
"60104","zcta",2019,97.66,100.15,94.85,94.24,"education_score",98.91
"60106","zcta",2019,81.3,97.28,98.84,104.26,"education_score",84.76
"60107","zcta",2019,94.47,117.85,102.43,106.2,"education_score",100.66
"60108","zcta",2019,114.82,122.28,93.27,98.22,"education_score",120.13
"60109","zcta",2019,112.51,110.98,93.98,88.67,"education_score",114.97
"60110","zcta",2019,66.87,106.48,138.21,118.23,"education_score",68.89
"60111","zcta",2019,108.02,139.44,57.28,89.14,"education_score",124.91
"60112","zcta",2019,104.92,102.53,127.85,86.16,"education_score",100.85
"60113","zcta",2019,94.18,90.14,86.26,105.63,"education_score",94.33
"60115","zcta",2019,112.45,87.43,128.96,106.17,"education_score",102.86
"60118","zcta",2019,118.83,119.97,92.64,127.94,"education_score",122
"60119","zcta",2019,122.61,110.63,106.01,104.83,"education_score",120.34
"60120","zcta",2019,61.05,96.85,114.98,121.09,"education_score",65.45
"60123","zcta",2019,83.47,98.44,113.32,121.14,"education_score",84.22
"60124","zcta",2019,119.82,132.51,103.07,109.32,"education_score",125.44
"60126","zcta",2019,122.71,133.84,117.38,129.13,"education_score",125.92
"60129","zcta",2019,100.03,100.17,86.08,91.73,"education_score",101.99
"60130","zcta",2019,125.22,109.21,83.11,94.49,"education_score",127.32
"60131","zcta",2019,86.33,93.51,99.86,100.39,"education_score",87.33
"60133","zcta",2019,88.1,97.57,119.47,118.27,"education_score",86.2
"60134","zcta",2019,124.38,141.62,117.24,103.27,"education_score",130.17
"60135","zcta",2019,95.92,106.84,102.91,109.94,"education_score",97.9
"60136","zcta",2019,126.2,118.82,117.91,99.44,"education_score",124.09
"60137","zcta",2019,125.25,126.33,110.86,127.32,"education_score",127.09
"60139","zcta",2019,90.29,99.97,107.21,93.19,"education_score",91.71
"60140","zcta",2019,109.41,119.01,111.41,117.39,"education_score",111.12
"60141","zcta",2019,NA,NA,NA,NA,"education_score",NA
"60142","zcta",2019,115.35,130.11,99.39,126.4,"education_score",120.55
"60143","zcta",2019,118.28,102.69,93.4,109.69,"education_score",116.55
"60144","zcta",2019,NA,NA,NA,NA,"education_score",NA
"60145","zcta",2019,91.5,116.65,125.88,107.05,"education_score",93.68
"60146","zcta",2019,107.62,97.48,107.45,106.49,"education_score",103.39
