"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"41095","zcta",2019,78.66,63.93,102.41,88.34,"education_score",71.42
"46001","zcta",2019,98.76,83.35,94.53,103.79,"education_score",94.26
"46011","zcta",2019,104.12,91.47,96.81,99.52,"education_score",101.07
"46012","zcta",2019,103.55,72.92,92.92,103.28,"education_score",95.9
"46013","zcta",2019,105.54,75.18,93.63,90.23,"education_score",97.29
"46016","zcta",2019,76.36,75.1,104.67,89.24,"education_score",72.42
"46017","zcta",2019,106.95,86.71,90.93,88.15,"education_score",102.8
"46030","zcta",2019,104.01,93.18,98.31,100.87,"education_score",101.06
"46031","zcta",2019,108.74,122.31,107.22,95.13,"education_score",111.82
"46032","zcta",2019,128.7,118.95,109.68,97.17,"education_score",128.91
"46033","zcta",2019,131.85,123.28,117.51,104.28,"education_score",131.05
"46034","zcta",2019,108.24,95.74,95.11,113.26,"education_score",105.41
"46035","zcta",2019,100.38,116.41,107.24,97.96,"education_score",103.87
"46036","zcta",2019,97.82,67.89,100.12,91.32,"education_score",87.87
"46037","zcta",2019,129.42,128.64,127.24,113.11,"education_score",128.72
"46038","zcta",2019,127.21,116.74,118.05,106.19,"education_score",124.59
"46039","zcta",2019,115.59,81.84,74.51,92.26,"education_score",110.55
"46040","zcta",2019,116.21,138.35,117.33,107.11,"education_score",121.76
"46041","zcta",2019,79.87,86.51,108.07,100.31,"education_score",78.37
"46044","zcta",2019,103.55,89.61,113.05,93.22,"education_score",97.14
"46045","zcta",2019,NA,NA,NA,NA,"education_score",NA
"46047","zcta",2019,NA,NA,NA,NA,"education_score",NA
"46048","zcta",2019,96.27,96.3,133.13,84.17,"education_score",89.82
"46049","zcta",2019,109.78,103.31,84.99,88.46,"education_score",111.62
"46050","zcta",2019,105.04,77.76,115.72,93.57,"education_score",94.01
"46051","zcta",2019,111.8,95.74,108.48,88.54,"education_score",106.28
"46052","zcta",2019,104.45,104.04,99.22,95.26,"education_score",104.99
"46055","zcta",2019,125.1,123.87,120.21,102.14,"education_score",124.62
"46056","zcta",2019,112.16,127.51,112.54,85.16,"education_score",115.41
"46057","zcta",2019,110.2,88.37,103.84,88.65,"education_score",103.99
"46058","zcta",2019,109.15,96.68,96.77,88.5,"education_score",106.37
"46060","zcta",2019,113.79,111.63,116,141.12,"education_score",111.23
"46062","zcta",2019,121.43,121.59,112.56,116.25,"education_score",121.71
"46063","zcta",2019,95.02,89.52,112.83,85.1,"education_score",89.79
"46064","zcta",2019,106.34,110.63,104.92,94.18,"education_score",107.49
"46065","zcta",2019,108.91,97.54,117.5,95.9,"education_score",103
"46068","zcta",2019,111.98,107.07,114.28,86.89,"education_score",109.12
"46069","zcta",2019,111.46,87.18,97.16,100.72,"education_score",104.88
