"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"20601","zcta",2019,111.41,127.59,112.46,104.34,"education_score",115.04
"20602","zcta",2019,109.18,131.3,116.7,102.3,"education_score",113.63
"20603","zcta",2019,116.55,140.17,115.47,115.36,"education_score",122.68
"20606","zcta",2019,94.47,123.16,127.06,85.16,"education_score",97.12
"20607","zcta",2019,119.55,147.8,88.52,84.17,"education_score",133.23
"20608","zcta",2019,109.7,121.55,87.57,87.17,"education_score",116.32
"20609","zcta",2019,95.48,104.22,91.29,85.93,"education_score",99.37
"20611","zcta",2019,105.67,151.2,94.3,84.04,"education_score",120.85
"20612","zcta",2019,116.46,106.51,43.56,85.16,"education_score",122.51
"20613","zcta",2019,113.69,141.64,101.8,94.3,"education_score",123.59
"20615","zcta",2019,113.4,130.5,57.65,85.16,"education_score",127.36
"20616","zcta",2019,112.79,114.2,106.08,86.32,"education_score",113.74
"20617","zcta",2019,122.22,132.29,94.46,92.46,"education_score",128.59
"20618","zcta",2019,113.13,109.23,66.89,87.29,"education_score",117.56
"20619","zcta",2019,121.11,125.81,128.66,110.5,"education_score",120.12
"20620","zcta",2019,111.57,135.8,86.82,94.65,"education_score",122.11
"20621","zcta",2019,104.61,120.34,80.23,100.94,"education_score",112.27
"20622","zcta",2019,98.36,137.54,109.19,91.44,"education_score",108.56
"20623","zcta",2019,116.36,136.3,108.88,87.15,"education_score",123.78
"20624","zcta",2019,89.26,141.82,92.9,108.76,"education_score",103.83
"20625","zcta",2019,95.62,156.06,111.93,87.59,"education_score",111.85
"20626","zcta",2019,106.32,108.88,52.52,94.75,"education_score",116.13
"20628","zcta",2019,98.41,86.46,106.47,86.16,"education_score",94.15
"20629","zcta",2019,137.3,106.51,119.68,91.35,"education_score",129.94
"20630","zcta",2019,124.66,93.77,99.06,107.51,"education_score",117.43
"20632","zcta",2019,111.75,123.16,103.17,88.07,"education_score",115.34
"20634","zcta",2019,116.87,121.42,112.36,105.12,"education_score",118.4
"20636","zcta",2019,113.3,139.82,105.01,110.95,"education_score",121.68
"20637","zcta",2019,114.89,115.46,101.57,89.93,"education_score",116.43
"20639","zcta",2019,116.95,135.68,121.26,103.59,"education_score",120.95
"20640","zcta",2019,108.04,119.58,114.81,96.66,"education_score",109.58
"20645","zcta",2019,108.64,149.05,94.14,87.85,"education_score",123.1
"20646","zcta",2019,111.49,135.14,105.25,107.55,"education_score",118.79
"20650","zcta",2019,104.99,141.47,111.46,111.57,"education_score",114.94
"20653","zcta",2019,100.45,121.69,107.71,103.38,"education_score",105.67
"20657","zcta",2019,113.96,116.88,112.11,92.27,"education_score",113.62
"20658","zcta",2019,112.28,114.95,106.58,84.17,"education_score",112.01
"20659","zcta",2019,99.18,131.08,105.67,113.46,"education_score",106.96
"20660","zcta",2019,NA,NA,NA,NA,"education_score",NA
"20662","zcta",2019,88.81,194.94,98.12,85.51,"education_score",119.39
"20664","zcta",2019,111.54,114.33,114.35,86.32,"education_score",110.17
"20667","zcta",2019,67.85,106.51,109.15,99.48,"education_score",74.42
"20670","zcta",2019,118.67,104.87,133.67,83.51,"education_score",110.93
"20674","zcta",2019,80.44,115.45,99.37,98.48,"education_score",90.25
"20675","zcta",2019,103.55,139.11,96.32,104.78,"education_score",114.18
"20676","zcta",2019,117.91,153.42,110.43,88.48,"education_score",129.36
"20677","zcta",2019,114.06,126.52,87.56,89.93,"education_score",121.19
"20678","zcta",2019,107.09,131.1,102.3,106.7,"education_score",114.56
"20680","zcta",2019,101.61,119.56,119.4,87.33,"education_score",103.01
"20684","zcta",2019,98.3,159.43,65.47,87.35,"education_score",124.61
"20685","zcta",2019,109.97,128.57,99.15,88.79,"education_score",116.7
"20686","zcta",2019,NA,NA,NA,NA,"education_score",NA
"20687","zcta",2019,127.65,129.38,74.39,87.07,"education_score",136.28
"20688","zcta",2019,123.55,120.27,58.59,97.81,"education_score",132.1
"20689","zcta",2019,103.59,165.74,110.66,94.74,"education_score",122.05
"20690","zcta",2019,125.19,118.89,73.05,93.12,"education_score",130.93
"20692","zcta",2019,124.36,108.41,74.93,100.32,"education_score",126.36
"20693","zcta",2019,118.03,144.14,88.13,86.31,"education_score",129.94
"20695","zcta",2019,110.81,149.38,102.41,129.84,"education_score",122.43
"20701","zcta",2019,NA,NA,NA,NA,"education_score",NA
"20705","zcta",2019,100.86,114.07,110.12,100.27,"education_score",104.32
"20706","zcta",2019,94.12,106.25,117.19,148.4,"education_score",93.51
"20707","zcta",2019,109.54,123.62,103.64,96.2,"education_score",115.45
"20708","zcta",2019,108.64,115.58,117.16,97.25,"education_score",110.1
"20710","zcta",2019,89.99,105.34,123.28,116.85,"education_score",89.15
"20711","zcta",2019,104.92,134.58,112.13,102.58,"education_score",111.8
"20712","zcta",2019,76.49,105.27,97.92,87.31,"education_score",84.53
"20714","zcta",2019,116.82,114.9,99.63,87.34,"education_score",118.54
"20715","zcta",2019,118.87,135.41,105.26,99.24,"education_score",126.06
"20716","zcta",2019,119.05,133.9,100.95,91.23,"education_score",126.35
"20720","zcta",2019,122.88,141.65,104.89,92.25,"education_score",131.72
"20721","zcta",2019,121.63,147.25,105.72,99.35,"education_score",132.34
"20722","zcta",2019,74.56,118.82,108.14,92.46,"education_score",84.76
"20723","zcta",2019,121.19,129.44,117.15,100.18,"education_score",124.21
"20724","zcta",2019,112.62,116.14,110,95.32,"education_score",114.28
"20732","zcta",2019,118.14,153.24,106.54,96.53,"education_score",129.39
"20733","zcta",2019,115.61,139.47,100.08,88.55,"education_score",125.22
"20735","zcta",2019,111.47,125.05,101.84,105.35,"education_score",116.33
"20736","zcta",2019,115.91,146.07,113.63,97.06,"education_score",124.29
"20737","zcta",2019,38.84,102.75,118.55,140.48,"education_score",48.73
"20740","zcta",2019,102.07,92.24,121.82,118.44,"education_score",98.11
"20742","zcta",2019,NA,NA,NA,NA,"education_score",NA
"20743","zcta",2019,96.94,117.3,98.38,118.31,"education_score",102.31
"20744","zcta",2019,104.86,125.94,93.49,120.29,"education_score",112.83
"20745","zcta",2019,88.34,115.38,101.03,116.38,"education_score",94.54
"20746","zcta",2019,100.96,127.9,94.96,110.36,"education_score",109.58
"20747","zcta",2019,102.44,118.89,102.99,108.25,"education_score",106.3
"20748","zcta",2019,106.52,118.67,97.22,113.37,"education_score",110.5
"20751","zcta",2019,116.45,103.86,80.71,94.43,"education_score",117.91
"20754","zcta",2019,114.01,151.7,95.51,96.78,"education_score",127.54
"20755","zcta",2019,120.21,107.3,133.81,113.33,"education_score",112.83
"20758","zcta",2019,115.16,115.11,78.46,84.17,"education_score",120.64
"20759","zcta",2019,133.61,183.49,118.09,88.25,"education_score",151.7
"20762","zcta",2019,121.22,106.83,122.86,92.6,"education_score",115.58
"20763","zcta",2019,92.98,126.75,80.47,87.15,"education_score",106.76
"20764","zcta",2019,114.53,121.04,100.41,85.52,"education_score",118.34
"20765","zcta",2019,105.46,101.42,104.42,99.09,"education_score",103.51
"20769","zcta",2019,121.1,158.93,95.7,87.84,"education_score",137.87
"20770","zcta",2019,108.15,120.84,112.62,101.26,"education_score",112.01
"20772","zcta",2019,114.6,142.05,100.58,108.21,"education_score",124.59
"20774","zcta",2019,119.98,134.1,96.76,111.2,"education_score",127.42
"20776","zcta",2019,94.78,104.43,101.34,102.94,"education_score",96.57
"20777","zcta",2019,133.99,182.47,110.87,93.02,"education_score",152.02
"20778","zcta",2019,118.53,132.83,100.3,104.4,"education_score",124.41
"20779","zcta",2019,125.72,167.84,84.55,84.17,"education_score",144.47
"20781","zcta",2019,82.33,118.36,112.03,129.87,"education_score",89.6
"20782","zcta",2019,73.56,107.35,105.76,108.32,"education_score",81.11
"20783","zcta",2019,30.53,92.85,109.62,110.18,"education_score",42.02
"20784","zcta",2019,74.23,105.48,109.51,123.3,"education_score",79.25
"20785","zcta",2019,99.88,118.13,110.02,135.28,"education_score",102.89
"20794","zcta",2019,NA,NA,NA,NA,"education_score",NA
"20812","zcta",2019,137.1,156.72,124.15,85.91,"education_score",146
"20814","zcta",2019,135.69,143.01,90.12,97.3,"education_score",145.92
"20815","zcta",2019,135.72,151.22,94.39,99.32,"education_score",147.7
"20816","zcta",2019,134.68,160.68,112.68,103.58,"education_score",146.71
"20817","zcta",2019,132.63,152.29,110.8,139.59,"education_score",141.43
"20818","zcta",2019,138.71,128.94,108.84,84.04,"education_score",141.39
"20832","zcta",2019,122.14,132.97,109.5,110.27,"education_score",127.33
"20833","zcta",2019,117.3,115.69,111.04,116.44,"education_score",117.92
"20837","zcta",2019,123.3,166.56,113.07,87.28,"education_score",137.96
"20838","zcta",2019,132.77,125.68,100.59,84.17,"education_score",135.29
"20839","zcta",2019,NA,NA,NA,NA,"education_score",NA
"20841","zcta",2019,121.92,155.69,118.1,99.44,"education_score",132.91
"20842","zcta",2019,114.08,119.41,90.65,101.65,"education_score",119.48
"20850","zcta",2019,125.75,129.81,101.55,123.26,"education_score",130.41
"20851","zcta",2019,89.63,130.22,106.01,92.27,"education_score",101.29
"20852","zcta",2019,128.12,133.09,95.04,104.28,"education_score",135.4
"20853","zcta",2019,100.71,128.56,104.28,117.35,"education_score",109.61
"20854","zcta",2019,129.89,127.96,110.29,137.52,"education_score",131.95
"20855","zcta",2019,122.97,117.72,103.6,112.14,"education_score",124.54
"20860","zcta",2019,115.6,140.86,126.85,89.49,"education_score",122.12
"20861","zcta",2019,135.98,140.93,76.09,88.37,"education_score",147.02
"20862","zcta",2019,121.95,107.02,85.23,87.15,"education_score",123.48
"20866","zcta",2019,110.8,118.59,114.6,96.29,"education_score",113.04
"20868","zcta",2019,78.93,160.01,96.13,91.88,"education_score",103.19
"20871","zcta",2019,126.75,142.49,133.44,104.22,"education_score",129.54
"20872","zcta",2019,115.74,127.46,112.69,110.67,"education_score",119.18
"20874","zcta",2019,111.9,120.09,115.08,130.19,"education_score",113.32
"20876","zcta",2019,111.03,128.09,118.57,100.25,"education_score",115.41
"20877","zcta",2019,81.55,130.94,106.81,117.38,"education_score",94.3
"20878","zcta",2019,124.55,140.62,109.3,129.24,"education_score",131.42
"20879","zcta",2019,105.69,120.94,117.34,108.37,"education_score",108.61
"20880","zcta",2019,117.61,137.16,76.16,84.17,"education_score",131.41
"20882","zcta",2019,118.68,132.05,97.52,108.86,"education_score",126.15
"20886","zcta",2019,99.74,117.6,105.27,99.23,"education_score",105.32
"20895","zcta",2019,128.69,140.97,107.83,96.34,"education_score",136.19
"20896","zcta",2019,133.71,199.27,96.51,84.77,"education_score",161.21
"20899","zcta",2019,124.58,109.12,50.6,88.59,"education_score",130.84
"20901","zcta",2019,110.16,132.74,108.48,114.25,"education_score",117.84
"20902","zcta",2019,94.17,119.43,106.77,122.19,"education_score",101.06
"20903","zcta",2019,52.84,100.45,114.79,110.28,"education_score",60.99
"20904","zcta",2019,109.99,119.87,108.45,122.29,"education_score",113.16
"20905","zcta",2019,117.59,134.84,102.37,109.56,"education_score",125.72
"20906","zcta",2019,95.05,110.95,100.93,115.13,"education_score",99.65
"20910","zcta",2019,124.25,120.3,87.17,114.24,"education_score",129.71
"20912","zcta",2019,96.77,111.64,112.21,98.28,"education_score",100.83
"21001","zcta",2019,106.03,121.28,101.59,106.4,"education_score",110.64
"21005","zcta",2019,113.74,120.72,138.47,83.58,"education_score",111.29
"21009","zcta",2019,115.86,126.63,99.85,93.21,"education_score",121.49
"21010","zcta",2019,123.46,118.22,94.66,89.7,"education_score",126.88
"21012","zcta",2019,122.89,136.04,117.13,97.19,"education_score",127.56
"21013","zcta",2019,120.43,148.44,94.39,87.4,"education_score",133.56
"21014","zcta",2019,117.54,123.47,104.63,102.17,"education_score",120.95
"21015","zcta",2019,117.58,123.56,111.73,110.32,"education_score",119.48
"21017","zcta",2019,115.88,104.88,105.42,87.39,"education_score",113.82
"21028","zcta",2019,116.57,135.06,95.73,85.16,"education_score",125.64
"21029","zcta",2019,126.68,177.09,122.18,101.76,"education_score",142.98
"21030","zcta",2019,117.36,110.58,96.6,93.23,"education_score",119.24
"21031","zcta",2019,NA,NA,NA,NA,"education_score",NA
"21032","zcta",2019,118.88,138.66,88.5,88.27,"education_score",129.62
"21034","zcta",2019,102.3,90.8,89.95,87.84,"education_score",101.09
"21035","zcta",2019,122.51,155.55,103.8,85.16,"education_score",135.51
"21036","zcta",2019,129.68,177.42,104.41,92.91,"education_score",148.29
