"geoid","geolevel","year","level","value"
"59001","zcta",2019,"education_score",105.46
"59002","zcta",2019,"education_score",108.98
"59003","zcta",2019,"education_score",100.34
"59006","zcta",2019,"education_score",85.89
"59007","zcta",2019,"education_score",119.51
"59008","zcta",2019,"education_score",110.21
"59010","zcta",2019,"education_score",124.79
"59011","zcta",2019,"education_score",97.71
"59012","zcta",2019,"education_score",104.21
"59013","zcta",2019,"education_score",119.8
"59014","zcta",2019,"education_score",106.1
"59015","zcta",2019,"education_score",98.8
"59016","zcta",2019,"education_score",101.43
"59018","zcta",2019,"education_score",100.07
"59019","zcta",2019,"education_score",91.78
"59020","zcta",2019,"education_score",NA
"59022","zcta",2019,"education_score",78.89
"59024","zcta",2019,"education_score",114.64
"59025","zcta",2019,"education_score",NA
"59026","zcta",2019,"education_score",81.37
"59027","zcta",2019,"education_score",118.14
"59028","zcta",2019,"education_score",119.46
"59029","zcta",2019,"education_score",92.76
"59030","zcta",2019,"education_score",115.26
"59031","zcta",2019,"education_score",106.74
"59032","zcta",2019,"education_score",91.57
"59033","zcta",2019,"education_score",86.79
"59034","zcta",2019,"education_score",89.18
"59035","zcta",2019,"education_score",86.75
"59036","zcta",2019,"education_score",77.24
"59037","zcta",2019,"education_score",129.93
"59038","zcta",2019,"education_score",93.16
"59039","zcta",2019,"education_score",NA
"59041","zcta",2019,"education_score",103.3
"59043","zcta",2019,"education_score",80.36
"59044","zcta",2019,"education_score",110
"59046","zcta",2019,"education_score",101.02
"59047","zcta",2019,"education_score",110.43
"59050","zcta",2019,"education_score",86.7
"59052","zcta",2019,"education_score",122.26
"59053","zcta",2019,"education_score",13.59
"59054","zcta",2019,"education_score",84.63
"59055","zcta",2019,"education_score",NA
"59057","zcta",2019,"education_score",103.43
"59058","zcta",2019,"education_score",NA
"59059","zcta",2019,"education_score",95.26
"59061","zcta",2019,"education_score",96.35
"59062","zcta",2019,"education_score",NA
"59063","zcta",2019,"education_score",106.44
"59064","zcta",2019,"education_score",100.63
"59065","zcta",2019,"education_score",136.06
"59066","zcta",2019,"education_score",93.03
"59067","zcta",2019,"education_score",102.01
"59068","zcta",2019,"education_score",99.79
"59069","zcta",2019,"education_score",80.63
"59070","zcta",2019,"education_score",97.1
"59071","zcta",2019,"education_score",91.76
"59072","zcta",2019,"education_score",94.18
"59074","zcta",2019,"education_score",77.51
"59075","zcta",2019,"education_score",102.47
"59076","zcta",2019,"education_score",NA
"59077","zcta",2019,"education_score",NA
"59078","zcta",2019,"education_score",95.17
"59079","zcta",2019,"education_score",99.33
"59081","zcta",2019,"education_score",NA
"59082","zcta",2019,"education_score",NA
"59085","zcta",2019,"education_score",113.51
"59086","zcta",2019,"education_score",106.07
"59087","zcta",2019,"education_score",115.49
"59088","zcta",2019,"education_score",109.49
"59089","zcta",2019,"education_score",95.96
"59101","zcta",2019,"education_score",102.34
"59102","zcta",2019,"education_score",112.43
"59105","zcta",2019,"education_score",112.38
"59106","zcta",2019,"education_score",120.76
"59201","zcta",2019,"education_score",83.07
"59211","zcta",2019,"education_score",114.99
