"geoid","geolevel","year","level","value"
"57645","zcta",2019,"education_score",110.65
"58001","zcta",2019,"education_score",NA
"58002","zcta",2019,"education_score",NA
"58004","zcta",2019,"education_score",115.4
"58005","zcta",2019,"education_score",127.64
"58006","zcta",2019,"education_score",112.4
"58007","zcta",2019,"education_score",NA
"58008","zcta",2019,"education_score",126.02
"58009","zcta",2019,"education_score",NA
"58011","zcta",2019,"education_score",104.95
"58012","zcta",2019,"education_score",117.11
"58013","zcta",2019,"education_score",69.8
"58015","zcta",2019,"education_score",98.58
"58016","zcta",2019,"education_score",122.99
"58017","zcta",2019,"education_score",92.89
"58018","zcta",2019,"education_score",109.04
"58021","zcta",2019,"education_score",112.13
"58027","zcta",2019,"education_score",102.38
"58029","zcta",2019,"education_score",NA
"58030","zcta",2019,"education_score",96.25
"58031","zcta",2019,"education_score",87.77
"58032","zcta",2019,"education_score",104.4
"58033","zcta",2019,"education_score",82.05
"58035","zcta",2019,"education_score",106.75
"58036","zcta",2019,"education_score",113.96
"58038","zcta",2019,"education_score",106.7
"58040","zcta",2019,"education_score",97.48
"58041","zcta",2019,"education_score",105.12
"58042","zcta",2019,"education_score",123.43
"58043","zcta",2019,"education_score",82.26
"58045","zcta",2019,"education_score",103.25
"58046","zcta",2019,"education_score",115.89
"58047","zcta",2019,"education_score",120.58
"58048","zcta",2019,"education_score",112.54
"58049","zcta",2019,"education_score",99.12
"58051","zcta",2019,"education_score",117.43
"58052","zcta",2019,"education_score",115.35
"58053","zcta",2019,"education_score",83.62
"58054","zcta",2019,"education_score",107.78
"58056","zcta",2019,"education_score",104.96
"58057","zcta",2019,"education_score",107.43
"58058","zcta",2019,"education_score",NA
"58059","zcta",2019,"education_score",106.14
"58060","zcta",2019,"education_score",96.72
"58061","zcta",2019,"education_score",101.86
"58062","zcta",2019,"education_score",98.06
"58063","zcta",2019,"education_score",107.28
"58064","zcta",2019,"education_score",109.91
"58065","zcta",2019,"education_score",NA
"58067","zcta",2019,"education_score",122.38
"58068","zcta",2019,"education_score",92.16
"58069","zcta",2019,"education_score",NA
"58071","zcta",2019,"education_score",109.26
"58072","zcta",2019,"education_score",105.43
"58075","zcta",2019,"education_score",98.21
"58076","zcta",2019,"education_score",NA
"58077","zcta",2019,"education_score",109.12
"58078","zcta",2019,"education_score",124.1
"58079","zcta",2019,"education_score",104.32
"58081","zcta",2019,"education_score",106.25
"58102","zcta",2019,"education_score",123.08
"58103","zcta",2019,"education_score",111.8
"58104","zcta",2019,"education_score",123.3
"58105","zcta",2019,"education_score",NA
"58201","zcta",2019,"education_score",118.66
"58202","zcta",2019,"education_score",NA
"58203","zcta",2019,"education_score",115.13
"58204","zcta",2019,"education_score",113.33
"58205","zcta",2019,"education_score",NA
"58210","zcta",2019,"education_score",103
"58212","zcta",2019,"education_score",105.94
"58214","zcta",2019,"education_score",90.15
"58216","zcta",2019,"education_score",133.35
"58218","zcta",2019,"education_score",105.66
"58219","zcta",2019,"education_score",NA
"58220","zcta",2019,"education_score",94
"58222","zcta",2019,"education_score",104.56
"58223","zcta",2019,"education_score",106.69
"58224","zcta",2019,"education_score",NA
"58225","zcta",2019,"education_score",110.25
"58227","zcta",2019,"education_score",109.89
"58228","zcta",2019,"education_score",98.94
"58229","zcta",2019,"education_score",NA
"58230","zcta",2019,"education_score",100.04
"58231","zcta",2019,"education_score",93.79
"58233","zcta",2019,"education_score",103.66
"58235","zcta",2019,"education_score",110.32
"58237","zcta",2019,"education_score",79.3
"58238","zcta",2019,"education_score",97.29
"58239","zcta",2019,"education_score",NA
"58240","zcta",2019,"education_score",105.29
"58241","zcta",2019,"education_score",100.18
"58243","zcta",2019,"education_score",89.59
"58244","zcta",2019,"education_score",95.45
"58249","zcta",2019,"education_score",102.64
"58250","zcta",2019,"education_score",85.66
"58251","zcta",2019,"education_score",102.31
"58254","zcta",2019,"education_score",98
"58256","zcta",2019,"education_score",111.09
"58257","zcta",2019,"education_score",108.49
"58258","zcta",2019,"education_score",106.7
"58259","zcta",2019,"education_score",95.81
"58260","zcta",2019,"education_score",93.92
"58261","zcta",2019,"education_score",93.94
"58262","zcta",2019,"education_score",NA
"58265","zcta",2019,"education_score",98.4
"58266","zcta",2019,"education_score",131.54
"58267","zcta",2019,"education_score",108.85
"58269","zcta",2019,"education_score",97.05
"58270","zcta",2019,"education_score",90.36
"58271","zcta",2019,"education_score",106.86
"58272","zcta",2019,"education_score",116.71
"58273","zcta",2019,"education_score",59.39
"58274","zcta",2019,"education_score",116.53
"58275","zcta",2019,"education_score",113.32
"58276","zcta",2019,"education_score",99.79
"58277","zcta",2019,"education_score",101.57
"58278","zcta",2019,"education_score",111.15
"58281","zcta",2019,"education_score",91.92
"58282","zcta",2019,"education_score",79.41
"58301","zcta",2019,"education_score",104.86
"58311","zcta",2019,"education_score",NA
"58316","zcta",2019,"education_score",92.58
"58317","zcta",2019,"education_score",85.88
"58318","zcta",2019,"education_score",102.4
"58321","zcta",2019,"education_score",NA
"58323","zcta",2019,"education_score",NA
"58324","zcta",2019,"education_score",92.79
"58325","zcta",2019,"education_score",NA
"58327","zcta",2019,"education_score",104.9
"58329","zcta",2019,"education_score",81.45
"58330","zcta",2019,"education_score",80.95
"58331","zcta",2019,"education_score",NA
"58332","zcta",2019,"education_score",95.67
"58335","zcta",2019,"education_score",80.55
"58338","zcta",2019,"education_score",NA
"58339","zcta",2019,"education_score",NA
"58341","zcta",2019,"education_score",85.02
"58343","zcta",2019,"education_score",NA
"58344","zcta",2019,"education_score",101.79
"58345","zcta",2019,"education_score",115.42
"58346","zcta",2019,"education_score",99.81
"58348","zcta",2019,"education_score",96.06
"58351","zcta",2019,"education_score",102.49
"58352","zcta",2019,"education_score",115.25
"58353","zcta",2019,"education_score",88.85
"58355","zcta",2019,"education_score",NA
"58356","zcta",2019,"education_score",96.63
"58357","zcta",2019,"education_score",95.24
"58361","zcta",2019,"education_score",95.41
"58362","zcta",2019,"education_score",NA
"58363","zcta",2019,"education_score",124.42
"58365","zcta",2019,"education_score",113.29
"58366","zcta",2019,"education_score",103.13
"58367","zcta",2019,"education_score",93.29
"58368","zcta",2019,"education_score",98.07
"58369","zcta",2019,"education_score",96.36
"58370","zcta",2019,"education_score",71
"58372","zcta",2019,"education_score",112.36
"58374","zcta",2019,"education_score",94.93
"58377","zcta",2019,"education_score",95.93
"58379","zcta",2019,"education_score",73.42
"58380","zcta",2019,"education_score",93.1
"58381","zcta",2019,"education_score",109.48
"58382","zcta",2019,"education_score",115.97
"58384","zcta",2019,"education_score",98.68
"58385","zcta",2019,"education_score",82.62
"58386","zcta",2019,"education_score",104.23
"58401","zcta",2019,"education_score",101.43
"58402","zcta",2019,"education_score",NA
"58405","zcta",2019,"education_score",NA
"58413","zcta",2019,"education_score",89.77
"58415","zcta",2019,"education_score",98.11
"58416","zcta",2019,"education_score",105.7
"58418","zcta",2019,"education_score",96.98
"58420","zcta",2019,"education_score",97.27
"58421","zcta",2019,"education_score",105.77
"58422","zcta",2019,"education_score",67.32
"58423","zcta",2019,"education_score",NA
"58424","zcta",2019,"education_score",95.82
"58425","zcta",2019,"education_score",86.43
"58426","zcta",2019,"education_score",100.2
"58428","zcta",2019,"education_score",101.7
"58429","zcta",2019,"education_score",94.51
"58430","zcta",2019,"education_score",108.28
"58431","zcta",2019,"education_score",107.64
"58433","zcta",2019,"education_score",82.14
"58436","zcta",2019,"education_score",105.22
"58438","zcta",2019,"education_score",105.69
"58439","zcta",2019,"education_score",102.97
"58440","zcta",2019,"education_score",88.73
"58441","zcta",2019,"education_score",68.79
"58442","zcta",2019,"education_score",92.4
"58443","zcta",2019,"education_score",137.48
"58444","zcta",2019,"education_score",90.35
"58445","zcta",2019,"education_score",91.76
"58448","zcta",2019,"education_score",111.7
"58451","zcta",2019,"education_score",110.96
"58452","zcta",2019,"education_score",NA
"58454","zcta",2019,"education_score",92.46
"58455","zcta",2019,"education_score",97.49
"58456","zcta",2019,"education_score",97.58
"58458","zcta",2019,"education_score",88.98
"58460","zcta",2019,"education_score",92.5
"58461","zcta",2019,"education_score",96.17
"58463","zcta",2019,"education_score",80.1
"58464","zcta",2019,"education_score",116.81
"58466","zcta",2019,"education_score",98.24
"58467","zcta",2019,"education_score",96.29
"58472","zcta",2019,"education_score",110.73
"58474","zcta",2019,"education_score",104.3
"58475","zcta",2019,"education_score",87.45
