"geoid","geolevel","year","level","value"
"73002","zcta",2019,"education_score",97.25
"73003","zcta",2019,"education_score",111.94
"73004","zcta",2019,"education_score",101.94
"73005","zcta",2019,"education_score",90
"73006","zcta",2019,"education_score",103.64
"73007","zcta",2019,"education_score",112.13
"73008","zcta",2019,"education_score",94.84
"73009","zcta",2019,"education_score",93.53
"73010","zcta",2019,"education_score",96.2
"73011","zcta",2019,"education_score",85.7
"73012","zcta",2019,"education_score",122.89
"73013","zcta",2019,"education_score",120.17
"73014","zcta",2019,"education_score",104.97
"73015","zcta",2019,"education_score",81.9
"73016","zcta",2019,"education_score",103.67
"73017","zcta",2019,"education_score",83.3
"73018","zcta",2019,"education_score",92.05
"73019","zcta",2019,"education_score",NA
"73020","zcta",2019,"education_score",107.38
"73021","zcta",2019,"education_score",123.93
"73024","zcta",2019,"education_score",106.99
"73025","zcta",2019,"education_score",124.4
"73026","zcta",2019,"education_score",103.47
"73027","zcta",2019,"education_score",99.12
"73028","zcta",2019,"education_score",100.21
"73029","zcta",2019,"education_score",89.19
"73030","zcta",2019,"education_score",80.55
"73032","zcta",2019,"education_score",96.97
"73033","zcta",2019,"education_score",50.9
"73034","zcta",2019,"education_score",117.11
"73036","zcta",2019,"education_score",86.94
"73038","zcta",2019,"education_score",94.29
"73040","zcta",2019,"education_score",91.76
"73041","zcta",2019,"education_score",91.06
"73042","zcta",2019,"education_score",83.67
"73043","zcta",2019,"education_score",93.52
"73044","zcta",2019,"education_score",93.67
"73045","zcta",2019,"education_score",95.66
"73047","zcta",2019,"education_score",72.32
"73048","zcta",2019,"education_score",90.37
"73049","zcta",2019,"education_score",100.83
"73050","zcta",2019,"education_score",NA
"73051","zcta",2019,"education_score",88.85
"73052","zcta",2019,"education_score",86.68
"73053","zcta",2019,"education_score",86.37
"73054","zcta",2019,"education_score",103.49
"73055","zcta",2019,"education_score",96.13
"73056","zcta",2019,"education_score",107.02
"73057","zcta",2019,"education_score",90.74
"73058","zcta",2019,"education_score",102.74
"73059","zcta",2019,"education_score",96.37
"73061","zcta",2019,"education_score",104.47
"73062","zcta",2019,"education_score",95.93
"73063","zcta",2019,"education_score",101.89
"73064","zcta",2019,"education_score",106.85
"73065","zcta",2019,"education_score",105.41
"73066","zcta",2019,"education_score",92.54
"73067","zcta",2019,"education_score",87.76
"73068","zcta",2019,"education_score",93.1
"73069","zcta",2019,"education_score",105.68
"73071","zcta",2019,"education_score",107.41
"73072","zcta",2019,"education_score",113.94
"73073","zcta",2019,"education_score",100.49
"73074","zcta",2019,"education_score",98.53
"73075","zcta",2019,"education_score",83.98
"73077","zcta",2019,"education_score",101.59
"73078","zcta",2019,"education_score",104.9
"73079","zcta",2019,"education_score",93.27
"73080","zcta",2019,"education_score",88.73
"73082","zcta",2019,"education_score",93.23
"73084","zcta",2019,"education_score",85.38
"73086","zcta",2019,"education_score",87.13
"73089","zcta",2019,"education_score",101.93
"73090","zcta",2019,"education_score",97.65
"73092","zcta",2019,"education_score",78.23
"73093","zcta",2019,"education_score",98.67
"73095","zcta",2019,"education_score",96.1
"73096","zcta",2019,"education_score",98.32
"73097","zcta",2019,"education_score",125.94
