"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"02802","zcta",2019,76.39,124.46,106.25,90.28,"education_score",87.16
"02804","zcta",2019,118.26,152.39,79.32,87.62,"education_score",134
"02806","zcta",2019,126.77,131.55,116.95,99.36,"education_score",129.67
"02807","zcta",2019,119.41,106.74,96.81,84.17,"education_score",119.23
"02808","zcta",2019,95.09,124.49,121.03,92.74,"education_score",99.5
"02809","zcta",2019,107.56,112.4,104.14,89.21,"education_score",111.19
"02812","zcta",2019,127.29,124.8,131.31,93.73,"education_score",125.66
"02813","zcta",2019,114.99,113.68,90.81,85.16,"education_score",118.42
"02814","zcta",2019,112.95,134.7,94.11,94.5,"education_score",122.22
"02815","zcta",2019,136.88,106.51,123.77,91.13,"education_score",128.46
"02816","zcta",2019,109,118.05,99.22,104.18,"education_score",112.77
"02817","zcta",2019,119.83,132.46,103.4,93.93,"education_score",126.44
"02818","zcta",2019,124.33,145.19,104.68,109.3,"education_score",133.38
"02822","zcta",2019,117.9,111.24,94.66,91.43,"education_score",119.75
"02825","zcta",2019,109.73,128.09,94.44,97.95,"education_score",117.15
"02826","zcta",2019,76.97,123.16,86.64,90.14,"education_score",91.24
"02827","zcta",2019,105.73,118.63,88.4,87.15,"education_score",112.36
"02828","zcta",2019,114.86,121.45,91.2,97.59,"education_score",120.06
"02830","zcta",2019,114.33,142.88,113.04,93.39,"education_score",123.22
"02831","zcta",2019,116.19,128.95,100.49,108.38,"education_score",121.43
"02832","zcta",2019,119.61,134.67,101.84,96.61,"education_score",125.93
"02833","zcta",2019,111.13,107.63,107.83,91.95,"education_score",110.1
"02835","zcta",2019,127.9,150.14,96.73,86.46,"education_score",140.17
"02836","zcta",2019,119.1,106.51,43.56,90.14,"education_score",126.22
"02837","zcta",2019,120.54,127.83,81.44,88.19,"education_score",129.56
"02838","zcta",2019,112.03,87.76,113.24,88.55,"education_score",104.17
"02839","zcta",2019,80.85,132.34,90.52,90.47,"education_score",96.5
"02840","zcta",2019,118.74,106.77,88.2,94.21,"education_score",120.47
"02841","zcta",2019,NA,NA,NA,NA,"education_score",NA
"02842","zcta",2019,116.31,123.17,93.31,98.33,"education_score",122.04
"02852","zcta",2019,119.09,125.68,95.63,102.28,"education_score",124.57
"02857","zcta",2019,119.84,131.9,94.19,103.05,"education_score",126.95
"02858","zcta",2019,104.07,139.44,71.14,90.14,"education_score",120.04
"02859","zcta",2019,107.12,114.96,94.06,99.73,"education_score",111.25
"02860","zcta",2019,82.26,99.43,103.34,112.11,"education_score",85.36
"02861","zcta",2019,97.68,114.85,89.29,101.2,"education_score",104.54
"02863","zcta",2019,47.89,82.43,115.59,107.23,"education_score",50.69
"02864","zcta",2019,108.06,122.5,97.2,102.19,"education_score",114.22
"02865","zcta",2019,111.47,137.26,102.82,101.29,"education_score",120.64
"02871","zcta",2019,121.41,125.53,103.2,90.34,"education_score",125.91
"02872","zcta",2019,96,80.97,43.56,88.15,"education_score",100.46
"02873","zcta",2019,135.41,139.44,73.33,89.77,"education_score",145.13
"02874","zcta",2019,120.75,136.42,110.82,90.35,"education_score",127.83
"02875","zcta",2019,130.3,128.31,126.19,93.01,"education_score",128.14
"02876","zcta",2019,124.51,102.31,147.62,87.15,"education_score",112.23
"02878","zcta",2019,112.25,113.74,85.27,92.33,"education_score",116.91
"02879","zcta",2019,121.22,120.77,94.41,98.39,"education_score",125.57
"02881","zcta",2019,NA,NA,NA,NA,"education_score",NA
"02882","zcta",2019,125.65,122.84,99.18,88.4,"education_score",129.91
"02885","zcta",2019,106.97,105.91,91.4,90.32,"education_score",109.66
"02886","zcta",2019,110.49,125.71,90.47,94.15,"education_score",118.37
"02888","zcta",2019,116.62,123.26,85.2,91.23,"education_score",123.62
"02889","zcta",2019,108.73,109.26,91.56,96.21,"education_score",111.27
"02891","zcta",2019,113.84,116.4,88.57,90.2,"education_score",118.73
"02892","zcta",2019,119.83,142.82,97.54,95.51,"education_score",129.91
"02893","zcta",2019,104.1,107.84,94.69,120.27,"education_score",105.99
"02894","zcta",2019,103.19,112.96,81.46,101.31,"education_score",109.54
"02895","zcta",2019,87.99,93.55,97.69,98.14,"education_score",88.76
"02896","zcta",2019,109.72,135.16,98.03,87.26,"education_score",119.33
"02898","zcta",2019,109.28,100.69,89.36,94.12,"education_score",109.14
"02903","zcta",2019,101.92,82.84,104.08,117,"education_score",98.05
"02904","zcta",2019,100.83,112.5,100.55,105.19,"education_score",104.36
"02905","zcta",2019,90.28,97.48,118.16,107.09,"education_score",89.43
"02906","zcta",2019,127.95,110.53,106.58,96.28,"education_score",127.95
"02907","zcta",2019,63.59,88.21,119.02,117.05,"education_score",64.03
"02908","zcta",2019,100.57,98.64,111.58,107.21,"education_score",98.69
"02909","zcta",2019,72.7,95.12,112,123.11,"education_score",74.1
"02910","zcta",2019,103.59,117.12,102.55,110.14,"education_score",107.47
"02911","zcta",2019,110.87,110.85,97.61,103.52,"education_score",112.59
"02912","zcta",2019,NA,NA,NA,NA,"education_score",NA
"02914","zcta",2019,83.66,103.01,94.94,102.37,"education_score",88.81
"02915","zcta",2019,112.28,119.76,87.42,94.38,"education_score",118.54
"02916","zcta",2019,110.06,113.72,93.23,92.34,"education_score",114.72
"02917","zcta",2019,112.01,118.54,107.87,104.52,"education_score",115.07
"02919","zcta",2019,104.78,110.04,86.39,103.24,"education_score",109.01
"02920","zcta",2019,104.21,119.94,93,120.17,"education_score",110.48
"02921","zcta",2019,113.88,132.62,101.72,94.35,"education_score",121.88
"02802","zcta",2019,76.39,124.46,106.25,90.28,"education_score",87.16
"02804","zcta",2019,118.26,152.39,79.32,87.62,"education_score",134
"02806","zcta",2019,126.77,131.55,116.95,99.36,"education_score",129.67
"02807","zcta",2019,119.41,106.74,96.81,84.17,"education_score",119.23
"02808","zcta",2019,95.09,124.49,121.03,92.74,"education_score",99.5
"02809","zcta",2019,107.56,112.4,104.14,89.21,"education_score",111.19
"02812","zcta",2019,127.29,124.8,131.31,93.73,"education_score",125.66
"02813","zcta",2019,114.99,113.68,90.81,85.16,"education_score",118.42
"02814","zcta",2019,112.95,134.7,94.11,94.5,"education_score",122.22
"02815","zcta",2019,136.88,106.51,123.77,91.13,"education_score",128.46
"02816","zcta",2019,109,118.05,99.22,104.18,"education_score",112.77
"02817","zcta",2019,119.83,132.46,103.4,93.93,"education_score",126.44
"02818","zcta",2019,124.33,145.19,104.68,109.3,"education_score",133.38
"02822","zcta",2019,117.9,111.24,94.66,91.43,"education_score",119.75
"02825","zcta",2019,109.73,128.09,94.44,97.95,"education_score",117.15
"02826","zcta",2019,76.97,123.16,86.64,90.14,"education_score",91.24
"02827","zcta",2019,105.73,118.63,88.4,87.15,"education_score",112.36
"02828","zcta",2019,114.86,121.45,91.2,97.59,"education_score",120.06
"02830","zcta",2019,114.33,142.88,113.04,93.39,"education_score",123.22
"02831","zcta",2019,116.19,128.95,100.49,108.38,"education_score",121.43
"02832","zcta",2019,119.61,134.67,101.84,96.61,"education_score",125.93
"02833","zcta",2019,111.13,107.63,107.83,91.95,"education_score",110.1
"02835","zcta",2019,127.9,150.14,96.73,86.46,"education_score",140.17
"02836","zcta",2019,119.1,106.51,43.56,90.14,"education_score",126.22
"02837","zcta",2019,120.54,127.83,81.44,88.19,"education_score",129.56
"02838","zcta",2019,112.03,87.76,113.24,88.55,"education_score",104.17
"02839","zcta",2019,80.85,132.34,90.52,90.47,"education_score",96.5
