"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"57001","zcta",2019,97.64,94.96,93.18,90.71,"education_score",97.72
"57002","zcta",2019,121,102.45,120.93,93.57,"education_score",113.85
"57003","zcta",2019,116.92,112.01,128.75,94.75,"education_score",111.83
"57004","zcta",2019,104.74,97.87,107.4,92.75,"education_score",102.07
"57005","zcta",2019,118.11,106.6,126.08,92.19,"education_score",112.2
"57006","zcta",2019,117.36,91.44,127.77,109.17,"education_score",108.31
"57010","zcta",2019,90.39,123.95,71.84,117.28,"education_score",103.58
"57012","zcta",2019,102.18,103.63,94.92,98.06,"education_score",103.93
"57013","zcta",2019,101.93,101.1,100.57,93.7,"education_score",101.21
"57014","zcta",2019,114.2,85.32,97.5,98.32,"education_score",107.16
"57015","zcta",2019,104.2,80.99,122.35,93.19,"education_score",93.2
"57016","zcta",2019,109.18,117.31,109.26,91.99,"education_score",111.02
"57017","zcta",2019,113.42,81.56,104.53,88.87,"education_score",104.24
"57018","zcta",2019,107.4,97.11,110.79,86.16,"education_score",103.42
"57020","zcta",2019,118.13,119.62,111.49,87.15,"education_score",118.11
"57021","zcta",2019,115.17,118.18,116.34,99.87,"education_score",114.47
"57022","zcta",2019,112,102.65,103.02,109.54,"education_score",109.35
"57024","zcta",2019,99.31,112.38,113.29,94.16,"education_score",99.78
"57025","zcta",2019,104.64,100.93,112.77,97.29,"education_score",101.42
"57026","zcta",2019,106.11,88.11,109.73,126.85,"education_score",98.57
"57027","zcta",2019,93.32,115.73,64.54,83.17,"education_score",105.56
"57028","zcta",2019,92.57,85.97,118.1,91.33,"education_score",86.94
"57029","zcta",2019,90.5,90.19,99.1,129.48,"education_score",88.78
"57030","zcta",2019,115.18,104.95,105.97,96.02,"education_score",112.21
"57031","zcta",2019,107.55,99.35,90.95,92.69,"education_score",106.92
"57032","zcta",2019,121,100.74,122.19,94.37,"education_score",113.47
"57033","zcta",2019,119.39,92.17,115.78,94.12,"education_score",110.8
"57034","zcta",2019,105.99,89.04,99.14,91.99,"education_score",100.85
"57035","zcta",2019,118.51,98.01,106.18,107.26,"education_score",112.5
"57036","zcta",2019,109.88,95.66,90.22,111.67,"education_score",107.16
"57037","zcta",2019,95.22,83.77,103.23,104.24,"education_score",90.03
"57038","zcta",2019,120.84,118.1,105.69,87.15,"education_score",120.88
"57039","zcta",2019,102.37,89.97,123.64,110.44,"education_score",93.99
"57040","zcta",2019,106,113.84,60.34,93.9,"education_score",114.01
"57041","zcta",2019,123.48,106.51,183.36,86.16,"education_score",103.99
"57042","zcta",2019,109.15,79.8,109.83,106.46,"education_score",100.05
"57043","zcta",2019,109.92,81.52,86.04,148.87,"education_score",102.98
"57045","zcta",2019,97.01,75.67,89.06,115.11,"education_score",91.51
"57046","zcta",2019,113.8,82.07,100.62,90.2,"education_score",104.25
"57047","zcta",2019,99.3,98.5,117.64,123.25,"education_score",94.35
"57048","zcta",2019,104.33,94.25,125.83,125.46,"education_score",96.4
"57049","zcta",2019,111.77,122.47,105.71,87.15,"education_score",115.79
"57050","zcta",2019,86.68,84.87,113.32,97.15,"education_score",82.11
"57051","zcta",2019,111.79,84.65,79.85,97.71,"education_score",107.17
"57052","zcta",2019,116.65,101.74,75.71,119.3,"education_score",116.38
"57053","zcta",2019,108.08,100.07,111.58,118.7,"education_score",103.99
"57054","zcta",2019,104.52,85.39,77.95,98.54,"education_score",103.28
"57055","zcta",2019,107.5,87.62,99.58,96.15,"education_score",102.21
"57057","zcta",2019,116.5,110.3,96.21,96.79,"education_score",116.32
"57058","zcta",2019,88.26,87.77,106.13,114.85,"education_score",85.64
"57059","zcta",2019,108.46,85.81,94.35,109.33,"education_score",103.57
"57061","zcta",2019,NA,NA,NA,NA,"education_score",NA
"57062","zcta",2019,NA,NA,NA,NA,"education_score",NA
"57063","zcta",2019,93.49,96.31,94.28,104.85,"education_score",93.73
"57064","zcta",2019,116.78,102.34,142.01,102.45,"education_score",106.82
"57065","zcta",2019,109.02,84.88,68.69,92.94,"education_score",107.32
"57066","zcta",2019,92.5,85.8,114.32,103.58,"education_score",86.93
"57067","zcta",2019,77.95,108.91,99.78,89.79,"education_score",85.38
"57068","zcta",2019,112.39,99.4,111.41,99.84,"education_score",107.15
"57069","zcta",2019,121.05,92.53,129.66,92.4,"education_score",112.53
"57070","zcta",2019,100.22,91.59,85.25,101.67,"education_score",100.13
"57071","zcta",2019,121.36,95.1,105.12,100.76,"education_score",114.79
"57072","zcta",2019,110.74,77.17,102.52,94.56,"education_score",101.05
"57073","zcta",2019,111.67,87.65,129.62,99.36,"education_score",99.86
"57075","zcta",2019,115.48,104.6,72.06,105.29,"education_score",118.76
"57076","zcta",2019,90.24,123.23,97.91,106.06,"education_score",98.69
"57077","zcta",2019,107.17,88.35,110.73,91.06,"education_score",99.55
"57078","zcta",2019,102.08,87.76,98.36,105.31,"education_score",98.06
"57103","zcta",2019,102.49,93.58,98.94,114.2,"education_score",99.93
"57104","zcta",2019,96.57,85.21,101.09,123.3,"education_score",91.74
"57105","zcta",2019,120.11,102.17,95.92,120.33,"education_score",117.66
"57106","zcta",2019,115.68,101.52,107.64,104.13,"education_score",111.98
"57107","zcta",2019,108.29,97.14,102.55,98.17,"education_score",105.41
"57108","zcta",2019,120.02,97.28,108.18,98.29,"education_score",114.65
"57110","zcta",2019,107.71,106.24,112.04,92.2,"education_score",106.61
"57117","zcta",2019,NA,NA,NA,NA,"education_score",NA
"57197","zcta",2019,NA,NA,NA,NA,"education_score",NA
"57201","zcta",2019,106.49,93.18,104.14,111.33,"education_score",101.97
"57212","zcta",2019,110.25,96.12,102.32,120.57,"education_score",106.36
"57213","zcta",2019,104.56,100.9,90.52,98.14,"education_score",105.57
"57214","zcta",2019,NA,NA,NA,NA,"education_score",NA
"57216","zcta",2019,100.88,108.08,67.37,101.9,"education_score",107.86
