"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"75001","zcta",2019,124.7,116.64,82.53,102.66,"education_score",128.78
"75002","zcta",2019,115.99,125.75,124.5,163.17,"education_score",115.29
"75006","zcta",2019,81.53,110.06,109.21,121.17,"education_score",86.76
"75007","zcta",2019,106.63,120.94,103.17,123.21,"education_score",111.24
"75009","zcta",2019,101.93,121.65,118.69,99.31,"education_score",105.06
"75010","zcta",2019,118.58,124.29,98.25,116.29,"education_score",123
"75013","zcta",2019,127.46,136.8,131.99,118.34,"education_score",128.38
"75019","zcta",2019,127.82,132.3,116.42,125.28,"education_score",129.92
"75020","zcta",2019,102.81,88.37,101.59,110.34,"education_score",97.62
"75021","zcta",2019,96.31,97,97.95,101.56,"education_score",95.85
"75022","zcta",2019,123.3,141.62,127.13,121.39,"education_score",127.07
"75023","zcta",2019,118.01,113.14,100.16,113.13,"education_score",118.81
"75024","zcta",2019,132.95,129.78,105.61,100.22,"education_score",135.89
"75025","zcta",2019,124.55,129.29,117.83,106.1,"education_score",126.63
"75028","zcta",2019,124.66,132.67,118.52,118.32,"education_score",126.96
"75032","zcta",2019,105.61,124.15,117.91,114.33,"education_score",109.22
"75034","zcta",2019,123.22,132.01,125.44,173.88,"education_score",122.86
"75035","zcta",2019,125.29,138.65,136.18,143.99,"education_score",125.57
"75038","zcta",2019,115.96,110.11,101.35,97.16,"education_score",116.33
"75039","zcta",2019,136.42,134.32,77.25,96.17,"education_score",145.18
"75040","zcta",2019,66.49,97.53,120.15,127.18,"education_score",68.78
"75041","zcta",2019,51.49,88.15,128.06,139.3,"education_score",52
"75042","zcta",2019,41.91,91.23,125.32,111.18,"education_score",47.08
"75043","zcta",2019,94.32,103.59,120.02,124.17,"education_score",92.61
"75044","zcta",2019,101.45,107.34,103.23,133.28,"education_score",102.71
"75048","zcta",2019,102.75,127.99,108.85,125.42,"education_score",109
"75050","zcta",2019,67.64,114.95,116.06,118.21,"education_score",76
"75051","zcta",2019,46.52,87.84,123.62,139.24,"education_score",48.83
"75052","zcta",2019,97.36,115.11,125.05,158.07,"education_score",96.99
