"geoid","geolevel","year","level","value"
"83312","zcta",2019,"education_score",122.86
"84001","zcta",2019,"education_score",89.88
"84002","zcta",2019,"education_score",90.92
"84003","zcta",2019,"education_score",104.29
"84004","zcta",2019,"education_score",113.66
"84005","zcta",2019,"education_score",95.91
"84006","zcta",2019,"education_score",100.24
"84007","zcta",2019,"education_score",99.12
"84010","zcta",2019,"education_score",110.37
"84013","zcta",2019,"education_score",96.42
"84014","zcta",2019,"education_score",116.68
"84015","zcta",2019,"education_score",97.15
"84017","zcta",2019,"education_score",96.2
"84018","zcta",2019,"education_score",104.07
"84020","zcta",2019,"education_score",113.63
"84021","zcta",2019,"education_score",93.14
"84022","zcta",2019,"education_score",121.26
"84023","zcta",2019,"education_score",98.4
"84024","zcta",2019,"education_score",NA
"84025","zcta",2019,"education_score",113.1
"84026","zcta",2019,"education_score",69.29
"84027","zcta",2019,"education_score",97.39
"84028","zcta",2019,"education_score",96.56
"84029","zcta",2019,"education_score",97.96
"84031","zcta",2019,"education_score",100.68
"84032","zcta",2019,"education_score",100.85
"84033","zcta",2019,"education_score",106.36
"84034","zcta",2019,"education_score",76.34
"84035","zcta",2019,"education_score",93.97
"84036","zcta",2019,"education_score",104.37
"84037","zcta",2019,"education_score",113.59
"84038","zcta",2019,"education_score",127.04
"84039","zcta",2019,"education_score",87.26
"84040","zcta",2019,"education_score",112.62
"84041","zcta",2019,"education_score",99.43
"84042","zcta",2019,"education_score",105.05
"84043","zcta",2019,"education_score",107.37
"84044","zcta",2019,"education_score",73.43
"84045","zcta",2019,"education_score",110.64
"84046","zcta",2019,"education_score",100.57
"84047","zcta",2019,"education_score",104.52
"84049","zcta",2019,"education_score",120.08
"84050","zcta",2019,"education_score",108.57
"84051","zcta",2019,"education_score",90.53
"84052","zcta",2019,"education_score",74.91
"84053","zcta",2019,"education_score",94.12
"84054","zcta",2019,"education_score",110.52
"84055","zcta",2019,"education_score",113.17
"84056","zcta",2019,"education_score",117.45
"84057","zcta",2019,"education_score",97.54
"84058","zcta",2019,"education_score",102.8
"84060","zcta",2019,"education_score",120.41
"84061","zcta",2019,"education_score",117.79
"84062","zcta",2019,"education_score",101.34
"84063","zcta",2019,"education_score",59.47
"84064","zcta",2019,"education_score",96.87
"84065","zcta",2019,"education_score",106.82
"84066","zcta",2019,"education_score",86.15
"84067","zcta",2019,"education_score",94.4
"84069","zcta",2019,"education_score",106.12
"84070","zcta",2019,"education_score",107.7
"84071","zcta",2019,"education_score",108.6
"84072","zcta",2019,"education_score",79.5
"84073","zcta",2019,"education_score",102.26
"84074","zcta",2019,"education_score",97.47
"84075","zcta",2019,"education_score",102.41
"84076","zcta",2019,"education_score",94.31
"84078","zcta",2019,"education_score",91.07
"84080","zcta",2019,"education_score",81.75
"84081","zcta",2019,"education_score",99.69
"84082","zcta",2019,"education_score",105.97
"84083","zcta",2019,"education_score",31.96
