"geoid","geolevel","year","level","value"
"20105","zcta",2019,"education_score",132.25
"20106","zcta",2019,"education_score",117.3
"20109","zcta",2019,"education_score",87.77
"20110","zcta",2019,"education_score",94.63
"20111","zcta",2019,"education_score",92.77
"20112","zcta",2019,"education_score",121.96
"20115","zcta",2019,"education_score",124.27
"20117","zcta",2019,"education_score",116.34
"20118","zcta",2019,"education_score",NA
"20119","zcta",2019,"education_score",105.8
"20120","zcta",2019,"education_score",125.85
"20121","zcta",2019,"education_score",119.66
"20124","zcta",2019,"education_score",135.21
"20129","zcta",2019,"education_score",162.33
"20130","zcta",2019,"education_score",133.37
"20132","zcta",2019,"education_score",124.15
"20135","zcta",2019,"education_score",105.96
"20136","zcta",2019,"education_score",122.19
"20137","zcta",2019,"education_score",110.31
"20139","zcta",2019,"education_score",136.84
"20141","zcta",2019,"education_score",125.76
"20143","zcta",2019,"education_score",114.67
"20144","zcta",2019,"education_score",136.07
"20147","zcta",2019,"education_score",130.02
"20148","zcta",2019,"education_score",134.85
"20151","zcta",2019,"education_score",115.95
"20152","zcta",2019,"education_score",133.65
"20155","zcta",2019,"education_score",122.2
"20158","zcta",2019,"education_score",129.91
"20164","zcta",2019,"education_score",95.21
"20165","zcta",2019,"education_score",133.54
"20166","zcta",2019,"education_score",123.53
"20169","zcta",2019,"education_score",127.66
"20170","zcta",2019,"education_score",111.3
"20171","zcta",2019,"education_score",134.65
"20175","zcta",2019,"education_score",129.67
"20176","zcta",2019,"education_score",120.13
"20180","zcta",2019,"education_score",125.17
"20181","zcta",2019,"education_score",116.15
"20184","zcta",2019,"education_score",91.2
"20186","zcta",2019,"education_score",118.57
"20187","zcta",2019,"education_score",123
"20190","zcta",2019,"education_score",139.12
"20191","zcta",2019,"education_score",126.8
"20194","zcta",2019,"education_score",147.73
"20197","zcta",2019,"education_score",126.88
"20198","zcta",2019,"education_score",122.64
"22003","zcta",2019,"education_score",107
"22015","zcta",2019,"education_score",125.46
"22025","zcta",2019,"education_score",123.39
"22026","zcta",2019,"education_score",99.13
"22027","zcta",2019,"education_score",135.76
"22030","zcta",2019,"education_score",121.31
"22031","zcta",2019,"education_score",129.49
"22032","zcta",2019,"education_score",127.26
"22033","zcta",2019,"education_score",135.43
"22035","zcta",2019,"education_score",NA
"22039","zcta",2019,"education_score",136.85
"22041","zcta",2019,"education_score",94.94
"22042","zcta",2019,"education_score",116.06
"22043","zcta",2019,"education_score",127.69
"22044","zcta",2019,"education_score",105.64
"22046","zcta",2019,"education_score",134.34
"22060","zcta",2019,"education_score",112.49
"22066","zcta",2019,"education_score",140.81
"22079","zcta",2019,"education_score",118.06
"22101","zcta",2019,"education_score",140.16
"22102","zcta",2019,"education_score",144.16
"22124","zcta",2019,"education_score",140.21
"22125","zcta",2019,"education_score",139.31
"22134","zcta",2019,"education_score",NA
"22150","zcta",2019,"education_score",99.16
"22151","zcta",2019,"education_score",111.95
"22152","zcta",2019,"education_score",125.41
"22153","zcta",2019,"education_score",130.03
"22172","zcta",2019,"education_score",98.1
"22180","zcta",2019,"education_score",131.37
"22181","zcta",2019,"education_score",133.68
"22182","zcta",2019,"education_score",135.64
"22185","zcta",2019,"education_score",NA
"22191","zcta",2019,"education_score",100.38
"22192","zcta",2019,"education_score",115.89
"22193","zcta",2019,"education_score",94.91
"22201","zcta",2019,"education_score",150.53
"22202","zcta",2019,"education_score",151.07
"22203","zcta",2019,"education_score",136.47
"22204","zcta",2019,"education_score",118.18
"22205","zcta",2019,"education_score",137.03
"22206","zcta",2019,"education_score",140.43
"22207","zcta",2019,"education_score",144.92
"22209","zcta",2019,"education_score",151.67
"22211","zcta",2019,"education_score",NA
"22213","zcta",2019,"education_score",150.99
"22214","zcta",2019,"education_score",NA
"22301","zcta",2019,"education_score",151.51
"22302","zcta",2019,"education_score",141.99
"22303","zcta",2019,"education_score",130.05
"22304","zcta",2019,"education_score",126.05
"22305","zcta",2019,"education_score",107.45
"22306","zcta",2019,"education_score",92.24
"22307","zcta",2019,"education_score",135.05
"22308","zcta",2019,"education_score",143.57
"22309","zcta",2019,"education_score",102.93
"22310","zcta",2019,"education_score",125.98
"22311","zcta",2019,"education_score",111.74
"22312","zcta",2019,"education_score",112.18
"22314","zcta",2019,"education_score",151.41
"22315","zcta",2019,"education_score",129.67
"22401","zcta",2019,"education_score",107.19
"22405","zcta",2019,"education_score",117.71
"22406","zcta",2019,"education_score",117.77
"22407","zcta",2019,"education_score",108.86
"22408","zcta",2019,"education_score",114.19
"22427","zcta",2019,"education_score",NA
"22432","zcta",2019,"education_score",119.01
"22433","zcta",2019,"education_score",107.28
"22435","zcta",2019,"education_score",110.03
"22436","zcta",2019,"education_score",90.79
"22437","zcta",2019,"education_score",117.51
"22438","zcta",2019,"education_score",88.38
"22443","zcta",2019,"education_score",96.42
"22448","zcta",2019,"education_score",121.68
"22454","zcta",2019,"education_score",102.78
"22460","zcta",2019,"education_score",94.72
"22469","zcta",2019,"education_score",78.37
"22473","zcta",2019,"education_score",100.94
"22476","zcta",2019,"education_score",104.1
"22480","zcta",2019,"education_score",137.92
"22482","zcta",2019,"education_score",109.14
"22485","zcta",2019,"education_score",113.59
"22488","zcta",2019,"education_score",86.05
"22503","zcta",2019,"education_score",112.14
"22504","zcta",2019,"education_score",75.29
"22508","zcta",2019,"education_score",113.63
"22509","zcta",2019,"education_score",130.5
"22511","zcta",2019,"education_score",133.03
"22514","zcta",2019,"education_score",101.99
"22520","zcta",2019,"education_score",98.52
"22529","zcta",2019,"education_score",98.03
"22530","zcta",2019,"education_score",135.71
"22534","zcta",2019,"education_score",97.54
"22535","zcta",2019,"education_score",116.99
"22538","zcta",2019,"education_score",32.17
"22539","zcta",2019,"education_score",109.27
"22542","zcta",2019,"education_score",107.05
"22546","zcta",2019,"education_score",101.97
