"geoid","geolevel","year","level","value"
"05001","zcta",2019,"education_score",121.58
"05031","zcta",2019,"education_score",138.58
"05032","zcta",2019,"education_score",105.25
"05033","zcta",2019,"education_score",105.11
"05034","zcta",2019,"education_score",136.57
"05035","zcta",2019,"education_score",115.59
"05036","zcta",2019,"education_score",123.37
"05037","zcta",2019,"education_score",129.86
"05038","zcta",2019,"education_score",106.56
"05039","zcta",2019,"education_score",109.4
"05040","zcta",2019,"education_score",116.01
"05041","zcta",2019,"education_score",85.51
"05042","zcta",2019,"education_score",97.65
"05043","zcta",2019,"education_score",122.98
"05045","zcta",2019,"education_score",114.89
"05046","zcta",2019,"education_score",107.55
"05048","zcta",2019,"education_score",112.97
"05050","zcta",2019,"education_score",111.01
"05051","zcta",2019,"education_score",106.98
"05052","zcta",2019,"education_score",114.56
"05053","zcta",2019,"education_score",128.33
"05055","zcta",2019,"education_score",129.5
"05056","zcta",2019,"education_score",113.16
"05058","zcta",2019,"education_score",92.79
"05059","zcta",2019,"education_score",132.61
"05060","zcta",2019,"education_score",118.42
"05061","zcta",2019,"education_score",104.57
"05062","zcta",2019,"education_score",113.37
"05065","zcta",2019,"education_score",114.67
"05067","zcta",2019,"education_score",144.06
"05068","zcta",2019,"education_score",105.56
"05069","zcta",2019,"education_score",106.58
"05070","zcta",2019,"education_score",122.24
"05071","zcta",2019,"education_score",142.85
"05072","zcta",2019,"education_score",115.2
"05075","zcta",2019,"education_score",126.99
"05076","zcta",2019,"education_score",91.64
"05077","zcta",2019,"education_score",112.06
"05079","zcta",2019,"education_score",101.96
"05081","zcta",2019,"education_score",94.7
"05083","zcta",2019,"education_score",83.88
"05084","zcta",2019,"education_score",101.28
"05086","zcta",2019,"education_score",97.54
"05089","zcta",2019,"education_score",108.95
"05091","zcta",2019,"education_score",123.1
"05101","zcta",2019,"education_score",92.03
"05141","zcta",2019,"education_score",107.22
"05142","zcta",2019,"education_score",110.84
"05143","zcta",2019,"education_score",109.65
"05146","zcta",2019,"education_score",109.2
"05148","zcta",2019,"education_score",114.32
"05149","zcta",2019,"education_score",112.24
"05150","zcta",2019,"education_score",70.64
"05151","zcta",2019,"education_score",122.6
"05152","zcta",2019,"education_score",114.4
"05153","zcta",2019,"education_score",106.23
"05154","zcta",2019,"education_score",116.31
"05155","zcta",2019,"education_score",119.73
"05156","zcta",2019,"education_score",107.18
"05158","zcta",2019,"education_score",98.33
"05161","zcta",2019,"education_score",110.77
"05201","zcta",2019,"education_score",103.03
"05250","zcta",2019,"education_score",106.95
"05251","zcta",2019,"education_score",125.47
"05252","zcta",2019,"education_score",108.82
"05253","zcta",2019,"education_score",126.5
"05254","zcta",2019,"education_score",106.55
"05255","zcta",2019,"education_score",110.82
"05257","zcta",2019,"education_score",99.4
"05260","zcta",2019,"education_score",100.92
"05261","zcta",2019,"education_score",107.81
"05262","zcta",2019,"education_score",129.32
"05301","zcta",2019,"education_score",110.3
"05340","zcta",2019,"education_score",121.13
"05341","zcta",2019,"education_score",92.7
"05342","zcta",2019,"education_score",101.55
"05343","zcta",2019,"education_score",125.66
"05345","zcta",2019,"education_score",121.77
"05346","zcta",2019,"education_score",110.75
"05350","zcta",2019,"education_score",97.92
"05352","zcta",2019,"education_score",103.63
"05353","zcta",2019,"education_score",116.08
"05354","zcta",2019,"education_score",107.85
"05355","zcta",2019,"education_score",110.03
"05356","zcta",2019,"education_score",130.58
"05358","zcta",2019,"education_score",109.63
"05359","zcta",2019,"education_score",117.12
"05360","zcta",2019,"education_score",109.34
"05361","zcta",2019,"education_score",105.83
"05362","zcta",2019,"education_score",NA
"05363","zcta",2019,"education_score",115.43
"05401","zcta",2019,"education_score",111.48
"05403","zcta",2019,"education_score",124.67
"05404","zcta",2019,"education_score",98.62
"05405","zcta",2019,"education_score",NA
"05408","zcta",2019,"education_score",114.27
"05439","zcta",2019,"education_score",NA
"05440","zcta",2019,"education_score",100.54
"05441","zcta",2019,"education_score",104.69
"05442","zcta",2019,"education_score",107.75
"05443","zcta",2019,"education_score",112.51
"05444","zcta",2019,"education_score",118.85
"05445","zcta",2019,"education_score",132.98
"05446","zcta",2019,"education_score",118.75
