"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"53001","zcta",2019,110.66,91.81,86.23,88.82,"education_score",107.66
"53002","zcta",2019,112.01,100.11,92.27,90.92,"education_score",110.11
"53003","zcta",2019,80.36,77.34,90.64,86.16,"education_score",80.85
"53004","zcta",2019,110.66,102,108.08,93.3,"education_score",107.87
"53005","zcta",2019,124.16,130.11,97.8,111.54,"education_score",129.86
"53006","zcta",2019,103.29,90.06,98.13,109.81,"education_score",98.95
"53007","zcta",2019,117.98,111.32,93.94,86.19,"education_score",119.33
"53010","zcta",2019,103.94,96.64,100.1,102.4,"education_score",101.41
"53011","zcta",2019,109.18,104.62,99.07,96.96,"education_score",108.74
"53012","zcta",2019,123.99,118.72,102.55,112.78,"education_score",125.25
"53013","zcta",2019,113.37,130.4,103.19,91.71,"education_score",119.13
"53014","zcta",2019,105.67,111.58,99.67,128.95,"education_score",106.7
"53015","zcta",2019,102.66,104.73,101.93,88.85,"education_score",103.32
"53016","zcta",2019,101.48,86.15,103.58,93.38,"education_score",96.25
"53017","zcta",2019,120.18,143.77,95.61,115.06,"education_score",130.26
"53018","zcta",2019,126.2,129.35,102.5,104.81,"education_score",130.1
"53019","zcta",2019,105.54,103.95,94.22,102.46,"education_score",105.97
"53020","zcta",2019,112.29,112.75,92.11,113.91,"education_score",114.38
"53021","zcta",2019,110.99,126.48,105.74,96.96,"education_score",115.77
"53022","zcta",2019,120.11,130.5,105.19,95.33,"education_score",125.1
"53023","zcta",2019,NA,NA,NA,NA,"education_score",NA
"53024","zcta",2019,122.58,110.23,102.59,110.88,"education_score",121.14
"53027","zcta",2019,108.75,102.84,101.3,130.71,"education_score",106.47
"53029","zcta",2019,121.13,121.79,106.71,118.69,"education_score",122.4
"53031","zcta",2019,NA,NA,NA,NA,"education_score",NA
"53032","zcta",2019,99.29,86.78,100,105.53,"education_score",94.66
"53033","zcta",2019,117.23,135.4,77.84,102.16,"education_score",128.18
"53034","zcta",2019,106.99,100.05,102.92,94.9,"education_score",104.37
"53035","zcta",2019,105.65,90.17,100.77,104.37,"education_score",100.97
"53036","zcta",2019,120.27,99.4,99.8,98.22,"education_score",116.16
"53037","zcta",2019,115.59,98.53,97.05,95.49,"education_score",112.73
"53038","zcta",2019,113.72,104.96,105.41,97.64,"education_score",111.52
"53039","zcta",2019,105.16,98.75,92.68,116.7,"education_score",104.35
"53040","zcta",2019,111.31,101.78,102.17,102.86,"education_score",108.58
"53042","zcta",2019,109.38,98.51,96.99,106.19,"education_score",107.13
"53044","zcta",2019,122.74,110.06,115.91,107.52,"education_score",119.52
"53045","zcta",2019,126.5,134.72,99.23,96.4,"education_score",133.51
"53046","zcta",2019,113.81,108.89,104.81,97.73,"education_score",112.46
"53047","zcta",2019,118.29,83.6,64.97,105.59,"education_score",114.15
"53048","zcta",2019,103.09,102.92,101.71,102.59,"education_score",102.83
"53049","zcta",2019,110.57,100.49,94.69,98.72,"education_score",109.74
"53050","zcta",2019,102.63,83.93,105.49,115.77,"education_score",95.56
"53051","zcta",2019,120.07,118.62,97.65,114.3,"education_score",122.12
"53057","zcta",2019,106.52,96.58,84,91.54,"education_score",107.05
"53058","zcta",2019,128.32,100.47,92.32,105.83,"education_score",125.02
"53059","zcta",2019,108.14,115.09,95.19,95.65,"education_score",111.35
"53061","zcta",2019,108.18,100.15,98.61,107.39,"education_score",106.45
"53063","zcta",2019,106.3,112.76,101.44,99.49,"education_score",108.19
"53065","zcta",2019,110.91,103.22,98.12,108.59,"education_score",109.37
"53066","zcta",2019,118.95,122.84,105.69,135.73,"education_score",120.67
"53069","zcta",2019,123.23,116.62,97.05,84.5,"education_score",125.27
"53070","zcta",2019,113.81,92.31,106.45,95.67,"education_score",107.7
"53072","zcta",2019,122.95,125.95,99.2,121.54,"education_score",126.43
"53073","zcta",2019,110.81,97.09,98,131.13,"education_score",107.41
"53074","zcta",2019,117.11,104.21,94.05,101.68,"education_score",116.16
"53075","zcta",2019,109.64,103.65,102.21,107.72,"education_score",107.59
"53076","zcta",2019,120.42,133.81,110.83,106.44,"education_score",125.21
"53078","zcta",2019,104.94,89.5,88.94,109.5,"education_score",101.78
"53079","zcta",2019,107.84,98.57,97.78,102.88,"education_score",105.97
"53080","zcta",2019,113.87,105.18,88.61,98.8,"education_score",114.23
"53081","zcta",2019,101.02,102.15,105.77,174.58,"education_score",98.24
"53083","zcta",2019,115.09,115.45,103.97,118.56,"education_score",115.54
"53085","zcta",2019,114.3,108.71,97.71,106.75,"education_score",113.58
"53086","zcta",2019,111,116.18,111.56,87.3,"education_score",111.95
"53088","zcta",2019,116.63,95.58,77.93,97.53,"education_score",114.98
"53089","zcta",2019,122.13,125.31,110.47,93.23,"education_score",124.05
"53090","zcta",2019,112.27,110.22,98.57,103.47,"education_score",112.77
"53091","zcta",2019,106.41,85.33,89.08,108.97,"education_score",101.7
"53092","zcta",2019,127.02,120.6,101.28,95.34,"education_score",129.49
"53093","zcta",2019,114.58,100.39,99.5,96.55,"education_score",111.73
"53094","zcta",2019,105.88,81.84,107.4,124.99,"education_score",96.97
"53095","zcta",2019,113.22,100.31,98.49,121.57,"education_score",110.64
"53097","zcta",2019,125.57,100.43,117.38,90.68,"education_score",119.57
"53098","zcta",2019,104.53,84.92,90.62,96.59,"education_score",100.58
"53103","zcta",2019,115.9,134.68,92.02,90.02,"education_score",124.53
"53104","zcta",2019,116.32,123.85,99.14,93.76,"education_score",120.75
"53105","zcta",2019,110.04,112.31,101.34,142.71,"education_score",110.2
"53108","zcta",2019,106.11,90.81,93.97,103.14,"education_score",102.73
"53110","zcta",2019,109.16,97.85,87.93,99.48,"education_score",108.32
"53114","zcta",2019,93.07,99.12,110.86,88.5,"education_score",92.66
"53115","zcta",2019,94.71,101.45,102.59,115.91,"education_score",95.34
"53118","zcta",2019,113.72,118.34,98.99,106.66,"education_score",116.7
"53119","zcta",2019,119.56,101.81,105.68,101.74,"education_score",114.86
"53120","zcta",2019,115.94,99.22,98.28,103.92,"education_score",112.6
"53121","zcta",2019,108.65,107.25,100.39,111.56,"education_score",108.92
"53122","zcta",2019,123,124.96,105.42,90.67,"education_score",126.72
"53125","zcta",2019,126.81,132.47,78.21,95.05,"education_score",136.15
"53126","zcta",2019,116.81,115.22,104.72,107.27,"education_score",117.12
"53128","zcta",2019,106.37,100.45,119.02,106.21,"education_score",101.09
"53129","zcta",2019,121.06,113.32,102.29,99.5,"education_score",120.98
"53130","zcta",2019,117.04,114.82,103.36,98.2,"education_score",117.88
"53132","zcta",2019,115.68,120.68,91.78,111.31,"education_score",120.35
"53137","zcta",2019,112.85,80.95,100.35,108.81,"education_score",104.09
"53139","zcta",2019,119.1,96.65,81.04,96.2,"education_score",117.23
"53140","zcta",2019,95.23,84,111.21,103.4,"education_score",89.36
"53142","zcta",2019,110.33,113.7,113.71,111.4,"education_score",109.75
"53143","zcta",2019,97.6,97.72,106.51,111.38,"education_score",95.54
"53144","zcta",2019,100.56,106.88,107.81,121.41,"education_score",100.85
"53146","zcta",2019,117.46,120.06,92.78,90.49,"education_score",121.59
"53147","zcta",2019,107.64,102.09,99.14,136.44,"education_score",106.36
"53149","zcta",2019,121.23,112.58,103.86,129.82,"education_score",119.3
"53150","zcta",2019,118.3,132.02,107.08,108.51,"education_score",122.93
"53151","zcta",2019,122.91,118.79,91.57,98.32,"education_score",126.14
"53153","zcta",2019,117.97,116,112.74,88.18,"education_score",117.55
"53154","zcta",2019,114.34,113.74,99.73,106.31,"education_score",115.59
