"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"04001","county",2023,84.8,80.26,132.21,95.71,"education_score",79.53
"04003","county",2023,101.71,106.77,99.25,91.48,"education_score",106.2
"04005","county",2023,120.09,104.42,121.92,91.69,"education_score",120.37
"04007","county",2023,102.08,90.59,81.76,98.54,"education_score",96.7
"04009","county",2023,81.61,103,127.84,97.73,"education_score",86.75
"04011","county",2023,95.17,88.65,121.19,100.31,"education_score",90.83
"04012","county",2023,78.7,105.89,63.8,106.71,"education_score",85.07
"04013","county",2023,107.02,124.09,108.43,-110.79,"education_score",149.15
"04015","county",2023,95.1,99.87,67.01,90.24,"education_score",97.64
"04017","county",2023,87.55,86.79,118.35,90.95,"education_score",85.38
"04019","county",2023,109.42,108.72,98.59,40.68,"education_score",121.74
"04021","county",2023,99.72,105.23,96.45,78.79,"education_score",104.8
"04023","county",2023,65.82,102.38,121.03,96.61,"education_score",78.05
"04025","county",2023,112.26,99.1,68.73,86.58,"education_score",111.94
"04027","county",2023,55.92,96.4,116.33,87.41,"education_score",70.19
"04001","county",2023,84.8,80.26,132.21,95.71,"education_score",79.53
"04003","county",2023,101.71,106.77,99.25,91.48,"education_score",106.2
"04005","county",2023,120.09,104.42,121.92,91.69,"education_score",120.37
"04007","county",2023,102.08,90.59,81.76,98.54,"education_score",96.7
"04009","county",2023,81.61,103,127.84,97.73,"education_score",86.75
"04011","county",2023,95.17,88.65,121.19,100.31,"education_score",90.83
"04012","county",2023,78.7,105.89,63.8,106.71,"education_score",85.07
"04013","county",2023,107.02,124.09,108.43,-110.79,"education_score",149.15
"04015","county",2023,95.1,99.87,67.01,90.24,"education_score",97.64
"04017","county",2023,87.55,86.79,118.35,90.95,"education_score",85.38
"04019","county",2023,109.42,108.72,98.59,40.68,"education_score",121.74
"04021","county",2023,99.72,105.23,96.45,78.79,"education_score",104.8
"04023","county",2023,65.82,102.38,121.03,96.61,"education_score",78.05
"04025","county",2023,112.26,99.1,68.73,86.58,"education_score",111.94
"04027","county",2023,55.92,96.4,116.33,87.41,"education_score",70.19
"04001","county",2023,84.8,80.26,132.21,95.71,"education_score",79.53
"04003","county",2023,101.71,106.77,99.25,91.48,"education_score",106.2
"04005","county",2023,120.09,104.42,121.92,91.69,"education_score",120.37
"04007","county",2023,102.08,90.59,81.76,98.54,"education_score",96.7
"04009","county",2023,81.61,103,127.84,97.73,"education_score",86.75
"04011","county",2023,95.17,88.65,121.19,100.31,"education_score",90.83
"04012","county",2023,78.7,105.89,63.8,106.71,"education_score",85.07
"04013","county",2023,107.02,124.09,108.43,-110.79,"education_score",149.15
"04015","county",2023,95.1,99.87,67.01,90.24,"education_score",97.64
"04017","county",2023,87.55,86.79,118.35,90.95,"education_score",85.38
"04019","county",2023,109.42,108.72,98.59,40.68,"education_score",121.74
"04021","county",2023,99.72,105.23,96.45,78.79,"education_score",104.8
"04023","county",2023,65.82,102.38,121.03,96.61,"education_score",78.05
"04025","county",2023,112.26,99.1,68.73,86.58,"education_score",111.94
"04027","county",2023,55.92,96.4,116.33,87.41,"education_score",70.19
"04001","county",2023,84.8,80.26,132.21,95.71,"education_rnk",14.4458
"04003","county",2023,101.71,106.77,99.25,91.48,"education_rnk",64.1968
"04005","county",2023,120.09,104.42,121.92,91.69,"education_rnk",85.3985
"04007","county",2023,102.08,90.59,81.76,98.54,"education_rnk",42.9016
"04009","county",2023,81.61,103,127.84,97.73,"education_rnk",24.4085
"04011","county",2023,95.17,88.65,121.19,100.31,"education_rnk",31.071
"04012","county",2023,78.7,105.89,63.8,106.71,"education_rnk",21.8244
"04013","county",2023,107.02,124.09,108.43,-110.79,"education_rnk",99.0349
"04015","county",2023,95.1,99.87,67.01,90.24,"education_rnk",44.8007
"04017","county",2023,87.55,86.79,118.35,90.95,"education_rnk",22.1669
"04019","county",2023,109.42,108.72,98.59,40.68,"education_rnk",86.5504
"04021","county",2023,99.72,105.23,96.45,78.79,"education_rnk",60.9589
"04023","county",2023,65.82,102.38,121.03,96.61,"education_rnk",12.6401
"04025","county",2023,112.26,99.1,68.73,86.58,"education_rnk",74.5019
"04027","county",2023,55.92,96.4,116.33,87.41,"education_rnk",6.0087
"04001","county",2023,84.8,80.26,132.21,95.71,"education_rnk",14.4458
"04003","county",2023,101.71,106.77,99.25,91.48,"education_rnk",64.1968
"04005","county",2023,120.09,104.42,121.92,91.69,"education_rnk",85.3985
"04007","county",2023,102.08,90.59,81.76,98.54,"education_rnk",42.9016
"04009","county",2023,81.61,103,127.84,97.73,"education_rnk",24.4085
"04011","county",2023,95.17,88.65,121.19,100.31,"education_rnk",31.071
"04012","county",2023,78.7,105.89,63.8,106.71,"education_rnk",21.8244
"04013","county",2023,107.02,124.09,108.43,-110.79,"education_rnk",99.0349
"04015","county",2023,95.1,99.87,67.01,90.24,"education_rnk",44.8007
"04017","county",2023,87.55,86.79,118.35,90.95,"education_rnk",22.1669
"04019","county",2023,109.42,108.72,98.59,40.68,"education_rnk",86.5504
"04021","county",2023,99.72,105.23,96.45,78.79,"education_rnk",60.9589
"04023","county",2023,65.82,102.38,121.03,96.61,"education_rnk",12.6401
"04025","county",2023,112.26,99.1,68.73,86.58,"education_rnk",74.5019
"04027","county",2023,55.92,96.4,116.33,87.41,"education_rnk",6.0087
"04001","county",2023,84.8,80.26,132.21,95.71,"education_rnk",14.4458
"04003","county",2023,101.71,106.77,99.25,91.48,"education_rnk",64.1968
"04005","county",2023,120.09,104.42,121.92,91.69,"education_rnk",85.3985
"04007","county",2023,102.08,90.59,81.76,98.54,"education_rnk",42.9016
"04009","county",2023,81.61,103,127.84,97.73,"education_rnk",24.4085
"04011","county",2023,95.17,88.65,121.19,100.31,"education_rnk",31.071
"04012","county",2023,78.7,105.89,63.8,106.71,"education_rnk",21.8244
"04013","county",2023,107.02,124.09,108.43,-110.79,"education_rnk",99.0349
"04015","county",2023,95.1,99.87,67.01,90.24,"education_rnk",44.8007
"04017","county",2023,87.55,86.79,118.35,90.95,"education_rnk",22.1669
"04019","county",2023,109.42,108.72,98.59,40.68,"education_rnk",86.5504
"04021","county",2023,99.72,105.23,96.45,78.79,"education_rnk",60.9589
"04023","county",2023,65.82,102.38,121.03,96.61,"education_rnk",12.6401
"04025","county",2023,112.26,99.1,68.73,86.58,"education_rnk",74.5019
"04027","county",2023,55.92,96.4,116.33,87.41,"education_rnk",6.0087
"04001","county",2023,84.8,80.26,132.21,95.71,"education_state_rnk",14.2857
"04003","county",2023,101.71,106.77,99.25,91.48,"education_state_rnk",71.4286
"04005","county",2023,120.09,104.42,121.92,91.69,"education_state_rnk",85.7143
"04007","county",2023,102.08,90.59,81.76,98.54,"education_state_rnk",50
"04009","county",2023,81.61,103,127.84,97.73,"education_state_rnk",35.7143
"04011","county",2023,95.17,88.65,121.19,100.31,"education_state_rnk",42.8571
"04012","county",2023,78.7,105.89,63.8,106.71,"education_state_rnk",21.4286
"04013","county",2023,107.02,124.09,108.43,-110.79,"education_state_rnk",100
"04015","county",2023,95.1,99.87,67.01,90.24,"education_state_rnk",57.1429
"04017","county",2023,87.55,86.79,118.35,90.95,"education_state_rnk",28.5714
"04019","county",2023,109.42,108.72,98.59,40.68,"education_state_rnk",92.8571
"04021","county",2023,99.72,105.23,96.45,78.79,"education_state_rnk",64.2857
"04023","county",2023,65.82,102.38,121.03,96.61,"education_state_rnk",7.1429
"04025","county",2023,112.26,99.1,68.73,86.58,"education_state_rnk",78.5714
"04027","county",2023,55.92,96.4,116.33,87.41,"education_state_rnk",0
"04001","county",2023,84.8,80.26,132.21,95.71,"education_state_rnk",14.2857
"04003","county",2023,101.71,106.77,99.25,91.48,"education_state_rnk",71.4286
"04005","county",2023,120.09,104.42,121.92,91.69,"education_state_rnk",85.7143
"04007","county",2023,102.08,90.59,81.76,98.54,"education_state_rnk",50
"04009","county",2023,81.61,103,127.84,97.73,"education_state_rnk",35.7143
"04011","county",2023,95.17,88.65,121.19,100.31,"education_state_rnk",42.8571
"04012","county",2023,78.7,105.89,63.8,106.71,"education_state_rnk",21.4286
"04013","county",2023,107.02,124.09,108.43,-110.79,"education_state_rnk",100
"04015","county",2023,95.1,99.87,67.01,90.24,"education_state_rnk",57.1429
"04017","county",2023,87.55,86.79,118.35,90.95,"education_state_rnk",28.5714
"04019","county",2023,109.42,108.72,98.59,40.68,"education_state_rnk",92.8571
"04021","county",2023,99.72,105.23,96.45,78.79,"education_state_rnk",64.2857
"04023","county",2023,65.82,102.38,121.03,96.61,"education_state_rnk",7.1429
"04025","county",2023,112.26,99.1,68.73,86.58,"education_state_rnk",78.5714
"04027","county",2023,55.92,96.4,116.33,87.41,"education_state_rnk",0
"04001","county",2023,84.8,80.26,132.21,95.71,"education_state_rnk",14.2857
"04003","county",2023,101.71,106.77,99.25,91.48,"education_state_rnk",71.4286
"04005","county",2023,120.09,104.42,121.92,91.69,"education_state_rnk",85.7143
"04007","county",2023,102.08,90.59,81.76,98.54,"education_state_rnk",50
"04009","county",2023,81.61,103,127.84,97.73,"education_state_rnk",35.7143
"04011","county",2023,95.17,88.65,121.19,100.31,"education_state_rnk",42.8571
"04012","county",2023,78.7,105.89,63.8,106.71,"education_state_rnk",21.4286
"04013","county",2023,107.02,124.09,108.43,-110.79,"education_state_rnk",100
"04015","county",2023,95.1,99.87,67.01,90.24,"education_state_rnk",57.1429
"04017","county",2023,87.55,86.79,118.35,90.95,"education_state_rnk",28.5714
"04019","county",2023,109.42,108.72,98.59,40.68,"education_state_rnk",92.8571
"04021","county",2023,99.72,105.23,96.45,78.79,"education_state_rnk",64.2857
"04023","county",2023,65.82,102.38,121.03,96.61,"education_state_rnk",7.1429
