"geoid","geolevel","year","level","value"
"21001","county",2023,"education_score",94.73
"21003","county",2023,"education_score",83.81
"21005","county",2023,"education_score",110.57
"21007","county",2023,"education_score",108.64
"21009","county",2023,"education_score",83.93
"21011","county",2023,"education_score",75.03
"21013","county",2023,"education_score",68.96
"21015","county",2023,"education_score",122.87
"21017","county",2023,"education_score",103.92
"21019","county",2023,"education_score",93.97
"21021","county",2023,"education_score",102.95
"21023","county",2023,"education_score",90.46
"21025","county",2023,"education_score",69.67
"21027","county",2023,"education_score",85.15
"21029","county",2023,"education_score",107.69
"21031","county",2023,"education_score",77.26
"21033","county",2023,"education_score",82.76
"21035","county",2023,"education_score",113.99
"21037","county",2023,"education_score",129.21
"21039","county",2023,"education_score",98.67
"21041","county",2023,"education_score",83.34
"21043","county",2023,"education_score",74.54
"21045","county",2023,"education_score",58.84
"21047","county",2023,"education_score",93.01
"21049","county",2023,"education_score",107.81
"21051","county",2023,"education_score",53.05
"21053","county",2023,"education_score",70.75
"21055","county",2023,"education_score",73.26
"21057","county",2023,"education_score",86.55
"21059","county",2023,"education_score",106.77
"21061","county",2023,"education_score",84.18
"21063","county",2023,"education_score",57.11
"21065","county",2023,"education_score",66.54
"21067","county",2023,"education_score",140.65
"21069","county",2023,"education_score",84.87
"21071","county",2023,"education_score",73.38
"21073","county",2023,"education_score",112.34
"21075","county",2023,"education_score",72.98
"21077","county",2023,"education_score",80.47
"21079","county",2023,"education_score",90.17
"21081","county",2023,"education_score",90.92
"21083","county",2023,"education_score",95.82
"21085","county",2023,"education_score",78.53
"21087","county",2023,"education_score",73.29
"21089","county",2023,"education_score",97.14
"21091","county",2023,"education_score",77.26
"21093","county",2023,"education_score",110.8
"21095","county",2023,"education_score",70.12
"21097","county",2023,"education_score",91.95
"21099","county",2023,"education_score",73.51
"21101","county",2023,"education_score",89.57
"21103","county",2023,"education_score",94.41
"21105","county",2023,"education_score",81.1
"21107","county",2023,"education_score",90.28
"21109","county",2023,"education_score",55.35
"21111","county",2023,"education_score",126.79
"21113","county",2023,"education_score",107.92
"21115","county",2023,"education_score",86.47
"21117","county",2023,"education_score",123.5
"21119","county",2023,"education_score",75.4
"21121","county",2023,"education_score",67.15
"21123","county",2023,"education_score",89.36
"21125","county",2023,"education_score",84.45
"21127","county",2023,"education_score",70.23
"21129","county",2023,"education_score",69.34
"21131","county",2023,"education_score",77.29
"21133","county",2023,"education_score",70.25
"21135","county",2023,"education_score",70.61
"21137","county",2023,"education_score",73.25
"21139","county",2023,"education_score",92.16
"21141","county",2023,"education_score",92.42
"21143","county",2023,"education_score",70.03
"21145","county",2023,"education_score",108.3
"21147","county",2023,"education_score",51.92
"21149","county",2023,"education_score",103
"21151","county",2023,"education_score",117.5
"21153","county",2023,"education_score",55.8
"21155","county",2023,"education_score",85.58
"21157","county",2023,"education_score",96.84
"21159","county",2023,"education_score",53.46
"21161","county",2023,"education_score",87.12
"21163","county",2023,"education_score",98.38
"21165","county",2023,"education_score",71.68
"21167","county",2023,"education_score",101.56
"21169","county",2023,"education_score",74.6
"21171","county",2023,"education_score",72.25
"21173","county",2023,"education_score",93.23
"21175","county",2023,"education_score",72.39
"21177","county",2023,"education_score",86.73
"21179","county",2023,"education_score",112.81
"21181","county",2023,"education_score",74.28
"21183","county",2023,"education_score",77.66
"21185","county",2023,"education_score",137.6
"21187","county",2023,"education_score",82.39
"21189","county",2023,"education_score",50.38
"21191","county",2023,"education_score",88.32
"21193","county",2023,"education_score",78.73
"21195","county",2023,"education_score",84.03
"21197","county",2023,"education_score",91.78
"21199","county",2023,"education_score",88.54
"21201","county",2023,"education_score",91.74
"21203","county",2023,"education_score",74.68
