"geoid","geolevel","year","level","value"
"32001","county",2023,"education_score",102.26
"32003","county",2023,"education_score",115.96
"32005","county",2023,"education_score",117.21
"32007","county",2023,"education_score",98.91
"32009","county",2023,"education_score",101.31
"32011","county",2023,"education_score",71.99
"32013","county",2023,"education_score",110.57
"32015","county",2023,"education_score",101.92
"32017","county",2023,"education_score",96.48
"32019","county",2023,"education_score",99.78
"32021","county",2023,"education_score",94.59
"32023","county",2023,"education_score",91.53
"32027","county",2023,"education_score",90.13
"32029","county",2023,"education_score",110.04
"32031","county",2023,"education_score",129.25
"32033","county",2023,"education_score",99.66
"32510","county",2023,"education_score",105.27
"32001","county",2023,"education_rnk",57.6276
"32003","county",2023,"education_rnk",80.6974
"32005","county",2023,"education_rnk",82.254
"32007","county",2023,"education_rnk",49.6264
"32009","county",2023,"education_rnk",55.4483
"32011","county",2023,"education_rnk",6.7248
"32013","county",2023,"education_rnk",73.6613
"32015","county",2023,"education_rnk",56.9427
"32017","county",2023,"education_rnk",43.5243
"32019","county",2023,"education_rnk",51.7746
"32021","county",2023,"education_rnk",39.7883
"32023","county",2023,"education_rnk",33.6862
"32027","county",2023,"education_rnk",30.8531
"32029","county",2023,"education_rnk",72.6027
"32031","county",2023,"education_rnk",92.0299
"32033","county",2023,"education_rnk",51.4944
"32510","county",2023,"education_rnk",63.543
"32001","county",2023,"education_state_rnk",62.5
"32003","county",2023,"education_state_rnk",87.5
"32005","county",2023,"education_state_rnk",93.75
"32007","county",2023,"education_state_rnk",31.25
"32009","county",2023,"education_state_rnk",50
"32011","county",2023,"education_state_rnk",0
"32013","county",2023,"education_state_rnk",81.25
"32015","county",2023,"education_state_rnk",56.25
"32017","county",2023,"education_state_rnk",25
"32019","county",2023,"education_state_rnk",43.75
"32021","county",2023,"education_state_rnk",18.75
"32023","county",2023,"education_state_rnk",12.5
"32027","county",2023,"education_state_rnk",6.25
"32029","county",2023,"education_state_rnk",75
"32031","county",2023,"education_state_rnk",100
"32033","county",2023,"education_state_rnk",37.5
"32510","county",2023,"education_state_rnk",68.75
