"geoid","geolevel","year","level","value"
"55001","county",2023,"education_score",94.58
"55003","county",2023,"education_score",106.65
"55005","county",2023,"education_score",101.77
"55007","county",2023,"education_score",113.71
"55009","county",2023,"education_score",122.79
"55011","county",2023,"education_score",101.4
"55013","county",2023,"education_score",101.67
"55015","county",2023,"education_score",122.65
"55017","county",2023,"education_score",111.64
"55019","county",2023,"education_score",69.5
"55021","county",2023,"education_score",113.99
"55023","county",2023,"education_score",97.79
"55025","county",2023,"education_score",148.81
"55027","county",2023,"education_score",108.69
"55029","county",2023,"education_score",118.28
"55031","county",2023,"education_score",114.29
"55033","county",2023,"education_score",123.07
"55035","county",2023,"education_score",127.34
"55037","county",2023,"education_score",100.78
"55039","county",2023,"education_score",110.83
"55041","county",2023,"education_score",95.35
"55043","county",2023,"education_score",110.89
"55045","county",2023,"education_score",114.29
"55047","county",2023,"education_score",94.58
"55049","county",2023,"education_score",118.84
"55051","county",2023,"education_score",102.45
"55053","county",2023,"education_score",97.37
"55055","county",2023,"education_score",115.28
"55057","county",2023,"education_score",93.01
"55059","county",2023,"education_score",118.29
"55061","county",2023,"education_score",110.15
"55063","county",2023,"education_score",132.41
"55065","county",2023,"education_score",97.55
"55067","county",2023,"education_score",99.23
"55069","county",2023,"education_score",96.92
"55071","county",2023,"education_score",105.39
"55073","county",2023,"education_score",113.14
"55075","county",2023,"education_score",100.82
"55077","county",2023,"education_score",94.9
"55078","county",2023,"education_score",99.41
"55079","county",2023,"education_score",130.18
"55081","county",2023,"education_score",98.3
"55083","county",2023,"education_score",105.62
"55085","county",2023,"education_score",112.96
"55087","county",2023,"education_score",121.94
"55089","county",2023,"education_score",138.48
"55091","county",2023,"education_score",110.02
"55093","county",2023,"education_score",124.57
"55095","county",2023,"education_score",112.14
"55097","county",2023,"education_score",122.55
"55099","county",2023,"education_score",101.64
"55101","county",2023,"education_score",115.27
"55103","county",2023,"education_score",94.77
"55105","county",2023,"education_score",117.99
"55107","county",2023,"education_score",95.93
"55109","county",2023,"education_score",133.4
"55111","county",2023,"education_score",109.61
"55113","county",2023,"education_score",101.37
"55115","county",2023,"education_score",100.12
"55117","county",2023,"education_score",116.25
"55119","county",2023,"education_score",95.62
"55121","county",2023,"education_score",101.85
"55123","county",2023,"education_score",92.97
"55125","county",2023,"education_score",111.15
"55127","county",2023,"education_score",115.17
"55129","county",2023,"education_score",103.07
"55131","county",2023,"education_score",128.66
"55133","county",2023,"education_score",141.83
"55135","county",2023,"education_score",103.08
"55137","county",2023,"education_score",94.21
"55139","county",2023,"education_score",122.48
"55141","county",2023,"education_score",110.06
"55001","county",2023,"education_rnk",39.6949
"55003","county",2023,"education_rnk",66.3761
"55005","county",2023,"education_rnk",56.7559
"55007","county",2023,"education_rnk",78.0822
"55009","county",2023,"education_rnk",87.4533
"55011","county",2023,"education_rnk",55.6663
"55013","county",2023,"education_rnk",56.3512
"55015","county",2023,"education_rnk",87.3288
"55017","county",2023,"education_rnk",75.467
"55019","county",2023,"education_rnk",4.9502
"55021","county",2023,"education_rnk",78.3001
"55023","county",2023,"education_rnk",46.7621
"55025","county",2023,"education_rnk",98.6613
"55027","county",2023,"education_rnk",70.4234
"55029","county",2023,"education_rnk",83.3437
"55031","county",2023,"education_rnk",78.7671
"55033","county",2023,"education_rnk",87.7958
"55035","county",2023,"education_rnk",90.5355
"55037","county",2023,"education_rnk",54.2964
"55039","county",2023,"education_rnk",74.1594
"55041","county",2023,"education_rnk",41.127
"55043","county",2023,"education_rnk",74.2528
"55045","county",2023,"education_rnk",78.7671
"55047","county",2023,"education_rnk",39.6949
"55049","county",2023,"education_rnk",84.0286
"55051","county",2023,"education_rnk",58.0324
"55053","county",2023,"education_rnk",45.7659
"55055","county",2023,"education_rnk",80.2304
"55057","county",2023,"education_rnk",36.5816
"55059","county",2023,"education_rnk",83.3748
"55061","county",2023,"education_rnk",72.8518
"55063","county",2023,"education_rnk",93.3998
"55065","county",2023,"education_rnk",46.264
"55067","county",2023,"education_rnk",50.1557
"55069","county",2023,"education_rnk",44.4894
"55071","county",2023,"education_rnk",63.8232
"55073","county",2023,"education_rnk",77.4595
"55075","county",2023,"education_rnk",54.3898
"55077","county",2023,"education_rnk",40.5355
"55078","county",2023,"education_rnk",50.7783
"55079","county",2023,"education_rnk",92.279
"55081","county",2023,"education_rnk",48.0075
"55083","county",2023,"education_rnk",64.726
"55085","county",2023,"education_rnk",77.2727
"55087","county",2023,"education_rnk",86.7061
"55089","county",2023,"education_rnk",96.1395
"55091","county",2023,"education_rnk",72.5405
"55093","county",2023,"education_rnk",89.1034
"55095","county",2023,"education_rnk",76.0897
"55097","county",2023,"education_rnk",87.142
"55099","county",2023,"education_rnk",56.32
"55101","county",2023,"education_rnk",80.1993
"55103","county",2023,"education_rnk",40.2242
"55105","county",2023,"education_rnk",83.0635
"55107","county",2023,"education_rnk",42.2478
"55109","county",2023,"education_rnk",94.0224
"55111","county",2023,"education_rnk",71.7621
"55113","county",2023,"education_rnk",55.604
"55115","county",2023,"education_rnk",52.8643
"55117","county",2023,"education_rnk",80.9776
"55119","county",2023,"education_rnk",41.6874
"55121","county",2023,"education_rnk",56.8493
"55123","county",2023,"education_rnk",36.4882
"55125","county",2023,"education_rnk",74.7198
"55127","county",2023,"education_rnk",80.1059
"55129","county",2023,"education_rnk",59.5268
"55131","county",2023,"education_rnk",91.5006
"55133","county",2023,"education_rnk",97.0423
"55135","county",2023,"education_rnk",59.5579
"55137","county",2023,"education_rnk",38.9788
"55139","county",2023,"education_rnk",87.0486
"55141","county",2023,"education_rnk",72.6961
"55001","county",2023,"education_state_rnk",6.338
"55003","county",2023,"education_state_rnk",45.0704
"55005","county",2023,"education_state_rnk",35.2113
"55007","county",2023,"education_state_rnk",63.3803
"55009","county",2023,"education_state_rnk",85.9155
"55011","county",2023,"education_state_rnk",30.9859
"55013","county",2023,"education_state_rnk",33.8028
"55015","county",2023,"education_state_rnk",84.507
"55017","county",2023,"education_state_rnk",57.7465
"55019","county",2023,"education_state_rnk",0
"55021","county",2023,"education_state_rnk",64.7887
"55023","county",2023,"education_state_rnk",19.7183
"55025","county",2023,"education_state_rnk",100
"55027","county",2023,"education_state_rnk",46.4789
"55029","county",2023,"education_state_rnk",76.0563
"55031","county",2023,"education_state_rnk",66.9014
"55033","county",2023,"education_state_rnk",87.3239
"55035","county",2023,"education_state_rnk",90.1408
"55037","county",2023,"education_state_rnk",26.7606
"55039","county",2023,"education_state_rnk",53.5211
"55041","county",2023,"education_state_rnk",11.2676
"55043","county",2023,"education_state_rnk",54.9296
"55045","county",2023,"education_state_rnk",66.9014
"55047","county",2023,"education_state_rnk",6.338
"55049","county",2023,"education_state_rnk",78.8732
"55051","county",2023,"education_state_rnk",38.0282
"55053","county",2023,"education_state_rnk",16.9014
"55055","county",2023,"education_state_rnk",71.831
"55057","county",2023,"education_state_rnk",2.8169
"55059","county",2023,"education_state_rnk",77.4648
"55061","county",2023,"education_state_rnk",52.1127
"55063","county",2023,"education_state_rnk",94.3662
"55065","county",2023,"education_state_rnk",18.3099
"55067","county",2023,"education_state_rnk",22.5352
"55069","county",2023,"education_state_rnk",15.493
"55071","county",2023,"education_state_rnk",42.2535
"55073","county",2023,"education_state_rnk",61.9718
"55075","county",2023,"education_state_rnk",28.169
"55077","county",2023,"education_state_rnk",9.8592
"55078","county",2023,"education_state_rnk",23.9437
"55079","county",2023,"education_state_rnk",92.9577
"55081","county",2023,"education_state_rnk",21.1268
"55083","county",2023,"education_state_rnk",43.662
"55085","county",2023,"education_state_rnk",60.5634
"55087","county",2023,"education_state_rnk",80.2817
"55089","county",2023,"education_state_rnk",97.1831
"55091","county",2023,"education_state_rnk",49.2958
"55093","county",2023,"education_state_rnk",88.7324
"55095","county",2023,"education_state_rnk",59.1549
"55097","county",2023,"education_state_rnk",83.0986
"55099","county",2023,"education_state_rnk",32.3944
"55101","county",2023,"education_state_rnk",70.4225
"55103","county",2023,"education_state_rnk",8.4507
"55105","county",2023,"education_state_rnk",74.6479
"55107","county",2023,"education_state_rnk",14.0845
"55109","county",2023,"education_state_rnk",95.7746
"55111","county",2023,"education_state_rnk",47.8873
"55113","county",2023,"education_state_rnk",29.5775
"55115","county",2023,"education_state_rnk",25.3521
"55117","county",2023,"education_state_rnk",73.2394
"55119","county",2023,"education_state_rnk",12.6761
"55121","county",2023,"education_state_rnk",36.6197
"55123","county",2023,"education_state_rnk",1.4085
"55125","county",2023,"education_state_rnk",56.338
"55127","county",2023,"education_state_rnk",69.0141
"55129","county",2023,"education_state_rnk",39.4366
"55131","county",2023,"education_state_rnk",91.5493
"55133","county",2023,"education_state_rnk",98.5915
"55135","county",2023,"education_state_rnk",40.8451
"55137","county",2023,"education_state_rnk",4.2254
"55139","county",2023,"education_state_rnk",81.6901
"55141","county",2023,"education_state_rnk",50.7042
