"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"04001942600","tract",2023,107.54,64,109.55,89.51,"education_score",-16.15
"04001942700","tract",2023,119.3,67.01,104.3,139.85,"education_score",-25.64
"04001944000","tract",2023,107.61,89.81,108.71,132.98,"education_score",-12.84
"04001944100","tract",2023,120.85,56.67,147.7,114.24,"education_score",-37.5
"04001944201","tract",2023,110.21,60.49,136.61,162.68,"education_score",-28.71
"04001944202","tract",2023,123.98,72.08,123.58,88.25,"education_score",-29.7
"04001944301","tract",2023,113.59,59.85,111.78,88.99,"education_score",-21.87
"04001944302","tract",2023,125.63,50.26,133.97,85.39,"education_score",-38.32
"04001944901","tract",2023,116.83,72.52,133.83,120.57,"education_score",-28.68
"04001944902","tract",2023,116.07,73.82,110.71,88.99,"education_score",-20.8
"04001945001","tract",2023,105.64,84.88,112.81,88.99,"education_score",-10.14
"04001945002","tract",2023,117.85,86.94,106.38,85.88,"education_score",-18.58
"04001945100","tract",2023,109.15,47.08,120.44,127.73,"education_score",-25.77
"04001970201","tract",2023,82.22,53.93,126.03,122.35,"education_score",-3.69
"04001970202","tract",2023,126.15,98.32,88.83,89.92,"education_score",-18.12
"04001970300","tract",2023,113.07,88.1,124.34,116.34,"education_score",-18.17
"04001970501","tract",2023,100.16,60.58,93.94,132.94,"education_score",-10.28
"04001970502","tract",2023,92.96,99.26,83.31,119.87,"education_score",6.95
"04003000101","tract",2023,136.53,83.36,96.49,130.24,"education_score",-32.66
"04003000102","tract",2023,96.96,72.75,100.76,145.39,"education_score",-4.68
"04003000201","tract",2023,109.03,75.25,99.49,85.09,"education_score",-12.61
"04003000202","tract",2023,124.3,58.23,91.79,121.97,"education_score",-27.85
"04003000203","tract",2023,104.19,98.46,85.93,88.99,"education_score",-0.2
"04003000301","tract",2023,106.3,73.36,82.4,134.85,"education_score",-9.74
"04003000303","tract",2023,103.66,112.49,77.3,105.11,"education_score",5.23
"04003000304","tract",2023,87.15,103.07,116.86,85.12,"education_score",6.51
