"geoid","geolevel","year","level","value"
"09110400101","tract",2023,"education_score",NA
"09110400102","tract",2023,"education_score",NA
"09110400200","tract",2023,"education_score",NA
"09110400300","tract",2023,"education_score",NA
"09110415300","tract",2023,"education_score",NA
"09110415400","tract",2023,"education_score",NA
"09110415500","tract",2023,"education_score",NA
"09110415600","tract",2023,"education_score",NA
"09110415700","tract",2023,"education_score",NA
"09110415800","tract",2023,"education_score",NA
"09110415900","tract",2023,"education_score",NA
"09110416000","tract",2023,"education_score",NA
"09110416100","tract",2023,"education_score",NA
"09110416200","tract",2023,"education_score",NA
"09110416300","tract",2023,"education_score",NA
"09110416400","tract",2023,"education_score",NA
"09110416500","tract",2023,"education_score",NA
"09110416600","tract",2023,"education_score",NA
"09110416700","tract",2023,"education_score",NA
"09110416800","tract",2023,"education_score",NA
"09110417100","tract",2023,"education_score",NA
"09110417200","tract",2023,"education_score",NA
"09110417300","tract",2023,"education_score",NA
"09110417400","tract",2023,"education_score",NA
"09110417500","tract",2023,"education_score",NA
"09110420400","tract",2023,"education_score",NA
"09110420500","tract",2023,"education_score",NA
"09110420601","tract",2023,"education_score",NA
"09110420602","tract",2023,"education_score",NA
"09110420700","tract",2023,"education_score",NA
"09110430100","tract",2023,"education_score",NA
"09110430201","tract",2023,"education_score",NA
"09110430202","tract",2023,"education_score",NA
"09110430203","tract",2023,"education_score",NA
"09110430301","tract",2023,"education_score",NA
"09110430302","tract",2023,"education_score",NA
"09110430400","tract",2023,"education_score",NA
"09110430501","tract",2023,"education_score",NA
"09110430502","tract",2023,"education_score",NA
"09110430602","tract",2023,"education_score",NA
"09110430603","tract",2023,"education_score",NA
"09110430604","tract",2023,"education_score",NA
"09110460100","tract",2023,"education_score",NA
"09110460202","tract",2023,"education_score",NA
"09110460203","tract",2023,"education_score",NA
"09110460204","tract",2023,"education_score",NA
"09110460301","tract",2023,"education_score",NA
"09110460302","tract",2023,"education_score",NA
"09110462101","tract",2023,"education_score",NA
"09110462102","tract",2023,"education_score",NA
"09110462201","tract",2023,"education_score",NA
"09110462202","tract",2023,"education_score",NA
"09110464101","tract",2023,"education_score",NA
"09110464102","tract",2023,"education_score",NA
"09110466101","tract",2023,"education_score",NA
"09110466102","tract",2023,"education_score",NA
"09110466201","tract",2023,"education_score",NA
"09110466202","tract",2023,"education_score",NA
"09110466300","tract",2023,"education_score",NA
"09110466400","tract",2023,"education_score",NA
"09110468101","tract",2023,"education_score",NA
"09110468102","tract",2023,"education_score",NA
"09110470100","tract",2023,"education_score",NA
"09110471100","tract",2023,"education_score",NA
"09110471200","tract",2023,"education_score",NA
"09110471300","tract",2023,"education_score",NA
"09110471400","tract",2023,"education_score",NA
"09110471500","tract",2023,"education_score",NA
