"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"12001000201","tract",2023,85.04,80.73,156.54,88.99,"education_score",-1.56
"12001000202","tract",2023,89.25,79.77,165.56,82.15,"education_score",-5.7
"12001000301","tract",2023,77.22,76.37,119.24,88.99,"education_score",8.61
"12001000302","tract",2023,91.89,70.1,74.91,88.99,"education_score",4.77
"12001000400","tract",2023,101.26,83.32,110.19,176.04,"education_score",-10.41
"12001000500","tract",2023,75.19,90.72,104.81,91.3,"education_score",16.91
"12001000600","tract",2023,114.54,69.09,107.85,146.69,"education_score",-23.84
"12001000700","tract",2023,99.7,81.78,84.75,118.19,"education_score",-3.19
"12001000806","tract",2023,80.83,78.12,136.01,95.83,"education_score",4.13
"12001000808","tract",2023,81.59,90.03,118.13,83.79,"education_score",9.36
"12001000809","tract",2023,79.49,81.85,118.26,97.47,"education_score",11.12
"12001000901","tract",2023,NA,NA,NA,NA,"education_score",NA
"12001000902","tract",2023,NA,NA,NA,NA,"education_score",NA
"12001001000","tract",2023,75.32,81.74,138.84,95.83,"education_score",9.32
"12001001100","tract",2023,73.27,114.01,94.76,97.76,"education_score",26.36
"12001001201","tract",2023,77.35,105.57,99.44,84.94,"education_score",20.41
"12001001202","tract",2023,83.16,95.91,102.2,104.57,"education_score",11.43
"12001001203","tract",2023,79.46,96.34,105.64,84.82,"education_score",14.43
"12001001400","tract",2023,NA,NA,NA,NA,"education_score",NA
"12001001514","tract",2023,75.58,91.76,123.8,90.49,"education_score",14.8
"12001001515","tract",2023,87.51,81.31,125.37,122.65,"education_score",3.41
"12001001516","tract",2023,82.96,93.11,131.58,90.37,"education_score",8.17
"12001001517","tract",2023,79.95,94.79,111.5,84.14,"education_score",13.96
"12001001519","tract",2023,76.53,80.28,133.62,88.67,"education_score",9.32
"12001001522","tract",2023,83.29,83.33,116.82,83.8,"education_score",7.33
"12001001605","tract",2023,82.14,79.42,116.09,87.94,"education_score",7.95
"12001001701","tract",2023,79.59,102.56,82.47,118.11,"education_score",19.96
"12001001702","tract",2023,85.89,110.74,83.87,130.42,"education_score",16.27
"12001001802","tract",2023,94.77,83,120.83,88.99,"education_score",-4.75
"12001001803","tract",2023,83.96,99.19,113.51,97.72,"education_score",9.41
"12001001811","tract",2023,75.79,107.89,97.69,83.66,"education_score",22.46
"12001001813","tract",2023,81.33,105.87,113.83,84.31,"education_score",13.98
"12001001815","tract",2023,96.83,124.67,96.24,86.72,"education_score",9.55
"12001001816","tract",2023,89.23,93.43,128.58,151.94,"education_score",-2.03
"12001001817","tract",2023,82.15,109.74,84.05,97.86,"education_score",20.69
"12001001818","tract",2023,97.51,115.23,91.44,83.46,"education_score",8.98
"12001001819","tract",2023,89.21,108.35,90.68,84.2,"education_score",12.85
"12001001902","tract",2023,144.12,89.63,65.44,102.67,"education_score",-30.38
"12001001907","tract",2023,100.58,100.76,82.2,88.67,"education_score",4.08
"12001001908","tract",2023,102.83,96.6,74.63,88.99,"education_score",1.68
"12001002001","tract",2023,104,72.13,62.54,105.78,"education_score",0.01
"12001002002","tract",2023,110.11,92.35,89.15,107.41,"education_score",-8.22
"12001002101","tract",2023,89.72,120.74,67.19,87.82,"education_score",21.2
"12001002102","tract",2023,95.01,101.26,71.19,124.03,"education_score",10.77
"12001002201","tract",2023,87.72,114.52,106.81,83.43,"education_score",11.94
"12001002202","tract",2023,81.64,103.25,111.17,116.23,"education_score",11.57
"12001002204","tract",2023,78.82,118.2,106.96,131.43,"education_score",17.72
"12001002207","tract",2023,77.47,94.83,96.43,84.12,"education_score",18.38
"12001002208","tract",2023,80.44,128.84,115.87,116.05,"education_score",19.41
"12001002209","tract",2023,81.41,130.19,96.04,118.87,"education_score",22.17
"12001002210","tract",2023,98.96,96.69,123.48,106.36,"education_score",-4.97
"12001002217","tract",2023,104.48,93.52,113.3,86.51,"education_score",-7.02
"12001002218","tract",2023,87.81,97.79,117.83,84.18,"education_score",5.01
"12001002219","tract",2023,97.28,88.29,93.32,147.86,"education_score",-1.53
"12001002220","tract",2023,100.38,75.58,103.46,88.99,"education_score",-6.53
"12001002221","tract",2023,78.34,126.12,97.4,85.5,"education_score",25.01
"12001002222","tract",2023,71.74,125.56,95.27,112.5,"education_score",29.36
"12001110800","tract",2023,76.69,72.82,89.05,125.76,"education_score",15.89
"12003040101","tract",2023,102.92,91.12,129.55,95.83,"education_score",-12.11
"12003040102","tract",2023,101.67,95.28,92.37,139.34,"education_score",-3.36
"12003040201","tract",2023,117.09,76.63,93.93,83.79,"education_score",-16.59
"12003040202","tract",2023,104.07,86.93,98.72,95.83,"education_score",-6.19
"12005000201","tract",2023,108.58,100.7,120.06,99.2,"education_score",-11.89
"12005000203","tract",2023,102.99,82.57,100.28,101.93,"education_score",-7.75
