"geoid","geolevel","year","level","value"
"13001950100","tract",2023,"education_score",119.87
"13001950201","tract",2023,"education_score",126.24
"13001950202","tract",2023,"education_score",132.92
"13001950301","tract",2023,"education_score",113.51
"13001950302","tract",2023,"education_score",124.98
"13001950400","tract",2023,"education_score",117.01
"13001950500","tract",2023,"education_score",126.93
"13003960100","tract",2023,"education_score",136.53
"13003960200","tract",2023,"education_score",141.79
"13003960300","tract",2023,"education_score",122.17
"13005970100","tract",2023,"education_score",103.13
"13005970201","tract",2023,"education_score",128.88
"13005970202","tract",2023,"education_score",117.67
"13007960100","tract",2023,"education_score",106.76
"13007960200","tract",2023,"education_score",93.26
"13009970101","tract",2023,"education_score",107.68
"13009970102","tract",2023,"education_score",98.83
"13009970201","tract",2023,"education_score",110.36
"13009970202","tract",2023,"education_score",92.41
"13009970301","tract",2023,"education_score",96.77
"13009970302","tract",2023,"education_score",97.54
"13009970400","tract",2023,"education_score",86.08
"13009970501","tract",2023,"education_score",131.58
"13009970502","tract",2023,"education_score",100.16
"13009970600","tract",2023,"education_score",121.74
"13009970701","tract",2023,"education_score",130.36
"13009970702","tract",2023,"education_score",134.34
"13009970801","tract",2023,"education_score",114
"13009970802","tract",2023,"education_score",NA
"13011970100","tract",2023,"education_score",111.91
"13011970200","tract",2023,"education_score",102.44
"13011970300","tract",2023,"education_score",112.47
"13011970400","tract",2023,"education_score",109.93
"13013180103","tract",2023,"education_score",98.17
"13013180104","tract",2023,"education_score",110.55
"13013180105","tract",2023,"education_score",112.1
"13013180106","tract",2023,"education_score",114.12
"13013180107","tract",2023,"education_score",114.6
"13013180108","tract",2023,"education_score",112.5
"13013180203","tract",2023,"education_score",133.75
"13013180204","tract",2023,"education_score",105.53
"13013180205","tract",2023,"education_score",115.28
"13013180206","tract",2023,"education_score",102.28
"13013180301","tract",2023,"education_score",122.47
"13013180302","tract",2023,"education_score",112.67
"13013180303","tract",2023,"education_score",96.58
"13013180401","tract",2023,"education_score",102.83
"13013180402","tract",2023,"education_score",109.53
"13013180501","tract",2023,"education_score",111.67
"13013180502","tract",2023,"education_score",110.09
"13013180503","tract",2023,"education_score",118.11
"13015960101","tract",2023,"education_score",110.95
"13015960103","tract",2023,"education_score",98.45
"13015960104","tract",2023,"education_score",110.37
"13015960105","tract",2023,"education_score",92.47
"13015960201","tract",2023,"education_score",93.99
"13015960202","tract",2023,"education_score",93.06
"13015960203","tract",2023,"education_score",101.58
"13015960301","tract",2023,"education_score",99.81
"13015960302","tract",2023,"education_score",102.45
"13015960403","tract",2023,"education_score",113.77
"13015960404","tract",2023,"education_score",110.91
"13015960405","tract",2023,"education_score",97.49
"13015960406","tract",2023,"education_score",92.89
"13015960407","tract",2023,"education_score",99.08
"13015960501","tract",2023,"education_score",125.78
"13015960502","tract",2023,"education_score",118.1
"13015960601","tract",2023,"education_score",94.75
"13015960602","tract",2023,"education_score",90
"13015960701","tract",2023,"education_score",103.06
"13015960702","tract",2023,"education_score",79.9
"13015960801","tract",2023,"education_score",99.69
"13015960802","tract",2023,"education_score",123.03
"13015960804","tract",2023,"education_score",94.99
"13015960805","tract",2023,"education_score",88.23
"13015960901","tract",2023,"education_score",104.71
"13015960902","tract",2023,"education_score",96.05
