"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"19001960100","tract",2023,102.48,83.99,88.69,84.53,"education_score",-3.09
"19001960200","tract",2023,94.99,67.83,99.68,111.04,"education_score",-4.98
"19001960300","tract",2023,92.46,78.37,105.11,116.23,"education_score",-1.67
"19003950100","tract",2023,97.04,84.15,92.31,86.54,"education_score",0.03
"19003950200","tract",2023,98.69,77.61,100.78,115.23,"education_score",-4.98
"19005960100","tract",2023,92.94,94.08,83.92,95.83,"education_score",6.99
"19005960200","tract",2023,88.97,82.42,86.1,102.35,"education_score",6.73
"19005960300","tract",2023,93.19,93.11,106.83,121.59,"education_score",0.75
"19005960400","tract",2023,104.97,89.24,72.95,85.17,"education_score",-0.96
"19005960500","tract",2023,114.68,73.74,131.12,139.02,"education_score",-26.8
"19007950100","tract",2023,94.74,79.22,96.1,135.57,"education_score",-1.75
"19007950200","tract",2023,96.2,76.16,90.06,98.35,"education_score",-0.2
"19007950300","tract",2023,104.21,71.02,93.79,171.73,"education_score",-9.54
"19007950400","tract",2023,104.02,95.15,87.76,102.67,"education_score",-3.09
"19007950500","tract",2023,123.42,79.62,94.27,85.23,"education_score",-20.86
"19009070100","tract",2023,98.58,87.24,122.51,89.33,"education_score",-7.02
"19009070200","tract",2023,102.68,72.38,86.48,108.29,"education_score",-6.55
"19009070300","tract",2023,90.12,79.31,74.63,101.76,"education_score",7.98
"19011960100","tract",2023,87.08,89.33,106.17,88.99,"education_score",5.66
"19011960200","tract",2023,98.18,88.04,107.79,95.83,"education_score",-4.02
"19011960300","tract",2023,97.66,90.63,108.1,113.67,"education_score",-2.58
"19011960400","tract",2023,99.56,95.37,98.62,102.3,"education_score",-1.32
"19011960500","tract",2023,91.65,98.35,107.19,104.98,"education_score",4.04
"19011960600","tract",2023,93.74,82.32,94.89,100.94,"education_score",1.46
"19011960700","tract",2023,95.07,81.62,80.31,108.04,"education_score",3.14
"19013000100","tract",2023,100.27,75.73,82.22,95.83,"education_score",-1.87
"19013000200","tract",2023,118.87,81.38,133.56,106.66,"education_score",-27.72
"19013000300","tract",2023,118.9,98.03,114.28,84.88,"education_score",-19.45
"19013000400","tract",2023,87.62,88.56,100.25,87.21,"education_score",6.17
"19013000500","tract",2023,119.7,94.82,123.7,88.25,"education_score",-22.48
"19013000700","tract",2023,123.52,88.67,139.33,88.12,"education_score",-30.24
"19013000800","tract",2023,109.51,121.31,98.72,141.12,"education_score",-4.57
"19013000900","tract",2023,117.4,98.11,95.22,87.04,"education_score",-12.92
"19013001000","tract",2023,107.14,86.23,100.07,97.97,"education_score",-10.05
"19013001100","tract",2023,112.54,82.57,106.65,84.66,"education_score",-15.82
"19013001200","tract",2023,98.53,94.55,91.13,88.99,"education_score",1.52
"19013001301","tract",2023,95.56,85.7,104.38,106.9,"education_score",-1.13
"19013001302","tract",2023,86.81,82.81,92.94,95.83,"education_score",7.25
"19013001400","tract",2023,85.05,92.85,100.97,88.99,"education_score",9.9
"19013001501","tract",2023,85.66,90.52,89.8,100.3,"education_score",10.62
"19013001502","tract",2023,99.12,84.53,91.79,105.74,"education_score",-2.18
"19013001503","tract",2023,88.27,103.68,87.63,84.36,"education_score",12.94
"19013001600","tract",2023,97.93,103.22,90.11,98.6,"education_score",2.75
"19013001701","tract",2023,117.27,72.88,108.83,87.4,"education_score",-22.24
"19013001702","tract",2023,111.59,63.75,105.95,88.99,"education_score",-18.83
"19013001800","tract",2023,111.84,71.66,112.31,103.46,"education_score",-19.62
"19013001900","tract",2023,105.95,85.07,97.63,86.8,"education_score",-8.32
"19013002000","tract",2023,104.29,87.61,104.11,108.36,"education_score",-8.55
"19013002200","tract",2023,81.44,79.39,101.96,127.16,"education_score",9.57
"19013002301","tract",2023,88.97,71.68,115.91,88.99,"education_score",-0.42
"19013002303","tract",2023,NA,NA,NA,NA,"education_score",NA
"19013002304","tract",2023,92.56,77.9,113.57,89.92,"education_score",0.94
"19013002400","tract",2023,83.27,88.58,94.78,99.51,"education_score",11.71
"19013002500","tract",2023,79.51,80.01,101.33,114.2,"education_score",11.14
"19013002601","tract",2023,76.98,97.26,96.07,83.44,"education_score",19.47
"19013002604","tract",2023,95.68,86.63,94.49,98.89,"education_score",0.44
"19013002605","tract",2023,80.18,85.95,110.78,105.25,"education_score",9.79
"19013002606","tract",2023,78.18,128.82,120.44,98.91,"education_score",20.56
"19013002700","tract",2023,93.89,86.74,87.19,85.07,"education_score",4.95
"19013002800","tract",2023,91.77,95.46,101.35,112.06,"education_score",4.5
"19013002901","tract",2023,92.11,101.33,86.34,88.67,"education_score",9.27
"19013002902","tract",2023,92.28,91.39,110.9,106.9,"education_score",1.26
"19013003001","tract",2023,83.8,98.05,112.77,98.66,"education_score",8.78
"19013003002","tract",2023,83.72,102.99,116.75,106.57,"education_score",9.28
"19015020100","tract",2023,85.06,108.7,94.02,101.52,"education_score",14.79
"19015020200","tract",2023,92.88,87.51,102.67,122.94,"education_score",0.07
"19015020300","tract",2023,86.02,88.89,86.57,112.62,"education_score",10.17
"19015020400","tract",2023,90.81,97.63,91.52,85.33,"education_score",8.68
"19015020500","tract",2023,92.18,100.43,110.06,120.79,"education_score",2.87
"19015020600","tract",2023,87.06,91.57,98.13,88.99,"education_score",7.87
"19015020700","tract",2023,89.39,78.14,102.8,114.15,"education_score",1.72
"19017004000","tract",2023,NA,NA,NA,NA,"education_score",NA
"19017004100","tract",2023,89.17,90.46,113,88.99,"education_score",3.73
"19017004200","tract",2023,92.05,94.85,108.12,109.51,"education_score",2.78
"19017004300","tract",2023,96.79,82.07,120.81,132.93,"education_score",-8.06
