"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"18001030100","tract",2023,90.88,74.53,110.04,122.45,"education_score",-2.31
"18001030200","tract",2023,92.6,96.8,79.17,97.23,"education_score",8.11
"18001030300","tract",2023,90.01,69.96,88.74,130.13,"education_score",1.85
"18001030400","tract",2023,116.62,77.9,114.11,95.83,"education_score",-22.45
"18001030500","tract",2023,143.14,79.2,130.3,192.45,"education_score",-49.51
"18001030600","tract",2023,98.26,65.67,126.07,115.74,"education_score",-13.74
"18001030700","tract",2023,160.62,85.53,131.41,254.22,"education_score",-64.5
"18003000100","tract",2023,93.87,85.09,103.75,106.23,"education_score",-0.85
"18003000300","tract",2023,90.3,91.09,97.48,116.18,"education_score",5.77
"18003000400","tract",2023,92.64,102.68,83.93,88.99,"education_score",9.68
"18003000500","tract",2023,108.94,101.32,67.81,84.65,"education_score",0.28
"18003000600","tract",2023,108.66,96.66,111.51,124.49,"education_score",-12.02
"18003000701","tract",2023,113.15,62.09,115.75,99.95,"education_score",-22.46
"18003000704","tract",2023,113.09,94.85,87.75,88.99,"education_score",-8.91
"18003000800","tract",2023,100.05,73.92,80.61,101.56,"education_score",-1.88
"18003000900","tract",2023,98.63,69.84,90.84,86.58,"education_score",-3.73
"18003001000","tract",2023,119.91,70.29,147.43,92.46,"education_score",-33.79
"18003001100","tract",2023,87.55,94.29,61.16,137.97,"education_score",16.45
"18003001200","tract",2023,92.21,83.29,68.65,97.9,"education_score",10.17
"18003001300","tract",2023,NA,NA,NA,NA,"education_score",NA
"18003001600","tract",2023,134.5,94.23,156.39,98.34,"education_score",-43.02
"18003001700","tract",2023,140.11,86.14,177.38,97.58,"education_score",-53.74
"18003002000","tract",2023,110.99,95.33,127.9,83.4,"education_score",-17.15
"18003002100","tract",2023,107.93,91.84,93.22,85.13,"education_score",-6.64
"18003002200","tract",2023,117.56,89.33,105.9,136.32,"education_score",-19.89
"18003002300","tract",2023,160.55,54.92,106.51,112.53,"education_score",-60.12
"18003002500","tract",2023,93.77,99.23,117.52,98.25,"education_score",0.78
"18003002600","tract",2023,107.76,83.81,130.7,99.73,"education_score",-17.65
"18003002800","tract",2023,141.42,101.5,134.53,110.58,"education_score",-40.9
"18003002900","tract",2023,125.84,93.9,113.83,85.13,"education_score",-25.8
"18003003000","tract",2023,129.05,90.01,117.29,88.99,"education_score",-29.39
"18003003100","tract",2023,112.63,97.63,107.65,95.83,"education_score",-12.33
"18003003200","tract",2023,104.03,102.48,121.38,113.98,"education_score",-7.58
"18003003301","tract",2023,94.93,94.13,77.74,107.41,"education_score",7.18
"18003003304","tract",2023,116.14,75.32,91.19,109.39,"education_score",-16.89
"18003003400","tract",2023,93.66,94.65,91.07,98.3,"education_score",5.57
"18003003500","tract",2023,108.67,83.7,88.94,98.11,"education_score",-9.45
"18003003600","tract",2023,131.5,70.1,115.92,88.99,"education_score",-34.86
"18003003700","tract",2023,99.55,94.34,88.93,88.99,"education_score",0.45
"18003003800","tract",2023,101.31,86.57,91.09,99.26,"education_score",-3.24
"18003003901","tract",2023,92.83,88.47,83.71,107.47,"education_score",5.42
"18003003902","tract",2023,91.87,94.26,98.77,84.13,"education_score",5.03
"18003004000","tract",2023,125.1,67.87,137.87,95.83,"education_score",-36.58
"18003004101","tract",2023,91.32,79.71,98.35,88.82,"education_score",3.33
"18003004103","tract",2023,81.45,90.76,108.92,84.52,"education_score",11.59
"18003004300","tract",2023,154.28,79.05,122.34,88.99,"education_score",-52.4
"18003004400","tract",2023,139.07,65.9,120.67,88.99,"education_score",-41.49
"18003010100","tract",2023,137.84,84.21,81.53,117.68,"education_score",-29.31
"18003010201","tract",2023,87.25,105.27,115.93,88.99,"education_score",7.6
"18003010202","tract",2023,100,84.35,102.58,116.34,"education_score",-5.37
"18003010304","tract",2023,83.72,88.57,92.64,84.12,"education_score",12.17
"18003010305","tract",2023,83.65,113.09,119.14,83.64,"education_score",12.85
"18003010306","tract",2023,87.79,88.31,135.52,131.23,"education_score",-3.16
"18003010307","tract",2023,88.02,101.09,112.61,88.99,"education_score",7
"18003010308","tract",2023,83.34,112.04,111.68,90.19,"education_score",13.78
"18003010400","tract",2023,93,101.99,103.02,123.02,"education_score",3.65
"18003010500","tract",2023,89.64,100.57,97.26,88.99,"education_score",7.86
"18003010601","tract",2023,90.97,101.33,94.98,88.99,"education_score",7.86
"18003010602","tract",2023,108.93,87.38,105.23,83.93,"education_score",-11.96
"18003010603","tract",2023,90.8,74.96,71.79,107.53,"education_score",6.9
"18003010604","tract",2023,117.79,55,68.47,83.65,"education_score",-17.39
"18003010705","tract",2023,82.66,94.44,77.56,102.67,"education_score",16.91
"18003010706","tract",2023,107.5,87,91.24,98.02,"education_score",-6.29
"18003010707","tract",2023,98.33,85.04,83.03,84.07,"education_score",2.04
"18003010803","tract",2023,97.99,87.49,115.1,83.25,"education_score",-4.78
"18003010804","tract",2023,87.49,97.52,100.86,84.77,"education_score",8.67
"18003010807","tract",2023,89.55,80.05,104.58,88.99,"education_score",1.46
"18003010808","tract",2023,84.7,86.52,95.31,88.99,"education_score",10.78
"18003010809","tract",2023,98.79,71.89,79.54,88.99,"education_score",-1.17
"18003010811","tract",2023,100.34,91.23,106.1,105.74,"education_score",-4.04
"18003010812","tract",2023,89.15,106.88,84.53,98.39,"education_score",13.56
"18003010813","tract",2023,94.56,104.36,94.03,88.99,"education_score",6.96
"18003010815","tract",2023,88.39,93.4,107.07,113.19,"education_score",6.34
"18003010816","tract",2023,91.91,92.22,100.45,88.99,"education_score",5.39
"18003010817","tract",2023,90.41,103.43,117.48,109.85,"education_score",4.12
"18003010819","tract",2023,83.93,108.74,92.18,88.99,"education_score",17.99
"18003010821","tract",2023,96.62,78.67,89.32,111.65,"education_score",-1.31
"18003010900","tract",2023,116.49,110.18,120.82,123.18,"education_score",-15.7
"18003011000","tract",2023,93.22,96.36,87.38,86.65,"education_score",8.35
"18003011100","tract",2023,100.87,86.4,107.77,106.72,"education_score",-6.67
"18003011201","tract",2023,117.87,105.56,96.21,86.44,"education_score",-12.26
"18003011202","tract",2023,106.88,83.28,102.56,86.17,"education_score",-10.36
"18003011204","tract",2023,87.12,90.61,95.31,84.46,"education_score",9.5
"18003011205","tract",2023,90.06,74.79,102.44,105.1,"education_score",1
"18003011302","tract",2023,144.98,87.95,99.8,83.11,"education_score",-37.12
"18003011303","tract",2023,134.01,89.54,132.91,84.52,"education_score",-36.84
"18003011304","tract",2023,118.73,82.85,109.38,118.26,"education_score",-22.06
"18003011501","tract",2023,104.04,106.74,85.2,87.6,"education_score",2.56
"18003011502","tract",2023,83.07,99.44,74.7,90.25,"education_score",19.29
"18003011603","tract",2023,94.35,91.42,95.49,98.74,"education_score",3.81
"18003011604","tract",2023,84.22,81.4,111.2,95.83,"education_score",6.33
"18003011605","tract",2023,86.98,113.74,80.59,91.29,"education_score",18.57
"18003011606","tract",2023,81.38,101.14,101.39,104.89,"education_score",14.4
"18003011607","tract",2023,80.74,84.08,121.07,97.88,"education_score",6.77
"18003011608","tract",2023,82.38,108.41,128.34,95.83,"education_score",9.94
"18003011609","tract",2023,86.62,105.47,120.72,111.34,"education_score",6.91
"18003011701","tract",2023,86.68,93.83,115.14,95.83,"education_score",5.16
"18003011702","tract",2023,92.91,92.4,80.74,88.99,"education_score",7.24
"18003011801","tract",2023,100.44,92.04,91.85,83.55,"education_score",0.28
"18003011802","tract",2023,92.83,86.15,87.93,119,"education_score",4.17
"18003011900","tract",2023,96.69,109.42,93.29,93.96,"education_score",6.55
"18003980001","tract",2023,NA,NA,NA,NA,"education_score",NA
"18003980002","tract",2023,NA,NA,NA,NA,"education_score",NA
"18005010100","tract",2023,103.73,86.88,100.2,118.84,"education_score",-8.03
"18005010200","tract",2023,91.84,96.02,81.93,118.42,"education_score",9.04
"18005010300","tract",2023,81.69,98.65,115.31,99.95,"education_score",10.71
"18005010400","tract",2023,94.82,102.61,121.14,83.52,"education_score",0.2
"18005010500","tract",2023,82.76,88.42,99.38,83.85,"education_score",11.83
"18005010600","tract",2023,87.26,89.83,87.3,98.75,"education_score",9.98
