"geoid","geolevel","year","level","value"
"21001970100","tract",2023,"education_score",118.01
"21001970200","tract",2023,"education_score",97.43
"21001970300","tract",2023,"education_score",106.89
"21001970401","tract",2023,"education_score",110.64
"21001970402","tract",2023,"education_score",115.51
"21001970500","tract",2023,"education_score",112.63
"21001970600","tract",2023,"education_score",99.18
"21003920100","tract",2023,"education_score",97.56
"21003920200","tract",2023,"education_score",137.52
"21003920300","tract",2023,"education_score",104.57
"21003920400","tract",2023,"education_score",115.6
"21003920500","tract",2023,"education_score",121.53
"21003920600","tract",2023,"education_score",111.37
"21005950101","tract",2023,"education_score",102.96
"21005950102","tract",2023,"education_score",101.43
"21005950201","tract",2023,"education_score",99.56
"21005950202","tract",2023,"education_score",93.31
"21005950300","tract",2023,"education_score",94.66
"21005950400","tract",2023,"education_score",107.47
"21007950100","tract",2023,"education_score",98.62
"21007950200","tract",2023,"education_score",103.13
"21007950300","tract",2023,"education_score",98.51
"21009950100","tract",2023,"education_score",110.11
"21009950200","tract",2023,"education_score",112.96
"21009950300","tract",2023,"education_score",120.33
"21009950401","tract",2023,"education_score",129.96
"21009950402","tract",2023,"education_score",105.38
"21009950500","tract",2023,"education_score",101.23
"21009950601","tract",2023,"education_score",113.96
"21009950602","tract",2023,"education_score",95.21
"21009950701","tract",2023,"education_score",99.83
"21009950702","tract",2023,"education_score",104
"21009950800","tract",2023,"education_score",113.77
"21009950900","tract",2023,"education_score",119.05
"21009951000","tract",2023,"education_score",119.08
"21011970100","tract",2023,"education_score",138.23
"21011970201","tract",2023,"education_score",129.1
"21011970202","tract",2023,"education_score",107.32
"21011970300","tract",2023,"education_score",120.52
"21013960100","tract",2023,"education_score",125.7
"21013960200","tract",2023,"education_score",121.95
"21013960300","tract",2023,"education_score",110.83
"21013960400","tract",2023,"education_score",141.29
"21013960500","tract",2023,"education_score",112.94
"21013960600","tract",2023,"education_score",104.93
"21013960700","tract",2023,"education_score",111.13
"21013960800","tract",2023,"education_score",143.3
"21013961100","tract",2023,"education_score",112.74
"21015070101","tract",2023,"education_score",102.91
"21015070102","tract",2023,"education_score",118.58
"21015070201","tract",2023,"education_score",99.65
"21015070202","tract",2023,"education_score",92.8
"21015070301","tract",2023,"education_score",136.02
"21015070305","tract",2023,"education_score",93.72
"21015070309","tract",2023,"education_score",88.89
"21015070311","tract",2023,"education_score",97.17
"21015070312","tract",2023,"education_score",100.65
"21015070313","tract",2023,"education_score",86.96
"21015070314","tract",2023,"education_score",85.9
"21015070315","tract",2023,"education_score",97.44
"21015070316","tract",2023,"education_score",89.7
"21015070317","tract",2023,"education_score",88.17
"21015070318","tract",2023,"education_score",95.9
"21015070403","tract",2023,"education_score",83.87
"21015070404","tract",2023,"education_score",92.59
"21015070405","tract",2023,"education_score",86.2
"21015070406","tract",2023,"education_score",115.48
"21015070407","tract",2023,"education_score",104.35
"21015070502","tract",2023,"education_score",96.4
"21015070503","tract",2023,"education_score",99.41
"21015070505","tract",2023,"education_score",93.74
"21015070506","tract",2023,"education_score",102.95
"21015070601","tract",2023,"education_score",87.45
"21015070604","tract",2023,"education_score",92.51
"21015070605","tract",2023,"education_score",84.78
"21015070606","tract",2023,"education_score",102.47
"21015070607","tract",2023,"education_score",107.19
"21015980100","tract",2023,"education_score",NA
"21017030101","tract",2023,"education_score",111.26
"21017030102","tract",2023,"education_score",101.81
"21017030201","tract",2023,"education_score",108.76
"21017030202","tract",2023,"education_score",108.27
"21017030300","tract",2023,"education_score",93.05
"21017030400","tract",2023,"education_score",91.74
"21017030500","tract",2023,"education_score",115.13
"21017030600","tract",2023,"education_score",112.77
"21019030200","tract",2023,"education_score",102.47
"21019030300","tract",2023,"education_score",99.64
"21019030400","tract",2023,"education_score",101.97
"21019030500","tract",2023,"education_score",98.17
"21019030600","tract",2023,"education_score",94.1
"21019030700","tract",2023,"education_score",97.64
"21019030800","tract",2023,"education_score",120.9
"21019030900","tract",2023,"education_score",107.83
"21019031001","tract",2023,"education_score",106.16
"21019031003","tract",2023,"education_score",NA
"21019031004","tract",2023,"education_score",107.84
"21019031101","tract",2023,"education_score",99.57
"21019031102","tract",2023,"education_score",99.99
"21019031200","tract",2023,"education_score",107.25
"21019031300","tract",2023,"education_score",122.16
"21021930100","tract",2023,"education_score",99.96
"21021930200","tract",2023,"education_score",87.39
"21021930300","tract",2023,"education_score",NA
"21021930400","tract",2023,"education_score",102.87
"21021930500","tract",2023,"education_score",90.34
"21021930600","tract",2023,"education_score",106.4
"21021930700","tract",2023,"education_score",101.14
"21023950100","tract",2023,"education_score",107.34
"21023950200","tract",2023,"education_score",112.07
"21023950300","tract",2023,"education_score",108.19
"21025920200","tract",2023,"education_score",103.43
"21025920301","tract",2023,"education_score",102.87
"21025920302","tract",2023,"education_score",126.63
"21025920500","tract",2023,"education_score",118.57
"21025920600","tract",2023,"education_score",121.45
"21025920700","tract",2023,"education_score",120.87
"21025920800","tract",2023,"education_score",122.49
"21027960100","tract",2023,"education_score",104.73
"21027960200","tract",2023,"education_score",107.74
"21027960300","tract",2023,"education_score",111
"21027960400","tract",2023,"education_score",98.44
