"geoid","geolevel","year","level","value"
"23001010100","tract",2023,"education_score",86.65
"23001010200","tract",2023,"education_score",103.35
"23001010300","tract",2023,"education_score",89.94
"23001010400","tract",2023,"education_score",99.78
"23001010500","tract",2023,"education_score",94.09
"23001010600","tract",2023,"education_score",107.85
"23001010700","tract",2023,"education_score",104.77
"23001010800","tract",2023,"education_score",107.01
"23001020100","tract",2023,"education_score",92.43
"23001020200","tract",2023,"education_score",88.64
"23001020301","tract",2023,"education_score",NA
"23001020302","tract",2023,"education_score",92.02
"23001020303","tract",2023,"education_score",92.38
"23001020401","tract",2023,"education_score",54.34
"23001020402","tract",2023,"education_score",64.3
"23001020500","tract",2023,"education_score",97.35
"23001020600","tract",2023,"education_score",108.39
"23001020700","tract",2023,"education_score",101.83
"23001020801","tract",2023,"education_score",91.18
"23001020802","tract",2023,"education_score",103.02
"23001020900","tract",2023,"education_score",94.58
"23001030100","tract",2023,"education_score",102.31
"23001030200","tract",2023,"education_score",108.58
"23001040000","tract",2023,"education_score",114.35
"23001041000","tract",2023,"education_score",113.41
"23001041500","tract",2023,"education_score",97.48
"23001042000","tract",2023,"education_score",101.92
"23001043000","tract",2023,"education_score",105.78
"23001044000","tract",2023,"education_score",89.74
"23001045000","tract",2023,"education_score",98.05
"23001046000","tract",2023,"education_score",103.06
"23001046500","tract",2023,"education_score",99.19
"23003950100","tract",2023,"education_score",101.76
"23003950200","tract",2023,"education_score",89.25
"23003950300","tract",2023,"education_score",103.56
"23003950400","tract",2023,"education_score",100.3
"23003950600","tract",2023,"education_score",108.11
"23003950700","tract",2023,"education_score",96.32
"23003950900","tract",2023,"education_score",98.52
"23003951000","tract",2023,"education_score",92.12
"23003951100","tract",2023,"education_score",109.1
"23003951200","tract",2023,"education_score",99.01
"23003951300","tract",2023,"education_score",106.44
"23003951400","tract",2023,"education_score",103.83
"23003951600","tract",2023,"education_score",94.83
"23003951700","tract",2023,"education_score",100.13
"23003951800","tract",2023,"education_score",93.01
"23003951900","tract",2023,"education_score",108.92
"23003952000","tract",2023,"education_score",98.58
"23003952100","tract",2023,"education_score",91.15
"23003952300","tract",2023,"education_score",88.94
"23003952400","tract",2023,"education_score",92.72
"23003952500","tract",2023,"education_score",87.35
"23003952600","tract",2023,"education_score",95.61
"23003952700","tract",2023,"education_score",89.63
"23003952900","tract",2023,"education_score",85.32
"23005000100","tract",2023,"education_score",128.57
"23005000200","tract",2023,"education_score",111.16
"23005000300","tract",2023,"education_score",108.84
"23005000500","tract",2023,"education_score",106.59
"23005000600","tract",2023,"education_score",109.23
"23005001000","tract",2023,"education_score",121.37
