"geoid","geolevel","year","level","value"
"27001770100","tract",2023,"education_score",NA
"27001770200","tract",2023,"education_score",99.26
"27001770300","tract",2023,"education_score",94.4
"27001770401","tract",2023,"education_score",NA
"27001770402","tract",2023,"education_score",92.88
"27001790501","tract",2023,"education_score",NA
"27001790503","tract",2023,"education_score",NA
"27001790504","tract",2023,"education_score",NA
"27003050107","tract",2023,"education_score",92.02
"27003050108","tract",2023,"education_score",99.04
"27003050109","tract",2023,"education_score",98.95
"27003050110","tract",2023,"education_score",111.2
"27003050111","tract",2023,"education_score",114.63
"27003050114","tract",2023,"education_score",106.54
"27003050115","tract",2023,"education_score",112.96
"27003050116","tract",2023,"education_score",114.44
"27003050208","tract",2023,"education_score",108.16
"27003050210","tract",2023,"education_score",106.47
"27003050215","tract",2023,"education_score",114.01
"27003050216","tract",2023,"education_score",119.17
"27003050217","tract",2023,"education_score",104.74
"27003050218","tract",2023,"education_score",114.37
"27003050219","tract",2023,"education_score",112.31
"27003050220","tract",2023,"education_score",113.78
"27003050222","tract",2023,"education_score",116.5
"27003050223","tract",2023,"education_score",112.64
"27003050224","tract",2023,"education_score",108.59
"27003050226","tract",2023,"education_score",106.09
"27003050227","tract",2023,"education_score",109.75
"27003050228","tract",2023,"education_score",108.62
"27003050229","tract",2023,"education_score",107.72
"27003050230","tract",2023,"education_score",120.21
"27003050232","tract",2023,"education_score",119.87
"27003050233","tract",2023,"education_score",115.63
"27003050234","tract",2023,"education_score",113.88
"27003050235","tract",2023,"education_score",99.85
"27003050236","tract",2023,"education_score",122.8
"27003050237","tract",2023,"education_score",117.46
"27003050238","tract",2023,"education_score",114.23
"27003050239","tract",2023,"education_score",117.11
"27003050240","tract",2023,"education_score",110.58
"27003050241","tract",2023,"education_score",103.93
"27003050401","tract",2023,"education_score",106.66
"27003050402","tract",2023,"education_score",98.07
"27003050501","tract",2023,"education_score",107.24
"27003050504","tract",2023,"education_score",104.5
"27003050505","tract",2023,"education_score",100.82
"27003050602","tract",2023,"education_score",102.85
"27003050605","tract",2023,"education_score",102.36
"27003050606","tract",2023,"education_score",101.36
"27003050607","tract",2023,"education_score",95.01
"27003050608","tract",2023,"education_score",91.6
"27003050609","tract",2023,"education_score",107.52
"27003050611","tract",2023,"education_score",108.67
"27003050612","tract",2023,"education_score",94.09
"27003050702","tract",2023,"education_score",104.47
"27003050704","tract",2023,"education_score",104.08
"27003050706","tract",2023,"education_score",99.37
"27003050707","tract",2023,"education_score",113.87
"27003050709","tract",2023,"education_score",107.38
"27003050710","tract",2023,"education_score",105.64
"27003050711","tract",2023,"education_score",103.91
"27003050712","tract",2023,"education_score",101.22
"27003050807","tract",2023,"education_score",98.21
"27003050808","tract",2023,"education_score",110.22
"27003050810","tract",2023,"education_score",89.49
"27003050811","tract",2023,"education_score",106.51
"27003050816","tract",2023,"education_score",103.2
"27003050818","tract",2023,"education_score",119.4
"27003050819","tract",2023,"education_score",124.45
"27003050820","tract",2023,"education_score",107.32
"27003050821","tract",2023,"education_score",118.36
"27003050822","tract",2023,"education_score",107.41
"27003050823","tract",2023,"education_score",116.71
"27003050824","tract",2023,"education_score",104.78
"27003050825","tract",2023,"education_score",96.5
"27003050826","tract",2023,"education_score",97.68
"27003050827","tract",2023,"education_score",104.33
"27003050828","tract",2023,"education_score",102.93
"27003050829","tract",2023,"education_score",122.79
"27003050901","tract",2023,"education_score",95.85
"27003050902","tract",2023,"education_score",103.29
"27003051001","tract",2023,"education_score",103.75
"27003051002","tract",2023,"education_score",102.23
"27003051101","tract",2023,"education_score",105.66
"27003051102","tract",2023,"education_score",96.45
"27003051103","tract",2023,"education_score",96.02
"27003051201","tract",2023,"education_score",98.02
"27003051202","tract",2023,"education_score",95.77
