"geoid","geolevel","year","level","value"
"31001965400","tract",2023,"education_score",98.91
"31001965500","tract",2023,"education_score",111.6
"31001965600","tract",2023,"education_score",100.69
"31001965700","tract",2023,"education_score",86.4
"31001965800","tract",2023,"education_score",108.03
"31001965900","tract",2023,"education_score",96.55
"31001966000","tract",2023,"education_score",108.75
"31001966100","tract",2023,"education_score",125.94
"31001966200","tract",2023,"education_score",103.08
"31003979600","tract",2023,"education_score",108.5
"31003979700","tract",2023,"education_score",109.61
"31003979800","tract",2023,"education_score",105.59
"31005958300","tract",2023,"education_score",112.6
"31007954000","tract",2023,"education_score",96.85
"31009972400","tract",2023,"education_score",90.23
"31011960100","tract",2023,"education_score",104.17
"31011960200","tract",2023,"education_score",99.84
"31013951100","tract",2023,"education_score",112.65
"31013951200","tract",2023,"education_score",97.88
"31013951300","tract",2023,"education_score",110.28
"31015975800","tract",2023,"education_score",100.42
"31017975000","tract",2023,"education_score",106.26
"31019968900","tract",2023,"education_score",100.86
"31019969000","tract",2023,"education_score",93.85
"31019969100","tract",2023,"education_score",109.09
"31019969202","tract",2023,"education_score",98.13
"31019969203","tract",2023,"education_score",89.23
"31019969204","tract",2023,"education_score",87.59
"31019969300","tract",2023,"education_score",97.79
"31019969400","tract",2023,"education_score",96.29
"31019969500","tract",2023,"education_score",114.34
"31019969600","tract",2023,"education_score",107.98
"31019969700","tract",2023,"education_score",97.38
"31021963200","tract",2023,"education_score",103.36
"31021963300","tract",2023,"education_score",100.55
"31021963400","tract",2023,"education_score",106.52
"31023967600","tract",2023,"education_score",113.11
"31023967700","tract",2023,"education_score",94.82
"31023967800","tract",2023,"education_score",84.43
"31025965600","tract",2023,"education_score",88.95
"31025965700","tract",2023,"education_score",90.56
"31025965800","tract",2023,"education_score",88.38
"31025965900","tract",2023,"education_score",102.96
"31025966000","tract",2023,"education_score",91.92
"31025966100","tract",2023,"education_score",102.06
"31027977100","tract",2023,"education_score",102.5
"31027977200","tract",2023,"education_score",101.77
"31029961900","tract",2023,"education_score",113.05
"31031955800","tract",2023,"education_score",106.67
"31031955900","tract",2023,"education_score",98.21
"31033954800","tract",2023,"education_score",99.38
"31033954900","tract",2023,"education_score",109.67
"31033955000","tract",2023,"education_score",96.12
"31035962100","tract",2023,"education_score",100.58
"31035962200","tract",2023,"education_score",106.17
"31037964600","tract",2023,"education_score",106.12
"31037964700","tract",2023,"education_score",116.58
"31037964800","tract",2023,"education_score",159.31
"31039972700","tract",2023,"education_score",94.7
"31039972800","tract",2023,"education_score",114.66
"31039972900","tract",2023,"education_score",102.29
"31041971700","tract",2023,"education_score",95.75
"31041971800","tract",2023,"education_score",98.43
"31041971900","tract",2023,"education_score",112.27
"31041972000","tract",2023,"education_score",97.71
"31043010101","tract",2023,"education_score",126.68
"31043010102","tract",2023,"education_score",130.62
"31043010200","tract",2023,"education_score",135.41
"31043010300","tract",2023,"education_score",115.72
"31043010400","tract",2023,"education_score",105.4
"31045950600","tract",2023,"education_score",94.67
"31045950700","tract",2023,"education_score",96.39
"31047968000","tract",2023,"education_score",111.98
"31047968100","tract",2023,"education_score",95.8
"31047968200","tract",2023,"education_score",98.85
"31047968300","tract",2023,"education_score",115.44
"31047968400","tract",2023,"education_score",157.26
"31047968500","tract",2023,"education_score",158.22
"31047968600","tract",2023,"education_score",108.08
"31049955400","tract",2023,"education_score",104.14
"31051977600","tract",2023,"education_score",101.55
"31051977800","tract",2023,"education_score",132.44
"31053963600","tract",2023,"education_score",113.03
"31053963700","tract",2023,"education_score",108.53
"31053963800","tract",2023,"education_score",119.38
"31053963900","tract",2023,"education_score",115.12
"31053964000","tract",2023,"education_score",105.41
"31053964100","tract",2023,"education_score",100.84
"31053964200","tract",2023,"education_score",112.83
"31053964300","tract",2023,"education_score",94.29
"31053964400","tract",2023,"education_score",130.84
"31055000200","tract",2023,"education_score",114.41
"31055000300","tract",2023,"education_score",127.53
"31055000400","tract",2023,"education_score",143.76
"31055000500","tract",2023,"education_score",NA
"31055000600","tract",2023,"education_score",132.82
"31055000700","tract",2023,"education_score",112.13
"31055000800","tract",2023,"education_score",129.38
"31055001100","tract",2023,"education_score",120.47
"31055001200","tract",2023,"education_score",127.27
"31055001600","tract",2023,"education_score",NA
"31055001800","tract",2023,"education_score",68.89
"31055001900","tract",2023,"education_score",89.47
"31055002000","tract",2023,"education_score",148.15
"31055002100","tract",2023,"education_score",130.01
"31055002200","tract",2023,"education_score",89.25
"31055002300","tract",2023,"education_score",108.37
"31055002400","tract",2023,"education_score",126.85
"31055002500","tract",2023,"education_score",151.57
"31055002600","tract",2023,"education_score",147.74
"31055002700","tract",2023,"education_score",152.06
"31055002800","tract",2023,"education_score",155.52
"31055002900","tract",2023,"education_score",158.98
"31055003000","tract",2023,"education_score",154.53
"31055003100","tract",2023,"education_score",137.57
"31055003200","tract",2023,"education_score",142.85
"31055003300","tract",2023,"education_score",139.88
"31055003401","tract",2023,"education_score",116.59
"31055003402","tract",2023,"education_score",96.82
"31055003500","tract",2023,"education_score",107.9
"31055003600","tract",2023,"education_score",78.58
"31055003700","tract",2023,"education_score",76.73
"31055003800","tract",2023,"education_score",112.56
"31055003900","tract",2023,"education_score",121.82
"31055004000","tract",2023,"education_score",89.17
"31055004200","tract",2023,"education_score",87.42
"31055004300","tract",2023,"education_score",78.71
"31055004400","tract",2023,"education_score",92.64
"31055004500","tract",2023,"education_score",75.92
"31055004600","tract",2023,"education_score",82.59
"31055004700","tract",2023,"education_score",84.31
"31055004800","tract",2023,"education_score",80.55
"31055004900","tract",2023,"education_score",112.83
"31055005000","tract",2023,"education_score",94.53
"31055005100","tract",2023,"education_score",99.92
"31055005200","tract",2023,"education_score",176.1
"31055005300","tract",2023,"education_score",125.45
"31055005400","tract",2023,"education_score",121.4
"31055005500","tract",2023,"education_score",79.34
"31055005600","tract",2023,"education_score",95.52
"31055005700","tract",2023,"education_score",99.84
"31055005800","tract",2023,"education_score",116.14
"31055005901","tract",2023,"education_score",130.79
"31055005902","tract",2023,"education_score",139.98
"31055006000","tract",2023,"education_score",140.23
"31055006101","tract",2023,"education_score",127.2
"31055006102","tract",2023,"education_score",127.9
"31055006202","tract",2023,"education_score",118.79
"31055006301","tract",2023,"education_score",113.71
"31055006302","tract",2023,"education_score",130.04
"31055006303","tract",2023,"education_score",146.82
"31055006400","tract",2023,"education_score",89.09
"31055006503","tract",2023,"education_score",96.47
"31055006504","tract",2023,"education_score",88.09
"31055006505","tract",2023,"education_score",88.28
"31055006506","tract",2023,"education_score",119.46
"31055006603","tract",2023,"education_score",105.45
"31055006604","tract",2023,"education_score",89.79
"31055006605","tract",2023,"education_score",79.02
"31055006606","tract",2023,"education_score",87.04
"31055006701","tract",2023,"education_score",70.54
"31055006703","tract",2023,"education_score",89.6
"31055006704","tract",2023,"education_score",82.96
"31055006803","tract",2023,"education_score",84.17
"31055006804","tract",2023,"education_score",77.17
"31055006805","tract",2023,"education_score",79.52
"31055006806","tract",2023,"education_score",85.09
"31055006903","tract",2023,"education_score",88.59
"31055006904","tract",2023,"education_score",79.7
"31055006905","tract",2023,"education_score",94.75
"31055006906","tract",2023,"education_score",82.2
"31055007001","tract",2023,"education_score",100.8
"31055007002","tract",2023,"education_score",102.76
"31055007003","tract",2023,"education_score",102.45
"31055007101","tract",2023,"education_score",121.07
"31055007102","tract",2023,"education_score",116.09
"31055007303","tract",2023,"education_score",86.88
"31055007304","tract",2023,"education_score",86.44
"31055007309","tract",2023,"education_score",93.16
"31055007310","tract",2023,"education_score",96.81
"31055007311","tract",2023,"education_score",87.61
"31055007312","tract",2023,"education_score",119.89
"31055007314","tract",2023,"education_score",89.59
"31055007315","tract",2023,"education_score",81.89
"31055007316","tract",2023,"education_score",79.46
"31055007317","tract",2023,"education_score",86.21
"31055007318","tract",2023,"education_score",81.29
"31055007319","tract",2023,"education_score",103.12
"31055007320","tract",2023,"education_score",117
"31055007406","tract",2023,"education_score",91.94
"31055007407","tract",2023,"education_score",87.76
"31055007408","tract",2023,"education_score",101.2
"31055007409","tract",2023,"education_score",85.95
"31055007424","tract",2023,"education_score",97.48
"31055007429","tract",2023,"education_score",83.51
"31055007431","tract",2023,"education_score",86.28
"31055007432","tract",2023,"education_score",106.97
"31055007433","tract",2023,"education_score",88.98
"31055007434","tract",2023,"education_score",93.55
"31055007435","tract",2023,"education_score",106.35
"31055007436","tract",2023,"education_score",97.92
"31055007438","tract",2023,"education_score",87.97
"31055007439","tract",2023,"education_score",80.2
"31055007440","tract",2023,"education_score",89.34
"31055007441","tract",2023,"education_score",88.32
"31055007442","tract",2023,"education_score",89
"31055007443","tract",2023,"education_score",77.58
"31055007444","tract",2023,"education_score",82.89
"31055007445","tract",2023,"education_score",90.14
"31055007446","tract",2023,"education_score",82.87
"31055007447","tract",2023,"education_score",84.44
"31055007448","tract",2023,"education_score",81.81
"31055007449","tract",2023,"education_score",81.98
"31055007450","tract",2023,"education_score",93.02
"31055007451","tract",2023,"education_score",86.76
"31055007452","tract",2023,"education_score",94.54
"31055007453","tract",2023,"education_score",82.13
"31055007454","tract",2023,"education_score",87.71
"31055007455","tract",2023,"education_score",99.74
"31055007456","tract",2023,"education_score",103.1
"31055007457","tract",2023,"education_score",93.48
"31055007458","tract",2023,"education_score",87.9
"31055007459","tract",2023,"education_score",101.13
"31055007460","tract",2023,"education_score",86.79
"31055007461","tract",2023,"education_score",81.24
"31055007462","tract",2023,"education_score",112.07
"31055007463","tract",2023,"education_score",95.04
"31055007464","tract",2023,"education_score",79.94
"31055007465","tract",2023,"education_score",92.12
"31055007466","tract",2023,"education_score",96.12
"31055007467","tract",2023,"education_score",97.37
"31055007468","tract",2023,"education_score",108.5
"31055007469","tract",2023,"education_score",88.33
"31055007470","tract",2023,"education_score",91
"31055007471","tract",2023,"education_score",82.64
"31055007472","tract",2023,"education_score",79.68
"31055007473","tract",2023,"education_score",NA
"31055007474","tract",2023,"education_score",73.13
"31055007504","tract",2023,"education_score",79.07
"31055007505","tract",2023,"education_score",89.62
"31055007506","tract",2023,"education_score",88.1
"31055007508","tract",2023,"education_score",89.52
"31055007509","tract",2023,"education_score",84.81
"31055007514","tract",2023,"education_score",72.2
"31055007515","tract",2023,"education_score",88.28
"31055007516","tract",2023,"education_score",95.79
"31055007517","tract",2023,"education_score",86.33
"31055007518","tract",2023,"education_score",90.65
"31055007519","tract",2023,"education_score",84.17
"31055007520","tract",2023,"education_score",88.31
"31055007521","tract",2023,"education_score",97.48
"31055007522","tract",2023,"education_score",87.84
"31055007523","tract",2023,"education_score",78.78
"31055007524","tract",2023,"education_score",87.04
"31057962300","tract",2023,"education_score",95.37
"31059091600","tract",2023,"education_score",99.05
"31059091700","tract",2023,"education_score",97.72
"31061964600","tract",2023,"education_score",102.37
"31061964700","tract",2023,"education_score",100.85
"31063961100","tract",2023,"education_score",104.37
"31065963900","tract",2023,"education_score",105.99
"31067964600","tract",2023,"education_score",93.41
"31067964700","tract",2023,"education_score",101.69
"31067964800","tract",2023,"education_score",95.42
"31067964900","tract",2023,"education_score",107.88
"31067965000","tract",2023,"education_score",103
"31067965100","tract",2023,"education_score",100.1
"31067965200","tract",2023,"education_score",101.12
"31069952100","tract",2023,"education_score",97.45
"31071973200","tract",2023,"education_score",99.34
"31073967600","tract",2023,"education_score",95.24
"31075956300","tract",2023,"education_score",98.26
"31077970900","tract",2023,"education_score",105.34
"31079000100","tract",2023,"education_score",106.61
"31079000200","tract",2023,"education_score",146.53
"31079000300","tract",2023,"education_score",130.4
"31079000400","tract",2023,"education_score",116.46
"31079000500","tract",2023,"education_score",104.71
"31079000600","tract",2023,"education_score",103.83
"31079000700","tract",2023,"education_score",119.59
"31079000800","tract",2023,"education_score",110.59
"31079000900","tract",2023,"education_score",124.76
"31079001000","tract",2023,"education_score",128.6
"31079001100","tract",2023,"education_score",110.54
"31079001200","tract",2023,"education_score",99.32
"31079001300","tract",2023,"education_score",102.94
"31079001400","tract",2023,"education_score",105.74
"31081969100","tract",2023,"education_score",97.33
"31081969200","tract",2023,"education_score",100.69
"31081969300","tract",2023,"education_score",98.05
"31083964200","tract",2023,"education_score",106.89
"31085961500","tract",2023,"education_score",104.75
"31087962700","tract",2023,"education_score",109.32
"31089974000","tract",2023,"education_score",108.26
"31089974100","tract",2023,"education_score",108.49
"31089974200","tract",2023,"education_score",92.51
"31089974300","tract",2023,"education_score",99.71
"31091956700","tract",2023,"education_score",105.86
"31093970500","tract",2023,"education_score",97.76
"31093970600","tract",2023,"education_score",107.21
"31095963600","tract",2023,"education_score",102.35
"31095963700","tract",2023,"education_score",101.41
"31095963800","tract",2023,"education_score",115.51
"31097967500","tract",2023,"education_score",99.58
"31097967600","tract",2023,"education_score",106.68
"31099966600","tract",2023,"education_score",86.92
"31099966700","tract",2023,"education_score",118.98
"31101000100","tract",2023,"education_score",100.49
"31101000200","tract",2023,"education_score",111.04
"31101000300","tract",2023,"education_score",102.98
"31103975400","tract",2023,"education_score",106.59
"31105954500","tract",2023,"education_score",113.2
"31107976200","tract",2023,"education_score",106.98
"31107976300","tract",2023,"education_score",108.17
"31107976400","tract",2023,"education_score",107.01
"31109000100","tract",2023,"education_score",107.14
"31109000201","tract",2023,"education_score",95.7
"31109000202","tract",2023,"education_score",106.57
"31109000300","tract",2023,"education_score",103.52
"31109000400","tract",2023,"education_score",136.45
"31109000500","tract",2023,"education_score",93.31
"31109000600","tract",2023,"education_score",NA
"31109000700","tract",2023,"education_score",104.69
"31109000800","tract",2023,"education_score",122.17
"31109000900","tract",2023,"education_score",96.25
"31109001001","tract",2023,"education_score",94.35
"31109001002","tract",2023,"education_score",97.03
"31109001003","tract",2023,"education_score",97.16
"31109001101","tract",2023,"education_score",94.33
"31109001102","tract",2023,"education_score",97.74
"31109001200","tract",2023,"education_score",97.86
"31109001301","tract",2023,"education_score",87.82
"31109001302","tract",2023,"education_score",94.69
"31109001400","tract",2023,"education_score",96.46
"31109001500","tract",2023,"education_score",96.89
"31109001600","tract",2023,"education_score",90.65
"31109001700","tract",2023,"education_score",101.5
"31109001800","tract",2023,"education_score",109.81
"31109001900","tract",2023,"education_score",89.72
"31109002001","tract",2023,"education_score",110.78
"31109002002","tract",2023,"education_score",119.97
"31109002100","tract",2023,"education_score",118.98
"31109002200","tract",2023,"education_score",108.33
