"geoid","geolevel","year","level","value"
"33001965100","tract",2023,"education_score",91.16
"33001965200","tract",2023,"education_score",81.94
"33001965300","tract",2023,"education_score",84.8
"33001965400","tract",2023,"education_score",87.19
"33001965598","tract",2023,"education_score",96.66
"33001965600","tract",2023,"education_score",88.79
"33001965700","tract",2023,"education_score",95.92
"33001965801","tract",2023,"education_score",95.78
"33001965802","tract",2023,"education_score",99.92
"33001965900","tract",2023,"education_score",94.92
"33001966000","tract",2023,"education_score",105.66
"33001966100","tract",2023,"education_score",89.13
"33001966200","tract",2023,"education_score",96.57
"33001966401","tract",2023,"education_score",71.83
"33001966403","tract",2023,"education_score",86.9
"33001966404","tract",2023,"education_score",68.14
"33001966501","tract",2023,"education_score",86.98
"33001966502","tract",2023,"education_score",77.14
"33003955101","tract",2023,"education_score",75.25
"33003955102","tract",2023,"education_score",69.47
"33003955301","tract",2023,"education_score",83.74
"33003955302","tract",2023,"education_score",85.8
"33003955401","tract",2023,"education_score",102.02
"33003955402","tract",2023,"education_score",90.65
"33003955500","tract",2023,"education_score",101.18
"33003955601","tract",2023,"education_score",87.51
"33003955602","tract",2023,"education_score",86.28
"33003955801","tract",2023,"education_score",86.52
"33003955802","tract",2023,"education_score",105.93
"33003955901","tract",2023,"education_score",86.66
"33003955902","tract",2023,"education_score",107.22
"33003956000","tract",2023,"education_score",88.49
"33003956101","tract",2023,"education_score",87.44
"33003956102","tract",2023,"education_score",88.95
"33003956301","tract",2023,"education_score",95.14
"33003956302","tract",2023,"education_score",68.1
"33003956400","tract",2023,"education_score",88.61
"33005970100","tract",2023,"education_score",92.6
"33005970200","tract",2023,"education_score",97.98
"33005970401","tract",2023,"education_score",84.15
"33005970402","tract",2023,"education_score",92.2
"33005970500","tract",2023,"education_score",89.85
"33005970600","tract",2023,"education_score",94.61
"33005970700","tract",2023,"education_score",85.88
"33005970800","tract",2023,"education_score",95.05
"33005970901","tract",2023,"education_score",94.35
"33005970902","tract",2023,"education_score",91.39
"33005971000","tract",2023,"education_score",95.09
"33005971100","tract",2023,"education_score",85.83
"33005971300","tract",2023,"education_score",91.69
"33005971402","tract",2023,"education_score",88.6
"33005971403","tract",2023,"education_score",NA
"33005971500","tract",2023,"education_score",81.53
"33005971600","tract",2023,"education_score",95.34
"33005971700","tract",2023,"education_score",106.22
"33007950100","tract",2023,"education_score",112.45
"33007950200","tract",2023,"education_score",101.5
"33007950300","tract",2023,"education_score",102.35
"33007950400","tract",2023,"education_score",111.22
"33007950500","tract",2023,"education_score",90.35
"33007950600","tract",2023,"education_score",104.71
"33007950700","tract",2023,"education_score",104.56
"33007950800","tract",2023,"education_score",93.02
"33007950900","tract",2023,"education_score",93.55
"33007951000","tract",2023,"education_score",88.87
"33007951100","tract",2023,"education_score",101.85
"33009960101","tract",2023,"education_score",112.27
"33009960102","tract",2023,"education_score",89.92
"33009960200","tract",2023,"education_score",84.44
"33009960300","tract",2023,"education_score",96.02
"33009960401","tract",2023,"education_score",82.87
"33009960402","tract",2023,"education_score",87.84
"33009960500","tract",2023,"education_score",89.1
"33009960600","tract",2023,"education_score",95.49
"33009960700","tract",2023,"education_score",88.14
"33009960801","tract",2023,"education_score",89.53
"33009960802","tract",2023,"education_score",97.45
"33009960900","tract",2023,"education_score",82.16
"33009961001","tract",2023,"education_score",NA
"33009961002","tract",2023,"education_score",86.2
