"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"34001000100","tract",2023,115,84.57,132.83,113.63,"education_score",-23.08
"34001000200","tract",2023,132.62,87.97,131.6,106.51,"education_score",-35.29
"34001000300","tract",2023,147.24,93.48,143.14,97.78,"education_score",-47.85
"34001000400","tract",2023,115.58,85.12,94.01,85.52,"education_score",-13.59
"34001000500","tract",2023,134.94,84.42,122.24,130.09,"education_score",-36.81
"34001001100","tract",2023,110.38,91.58,74.48,111.65,"education_score",-4.94
"34001001200","tract",2023,88.08,98.33,118.09,101.64,"education_score",3.78
"34001001300","tract",2023,111.63,100.18,94.36,126.4,"education_score",-7.32
"34001001400","tract",2023,110.14,91.57,128.28,83.11,"education_score",-17.09
"34001001500","tract",2023,141.5,91.35,78.06,88.99,"education_score",-30.19
"34001001900","tract",2023,100.42,108.99,99.01,85.32,"education_score",1.2
"34001002300","tract",2023,164.03,79.51,135.3,88.99,"education_score",-62.85
"34001002400","tract",2023,120.35,86.88,138.92,84.66,"education_score",-29.38
"34001002500","tract",2023,120.92,128.22,101.46,112.69,"education_score",-10.52
"34001010101","tract",2023,87.29,109.44,81.94,104.04,"education_score",16.86
"34001010102","tract",2023,77.73,89.74,63.68,97.9,"education_score",23.96
"34001010104","tract",2023,78.03,120.18,53.71,271.16,"education_score",37.74
"34001010105","tract",2023,101.72,113.55,60.49,91.6,"education_score",11.91
"34001010200","tract",2023,87.3,95.89,105.25,119.56,"education_score",6.84
"34001010300","tract",2023,88.54,87.31,89.56,85.65,"education_score",7.59
"34001010401","tract",2023,86.17,89.08,74.56,101.17,"education_score",13.29
"34001010403","tract",2023,104.67,93.22,122.11,84.59,"education_score",-9.52
"34001010501","tract",2023,86.49,113.54,88.75,129.8,"education_score",15.59
"34001010503","tract",2023,98.77,97.81,111.46,146.3,"education_score",-3.79
"34001010505","tract",2023,87.92,86.63,98.68,115.7,"education_score",6.33
"34001010506","tract",2023,98.81,94.24,104.09,101.8,"education_score",-2.12
"34001010600","tract",2023,108.24,120.83,118.49,128.12,"education_score",-7.08
"34001010700","tract",2023,104.88,115.25,108.06,106.66,"education_score",-1.88
"34001010800","tract",2023,93.9,86.34,95.26,170.59,"education_score",1.82
"34001010900","tract",2023,96.59,106.51,87.74,84.58,"education_score",8.88
"34001011000","tract",2023,102.1,115.08,108.21,87.4,"education_score",0.49
"34001011100","tract",2023,103.33,144.26,87.87,83.38,"education_score",11.19
"34001011201","tract",2023,101.46,118.05,93.29,110.31,"education_score",4.5
"34001011202","tract",2023,100.44,108.93,88.11,150.7,"education_score",1.41
"34001011300","tract",2023,107.73,107.44,103.58,88.99,"education_score",-3.41
"34001011401","tract",2023,96.6,93.76,94.24,98.55,"education_score",2.85
"34001011403","tract",2023,84.69,94.63,90.59,83.17,"education_score",13.38
"34001011404","tract",2023,88.39,105.63,100.02,133.23,"education_score",8.28
"34001011500","tract",2023,92.48,91.33,119.55,84.22,"education_score",-1.16
"34001011600","tract",2023,100.81,109.18,84.33,117.57,"education_score",5.1
"34001011702","tract",2023,104.9,98.22,99.59,95.83,"education_score",-4.95
"34001011703","tract",2023,93.71,88.71,116.09,99.57,"education_score",-2.66
"34001011704","tract",2023,98.07,118.16,122.55,88.99,"education_score",0.93
"34001011803","tract",2023,91.57,105.3,66.83,97.85,"education_score",15.52
"34001011804","tract",2023,94.22,98.13,104.12,113.13,"education_score",2.31
"34001011805","tract",2023,96.37,95.79,90.32,93.2,"education_score",4.02
"34001011806","tract",2023,88.1,107.3,110.9,90.61,"education_score",8.84
"34001011807","tract",2023,86.67,125.29,119.59,95.83,"education_score",11.48
"34001011808","tract",2023,88.53,108.15,122.65,95.83,"education_score",6.47
"34001011901","tract",2023,168.7,92.45,102.4,99.14,"education_score",-55.01
"34001011902","tract",2023,116.16,91.06,94.55,125.24,"education_score",-13.89
"34001012000","tract",2023,125.26,74.49,104.46,83.23,"education_score",-25.65
"34001012100","tract",2023,134.31,111.83,107.02,85.45,"education_score",-25.41
"34001012200","tract",2023,122.4,80.77,129.65,112.15,"education_score",-29.7
"34001012302","tract",2023,89.12,99.96,108.55,82.15,"education_score",7.49
"34001012401","tract",2023,95.63,114.87,88.01,85.86,"education_score",10.73
"34001012402","tract",2023,83.22,111.19,87.59,108.4,"education_score",18.25
"34001012501","tract",2023,90.31,107.78,94.87,86.69,"education_score",12.14
"34001012502","tract",2023,87.57,100.33,114.68,136.21,"education_score",6.76
"34001012602","tract",2023,100.37,124.81,139.63,88.99,"education_score",-2.63
"34001012701","tract",2023,111.16,107.67,73.33,88.99,"education_score",-0.85
"34001012702","tract",2023,94.15,115.89,82.5,88.99,"education_score",12.36
