"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"35001000107","tract",2023,76.89,120.2,85.56,92.46,"education_score",27.82
"35001000108","tract",2023,95.06,90.5,91.12,104.04,"education_score",4.05
"35001000109","tract",2023,95.1,75.93,86.35,99.68,"education_score",1.51
"35001000110","tract",2023,89.58,84.45,76.46,135.22,"education_score",8.09
"35001000111","tract",2023,85.05,109.54,95.61,106.55,"education_score",14.62
"35001000112","tract",2023,76.31,93.02,80.31,92.65,"education_score",22.39
"35001000113","tract",2023,83.14,122.4,87.51,89.33,"education_score",22.48
"35001000114","tract",2023,90.3,88.72,94.18,112.92,"education_score",6.26
"35001000115","tract",2023,87.81,88.98,88.01,100.5,"education_score",8.9
"35001000116","tract",2023,87.47,137.67,94.57,109.18,"education_score",20.86
"35001000117","tract",2023,89.02,102.1,80.95,88.99,"education_score",13.86
"35001000118","tract",2023,87.78,83.24,113.48,109.79,"education_score",2.59
"35001000119","tract",2023,83.09,112.14,83.76,147.63,"education_score",20.66
"35001000120","tract",2023,87.44,102.57,99.9,116.23,"education_score",10.01
"35001000121","tract",2023,95.65,95.15,100.4,107.94,"education_score",1.66
"35001000122","tract",2023,98.44,86.33,98.15,98.52,"education_score",-1.97
"35001000123","tract",2023,93.41,80.34,83.34,104.94,"education_score",3.55
"35001000124","tract",2023,92.26,87.17,74.52,103.52,"education_score",8.16
"35001000125","tract",2023,79.66,100.35,95.96,87.17,"education_score",18.53
"35001000126","tract",2023,82.69,97.58,70.86,108.07,"education_score",19.3
"35001000127","tract",2023,96.71,105.51,115.49,95.83,"education_score",-0.5
"35001000128","tract",2023,110.34,92.03,96.73,100.21,"education_score",-9.82
"35001000129","tract",2023,88.95,105.11,88.84,88.99,"education_score",11.46
"35001000203","tract",2023,91.96,84.43,105.79,115.61,"education_score",0.9
"35001000204","tract",2023,84.12,97.73,95.59,102.35,"education_score",13.04
"35001000205","tract",2023,101.07,91.24,82.42,113.82,"education_score",0.05
"35001000206","tract",2023,94.27,93.73,104.78,93.72,"education_score",2.23
"35001000207","tract",2023,94.33,89.81,101.29,143.05,"education_score",-0.28
"35001000208","tract",2023,103,91.9,77.07,88.99,"education_score",-0.1
"35001000300","tract",2023,79.04,91.79,116.4,106.59,"education_score",11.91
"35001000401","tract",2023,79.64,98.7,92.32,84.07,"education_score",18.42
"35001000402","tract",2023,82.19,111,91.6,83.51,"education_score",19.52
"35001000501","tract",2023,87.96,75.29,79.86,85.9,"education_score",7.31
"35001000503","tract",2023,71.66,93.21,59.85,111.85,"education_score",29.24
"35001000504","tract",2023,85.26,111.56,85.17,287.22,"education_score",21.12
"35001000601","tract",2023,88.29,91.67,80.09,143.22,"education_score",10.12
"35001000603","tract",2023,124.47,72.4,101.16,84.5,"education_score",-25.87
"35001000605","tract",2023,121.77,85.42,85.93,100.63,"education_score",-17.83
"35001000704","tract",2023,100.53,94.23,85.93,139.61,"education_score",0.61
"35001000711","tract",2023,75.68,94.36,75.37,85.76,"education_score",22.91
"35001000712","tract",2023,104.85,73.29,99.8,98.02,"education_score",-10.41
"35001000713","tract",2023,114.74,71.09,80.55,84.56,"education_score",-14.53
"35001000714","tract",2023,93.16,91.6,92.84,119.71,"education_score",4.16
"35001000715","tract",2023,152.56,88.18,168.49,85.32,"education_score",-59.67
"35001000716","tract",2023,131.29,85.84,107.23,103.01,"education_score",-29.64
"35001000717","tract",2023,122.05,91.98,94.21,87.3,"education_score",-16.77
"35001000718","tract",2023,110.87,94.34,86.09,84.59,"education_score",-6.48
"35001000719","tract",2023,76.19,105.69,108.79,84.15,"education_score",18.49
"35001000720","tract",2023,72.35,122.73,63.28,84.69,"education_score",36.03
"35001000904","tract",2023,112.21,89.96,90.03,120.32,"education_score",-11.44
"35001000905","tract",2023,114.27,79.51,79.01,84.66,"education_score",-11.26
"35001000906","tract",2023,93.72,78.02,81.58,102.67,"education_score",2.34
"35001000907","tract",2023,124.52,89.47,97.38,86.41,"education_score",-20.68
"35001000908","tract",2023,149.22,66.82,125.94,88.99,"education_score",-52.45
"35001001101","tract",2023,76.42,101.8,103.36,102.11,"education_score",18.17
"35001001102","tract",2023,107.95,92.23,106.58,88.99,"education_score",-10.07
"35001001201","tract",2023,112.13,86.78,95.95,99.23,"education_score",-11.39
"35001001202","tract",2023,128.89,52.36,130.98,115.74,"education_score",-39.59
"35001001300","tract",2023,127.96,100.79,98.3,110.1,"education_score",-22.47
"35001001400","tract",2023,113.01,92.44,73.69,108.4,"education_score",-7.2
"35001001500","tract",2023,112.64,101.79,102.05,144.26,"education_score",-11.13
"35001001701","tract",2023,78.08,112.21,91.85,88.99,"education_score",22.75
"35001001702","tract",2023,79.33,92.17,97.48,82.15,"education_score",16.95
"35001001800","tract",2023,NA,NA,NA,NA,"education_score",NA
"35001002000","tract",2023,115.16,65.27,99.97,116.34,"education_score",-21.55
"35001002100","tract",2023,76.85,72.75,82.96,336.78,"education_score",20.06
"35001002200","tract",2023,80.1,101.19,86.49,88.99,"education_score",19.26
"35001002301","tract",2023,134.34,104.32,113.02,96.32,"education_score",-28.26
"35001002302","tract",2023,125.99,87.26,88.31,101.13,"education_score",-20.69
"35001002303","tract",2023,106.25,102.73,129.35,88.99,"education_score",-11.87
"35001002401","tract",2023,113.43,89.67,79.97,95.83,"education_score",-8.75
"35001002403","tract",2023,116.25,99.47,101.11,96.97,"education_score",-14
"35001002404","tract",2023,127.88,77.84,126.38,105.43,"education_score",-33.25
"35001002700","tract",2023,92.72,94.72,76.6,84.84,"education_score",9.9
"35001002900","tract",2023,102.03,103.87,98.77,136.91,"education_score",-2.04
"35001003001","tract",2023,102.96,98.24,119.42,127.47,"education_score",-5.89
"35001003002","tract",2023,81.56,109.42,93.44,114.37,"education_score",18.38
"35001003100","tract",2023,85.62,103.03,74.83,88.99,"education_score",17.88
"35001003201","tract",2023,114.7,95.77,87.71,124.11,"education_score",-10.59
"35001003202","tract",2023,98.7,90.98,86.19,123.18,"education_score",1.73
"35001003400","tract",2023,113.44,65.71,85.99,84.68,"education_score",-15.86
"35001003501","tract",2023,98.62,86.87,89.54,88.99,"education_score",0.23
"35001003502","tract",2023,82.53,84.97,71.99,161.04,"education_score",14.82
"35001003600","tract",2023,99.8,99.57,98.49,105.65,"education_score",-0.35
"35001003707","tract",2023,95.34,101.64,89.05,88.99,"education_score",6.24
"35001003712","tract",2023,80.53,107.59,80.55,101.45,"education_score",21.6
"35001003715","tract",2023,78.83,94.63,80.29,103.81,"education_score",19.75
"35001003717","tract",2023,82.63,99.32,111.52,82.15,"education_score",12.02
"35001003718","tract",2023,83.89,106.28,90.2,88.99,"education_score",16.43
"35001003719","tract",2023,77.53,113.85,80.92,88.99,"education_score",25.86
"35001003722","tract",2023,87.46,115.2,123.35,82.94,"education_score",8.99
"35001003723","tract",2023,106.87,96.03,71.22,99.78,"education_score",0.33
"35001003724","tract",2023,80.11,96.66,91.9,85.21,"education_score",17.21
"35001003725","tract",2023,84.26,84.86,80.88,102.89,"education_score",12.25
"35001003726","tract",2023,83.52,100.58,92.17,89.51,"education_score",16.56
"35001003728","tract",2023,77.57,89.56,72.66,83.73,"education_score",21.23
"35001003729","tract",2023,84.15,117.85,91.6,89.51,"education_score",20.3
"35001003730","tract",2023,73.91,116.06,114.12,85.21,"education_score",22.67
"35001003731","tract",2023,81.65,128.36,102.94,103.32,"education_score",22.2
"35001003733","tract",2023,112.96,96.21,104.53,134.45,"education_score",-14.59
"35001003736","tract",2023,85.34,82.81,103.17,109.51,"education_score",4.92
"35001003737","tract",2023,73.39,132.62,90.37,88.98,"education_score",32.15
"35001003738","tract",2023,80.86,101.9,88.36,95.83,"education_score",18.12
"35001003739","tract",2023,89.54,114.69,84.74,176.65,"education_score",18.36
"35001003740","tract",2023,83.56,81.03,93.95,95.83,"education_score",9.44
"35001003741","tract",2023,65.95,116.27,86.51,88.38,"education_score",34.59
"35001003742","tract",2023,75.34,119.39,89.89,84.44,"education_score",26.97
"35001003743","tract",2023,81.42,105.86,99.83,121.95,"education_score",15.18
"35001003744","tract",2023,77.26,145.26,158.56,88.99,"education_score",15.79
"35001003745","tract",2023,93.82,95.65,60.06,102.67,"education_score",11.11
"35001003746","tract",2023,82.01,122.15,95.69,84.29,"education_score",21.25
"35001003803","tract",2023,86.26,103.56,85.1,95.83,"education_score",15.31
"35001003804","tract",2023,92.6,107.7,83.39,84.15,"education_score",11.74
"35001003805","tract",2023,83.31,92.55,90.12,87.99,"education_score",13.74
"35001003806","tract",2023,81.56,115.61,99.01,88.99,"education_score",18.47
"35001003807","tract",2023,94.94,102.27,71.29,108.21,"education_score",9.87
"35001004001","tract",2023,114.03,75.89,106.67,114.64,"education_score",-19.96
"35001004300","tract",2023,108.66,88.51,94.22,98.37,"education_score",-8.98
"35001004401","tract",2023,142.25,83.35,92.51,119.75,"education_score",-35.45
"35001004402","tract",2023,110.68,98.96,77.04,129.76,"education_score",-5.41
"35001004501","tract",2023,135.47,99.41,116.3,88.99,"education_score",-32.18
"35001004502","tract",2023,133.48,98.75,132.77,116.18,"education_score",-34.81
"35001004602","tract",2023,105.93,105.2,120.26,110.73,"education_score",-8.24
"35001004603","tract",2023,102.58,70.19,99.8,114.81,"education_score",-11.13
"35001004604","tract",2023,111.26,112.13,114.82,98.98,"education_score",-9.65
"35001004712","tract",2023,115.84,82.44,122.39,83.28,"education_score",-22.36
"35001004713","tract",2023,117.01,83.88,126.46,97.09,"education_score",-24.47
"35001004715","tract",2023,152.16,94.08,107.15,107,"education_score",-44.36
"35001004716","tract",2023,78.26,95.49,88.38,88.45,"education_score",18.09
"35001004720","tract",2023,95.98,76.3,93.01,86.38,"education_score",-0.31
"35001004722","tract",2023,81.34,107.17,95.55,88.99,"education_score",17.32
"35001004723","tract",2023,89.44,101.46,90.42,84.89,"education_score",11.89
"35001004724","tract",2023,85.09,99.77,97.19,107.58,"education_score",12.42
"35001004725","tract",2023,105.13,104.51,84.98,88.99,"education_score",0.18
"35001004726","tract",2023,84.01,100.07,81.22,90.25,"education_score",16.63
"35001004727","tract",2023,91.37,110.37,75.02,89.06,"education_score",15.04
"35001004728","tract",2023,81.54,87.01,83.49,85.48,"education_score",14.79
"35001004729","tract",2023,97.65,104.51,76,119.11,"education_score",7.89
"35001004733","tract",2023,129.52,82.73,115.8,113.93,"education_score",-31.82
"35001004734","tract",2023,144.68,72.27,114.85,83.75,"education_score",-44
"35001004735","tract",2023,124.78,80.49,162.82,95.83,"education_score",-39.51
"35001004736","tract",2023,147.15,101.84,113.71,86.2,"education_score",-39.04
"35001004737","tract",2023,94.92,101.84,139.11,82.91,"education_score",-4.21
"35001004738","tract",2023,115.06,86.44,125.91,105.83,"education_score",-21.84
"35001004739","tract",2023,133.71,68.89,133.11,111.55,"education_score",-41.8
"35001004742","tract",2023,98.61,72.32,96.01,128.51,"education_score",-5.29
"35001004743","tract",2023,91.94,104.61,121.28,100.65,"education_score",2.47
"35001004744","tract",2023,89.14,98.89,98.99,88.99,"education_score",8.66
"35001004745","tract",2023,97.81,95.76,112,84.33,"education_score",-1.55
"35001004747","tract",2023,91.41,92.06,101.9,104.46,"education_score",3.73
"35001004749","tract",2023,101.03,84.09,109.87,83.64,"education_score",-6.77
"35001004750","tract",2023,86.16,88.55,92.27,112.45,"education_score",8.69
"35001004752","tract",2023,104.16,102.58,99.7,99.82,"education_score",-2.89
"35001004753","tract",2023,90.31,104.53,105.86,99.42,"education_score",7.48
"35001004754","tract",2023,89.45,77.7,125.63,84.26,"education_score",-3.13
"35001004755","tract",2023,86.02,106.24,113.48,84.31,"education_score",9.54
"35001004756","tract",2023,86.58,101.09,109.7,95.83,"education_score",8.77
"35001004757","tract",2023,83.71,93.67,125.4,84.52,"education_score",6.2
"35001004758","tract",2023,85.37,100.06,122.5,107.75,"education_score",6.04
"35001004759","tract",2023,128.65,100.71,131.14,88.99,"education_score",-29.34
"35001004760","tract",2023,113.66,125.51,132.43,88.99,"education_score",-10.46
"35001004761","tract",2023,106.79,102.13,87.66,102.95,"education_score",-2.59
"35001004762","tract",2023,112.85,88.54,148.37,88.99,"education_score",-24.23
"35001004763","tract",2023,92.5,97.9,115.47,88.38,"education_score",3.04
"35001004764","tract",2023,79.93,109.95,78.01,95.83,"education_score",22.22
"35001004800","tract",2023,95.38,102.02,110.43,131.24,"education_score",0.73
"35001004900","tract",2023,83.62,71.64,93.66,123.51,"education_score",8.02
"35001940500","tract",2023,84.02,124.08,74.51,86.09,"education_score",25.58
"35001940601","tract",2023,82.32,107.2,121.56,102.67,"education_score",10.31
"35001940602","tract",2023,131.99,102.58,90.15,88.99,"education_score",-23.51
"35001940700","tract",2023,106.85,92.38,92.18,85.88,"education_score",-5.18
"35001940800","tract",2023,NA,NA,NA,NA,"education_score",NA
"35001980000","tract",2023,81.57,89.57,109.26,127.88,"education_score",7.23
"35001980300","tract",2023,NA,NA,NA,NA,"education_score",NA
"35001980500","tract",2023,NA,NA,NA,NA,"education_score",NA
"35001980600","tract",2023,NA,NA,NA,NA,"education_score",NA
"35003976401","tract",2023,94.8,91.61,79.76,152.92,"education_score",5.41
"35003976402","tract",2023,83.25,97.83,60.13,109.51,"education_score",18.47
"35005000201","tract",2023,124.38,81.97,112.28,115.7,"education_score",-26.84
"35005000202","tract",2023,147.38,90.62,116.27,116.65,"education_score",-42.8
"35005000301","tract",2023,129.2,92.42,84.33,84.32,"education_score",-20.39
"35005000302","tract",2023,104.76,72.71,112.71,109.83,"education_score",-11.12
"35005000400","tract",2023,129.35,110.05,109.11,83.55,"education_score",-22.16
"35005000500","tract",2023,128.47,80.36,150.04,93.05,"education_score",-37.01
"35005000600","tract",2023,142.53,80.45,100.28,120.38,"education_score",-38.13
"35005000700","tract",2023,112.52,75.54,106.19,95.83,"education_score",-19.53
"35005000800","tract",2023,108.97,74.13,101.02,106.5,"education_score",-13.43
"35005000900","tract",2023,93.5,110.48,122.88,98.55,"education_score",2.93
"35005001001","tract",2023,89.19,88.67,108.49,95.83,"education_score",3.44
"35005001002","tract",2023,91.44,105.2,86.78,86.87,"education_score",11.15
"35005001101","tract",2023,127.85,99.21,105.53,119.86,"education_score",-24.6
"35005001102","tract",2023,102.84,92.08,113.15,112.43,"education_score",-7.69
"35005001200","tract",2023,129.57,74.21,155.21,114.81,"education_score",-41.52
"35005001300","tract",2023,137.31,59.89,113.67,120.49,"education_score",-41.88
"35005001400","tract",2023,134.03,86.01,120.28,156.5,"education_score",-35.49
"35006941500","tract",2023,97.27,84.84,102.7,86.84,"education_score",-1.31
"35006945800","tract",2023,122.2,84.91,92.09,86.09,"education_score",-18.05
