"geoid","geolevel","year","level","value"
"32001950100","tract",2023,"education_score",107.51
"32001950301","tract",2023,"education_score",101.23
"32001950302","tract",2023,"education_score",97.23
"32001950400","tract",2023,"education_score",80.07
"32001950500","tract",2023,"education_score",113.04
"32001950600","tract",2023,"education_score",95.32
"32001950700","tract",2023,"education_score",105.24
"32003000101","tract",2023,"education_score",137
"32003000103","tract",2023,"education_score",136.7
"32003000105","tract",2023,"education_score",125.59
"32003000106","tract",2023,"education_score",119.98
"32003000107","tract",2023,"education_score",123.32
"32003000108","tract",2023,"education_score",136.49
"32003000109","tract",2023,"education_score",122.69
"32003000201","tract",2023,"education_score",129.77
"32003000203","tract",2023,"education_score",100.79
"32003000204","tract",2023,"education_score",101.07
"32003000301","tract",2023,"education_score",126.24
"32003000302","tract",2023,"education_score",138.69
"32003000401","tract",2023,"education_score",NA
"32003000402","tract",2023,"education_score",132.92
"32003000403","tract",2023,"education_score",138.46
"32003000510","tract",2023,"education_score",173.29
"32003000513","tract",2023,"education_score",133.76
"32003000514","tract",2023,"education_score",143.31
"32003000515","tract",2023,"education_score",134.25
"32003000516","tract",2023,"education_score",144.88
"32003000517","tract",2023,"education_score",146.8
"32003000518","tract",2023,"education_score",144.76
"32003000519","tract",2023,"education_score",151.1
"32003000520","tract",2023,"education_score",176.83
"32003000521","tract",2023,"education_score",129.16
"32003000522","tract",2023,"education_score",158.07
"32003000523","tract",2023,"education_score",138.99
"32003000524","tract",2023,"education_score",138.29
"32003000525","tract",2023,"education_score",154.49
"32003000526","tract",2023,"education_score",173.11
"32003000527","tract",2023,"education_score",165.47
"32003000528","tract",2023,"education_score",143.01
"32003000600","tract",2023,"education_score",139.52
"32003000700","tract",2023,"education_score",NA
"32003001003","tract",2023,"education_score",117.65
"32003001004","tract",2023,"education_score",106.61
"32003001005","tract",2023,"education_score",71.22
"32003001006","tract",2023,"education_score",86.18
"32003001100","tract",2023,"education_score",123.89
"32003001200","tract",2023,"education_score",122.77
"32003001300","tract",2023,"education_score",109.19
"32003001401","tract",2023,"education_score",134.08
"32003001402","tract",2023,"education_score",122.68
"32003001501","tract",2023,"education_score",115.47
"32003001502","tract",2023,"education_score",132.22
"32003001607","tract",2023,"education_score",123.31
"32003001608","tract",2023,"education_score",137.18
"32003001609","tract",2023,"education_score",143.43
"32003001610","tract",2023,"education_score",148.17
"32003001611","tract",2023,"education_score",123.99
"32003001613","tract",2023,"education_score",131.37
"32003001614","tract",2023,"education_score",125.58
"32003001615","tract",2023,"education_score",138.13
"32003001706","tract",2023,"education_score",102.93
"32003001707","tract",2023,"education_score",96.04
"32003001708","tract",2023,"education_score",106.32
"32003001709","tract",2023,"education_score",98.59
"32003001710","tract",2023,"education_score",117.3
"32003001711","tract",2023,"education_score",101.57
"32003001712","tract",2023,"education_score",122.53
"32003001713","tract",2023,"education_score",109.7
"32003001714","tract",2023,"education_score",133.26
"32003001715","tract",2023,"education_score",134.51
"32003001716","tract",2023,"education_score",137.09
"32003001717","tract",2023,"education_score",109.58
"32003001718","tract",2023,"education_score",157.09
"32003001801","tract",2023,"education_score",132.82
"32003001803","tract",2023,"education_score",120.06
"32003001804","tract",2023,"education_score",119.79
"32003001901","tract",2023,"education_score",123.47
"32003001902","tract",2023,"education_score",135.91
"32003002000","tract",2023,"education_score",90.58
"32003002201","tract",2023,"education_score",119.18
"32003002203","tract",2023,"education_score",164.44
"32003002204","tract",2023,"education_score",165.11
"32003002206","tract",2023,"education_score",138.97
"32003002207","tract",2023,"education_score",149.55
"32003002302","tract",2023,"education_score",91
"32003002303","tract",2023,"education_score",63.15
"32003002403","tract",2023,"education_score",107.45
"32003002404","tract",2023,"education_score",124.92
"32003002405","tract",2023,"education_score",128.41
"32003002406","tract",2023,"education_score",92.5
"32003002501","tract",2023,"education_score",119
"32003002504","tract",2023,"education_score",118.47
"32003002505","tract",2023,"education_score",118.74
"32003002506","tract",2023,"education_score",119.91
"32003002603","tract",2023,"education_score",NA
"32003002604","tract",2023,"education_score",109.51
"32003002605","tract",2023,"education_score",112.96
"32003002706","tract",2023,"education_score",106.82
"32003002707","tract",2023,"education_score",107.77
"32003002708","tract",2023,"education_score",132.01
"32003002808","tract",2023,"education_score",91.75
"32003002810","tract",2023,"education_score",91.07
"32003002811","tract",2023,"education_score",88.72
"32003002814","tract",2023,"education_score",98.31
"32003002821","tract",2023,"education_score",107.81
"32003002822","tract",2023,"education_score",124.41
"32003002823","tract",2023,"education_score",103.96
"32003002824","tract",2023,"education_score",85.34
"32003002825","tract",2023,"education_score",100.62
"32003002826","tract",2023,"education_score",109.62
"32003002827","tract",2023,"education_score",97.05
"32003002828","tract",2023,"education_score",83.33
"32003002829","tract",2023,"education_score",94.78
"32003002830","tract",2023,"education_score",86.48
"32003002831","tract",2023,"education_score",90.67
"32003002833","tract",2023,"education_score",89.1
"32003002834","tract",2023,"education_score",94.5
"32003002835","tract",2023,"education_score",97.31
"32003002836","tract",2023,"education_score",95.96
"32003002837","tract",2023,"education_score",85.33
"32003002838","tract",2023,"education_score",102.18
"32003002841","tract",2023,"education_score",88.08
"32003002842","tract",2023,"education_score",99.39
"32003002844","tract",2023,"education_score",93.51
"32003002845","tract",2023,"education_score",97.77
"32003002846","tract",2023,"education_score",92.12
"32003002847","tract",2023,"education_score",96.43
"32003002848","tract",2023,"education_score",100.28
"32003002849","tract",2023,"education_score",79.96
"32003002850","tract",2023,"education_score",92.31
"32003002851","tract",2023,"education_score",106.36
"32003002852","tract",2023,"education_score",89.5
"32003002853","tract",2023,"education_score",92.1
"32003002901","tract",2023,"education_score",95
"32003002902","tract",2023,"education_score",91
"32003002905","tract",2023,"education_score",93.05
"32003002915","tract",2023,"education_score",100.4
"32003002916","tract",2023,"education_score",85.14
"32003002919","tract",2023,"education_score",100.64
"32003002935","tract",2023,"education_score",109.53
"32003002936","tract",2023,"education_score",97.36
"32003002937","tract",2023,"education_score",110.46
"32003002938","tract",2023,"education_score",103.56
"32003002939","tract",2023,"education_score",89.45
"32003002940","tract",2023,"education_score",103.2
"32003002941","tract",2023,"education_score",113.31
"32003002942","tract",2023,"education_score",104.57
"32003002944","tract",2023,"education_score",94.93
"32003002946","tract",2023,"education_score",113.15
"32003002947","tract",2023,"education_score",85.45
"32003002948","tract",2023,"education_score",117.74
"32003002949","tract",2023,"education_score",103.56
"32003002950","tract",2023,"education_score",107.79
"32003002952","tract",2023,"education_score",98.53
"32003002953","tract",2023,"education_score",100.72
"32003002954","tract",2023,"education_score",117.77
"32003002956","tract",2023,"education_score",87.62
"32003002957","tract",2023,"education_score",80.44
"32003002958","tract",2023,"education_score",98.08
"32003002961","tract",2023,"education_score",79.36
"32003002962","tract",2023,"education_score",104.11
"32003002964","tract",2023,"education_score",107.43
"32003002965","tract",2023,"education_score",118.23
"32003002966","tract",2023,"education_score",113.8
"32003002967","tract",2023,"education_score",109.91
"32003002968","tract",2023,"education_score",105.97
"32003002969","tract",2023,"education_score",89.03
"32003002970","tract",2023,"education_score",90.48
"32003002974","tract",2023,"education_score",88.51
"32003002975","tract",2023,"education_score",91.96
"32003002976","tract",2023,"education_score",108.65
"32003002977","tract",2023,"education_score",85.59
"32003002978","tract",2023,"education_score",86.23
"32003002979","tract",2023,"education_score",92.94
"32003002980","tract",2023,"education_score",103.84
"32003002981","tract",2023,"education_score",110.66
"32003002982","tract",2023,"education_score",104.31
"32003002983","tract",2023,"education_score",101.69
"32003002985","tract",2023,"education_score",96.3
"32003002995","tract",2023,"education_score",116.15
"32003002996","tract",2023,"education_score",121.06
"32003002997","tract",2023,"education_score",97.79
"32003002998","tract",2023,"education_score",95.22
"32003003001","tract",2023,"education_score",125.72
"32003003003","tract",2023,"education_score",110.1
"32003003004","tract",2023,"education_score",100.2
"32003003005","tract",2023,"education_score",122.93
"32003003006","tract",2023,"education_score",104.56
"32003003102","tract",2023,"education_score",123.51
"32003003103","tract",2023,"education_score",109.97
"32003003104","tract",2023,"education_score",119.67
"32003003204","tract",2023,"education_score",88.79
"32003003208","tract",2023,"education_score",97.52
"32003003210","tract",2023,"education_score",75.57
"32003003211","tract",2023,"education_score",69.42
"32003003213","tract",2023,"education_score",68.07
"32003003214","tract",2023,"education_score",77.4
"32003003215","tract",2023,"education_score",91.31
"32003003218","tract",2023,"education_score",86.14
"32003003219","tract",2023,"education_score",80.6
"32003003220","tract",2023,"education_score",116.46
"32003003222","tract",2023,"education_score",88.96
"32003003223","tract",2023,"education_score",76.27
"32003003226","tract",2023,"education_score",70.42
"32003003227","tract",2023,"education_score",94.35
"32003003228","tract",2023,"education_score",92.38
"32003003229","tract",2023,"education_score",93.35
"32003003233","tract",2023,"education_score",94.07
"32003003234","tract",2023,"education_score",106.22
"32003003235","tract",2023,"education_score",95.73
"32003003236","tract",2023,"education_score",105.72
"32003003237","tract",2023,"education_score",82.74
"32003003239","tract",2023,"education_score",90.14
"32003003240","tract",2023,"education_score",105.08
"32003003241","tract",2023,"education_score",94.06
"32003003242","tract",2023,"education_score",84.15
"32003003243","tract",2023,"education_score",94.09
"32003003244","tract",2023,"education_score",103.6
"32003003245","tract",2023,"education_score",101.13
"32003003246","tract",2023,"education_score",95.51
"32003003247","tract",2023,"education_score",76.8
"32003003248","tract",2023,"education_score",90.42
"32003003249","tract",2023,"education_score",88.22
"32003003250","tract",2023,"education_score",92.56
"32003003251","tract",2023,"education_score",58.04
"32003003252","tract",2023,"education_score",92
"32003003253","tract",2023,"education_score",104.62
"32003003254","tract",2023,"education_score",103.82
"32003003260","tract",2023,"education_score",92.66
"32003003261","tract",2023,"education_score",92.47
"32003003262","tract",2023,"education_score",74.94
"32003003263","tract",2023,"education_score",100.7
"32003003264","tract",2023,"education_score",91.8
"32003003265","tract",2023,"education_score",87.3
"32003003266","tract",2023,"education_score",85.36
"32003003267","tract",2023,"education_score",70.79
"32003003268","tract",2023,"education_score",84.07
"32003003269","tract",2023,"education_score",90.89
"32003003270","tract",2023,"education_score",88.99
"32003003303","tract",2023,"education_score",104.82
"32003003305","tract",2023,"education_score",99.02
"32003003306","tract",2023,"education_score",92.85
"32003003307","tract",2023,"education_score",95.19
"32003003308","tract",2023,"education_score",84.4
"32003003309","tract",2023,"education_score",80.95
"32003003311","tract",2023,"education_score",93.89
"32003003312","tract",2023,"education_score",90.12
"32003003313","tract",2023,"education_score",95.03
"32003003314","tract",2023,"education_score",90.45
"32003003315","tract",2023,"education_score",95.18
"32003003316","tract",2023,"education_score",99.48
"32003003317","tract",2023,"education_score",103.75
"32003003318","tract",2023,"education_score",94.55
"32003003319","tract",2023,"education_score",97.96
"32003003320","tract",2023,"education_score",98.56
"32003003321","tract",2023,"education_score",87.08
"32003003322","tract",2023,"education_score",82.01
"32003003323","tract",2023,"education_score",78.77
"32003003408","tract",2023,"education_score",86.6
"32003003409","tract",2023,"education_score",117.7
"32003003410","tract",2023,"education_score",100.02
"32003003411","tract",2023,"education_score",91.85
"32003003412","tract",2023,"education_score",103.93
"32003003413","tract",2023,"education_score",99.21
"32003003414","tract",2023,"education_score",99.23
"32003003415","tract",2023,"education_score",107.96
"32003003416","tract",2023,"education_score",114.06
"32003003418","tract",2023,"education_score",100.32
"32003003419","tract",2023,"education_score",129.72
"32003003420","tract",2023,"education_score",131.53
"32003003421","tract",2023,"education_score",105.65
"32003003422","tract",2023,"education_score",107.33
"32003003423","tract",2023,"education_score",130.5
"32003003426","tract",2023,"education_score",105.81
"32003003427","tract",2023,"education_score",116.12
"32003003428","tract",2023,"education_score",107.04
"32003003429","tract",2023,"education_score",139.43
"32003003430","tract",2023,"education_score",130.53
"32003003431","tract",2023,"education_score",145.64
"32003003500","tract",2023,"education_score",131.11
"32003003609","tract",2023,"education_score",106.15
"32003003610","tract",2023,"education_score",109.91
"32003003613","tract",2023,"education_score",121.02
"32003003615","tract",2023,"education_score",116.37
"32003003616","tract",2023,"education_score",134.36
"32003003617","tract",2023,"education_score",147.26
"32003003619","tract",2023,"education_score",95.44
"32003003620","tract",2023,"education_score",102.51
"32003003621","tract",2023,"education_score",76.39
"32003003626","tract",2023,"education_score",103.65
"32003003627","tract",2023,"education_score",113.08
"32003003630","tract",2023,"education_score",103.17
"32003003631","tract",2023,"education_score",96.12
"32003003632","tract",2023,"education_score",97.06
"32003003633","tract",2023,"education_score",104.53
"32003003634","tract",2023,"education_score",113.54
"32003003635","tract",2023,"education_score",111.45
"32003003636","tract",2023,"education_score",105.4
"32003003637","tract",2023,"education_score",105.4
"32003003638","tract",2023,"education_score",114.97
"32003003639","tract",2023,"education_score",109.8
"32003003640","tract",2023,"education_score",123.87
"32003003641","tract",2023,"education_score",112.05
"32003003642","tract",2023,"education_score",119.48
"32003003643","tract",2023,"education_score",116.84
"32003003644","tract",2023,"education_score",118.3
"32003003645","tract",2023,"education_score",98.24
"32003003646","tract",2023,"education_score",111.27
"32003003647","tract",2023,"education_score",92.99
"32003003648","tract",2023,"education_score",128.86
"32003003649","tract",2023,"education_score",100.13
"32003003650","tract",2023,"education_score",114.5
"32003003651","tract",2023,"education_score",105.3
"32003003652","tract",2023,"education_score",102.38
"32003003653","tract",2023,"education_score",105.02
"32003003654","tract",2023,"education_score",89.47
"32003003655","tract",2023,"education_score",103.05
"32003003656","tract",2023,"education_score",94
"32003003657","tract",2023,"education_score",111.74
"32003003658","tract",2023,"education_score",86.84
"32003003659","tract",2023,"education_score",111.89
"32003003660","tract",2023,"education_score",111.18
"32003003661","tract",2023,"education_score",118.23
"32003003662","tract",2023,"education_score",89.78
"32003003663","tract",2023,"education_score",102.61
"32003003664","tract",2023,"education_score",100.91
"32003003665","tract",2023,"education_score",101.25
"32003003666","tract",2023,"education_score",102.36
"32003003700","tract",2023,"education_score",144.71
"32003003800","tract",2023,"education_score",157.89
"32003004000","tract",2023,"education_score",160.97
"32003004100","tract",2023,"education_score",142.93
"32003004200","tract",2023,"education_score",150.11
"32003004301","tract",2023,"education_score",160.61
"32003004302","tract",2023,"education_score",188.76
"32003004401","tract",2023,"education_score",170.25
"32003004402","tract",2023,"education_score",155.71
"32003004500","tract",2023,"education_score",167.82
"32003004601","tract",2023,"education_score",153.13
"32003004602","tract",2023,"education_score",164.27
"32003004703","tract",2023,"education_score",149.14
"32003004707","tract",2023,"education_score",140.37
"32003004709","tract",2023,"education_score",155.55
"32003004710","tract",2023,"education_score",146.84
"32003004712","tract",2023,"education_score",143.62
"32003004713","tract",2023,"education_score",139.79
"32003004714","tract",2023,"education_score",137.88
"32003004715","tract",2023,"education_score",129.67
"32003004716","tract",2023,"education_score",139.71
"32003004717","tract",2023,"education_score",164.79
"32003004907","tract",2023,"education_score",110.22
"32003004910","tract",2023,"education_score",137.89
"32003004911","tract",2023,"education_score",136.25
"32003004912","tract",2023,"education_score",134.55
"32003004914","tract",2023,"education_score",123.09
"32003004915","tract",2023,"education_score",137.03
"32003004916","tract",2023,"education_score",137.09
"32003004917","tract",2023,"education_score",116.85
"32003004918","tract",2023,"education_score",133.31
"32003004919","tract",2023,"education_score",135.42
"32003004920","tract",2023,"education_score",134.02
"32003004921","tract",2023,"education_score",126.04
"32003004923","tract",2023,"education_score",133.39
"32003004924","tract",2023,"education_score",126.16
"32003004925","tract",2023,"education_score",124.25
"32003004926","tract",2023,"education_score",124.99
"32003005005","tract",2023,"education_score",119.67
"32003005006","tract",2023,"education_score",104.42
"32003005007","tract",2023,"education_score",87.1
"32003005010","tract",2023,"education_score",122.16
"32003005011","tract",2023,"education_score",118.76
"32003005012","tract",2023,"education_score",112.63
"32003005013","tract",2023,"education_score",117.71
"32003005014","tract",2023,"education_score",112.13
"32003005015","tract",2023,"education_score",91.64
"32003005016","tract",2023,"education_score",104.63
"32003005017","tract",2023,"education_score",109.54
"32003005102","tract",2023,"education_score",93.23
"32003005103","tract",2023,"education_score",101.37
"32003005104","tract",2023,"education_score",90.29
"32003005106","tract",2023,"education_score",101.6
"32003005107","tract",2023,"education_score",93.84
"32003005108","tract",2023,"education_score",92.55
"32003005110","tract",2023,"education_score",93.81
"32003005111","tract",2023,"education_score",99.14
"32003005112","tract",2023,"education_score",96.3
"32003005113","tract",2023,"education_score",89.82
"32003005114","tract",2023,"education_score",102.3
"32003005115","tract",2023,"education_score",96.64
"32003005116","tract",2023,"education_score",91.36
"32003005200","tract",2023,"education_score",114.75
"32003005311","tract",2023,"education_score",98.97
"32003005312","tract",2023,"education_score",96.21
"32003005313","tract",2023,"education_score",96.82
"32003005314","tract",2023,"education_score",87.53
"32003005316","tract",2023,"education_score",89.99
"32003005317","tract",2023,"education_score",99.2
"32003005318","tract",2023,"education_score",78.74
"32003005319","tract",2023,"education_score",73.34
"32003005320","tract",2023,"education_score",89.02
"32003005321","tract",2023,"education_score",95.29
"32003005322","tract",2023,"education_score",93.1
"32003005333","tract",2023,"education_score",87
"32003005335","tract",2023,"education_score",91.99
"32003005336","tract",2023,"education_score",106.4
"32003005337","tract",2023,"education_score",85.87
"32003005338","tract",2023,"education_score",91.12
"32003005341","tract",2023,"education_score",92.42
"32003005342","tract",2023,"education_score",89.74
"32003005343","tract",2023,"education_score",97.2
"32003005346","tract",2023,"education_score",84.41
"32003005347","tract",2023,"education_score",82.69
"32003005348","tract",2023,"education_score",89.47
