"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"41001950100","tract",2023,98.78,101.35,93.87,107.41,"education_score",1.63
"41001950200","tract",2023,84.8,73.22,84.22,102.67,"education_score",8.02
"41001950300","tract",2023,110.31,85.41,87.98,88.99,"education_score",-9.19
"41001950400","tract",2023,99.29,84.3,94.43,106.87,"education_score",-2.57
"41001950500","tract",2023,87.01,105.9,95.64,130.02,"education_score",10.4
"41001950600","tract",2023,107.56,64.39,87.48,95.83,"education_score",-12.3
"41003000101","tract",2023,80.87,82.63,109.79,88.99,"education_score",8.61
"41003000102","tract",2023,88.42,105.25,116.41,85.07,"education_score",7.94
"41003000202","tract",2023,72.47,109.01,94.65,109.97,"education_score",25.58
"41003000401","tract",2023,81.38,104.74,96.76,88.99,"education_score",16.31
"41003000402","tract",2023,76.64,110.44,115.02,88.99,"education_score",18.38
"41003000500","tract",2023,82.01,119.44,93.94,106.8,"education_score",21.82
"41003000600","tract",2023,96.14,85.52,107.54,107.72,"education_score",-2.74
"41003000900","tract",2023,73.48,85.78,108.98,83.97,"education_score",16.87
"41003001001","tract",2023,91.13,100.58,122.29,88.99,"education_score",2.67
"41003001002","tract",2023,89.67,98.17,112.57,122.65,"education_score",5.46
"41003001101","tract",2023,84.61,74.86,151.31,102.67,"education_score",-2.71
"41003001102","tract",2023,89.13,72.57,133.21,95.83,"education_score",-3.65
"41003010101","tract",2023,84.87,95.57,88.82,95.83,"education_score",12.42
"41003010102","tract",2023,84.11,132.75,112.97,88.99,"education_score",18.33
"41003010200","tract",2023,83.99,115.15,89.09,95.83,"education_score",18.39
"41003010300","tract",2023,86.98,85.83,79.58,95.83,"education_score",10.21
"41003010400","tract",2023,108.43,98.16,93.49,95.83,"education_score",-6.45
"41003010601","tract",2023,79.84,89.76,107.69,87.99,"education_score",13.96
"41003010602","tract",2023,NA,NA,NA,NA,"education_score",NA
"41003010702","tract",2023,NA,NA,NA,NA,"education_score",NA
"41003010800","tract",2023,87.78,89.14,83.54,116.34,"education_score",8.65
"41003010900","tract",2023,82.18,94.81,98.23,84.82,"education_score",14.43
"41005020101","tract",2023,77.13,119.07,96.91,88.99,"education_score",23.33
"41005020102","tract",2023,72.86,141.12,113.88,88.99,"education_score",28.58
"41005020201","tract",2023,68.02,113.83,94.98,88.99,"education_score",30.21
"41005020202","tract",2023,78.26,113.75,107.69,88.99,"education_score",19.47
"41005020302","tract",2023,73.46,141.52,100.89,99.22,"education_score",31.79
"41005020303","tract",2023,72.32,105.07,108.56,84.69,"education_score",21.44
"41005020304","tract",2023,80.89,127.21,117.85,88.99,"education_score",18.52
"41005020401","tract",2023,72.45,120.86,108.62,95.83,"education_score",24.96
"41005020403","tract",2023,81.11,141.56,131.75,88.99,"education_score",18.7
"41005020404","tract",2023,79.36,106.9,99.5,95.83,"education_score",18.94
"41005020503","tract",2023,74.09,148.2,105.66,88.99,"education_score",31.45
"41005020504","tract",2023,77.16,103.6,112.19,98.7,"education_score",15.87
"41005020505","tract",2023,83.59,121.23,93.82,144.26,"education_score",18.9
