"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"42001030101","tract",2023,99.63,92.33,90.63,88.12,"education_score",1.06
"42001030103","tract",2023,87.53,103.35,92.1,92.27,"education_score",12.58
"42001030104","tract",2023,106.78,79.07,108.94,90.02,"education_score",-12.64
"42001030200","tract",2023,106.11,96.59,96.54,102.67,"education_score",-5.7
"42001030300","tract",2023,108.54,97.5,104.56,85.59,"education_score",-8.42
"42001030400","tract",2023,108.92,89.5,89.07,95.83,"education_score",-7.72
"42001030500","tract",2023,108.02,96.88,92.05,102.67,"education_score",-5.82
"42001030600","tract",2023,95.24,96.42,80.09,121.97,"education_score",6.96
"42001030700","tract",2023,104.12,104.83,85.01,83.43,"education_score",0.92
"42001030801","tract",2023,96.36,96.43,81.13,85.35,"education_score",5.56
"42001030802","tract",2023,98.59,97.06,96.86,91.01,"education_score",1.83
"42001030803","tract",2023,100.15,98.72,113.83,86.44,"education_score",-2.69
"42001030901","tract",2023,105.45,82.19,98.52,109.51,"education_score",-9.35
"42001030902","tract",2023,99.02,110.05,91.94,84.64,"education_score",5.41
"42001031000","tract",2023,91.06,91.25,97.6,86.35,"education_score",5.55
"42001031101","tract",2023,100.34,92.89,87.86,95.83,"education_score",-0.16
"42001031102","tract",2023,93.93,102.73,91,84.66,"education_score",7.8
"42001031201","tract",2023,92.54,115.93,99.06,88.99,"education_score",10.73
"42001031202","tract",2023,94.24,100.59,97.75,87.4,"education_score",5.6
"42001031203","tract",2023,96.84,75.16,81.6,88.99,"education_score",-0.41
"42001031300","tract",2023,99.2,87.83,99.67,102.67,"education_score",-3.46
"42001031401","tract",2023,90.46,114.13,91.55,123.97,"education_score",11.92
"42001031402","tract",2023,97.61,95.89,80.83,86.23,"education_score",5.41
"42001031501","tract",2023,NA,NA,NA,NA,"education_score",NA
"42001031502","tract",2023,94.35,79.72,92.22,95.83,"education_score",0.65
"42001031600","tract",2023,88.56,104.3,83.28,83.45,"education_score",14
"42001031700","tract",2023,102.91,102.55,99.57,102.67,"education_score",-2.62
"42003010301","tract",2023,NA,NA,NA,NA,"education_score",NA
"42003010302","tract",2023,NA,NA,NA,NA,"education_score",NA
"42003020100","tract",2023,74.39,92.47,101.49,116.34,"education_score",18.49
"42003020300","tract",2023,63.65,106.88,52.07,91.15,"education_score",42.02
"42003030500","tract",2023,83.43,89.38,85.38,88.45,"education_score",14.06
"42003040200","tract",2023,NA,NA,NA,NA,"education_score",NA
"42003040400","tract",2023,68.63,87.28,85.82,88.99,"education_score",26.96
"42003040500","tract",2023,121.95,86.33,174.73,82.15,"education_score",-30.86
"42003040600","tract",2023,122.84,80.56,157.28,82.15,"education_score",-29.52
"42003040900","tract",2023,85.48,85.91,143.26,98.83,"education_score",2.21
"42003050100","tract",2023,102.88,87.89,99.91,105.26,"education_score",-5.86
"42003050600","tract",2023,73.11,113.74,98.39,88.99,"education_score",24.74
"42003050900","tract",2023,106.47,109.71,117.31,99.69,"education_score",-8.27
"42003051000","tract",2023,NA,NA,NA,NA,"education_score",NA
"42003051100","tract",2023,96.28,90.51,191.65,102.4,"education_score",-20.27
"42003060300","tract",2023,70.07,113.4,73.38,216.3,"education_score",35.83
"42003060500","tract",2023,75.94,96.1,54.57,195.55,"education_score",30.56
"42003070300","tract",2023,70.56,98.76,89.05,88.99,"education_score",27.31
"42003070500","tract",2023,68.31,102.3,87.55,145.15,"education_score",32.38
"42003070600","tract",2023,67.66,100.17,86,201.78,"education_score",31.7
"42003070800","tract",2023,64.66,136.48,78.49,106.78,"education_score",43.39
"42003070900","tract",2023,78.46,93.69,114.59,122.86,"education_score",13.72
"42003080200","tract",2023,79.77,98.18,62,92.65,"education_score",24.49
"42003080400","tract",2023,65.82,102.73,81.36,88.67,"education_score",33.7
"42003080600","tract",2023,70.98,98.31,72.89,87.5,"education_score",29.71
"42003080700","tract",2023,68.33,92.01,81.83,100.91,"education_score",27.98
"42003080900","tract",2023,81.13,105.47,72.46,144.38,"education_score",22.78
"42003090100","tract",2023,78.76,125.38,65.16,103.96,"education_score",32.45
"42003090200","tract",2023,76.08,113.68,56.61,87.3,"education_score",32.34
"42003090300","tract",2023,84.93,107.94,71.67,88.99,"education_score",20.55
"42003100500","tract",2023,85.7,98.44,82.47,88.99,"education_score",14.67
"42003101100","tract",2023,75.39,99.38,63.15,88.06,"education_score",27.87
"42003101400","tract",2023,84.91,98.83,71.98,102.35,"education_score",17.44
"42003101800","tract",2023,77.81,109.46,74.39,99.36,"education_score",25.65
"42003101900","tract",2023,79.27,98.03,103.74,84.88,"education_score",15.17
"42003110200","tract",2023,75.13,99.71,70.31,84.55,"education_score",27.16
"42003110600","tract",2023,71.19,118.08,96.65,86.17,"education_score",29.48
"42003111300","tract",2023,90.39,98.64,98.2,116.02,"education_score",7.54
"42003111400","tract",2023,84.99,95.64,70.85,82.15,"education_score",17.26
"42003111500","tract",2023,74.68,96.81,83.37,82.15,"education_score",23.51
"42003120300","tract",2023,94.7,91.33,140.9,86.91,"education_score",-8.1
"42003120900","tract",2023,108.45,96.59,110.91,111.76,"education_score",-11.24
"42003130200","tract",2023,87.02,68.97,111.84,88.31,"education_score",-0.21
"42003130600","tract",2023,103.81,86.75,185.14,84.26,"education_score",-25.6
"42003130700","tract",2023,95,87.93,120.54,88.99,"education_score",-3.66
"42003130800","tract",2023,99.41,47.6,133.06,101.07,"education_score",-20.31
"42003140100","tract",2023,NA,NA,NA,NA,"education_score",NA
"42003140200","tract",2023,76.51,106.9,135.04,92.27,"education_score",16.57
"42003140300","tract",2023,70.57,122.42,98.43,82.15,"education_score",31.06
"42003140400","tract",2023,68.59,128.01,96.38,88.99,"education_score",34.58
"42003140500","tract",2023,70.4,99.62,82.29,94.48,"education_score",28.57
"42003140800","tract",2023,73.18,96.53,112.73,95.83,"education_score",18.13
"42003141100","tract",2023,76.28,110.67,75.43,89.51,"education_score",27.6
"42003141200","tract",2023,68.51,117.49,81.3,131.99,"education_score",32.78
"42003141300","tract",2023,77.85,87.92,99.61,101.27,"education_score",16.38
"42003141400","tract",2023,76.05,122.23,83.82,116.1,"education_score",27.98
"42003151600","tract",2023,78.47,107.26,77.89,110.56,"education_score",23.38
"42003151700","tract",2023,83.2,109.93,85.86,91.6,"education_score",20.16
"42003160800","tract",2023,85.51,96.62,87.18,82.15,"education_score",13.83
"42003160900","tract",2023,73.11,118.07,71.83,99.33,"education_score",33.41
"42003161000","tract",2023,88.06,76.56,107.12,110.73,"education_score",0.2
"42003170200","tract",2023,76.54,112.61,81.15,88.99,"education_score",26.63
"42003170600","tract",2023,82.66,93.73,70.84,113.65,"education_score",20.24
"42003180300","tract",2023,88.73,89.79,76.12,88.99,"education_score",11.02
"42003180700","tract",2023,89.03,96.92,105.06,89.24,"education_score",7.15
"42003190300","tract",2023,78.78,119.56,65.21,115.5,"education_score",30.76
"42003191100","tract",2023,74.45,105.97,58.65,88.99,"education_score",30.66
"42003191400","tract",2023,73.45,135.98,63.28,93.72,"education_score",38.7
"42003191500","tract",2023,78.52,102.62,62.59,117.59,"education_score",27.55
"42003191600","tract",2023,100.34,99.25,93.63,117.2,"education_score",-0.03
"42003191700","tract",2023,88.95,126.21,75.18,102.67,"education_score",20.02
"42003191800","tract",2023,90.75,87.57,69.1,99.02,"education_score",10.43
"42003191900","tract",2023,87.31,79.42,84.29,87.71,"education_score",9.92
"42003192000","tract",2023,83.27,105.12,78.02,87.26,"education_score",19.12
"42003202200","tract",2023,91.36,86.63,86.32,93.27,"education_score",6.6
"42003202300","tract",2023,79.83,129.88,74.36,88.99,"education_score",28.77
"42003241300","tract",2023,85.68,119.73,67.82,107.21,"education_score",22.91
"42003250900","tract",2023,99.19,109.69,89.73,93.27,"education_score",4.86
"42003260200","tract",2023,83.42,101.97,93.64,88.99,"education_score",15.2
"42003260700","tract",2023,87.74,101.12,85.6,99.33,"education_score",13.52
"42003261300","tract",2023,100.41,120.05,119.05,83.32,"education_score",0.21
