"geoid","geolevel","year","level","value"
"46003973600","tract",2023,"education_score",83.29
"46005956600","tract",2023,"education_score",97.49
"46005956700","tract",2023,"education_score",88.04
"46005956800","tract",2023,"education_score",83.34
"46005956900","tract",2023,"education_score",NA
"46005957000","tract",2023,"education_score",78.23
"46005957100","tract",2023,"education_score",82.69
"46007941000","tract",2023,"education_score",91.2
"46007941200","tract",2023,"education_score",NA
"46009967600","tract",2023,"education_score",90.65
"46009967700","tract",2023,"education_score",NA
"46011958600","tract",2023,"education_score",97.34
"46011958700","tract",2023,"education_score",105.58
"46011958803","tract",2023,"education_score",109.9
"46011958804","tract",2023,"education_score",NA
"46011958805","tract",2023,"education_score",106.97
"46011958900","tract",2023,"education_score",NA
"46011959000","tract",2023,"education_score",107.74
"46013951300","tract",2023,"education_score",NA
"46013951400","tract",2023,"education_score",104.46
"46013951500","tract",2023,"education_score",83.82
"46013951600","tract",2023,"education_score",97.27
"46013951700","tract",2023,"education_score",92.96
"46013951800","tract",2023,"education_score",99.58
"46013951900","tract",2023,"education_score",95.33
"46013952000","tract",2023,"education_score",99.85
"46015973100","tract",2023,"education_score",93.5
"46015973200","tract",2023,"education_score",87.56
"46017940200","tract",2023,"education_score",NA
"46019967600","tract",2023,"education_score",79.76
"46019967701","tract",2023,"education_score",89.91
"46019967702","tract",2023,"education_score",85.32
"46021964100","tract",2023,"education_score",96.06
"46023940200","tract",2023,"education_score",83.33
"46023940300","tract",2023,"education_score",77.92
"46023970100","tract",2023,"education_score",99.79
"46025955800","tract",2023,"education_score",80.22
"46027965700","tract",2023,"education_score",109.42
"46027965800","tract",2023,"education_score",101.63
"46027965900","tract",2023,"education_score",NA
"46029954100","tract",2023,"education_score",97.37
"46029954301","tract",2023,"education_score",102.51
"46029954302","tract",2023,"education_score",87.05
"46029954401","tract",2023,"education_score",NA
"46029954402","tract",2023,"education_score",76.4
"46029954501","tract",2023,"education_score",NA
"46029954502","tract",2023,"education_score",95.92
"46029954600","tract",2023,"education_score",101.7
"46031941000","tract",2023,"education_score",79.89
"46031941100","tract",2023,"education_score",75.53
"46033965100","tract",2023,"education_score",97.8
"46033965200","tract",2023,"education_score",100.95
"46035962600","tract",2023,"education_score",92.8
"46035962700","tract",2023,"education_score",92.38
"46035962801","tract",2023,"education_score",NA
"46035962802","tract",2023,"education_score",104.79
"46035962900","tract",2023,"education_score",93.2
"46037952700","tract",2023,"education_score",NA
