"geoid","geolevel","year","level","value"
"49001100100","tract",2023,"education_score",98.83
"49001100200","tract",2023,"education_score",90.72
"49003960100","tract",2023,"education_score",94.43
"49003960200","tract",2023,"education_score",88.29
"49003960301","tract",2023,"education_score",88.66
"49003960302","tract",2023,"education_score",89.27
"49003960400","tract",2023,"education_score",91.39
"49003960500","tract",2023,"education_score",101.91
"49003960601","tract",2023,"education_score",94.33
"49003960602","tract",2023,"education_score",102.74
"49003960701","tract",2023,"education_score",98.65
"49003960702","tract",2023,"education_score",96.2
"49003960801","tract",2023,"education_score",102.96
"49003960802","tract",2023,"education_score",108.7
"49005000101","tract",2023,"education_score",98.82
"49005000102","tract",2023,"education_score",101.13
"49005000201","tract",2023,"education_score",95.98
"49005000202","tract",2023,"education_score",110.4
"49005000301","tract",2023,"education_score",94.63
"49005000302","tract",2023,"education_score",91.37
"49005000401","tract",2023,"education_score",100.19
"49005000402","tract",2023,"education_score",117.37
"49005000403","tract",2023,"education_score",107.73
"49005000501","tract",2023,"education_score",95.98
"49005000502","tract",2023,"education_score",85.18
"49005000601","tract",2023,"education_score",95.61
"49005000602","tract",2023,"education_score",90.12
"49005000701","tract",2023,"education_score",110.44
"49005000702","tract",2023,"education_score",NA
"49005000800","tract",2023,"education_score",89.42
"49005000900","tract",2023,"education_score",98.5
"49005001001","tract",2023,"education_score",88.67
"49005001002","tract",2023,"education_score",89.3
"49005001101","tract",2023,"education_score",114.63
"49005001102","tract",2023,"education_score",112.09
"49005001201","tract",2023,"education_score",112.17
"49005001202","tract",2023,"education_score",99.75
"49005001300","tract",2023,"education_score",108.53
"49005001401","tract",2023,"education_score",97.16
"49005001402","tract",2023,"education_score",97.21
"49005001500","tract",2023,"education_score",110.28
"49005980100","tract",2023,"education_score",NA
"49007000100","tract",2023,"education_score",100.41
"49007000200","tract",2023,"education_score",90.49
"49007000300","tract",2023,"education_score",92.93
"49007000500","tract",2023,"education_score",96.89
"49007000600","tract",2023,"education_score",89.55
"49009960100","tract",2023,"education_score",88.98
"49011125102","tract",2023,"education_score",108.93
"49011125103","tract",2023,"education_score",108.18
"49011125104","tract",2023,"education_score",113.01
"49011125201","tract",2023,"education_score",105.23
"49011125301","tract",2023,"education_score",86.2
"49011125304","tract",2023,"education_score",100.7
"49011125305","tract",2023,"education_score",104.65
"49011125306","tract",2023,"education_score",110.94
"49011125307","tract",2023,"education_score",98.76
"49011125407","tract",2023,"education_score",109.43
"49011125408","tract",2023,"education_score",108.87
"49011125409","tract",2023,"education_score",103.45
"49011125410","tract",2023,"education_score",110.17
"49011125411","tract",2023,"education_score",107.21
"49011125412","tract",2023,"education_score",102.28
"49011125413","tract",2023,"education_score",114.58
"49011125414","tract",2023,"education_score",109.55
"49011125415","tract",2023,"education_score",115.5
"49011125501","tract",2023,"education_score",93.73
"49011125502","tract",2023,"education_score",88.68
"49011125503","tract",2023,"education_score",93.24
