"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"51001090101","tract",2023,86.08,109.89,75.08,111.57,"education_score",19.16
"51001090102","tract",2023,88.53,80.33,90.73,91.76,"education_score",5.88
"51001090201","tract",2023,88.54,102.78,87.13,87.17,"education_score",12.48
"51001090202","tract",2023,119.48,82.33,89.67,102.67,"education_score",-17.54
"51001090300","tract",2023,117.48,98.93,99.25,103.96,"education_score",-14.24
"51001090401","tract",2023,124.29,100.14,115.17,100.12,"education_score",-22.32
"51001090402","tract",2023,161.63,71.39,130.4,98.71,"education_score",-61.71
"51001090500","tract",2023,112.94,85.41,87.59,85.3,"education_score",-10.82
"51001090600","tract",2023,95.08,87.48,74.23,88.99,"education_score",6.33
"51001090700","tract",2023,99.38,85.65,97.08,120.03,"education_score",-3.93
"51001090800","tract",2023,114.48,86.15,80.38,99.04,"education_score",-11.27
"51001980100","tract",2023,NA,NA,NA,NA,"education_score",NA
"51001980200","tract",2023,NA,NA,NA,NA,"education_score",NA
"51001990100","tract",2023,NA,NA,NA,NA,"education_score",NA
"51001990200","tract",2023,NA,NA,NA,NA,"education_score",NA
"51003010100","tract",2023,86.45,121.39,89.99,83.85,"education_score",19.4
"51003010201","tract",2023,83.55,113.04,105.38,83.41,"education_score",15.72
"51003010202","tract",2023,79.92,112.47,103.58,104.92,"education_score",18.48
"51003010301","tract",2023,77.37,116.82,110.08,87,"education_score",19.83
"51003010302","tract",2023,74.03,129.74,114.16,109.15,"education_score",26.18
"51003010303","tract",2023,78.87,107.76,110.63,123.23,"education_score",14.92
"51003010401","tract",2023,92.57,115.74,85.42,101.64,"education_score",12.9
"51003010402","tract",2023,81.13,106.46,105.12,101.56,"education_score",15.28
"51003010501","tract",2023,75.7,118.49,86.25,92.06,"education_score",27.67
"51003010502","tract",2023,80.53,118.48,77.63,108.39,"education_score",25.96
"51003010602","tract",2023,75.1,107.36,88.61,107.78,"education_score",24.33
"51003010603","tract",2023,86.37,94.6,82.39,85.2,"education_score",14.17
"51003010604","tract",2023,74.74,98.93,85.21,99.37,"education_score",23.23
"51003010701","tract",2023,81.42,106.98,80.94,84.82,"education_score",20.94
"51003010702","tract",2023,96.3,101.75,85.38,86.2,"education_score",6.85
"51003010801","tract",2023,95.72,78.58,88.61,86.84,"education_score",1.6
"51003010802","tract",2023,89.71,118.38,114.91,140.7,"education_score",6.94
"51003010901","tract",2023,NA,NA,NA,NA,"education_score",NA
"51003010904","tract",2023,NA,NA,NA,NA,"education_score",NA
"51003011000","tract",2023,80.36,132.41,94.93,114.4,"education_score",24.99
"51003011101","tract",2023,85.67,107.57,105.14,88.99,"education_score",12.35
"51003011102","tract",2023,77.31,132.91,112.56,84.52,"education_score",24.4
"51003011103","tract",2023,76.93,138.68,128.54,112.75,"education_score",20.82
"51003011201","tract",2023,83.94,105.23,94.24,88.99,"education_score",15.3
"51003011202","tract",2023,80.58,123.15,106.55,99.97,"education_score",20.12
"51003011301","tract",2023,87.15,100.08,76.87,88.99,"education_score",15.45
"51003011302","tract",2023,91.72,93.65,104.73,83.76,"education_score",5.59
"51003011303","tract",2023,79.62,108.66,89.14,131.48,"education_score",19.95
"51003011400","tract",2023,99.61,101.96,81.38,99.82,"education_score",4.48
"51005070100","tract",2023,102.14,79.74,94.73,84.58,"education_score",-5.12
"51005080100","tract",2023,107.46,69.75,92.59,110.56,"education_score",-12.03
"51005080201","tract",2023,96.26,78.79,87.59,122.87,"education_score",-0.69
"51005080202","tract",2023,96.24,79.31,86.5,88.74,"education_score",0.55
"51005080301","tract",2023,104.99,68.75,81.35,88.99,"education_score",-7.98
"51005080302","tract",2023,92.77,90.06,97.72,130,"education_score",2.8
